,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2009-10-03,Alec Martinez,home,Los Angeles Kings,Phoenix Coyotes,D,16.016666666667,0,0,0,0.0,2,0,0,0,0,0,2,0.0,0.0,20092010,0.5675333333333441,0.5675333333333441,0.5675333333333441,0.5675333333333441,-0.5675333333333441,-1.432466666666656,-0.5675333333333441,0.5675333333333441,0.1,0.0,-1.317533333333344,0.7158291666666823,-0.5017041666666617,1987-07-26,22.205479452054796,1,33.815994623656074,0.0,-0.04715977364077353,-0.04715977364077353,-0.056081327570768884,0.33702118519580326,0.36704766950659007,1.0774091827060348,0.3631097196964296
1,2009-12-17,Alec Martinez,away,Los Angeles Kings,Calgary Flames,D,16.3,0,0,0,0.04,3,0,0,0,0,0,1,0.78,0.38,20092010,0.5766000000000001,0.5766000000000001,0.5766000000000001,0.5766000000000001,-0.5766000000000001,-0.4233999999999999,0.20339999999999991,0.1966000000000001,0.17,0.0,-0.07860000000000011,0.42986250000000026,0.5212625000000002,1987-07-26,22.410958904109588,2,66.81491935483871,-0.04735651089465152,0.0021615109848680536,0.0021615109848680536,0.0024775052374428463,0.3410276931453034,0.37111061105490883,1.060806514325666,0.3617643984539921
2,2010-01-07,Alec Martinez,home,Los Angeles Kings,Detroit Red Wings,D,15.066666666667,0,0,0,0.04,0,0,0,0,0,0,0,0.67,0.05,20092010,0.537133333333344,0.537133333333344,0.537133333333344,0.537133333333344,-0.537133333333344,0.537133333333344,0.13286666666665603,0.487133333333344,0.02,0.0,-0.21513333333334395,1.707129166666682,1.5119958333333379,1987-07-26,22.46849315068493,3,98.7740591397851,0.008493067915560919,0.12400294460333121,0.12400294460333121,0.1336082873115065,0.3450239578913016,0.37516223618429523,1.0566163241123345,0.36455794611779596
3,2010-01-11,Alec Martinez,home,Los Angeles Kings,San Jose Sharks,D,14.25,0,0,0,0.0,2,1,0,0,0,1,0,0.5,0.2,20092010,0.511,0.511,0.511,0.511,0.489,0.511,-0.01100000000000001,0.311,0.1,-0.15,-0.061000000000000054,1.3245625,1.2135625,1987-07-26,22.47945205479452,4,89.14717741935485,0.14794819464607398,0.20630799428849045,0.20630799428849045,0.21731043250407575,0.34900862189659215,0.3792012525817589,1.0558398176629626,0.36849719970609973
4,2010-11-27,Alec Martinez,home,Los Angeles Kings,Chicago Blackhawks,D,18.016666666667,0,0,0,0.02,1,0,0,0,0,0,1,0.48,0.63,20102011,0.631533333333344,0.631533333333344,0.631533333333344,0.631533333333344,-0.631533333333344,-0.36846666666665595,-0.15153333333334407,0.0015333333333440446,0.060000000000000005,0.0,-0.613533333333344,-0.06617083333331775,-0.6197041666666617,1987-07-26,23.356164383561644,5,30.009543010752846,0.239032006001295,0.14757046209723243,0.14757046209723243,0.18086939868741383,0.35298046490813295,0.3832265047334744,1.0129863734967874,0.35756440106249965
5,2010-11-29,Alec Martinez,away,Los Angeles Kings,Anaheim Ducks,D,22.033333333333,0,0,0,0.05,0,0,0,0,0,0,0,1.3,0.66,20102011,0.7600666666666561,0.7600666666666561,0.7600666666666561,0.7600666666666561,-0.7600666666666561,0.7600666666666561,0.5399333333333439,0.10006666666665609,0.025,0.0,0.5699333333333438,0.6245958333333181,1.219529166666662,1987-07-26,23.361643835616437,6,89.33965053763426,0.12223071871494971,0.21968286580831392,0.21968286580831392,0.2589502266412627,0.3569384009113704,0.3872369705471597,1.0128230115343968,0.36151542614332605
6,2010-12-02,Alec Martinez,home,Los Angeles Kings,Florida Panthers,D,17.55,0,0,0,0.0,1,0,0,0,0,1,0,0.51,0.51,20102011,0.6166,0.6166,0.6166,0.6166,0.38339999999999996,0.6166,-0.10660000000000003,0.10660000000000003,0.05,0.0,-0.15060000000000007,0.7633625000000002,0.6627625000000001,1987-07-26,23.36986301369863,7,71.37943548387096,0.2540525621834376,0.24800474311937445,0.24800474311937445,0.2708436827139804,0.3608814739646448,0.39123175689671186,1.0125801095006874,0.36542140242388954
7,2010-12-04,Alec Martinez,home,Los Angeles Kings,Detroit Red Wings,D,16.616666666667,1,0,1,0.01,1,1,0,0,0,1,0,0.39,0.23,20102011,0.5867333333333441,0.5867333333333441,0.5867333333333441,0.5867333333333441,0.4132666666666559,0.5867333333333441,-0.19673333333334408,0.3567333333333441,1.355,-0.15,-0.31273333333334413,1.3644291666666821,2.256695833333338,1987-07-26,23.375342465753423,8,122.7966397849464,0.2981108332182983,0.3704844366476525,0.3704844366476525,0.3934955797160199,0.36480885314137435,0.39521009431504966,1.0124195986137445,0.3693396326681307
8,2010-12-09,Alec Martinez,home,Los Angeles Kings,Calgary Flames,D,20.266666666667,0,0,0,0.04,2,0,0,0,0,0,0,0.5,0.59,20102011,0.703533333333344,0.703533333333344,0.703533333333344,0.703533333333344,-0.703533333333344,0.703533333333344,-0.203533333333344,0.11353333333334403,0.12000000000000001,0.0,-0.653533333333344,0.7043291666666821,0.17079583333333814,1987-07-26,23.389041095890413,9,55.50954301075284,0.48935584281572486,0.35882855170960565,0.35882855170960565,0.3976510559534336,0.3687198267852275,0.39917133103815494,1.0120232874612396,0.3731530512553248
9,2010-12-11,Alec Martinez,home,Los Angeles Kings,Minnesota Wild,D,18.166666666667,0,0,0,0.0,1,1,0,0,0,0,1,0.54,0.33,20102011,0.636333333333344,0.636333333333344,0.636333333333344,0.636333333333344,-0.636333333333344,-0.36366666666665604,-0.09633333333334393,0.30633333333334395,0.05,-0.15,-0.522333333333344,0.6307291666666821,0.008395833333338154,1987-07-26,23.394520547945206,10,50.27083333333349,0.4607699771950897,0.3391849607537387,0.3391849607537387,0.39498950960036117,0.37261379626078467,0.4031149265802671,1.011866743259032,0.37703550851578466
