,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2016-10-13,Anthony Beauvillier,away,New York Islanders,New York Rangers,C,10.866666666667,0,0,1,0.03,0,1,0,0,0,1,0,0.66,0.18,20162017,0.402733333333344,0.402733333333344,0.402733333333344,0.402733333333344,0.597266666666656,0.402733333333344,0.25726666666665604,0.222733333333344,0.5650000000000001,-0.15,0.38579166666666,0.7244212500000113,1.5252129166666712,1997-06-08,19.361643835616437,1,99.20041666666681,0.0,0.14336874334108227,0.14336874334108227,0.16880310392725567,0.23118744694343635,0.265793568212418,2.0064012730516487,0.4638547878608712
1,2016-10-16,Anthony Beauvillier,home,New York Islanders,Anaheim Ducks,C,8.1,0,0,0,0.14,0,0,0,1,1,0,0,0.21,0.15,20162017,0.3142,0.3142,0.3142,0.3142,-0.3142,0.3142,-0.10419999999999999,0.16419999999999998,0.07,0.0,-0.465125,0.68080125,0.28567625,1997-06-08,19.36986301369863,2,59.21536290322581,0.1439668372393209,0.15571658642494696,0.15571658642494696,0.18324178845821146,0.2285739782726387,0.26276657808177367,1.9985085596388656,0.4568070520885765
2,2016-10-18,Anthony Beauvillier,home,New York Islanders,San Jose Sharks,C,8.2666666666667,1,0,0,0.19,0,0,0,0,0,1,1,0.23,0.36,20162017,0.3195333333333344,0.3195333333333344,0.3195333333333344,0.3195333333333344,0.6804666666666657,-0.6804666666666657,-0.08953333333333438,-0.040466666666665596,0.845,0.0,0.16904166666666598,-0.10799874999999892,0.9060429166666671,1997-06-08,19.375342465753423,3,79.22719086021507,0.1562533787214698,0.21626682985571705,0.21626682985571705,0.23185368922931981,0.22598707122542325,0.259766391452398,1.9932918527123917,0.4504581878919711
3,2016-10-21,Anthony Beauvillier,home,New York Islanders,Arizona Coyotes,C,9.2333333333333,0,0,1,0.0,0,0,0,0,0,1,0,0.55,0.15,20162017,0.3504666666666656,0.3504666666666656,0.3504666666666656,0.3504666666666656,0.6495333333333344,0.3504666666666656,0.19953333333333445,0.2004666666666656,0.55,0.0,0.34970833333333406,0.7195612499999988,1.6192695833333328,1997-06-08,19.383561643835616,4,102.23450268817203,0.21628567757258021,0.3222492984242667,0.3222492984242667,0.4039376352661402,0.22342924151841767,0.25679678373170634,1.9855335575341606,0.443626256769223
4,2016-10-23,Anthony Beauvillier,home,New York Islanders,Minnesota Wild,C,10.95,0,2,0,0.1,1,0,0,0,0,3,1,0.4,0.24,20162017,0.4054,0.4054,0.4054,0.4054,2.5946,-0.5946,-0.00539999999999996,0.1654,1.5,0.0,1.471625,0.18777124999999995,3.15939625,1997-06-08,19.389041095890413,5,151.91600806451612,0.32084192492827424,0.5239981567059757,0.5239981567059757,0.579990551523974,0.22090248525414105,0.25386085268014996,1.9804053615017383,0.4374764661663596
5,2016-10-26,Anthony Beauvillier,home,New York Islanders,Montreal Canadiens,C,16.3,0,0,0,0.27,1,0,0,0,0,0,0,0.75,0.19,20162017,0.5766000000000001,0.5766000000000001,0.5766000000000001,0.5766000000000001,-0.5766000000000001,0.5766000000000001,0.1733999999999999,0.3866000000000001,0.185,0.0,-0.29162500000000013,0.8932412500000001,0.78661625,1997-06-08,19.397260273972602,6,75.37471774193548,0.5184118726298411,0.5416649025281106,0.5416649025281106,0.5397537688227282,0.21840831390623555,0.25096105941343755,1.9727782096119184,0.43087116247230123
6,2016-10-27,Anthony Beauvillier,away,New York Islanders,Pittsburgh Penguins,C,10.9,0,0,0,0.03,0,0,0,0,0,0,0,0.53,0.72,20162017,0.4038,0.4038,0.4038,0.4038,-0.4038,0.4038,0.12620000000000003,-0.3162,0.015,0.0,-0.321125,-0.19243875,-0.49856374999999997,1997-06-08,19.4,7,33.91729838709678,0.5359584165407266,0.4751729539056077,0.4751729539056077,0.5482252942899579,0.21594779489797608,0.24809927738734466,1.9702530276185841,0.4254717967052944
7,2016-10-30,Anthony Beauvillier,home,New York Islanders,Toronto Maple Leafs,C,16.466666666667,0,0,0,0.03,0,0,0,0,0,1,0,0.53,0.86,20162017,0.5819333333333441,0.5819333333333441,0.5819333333333441,0.5819333333333441,0.41806666666665593,0.5819333333333441,-0.051933333333344045,-0.2780666666666559,0.015,0.0,0.19254166666665995,-0.24005874999998855,-0.03251708333332859,1997-06-08,19.40821917808219,8,48.95106182795714,0.4723196602883131,0.44421661598419965,0.44421661598419965,0.4726393321976669,0.21352159521438951,0.2452768460326668,1.9627285037496316,0.41908492109337325
8,2016-11-01,Anthony Beauvillier,home,New York Islanders,Tampa Bay Lightning,C,12.016666666667,0,0,0,0.0,0,0,0,3,2,0,2,0.05,0.4,20162017,0.439533333333344,0.439533333333344,0.439533333333344,0.439533333333344,-0.439533333333344,-1.560466666666656,-0.389533333333344,0.03953333333334397,0.0,0.01,-0.64345833333334,-0.4852487499999888,-1.1187070833333288,1997-06-08,19.413698630136988,9,13.912674731182939,0.4429060187466963,0.35298828094738577,0.35298828094738577,0.4031575181819537,0.21113002601954844,0.24249462636689645,1.9577542620018866,0.4133407082763402
9,2016-11-05,Anthony Beauvillier,home,New York Islanders,Edmonton Oilers,C,11.283333333333,0,0,0,0.1,0,0,0,1,1,0,0,0.39,0.61,20162017,0.416066666666656,0.416066666666656,0.416066666666656,0.416066666666656,-0.416066666666656,0.416066666666656,-0.02606666666665597,-0.193933333333344,0.05,0.0,-0.41629166666666,0.007671249999988583,-0.35862041666667144,1997-06-08,19.424657534246574,10,38.43159946236544,0.35661934734662926,0.3130988829444326,0.3130988829444326,0.32017451497346133,0.20877308672915706,0.23975305651077483,1.9479053809425915,0.40667021903571937
10,2016-11-12,Anthony Beauvillier,away,New York Islanders,Florida Panthers,C,7.3333333333333,0,0,0,0.0,0,0,0,0,0,0,0,0.04,0.93,20162017,0.28966666666666563,0.28966666666666563,0.28966666666666563,0.28966666666666563,-0.28966666666666563,0.28966666666666563,-0.24966666666666562,-0.6403333333333344,0.0,0.0,-0.5560416666666661,-0.6714187500000012,-1.2274604166666672,1997-06-08,19.443835616438356,11,10.40450268817203,0.3188963800656203,0.22992727640189015,0.22992727640189015,0.21162697892885762,0.20645050740432314,0.2370522055666247,1.9309828230229393,0.39865238360211813
11,2016-11-14,Anthony Beauvillier,home,New York Islanders,Tampa Bay Lightning,C,12.016666666667,0,0,0,0.2,1,0,0,0,2,0,0,0.68,0.0,20162017,0.439533333333344,0.439533333333344,0.439533333333344,0.439533333333344,-0.439533333333344,0.439533333333344,0.24046666666665606,0.439533333333344,0.15000000000000002,-0.02,-0.24970833333333997,1.0697512500000115,0.9500429166666715,1997-06-08,19.44931506849315,12,80.64654569892488,0.2404357704628674,0.26746991854211544,0.26746991854211544,0.28883821471889615,0.20416178868229984,0.23439182476517514,1.9262194713244183,0.3932604126602672
