,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2018-10-08,Brady Tkachuk,away,Ottawa Senators,Boston Bruins,L,14.55,0,0,0,0.24,0,0,0,0,0,0,1,0.69,0.3,20182019,0.5206000000000001,0.5206000000000001,0.5206000000000001,0.5206000000000001,-0.5206000000000001,-0.47939999999999994,0.16939999999999988,0.22060000000000007,0.12,0.0,-0.2941250000000001,0.20889125000000003,0.03476624999999994,1999-09-16,19.073972602739726,1,51.12149193548387,0.0,0.0032679985323460325,0.0032679985323460325,0.004188183455087969,0.8383506884248542,0.9635982244612682,2.3451310458049774,1.966042226697101
1,2018-10-10,Brady Tkachuk,home,Ottawa Senators,Philadelphia Flyers,L,13.75,2,0,1,0.97,0,2,2,0,0,1,0,1.24,0.31,20182019,0.495,0.495,0.495,0.495,0.505,0.495,0.745,0.185,2.5349999999999997,0.0,0.6906249999999999,0.60203125,3.8276562499999995,1999-09-16,19.07945205479452,2,173.4727822580645,0.003281631699074704,0.3351053494184244,0.3351053494184244,0.43670493796185683,0.832615215606631,0.9542453136021674,2.3373022681944904,1.9460734319706232
2,2018-10-13,Brady Tkachuk,home,Ottawa Senators,Los Angeles Kings,L,14.316666666667,0,1,1,0.18,0,0,0,0,1,3,0,0.68,0.16,20182019,0.513133333333344,0.513133333333344,0.513133333333344,0.513133333333344,2.486866666666656,0.513133333333344,0.16686666666665606,0.35313333333334396,1.34,-0.01,1.57929166666666,0.8764112500000113,3.7857029166666716,1999-09-16,19.087671232876712,3,172.11944892473133,0.3342864426285568,0.6135635538788695,0.6135635538788695,0.702944467817637,0.826902227708533,0.9449109637459142,2.3256793814931904,1.9231094614925224
3,2018-10-15,Brady Tkachuk,home,Ottawa Senators,Dallas Stars,L,14.5,1,0,0,0.78,0,0,0,2,0,1,0,0.78,0.43,20182019,0.519,0.519,0.519,0.519,0.481,0.519,0.261,0.08900000000000002,1.1400000000000001,0.02,0.38812499999999994,0.42368125,1.9718062500000002,1999-09-16,19.09315068493151,4,113.60665322580647,0.6106679743742525,0.7161648591815939,0.7161648591815939,0.7842650711816723,0.8212140550560252,0.935599651180328,2.3180098594275997,1.903582276320386
4,2018-11-08,Brady Tkachuk,home,Ottawa Senators,Vegas Golden Knights,L,14.116666666667,0,0,0,0.32,3,0,1,0,0,1,1,1.13,0.51,20182019,0.506733333333344,0.506733333333344,0.506733333333344,0.506733333333344,0.493266666666656,-0.493266666666656,0.6232666666666559,-0.003266666666655982,0.31000000000000005,0.15,0.61454166666666,-0.16292874999998863,0.9116129166666714,1999-09-16,19.15890410958904,5,79.40686827957005,0.7119409391576839,0.7300631249831211,0.7300631249831211,0.6843127368215227,0.8155522451209833,0.926314804040259,2.230637687152565,1.819201573808752
5,2018-11-10,Brady Tkachuk,away,Ottawa Senators,Tampa Bay Lightning,L,16.65,1,1,0,0.25,0,0,0,0,0,1,0,0.71,0.23,20182019,0.5878,0.5878,0.5878,0.5878,0.4122,0.5878,0.12219999999999998,0.3578,1.575,0.0,0.30137499999999995,0.83721125,2.7135862499999996,1999-09-16,19.164383561643834,6,137.53504032258064,0.7263696262597038,0.863497948313313,0.863497948313313,0.9243673486900035,0.809917654046702,0.9170588907619294,2.223724596018768,1.8010338080534707
6,2018-11-11,Brady Tkachuk,away,Ottawa Senators,Florida Panthers,L,16.966666666667,0,0,0,0.26,0,0,0,1,1,0,1,0.36,0.24,20182019,0.597933333333344,0.597933333333344,0.597933333333344,0.597933333333344,-0.597933333333344,-0.402066666666656,-0.237933333333344,0.357933333333344,0.13,0.0,-0.54870833333334,0.39354125000001133,-0.025167083333328677,1999-09-16,19.167123287671235,7,49.188158602150686,0.8607698053093592,0.8066940240191139,0.8066940240191139,0.9226414308790538,0.804310546861315,0.9078335289128039,2.220288194505483,1.7858012119124267
7,2018-11-15,Brady Tkachuk,home,Ottawa Senators,Detroit Red Wings,L,14.383333333333,0,0,0,1.09,0,1,2,2,3,0,0,0.47,0.64,20182019,0.5152666666666561,0.5152666666666561,0.5152666666666561,0.5152666666666561,-0.5152666666666561,0.5152666666666561,-0.04526666666665613,-0.12473333333334391,0.545,0.13999999999999999,-0.4282916666666601,0.06269124999998876,0.31939958333332874,1999-09-16,19.17808219178082,8,60.30321236559125,0.8045470650890713,0.7769813051028015,0.7769813051028015,0.9034462589466572,0.7987306981361517,0.8986396022603667,2.206675120477952,1.7625391595390312
8,2018-11-17,Brady Tkachuk,home,Ottawa Senators,Pittsburgh Penguins,L,11.966666666667,1,0,0,0.35,0,0,0,0,0,1,0,0.36,0.45,20182019,0.437933333333344,0.437933333333344,0.437933333333344,0.437933333333344,0.5620666666666561,0.437933333333344,-0.07793333333334401,-0.012066666666656012,0.925,0.0,0.17629166666665996,0.30304125000001136,1.4043329166666711,1999-09-16,19.183561643835617,9,95.30106182795714,0.7753876877963706,0.8136000108212093,0.8136000108212093,0.8954953704434085,0.7931774875472536,0.8894773773789703,2.1999470634873406,1.7449484845538472
9,2018-11-19,Brady Tkachuk,home,Ottawa Senators,Florida Panthers,L,20.133333333333,1,0,0,0.27,0,1,1,1,0,1,2,0.53,0.32,20182019,0.699266666666656,0.699266666666656,0.699266666666656,0.699266666666656,0.30073333333334396,-1.300733333333344,-0.16926666666665602,0.37926666666665604,0.885,0.01,0.11920833333334002,-0.07165875000001143,0.9425495833333286,1999-09-16,19.18904109589041,10,80.40482526881705,0.8111752694525144,0.8208283103592741,0.8208283103592741,0.9284728635078561,0.7876499869810931,0.8803466140047654,2.1932705480354504,1.7275295186061375
