,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2018-12-08,Conor Garland,home,Arizona Coyotes,San Jose Sharks,R,10.5,0,0,0,0.06,0,0,0,0,0,0,1,0.16,0.49,20182019,0.391,0.391,0.391,0.391,-0.391,-0.609,-0.231,-0.09899999999999998,0.03,0.0,-0.544375,-0.25261875,-0.76699375,1996-03-11,22.75890410958904,1,25.258266129032258,0.0,-0.07209677343166387,-0.07209677343166387,-0.07734546685596787,0.16086011531482372,0.15271731332257343,1.0382407419491935,0.1670115254744954
1,2018-12-11,Conor Garland,away,Arizona Coyotes,Boston Bruins,R,12.5,0,0,0,0.09,0,0,0,1,0,1,0,0.9,0.35,20182019,0.455,0.455,0.455,0.455,0.5449999999999999,0.455,0.445,0.10500000000000004,0.045,0.01,0.5031249999999999,0.49128125000000006,1.04940625,1996-03-11,22.767123287671232,2,83.85181451612902,-0.07239754080443483,0.025214631121331335,0.025214631121331335,0.027582441575344424,0.17295607892776885,0.16654071905846318,1.0377841166376385,0.17949107158716426
2,2018-12-13,Conor Garland,away,Arizona Coyotes,Buffalo Sabres,R,16.55,0,0,0,0.2,1,0,1,1,0,0,0,0.58,0.37,20182019,0.5846000000000001,0.5846000000000001,0.5846000000000001,0.5846000000000001,-0.5846000000000001,0.5846000000000001,-0.0046000000000001595,0.21460000000000012,0.15000000000000002,0.16,-0.4028750000000001,0.5957912500000001,0.5029162500000001,1996-03-11,22.77260273972603,3,66.22310483870967,0.02486550292737195,0.06376445690321222,0.06376445690321222,0.07176213272377817,0.18490234629578428,0.18021270184076302,1.0374815440416587,0.19183277173187574
3,2018-12-14,Conor Garland,away,Arizona Coyotes,New York Rangers,R,15.583333333333,0,0,0,0.82,0,0,0,0,0,0,0,0.24,0.13,20182019,0.553666666666656,0.553666666666656,0.553666666666656,0.553666666666656,-0.553666666666656,0.553666666666656,-0.313666666666656,0.423666666666656,0.41,0.0,-0.59604166666666,0.9707312499999885,0.7846895833333285,1996-03-11,22.775342465753425,4,75.31256720430092,0.06314089070206533,0.11822295626308287,0.11822295626308287,0.13417297404167752,0.19666251908553511,0.1936995514981165,1.037330809574662,0.20400409013599058
4,2018-12-16,Conor Garland,away,Arizona Coyotes,Carolina Hurricanes,R,10.533333333333,0,0,0,0.09,0,0,0,0,0,0,0,0.37,0.19,20182019,0.39206666666665596,0.39206666666665596,0.39206666666665596,0.39206666666665596,-0.39206666666665596,0.39206666666665596,-0.022066666666655965,0.20206666666665596,0.045,0.0,-0.41379166666666,0.6960212499999885,0.32722958333332847,1996-03-11,22.78082191780822,5,60.55579301075253,0.11672407428252732,0.1330853687868028,0.1330853687868028,0.13833249753639748,0.2082100171233478,0.20697699755903753,1.0370304418929785,0.21592012606397
5,2018-12-18,Conor Garland,home,Arizona Coyotes,New York Islanders,R,13.516666666667,0,0,0,0.37,1,0,0,0,0,0,1,0.52,1.16,20182019,0.487533333333344,0.487533333333344,0.487533333333344,0.487533333333344,-0.487533333333344,-0.512466666666656,0.03246666666665604,-0.6724666666666559,0.235,0.0,-0.37970833333334,-1.2884487499999886,-1.4331570833333287,1996-03-11,22.786301369863015,6,3.7691263440861746,0.13132765433499263,0.027721694295174293,0.027721694295174293,0.03064616302776675,0.21952701290946114,0.22002914229548637,1.0367315393477776,0.2275905780220451
6,2018-12-20,Conor Garland,home,Arizona Coyotes,Montreal Canadiens,R,10.283333333333,0,0,0,0.19,1,0,0,0,0,0,0,0.79,0.18,20182019,0.38406666666665595,0.38406666666665595,0.38406666666665595,0.38406666666665595,-0.38406666666665595,0.38406666666665595,0.4059333333333441,0.20406666666665596,0.14500000000000002,0.0,-0.14629166666665994,0.7044712499999886,0.7031795833333286,1996-03-11,22.791780821917808,7,72.68321236559125,0.02947141114432519,0.0708973087578566,0.0708973087578566,0.07646997813435523,0.23060319915004635,0.23284724690111752,1.0364340981145608,0.23900501873341073
7,2018-12-22,Conor Garland,home,Arizona Coyotes,Colorado Avalanche,R,9.4,1,0,0,0.07,0,0,0,0,0,1,0,0.15,0.34,20182019,0.3558,0.3558,0.3558,0.3558,0.6442,0.3558,-0.2058,0.01579999999999998,0.785,0.0,0.09637499999999999,0.40226124999999996,1.28363625,1996-03-11,22.797260273972604,8,91.40762096774193,0.0708001197595301,0.14484391736123536,0.14484391736123536,0.15987168577480657,0.24143452660894874,0.24542850021569357,1.036138114386479,0.2501595151483883
8,2018-12-23,Conor Garland,away,Arizona Coyotes,San Jose Sharks,R,12.166666666667,1,0,0,0.11,0,1,0,0,0,1,0,0.28,0.56,20182019,0.444333333333344,0.444333333333344,0.444333333333344,0.444333333333344,0.555666666666656,0.444333333333344,-0.164333333333344,-0.11566666666665604,0.805,-0.15,0.12229166666666003,0.12288125000001127,0.9001729166666713,1996-03-11,22.8,9,79.03783602150553,0.1411538749232037,0.188932702400292,0.188932702400292,0.19740719606339138,0.2520220020195838,0.2577748537340685,1.0359906679019932,0.2610924421982661
9,2018-12-27,Conor Garland,away,Arizona Coyotes,Los Angeles Kings,R,11.683333333333,0,0,1,0.22,0,0,0,0,0,0,0,0.21,0.35,20182019,0.428866666666656,0.428866666666656,0.428866666666656,0.428866666666656,-0.428866666666656,0.428866666666656,-0.21886666666665602,0.07886666666665604,0.66,0.0,-0.53679166666666,0.46335124999998867,0.5865595833333287,1996-03-11,22.81095890410959,10,68.92127688172027,0.18284392509440325,0.2112217735757726,0.2112217735757726,0.23350303292274577,0.26237059836052745,0.2698919709152096,1.0354045068262674,0.2716597000011946
10,2018-12-29,Conor Garland,away,Arizona Coyotes,Anaheim Ducks,R,11.533333333333,0,0,1,0.41,0,0,0,0,1,1,0,1.09,0.07,20182019,0.424066666666656,0.424066666666656,0.424066666666656,0.424066666666656,0.5759333333333441,0.424066666666656,0.6659333333333441,0.354066666666656,0.755,-0.01,0.6412083333333402,0.9342212499999886,2.3204295833333286,1996-03-11,22.816438356164383,11,124.85256720430093,0.20401658920252644,0.32509353567795063,0.32509353567795063,0.36541098396196997,0.2724883023668838,0.28178831280158545,1.0351135946389216,0.2820563461600425
11,2018-12-30,Conor Garland,home,Arizona Coyotes,Vegas Golden Knights,R,14.683333333333,0,0,0,0.2,0,0,0,0,0,0,1,0.29,0.75,20182019,0.524866666666656,0.524866666666656,0.524866666666656,0.524866666666656,-0.524866666666656,-0.47513333333334395,-0.23486666666665607,-0.22513333333334395,0.1,0.0,-0.5467916666666601,-0.5515487500000115,-0.9983404166666716,1996-03-11,22.81917808219178,12,17.795470430107365,0.30986299820138324,0.25609738493356565,0.25609738493356565,0.27149981878677787,0.2823614775046421,0.29345069224892667,1.0349686789987047,0.2922352853731019
12,2019-01-02,Conor Garland,home,Arizona Coyotes,Edmonton Oilers,R,12.6,0,0,0,0.05,1,2,1,0,0,0,0,0.05,0.15,20182019,0.4582,0.4582,0.4582,0.4582,-0.4582,0.4582,-0.4082,0.30820000000000003,0.07500000000000001,-0.15,-0.655125,0.83470125,0.10457625000000004,1996-03-11,22.827397260273973,13,53.37342741935484,0.24743979991901788,0.24845075601821903,0.24845075601821903,0.2737455544410169,0.2919008874463636,0.30478970835813773,1.0345360883210428,0.301982002276202
