,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2021-01-26,Drew O'Connor,away,Pittsburgh Penguins,Boston Bruins,L,10.85,0,0,1,0.0,0,0,0,1,0,1,0,0.31,0.62,20202021,0.4022,0.4022,0.4022,0.4022,0.5978,0.4022,-0.0922,-0.2178,0.55,0.01,0.16737499999999994,-0.02414874999999994,0.70322625,1998-06-09,22.649315068493152,1,72.68471774193549,0.0,0.06610268156350507,0.06610268156350507,0.06786278771781108,0.05496815114935589,0.055773674753756344,1.0446527111422046,0.05742262812464912
1,2021-01-28,Drew O'Connor,away,Pittsburgh Penguins,Boston Bruins,L,11.333333333333,0,0,0,0.06,0,0,1,0,0,0,0,0.12,0.06,20202021,0.417666666666656,0.417666666666656,0.417666666666656,0.417666666666656,-0.417666666666656,0.417666666666656,-0.297666666666656,0.357666666666656,0.03,0.15,-0.58604166666666,0.9443812499999885,0.5383395833333284,1998-06-09,22.654794520547945,2,67.36579301075253,0.0663784432782206,0.10707808263943132,0.10707808263943132,0.11110439223260636,0.05392545272264044,0.05554957377113683,1.0443175478330982,0.05631529655309753
2,2021-01-30,Drew O'Connor,away,Pittsburgh Penguins,New York Rangers,L,13.85,0,0,0,0.22,0,0,0,0,0,0,0,0.25,0.22,20202021,0.4982,0.4982,0.4982,0.4982,-0.4982,0.4982,-0.24819999999999998,0.2782,0.11,0.0,-0.555125,0.75845125,0.31332625000000003,1998-06-09,22.660273972602738,3,60.107298387096776,0.10722732015927496,0.12372200973820376,0.12372200973820376,0.12799298892469477,0.05664183285679121,0.0593591796305484,1.0439839427062074,0.05913316398793889
3,2021-02-01,Drew O'Connor,away,Pittsburgh Penguins,New York Rangers,L,8.9166666666667,0,0,0,0.02,0,0,0,0,0,0,0,0.03,0.47,20202021,0.3403333333333344,0.3403333333333344,0.3403333333333344,0.3403333333333344,-0.3403333333333344,0.3403333333333344,-0.31033333333333435,-0.1296666666666656,0.01,0.0,-0.593958333333334,0.16473125000000116,-0.41922708333333286,1998-06-09,22.665753424657535,4,36.476545698924745,0.12370229756450823,0.08270777434333734,0.08270777434333734,0.08714042059081299,0.06120783385110536,0.06510039667302309,1.0436518915049344,0.06387967157362587
4,2021-02-06,Drew O'Connor,away,Pittsburgh Penguins,New York Islanders,L,7.1166666666667,0,0,0,0.14,0,0,0,0,0,0,1,0.34,0.21,20202021,0.2827333333333344,0.2827333333333344,0.2827333333333344,0.2827333333333344,-0.2827333333333344,-0.7172666666666656,0.05726666666666563,0.0727333333333344,0.07,0.0,-0.364208333333334,0.1076712500000011,-0.1865370833333329,1998-06-09,22.67945205479452,5,43.98267473118281,0.0833722483511264,0.0635618352849743,0.0635618352849743,0.06717446428203054,0.06488280224838479,0.06975539861686424,1.0428285341717274,0.06766163756163716
5,2021-02-11,Drew O'Connor,away,Pittsburgh Penguins,New York Islanders,L,7.8,0,0,0,0.1,0,0,0,0,0,0,1,0.15,0.35,20202021,0.3046,0.3046,0.3046,0.3046,-0.3046,-0.6954,-0.1546,-0.045399999999999996,0.05,0.0,-0.496625,-0.10695874999999999,-0.55358375,1998-06-09,22.693150684931506,6,32.14245967741935,0.06454263403981329,0.02204544906144206,0.02204544906144206,0.02289215695078549,0.0703473299795762,0.0763592521845993,1.0420147967899631,0.07330295875338458
6,2021-02-18,Drew O'Connor,home,Pittsburgh Penguins,New York Islanders,L,6.35,0,0,0,0.0,0,0,0,0,0,0,0,0.04,0.21,20202021,0.2582,0.2582,0.2582,0.2582,-0.2582,0.2582,-0.21819999999999998,0.04819999999999999,0.0,0.0,-0.536375,0.51895125,-0.01742375000000007,1998-06-09,22.71232876712329,7,49.437943548387096,0.023871503297102463,0.019522557628114782,0.019522557628114782,0.01971557668129333,0.07975830978584157,0.08734818212428248,1.0408916025585238,0.08301975489034383
7,2021-02-20,Drew O'Connor,home,Pittsburgh Penguins,New York Islanders,L,6.8333333333333,0,0,0,0.0,2,0,0,0,1,0,0,0.21,0.1,20202021,0.2736666666666656,0.2736666666666656,0.2736666666666656,0.2736666666666656,-0.2736666666666656,0.2736666666666656,-0.06366666666666562,0.1736666666666656,0.1,-0.01,-0.439791666666666,0.7224812499999989,0.37268958333333285,1998-06-09,22.71780821917808,8,62.0222446236559,0.02128997958984209,0.0410568738220802,0.0410568738220802,0.04170441821451655,0.09449289416879617,0.10519735577378404,1.0405741051185626,0.09832685878975811
8,2021-02-25,Drew O'Connor,away,Pittsburgh Penguins,Washington Capitals,L,10.083333333333,0,0,0,0.1,0,1,0,0,0,0,1,0.37,0.41,20202021,0.377666666666656,0.377666666666656,0.377666666666656,0.377666666666656,-0.377666666666656,-0.6223333333333441,-0.007666666666655997,-0.03233333333334398,0.05,-0.15,-0.40479166666666,-0.1308687500000113,-0.6356604166666713,1998-06-09,22.731506849315068,9,29.494825268817056,0.04203924424327308,0.0015566783046211535,0.0015566783046211535,0.0016095426334470973,0.11640069635778283,0.13376373787165524,1.0397869607611112,0.12103192629633595
9,2021-03-27,Drew O'Connor,home,Pittsburgh Penguins,New York Islanders,L,6.4,0,0,0,0.02,0,0,0,0,0,0,0,0.05,0.07,20202021,0.25980000000000003,0.25980000000000003,0.25980000000000003,0.25980000000000003,-0.25980000000000003,0.25980000000000003,-0.20980000000000004,0.18980000000000002,0.01,0.0,-0.5311250000000001,0.7586612500000001,0.23753625,1998-06-09,22.813698630136987,10,57.662459677419356,0.00391198863689914,0.01478457038559821,0.01478457038559821,0.01398421794330227,0.14308225036637487,0.1688028059293465,1.0352588704262207,0.14812716889233493
10,2021-10-12,Drew O'Connor,away,Pittsburgh Penguins,Tampa Bay Lightning,L,9.2166666666667,0,0,1,0.19,2,0,0,0,0,1,0,0.46,0.12,20212022,0.34993333333333443,0.34993333333333443,0.34993333333333443,0.34993333333333443,0.6500666666666656,0.34993333333333443,0.11006666666666559,0.22993333333333443,0.745,0.0,0.293791666666666,0.7699912500000011,1.8087829166666674,1998-06-09,23.35890410958904,11,108.3478360215054,0.01704761539864638,0.1116388262604143,0.1116388262604143,0.13811701108738017,0.17151804580005975,0.20509386096131185,1.012904549589264,0.17373140892754027
11,2021-10-16,Drew O'Connor,home,Pittsburgh Penguins,Chicago Blackhawks,L,10.433333333333,1,1,0,0.23,0,0,0,0,0,2,0,0.59,0.07,20212022,0.388866666666656,0.388866666666656,0.388866666666656,0.388866666666656,1.611133333333344,0.388866666666656,0.201133333333344,0.318866666666656,1.565,0.0,0.9757083333333397,0.8966012499999886,3.4373095833333283,1998-06-09,23.36986301369863,12,160.88095430107512,0.1531435502684343,0.2850199613557338,0.2850199613557338,0.40130370891262057,0.20235124457416973,0.24244846758480365,1.0125801095006874,0.20489684538851316
12,2021-10-19,Drew O'Connor,home,Pittsburgh Penguins,Dallas Stars,L,9.8166666666667,0,0,0,0.03,0,0,0,0,0,0,0,0.12,0.15,20212022,0.3691333333333344,0.3691333333333344,0.3691333333333344,0.3691333333333344,-0.3691333333333344,0.3691333333333344,-0.24913333333333443,0.21913333333333443,0.015,0.0,-0.555708333333334,0.7395112500000012,0.19880291666666716,1998-06-09,23.378082191780823,13,56.41299731182797,0.3866408498868601,0.280668952849863,0.280668952849863,0.3361497153436682,0.2379050775017219,0.2831030040811118,1.0123397694222394,0.24084077130247314
13,2021-10-23,Drew O'Connor,home,Pittsburgh Penguins,Toronto Maple Leafs,L,14.583333333333,2,0,0,0.56,1,1,0,2,7,3,0,1.16,0.26,20212022,0.5216666666666561,0.5216666666666561,0.5216666666666561,0.5216666666666561,2.478333333333344,0.5216666666666561,0.6383333333333439,0.26166666666665606,1.83,-0.2,1.87395833333334,0.7155312499999886,4.2194895833333295,1998-06-09,23.389041095890413,14,186.11256720430094,0.3741056281055211,0.4735100325409241,0.4735100325409241,0.5089197015549288,0.27503680686748083,0.32387735663045625,1.0120232874612396,0.27834365345886997
14,2021-10-26,Drew O'Connor,home,Pittsburgh Penguins,Tampa Bay Lightning,L,12.833333333333,0,0,0,0.18,0,0,0,1,4,0,2,0.37,0.57,20212022,0.465666666666656,0.465666666666656,0.465666666666656,0.465666666666656,-0.465666666666656,-1.534333333333344,-0.09566666666665602,-0.10433333333334394,0.09,-0.03,-0.45979166666666005,-0.7463187500000114,-1.1461104166666713,1998-06-09,23.397260273972602,15,13.028696236558986,0.616397889912186,0.396425188169971,0.396425188169971,0.4758472601568247,0.3100200188721214,0.36121081280464784,1.0117888943307547,0.3136748121150234
15,2021-10-28,Drew O'Connor,home,Pittsburgh Penguins,Calgary Flames,L,14.3,0,0,0,0.32,0,0,1,6,4,0,1,0.74,0.42,20212022,0.5126000000000001,0.5126000000000001,0.5126000000000001,0.5126000000000001,-0.5126000000000001,-0.48739999999999994,0.22739999999999994,0.09260000000000007,0.16,0.16999999999999998,-0.2578750000000001,-0.003658749999999933,0.06846624999999995,1998-06-09,23.4027397260274,16,52.208588709677414,0.5113631244633985,0.38122268868532394,0.38122268868532394,0.42727441197617694,0.33959843008427215,0.39179797523726706,1.011634041367295,0.34354933226814105
16,2021-10-30,Drew O'Connor,home,Pittsburgh Penguins,New Jersey Devils,L,5.9833333333333,0,0,0,0.0,0,0,0,0,0,0,0,0.11,0.16,20212022,0.24646666666666558,0.24646666666666558,0.24646666666666558,0.24646666666666558,-0.24646666666666558,0.24646666666666558,-0.13646666666666557,0.08646666666666558,0.0,0.0,-0.485291666666666,0.5914112499999988,0.10611958333333282,1998-06-09,23.40821917808219,17,53.42321236559138,0.4863637346303764,0.3687807925505651,0.3687807925505651,0.4046701070108291,0.35856405773306044,0.4098390401589818,1.0114803129985737,0.3626804853458746
17,2021-11-04,Drew O'Connor,home,Pittsburgh Penguins,Philadelphia Flyers,L,10.683333333333,0,0,0,0.02,0,0,0,1,0,0,0,0.28,0.63,20212022,0.396866666666656,0.396866666666656,0.396866666666656,0.396866666666656,-0.396866666666656,0.396866666666656,-0.11686666666665596,-0.23313333333334402,0.01,0.01,-0.47304166666666003,-0.04684875000001132,-0.49989041666667133,1998-06-09,23.421917808219177,18,33.874502688171894,0.4659740083754598,0.33038866759599056,0.33038866759599056,0.37803639519219084,0.36366764019346637,0.4116043693935445,1.0111008970666795,0.3677046772337363
18,2021-11-06,Drew O'Connor,home,Pittsburgh Penguins,Minnesota Wild,L,10.483333333333,0,0,0,0.24,1,1,0,0,1,0,0,0.63,0.03,20212022,0.390466666666656,0.390466666666656,0.390466666666656,0.390466666666656,-0.390466666666656,0.390466666666656,0.23953333333334398,0.36046666666665605,0.16999999999999998,-0.16,-0.2502916666666601,0.9663112499999886,0.7260195833333285,1998-06-09,23.427397260273974,19,73.41998655913963,0.416370499389848,0.3475015093083576,0.3475015093083576,0.3879218047040564,0.3570714776992495,0.3990106982610039,1.0109510866808769,0.3609817984028028
19,2021-11-09,Drew O'Connor,away,Pittsburgh Penguins,Chicago Blackhawks,L,9.3,0,0,0,0.15,0,0,0,0,0,0,0,0.44,0.1,20212022,0.3526,0.3526,0.3526,0.3526,-0.3526,0.3526,0.08739999999999998,0.25260000000000005,0.075,0.0,-0.34537500000000004,0.80684125,0.5364662499999999,1998-06-09,23.435616438356163,20,67.3053629032258,0.43155122794032047,0.3555120415112967,0.3555120415112967,0.45211409531223146,0.34441585907081324,0.3771603620491748,1.0107284596952004,0.3481109107332423
20,2021-11-11,Drew O'Connor,home,Pittsburgh Penguins,Florida Panthers,L,11.566666666667,0,0,0,0.0,0,0,0,0,2,0,0,0.31,0.46,20212022,0.425133333333344,0.425133333333344,0.425133333333344,0.425133333333344,-0.425133333333344,0.425133333333344,-0.11513333333334402,-0.034866666666656,0.0,-0.02,-0.47195833333334003,0.2723612500000114,-0.21959708333332867,1998-06-09,23.44109589041096,21,42.91622311827972,0.43648120061317175,0.3315876483600121,0.3315876483600121,0.3600328976207472,0.33202868326378887,0.3556869378044986,1.0105814308047816,0.3355420218009474
21,2021-11-13,Drew O'Connor,away,Pittsburgh Penguins,Ottawa Senators,L,13.233333333333,0,0,0,0.08,1,0,0,0,0,0,1,0.26,0.56,20212022,0.478466666666656,0.478466666666656,0.478466666666656,0.478466666666656,-0.478466666666656,-0.5215333333333441,-0.21846666666665598,-0.08153333333334406,0.09,0.0,-0.53654166666666,-0.27813875000001154,-0.7246804166666716,1998-06-09,23.446575342465753,22,26.62321236559124,0.4069280954597378,0.28841609313200406,0.28841609313200406,0.34018387471406986,0.3232931413835093,0.34122945118036935,1.0104355105709144,0.326666870377921
22,2021-12-04,Drew O'Connor,away,Pittsburgh Penguins,Vancouver Canucks,L,8.6666666666667,0,0,0,0.09,0,0,0,2,4,0,0,0.31,0.13,20212022,0.33233333333333437,0.33233333333333437,0.33233333333333437,0.33233333333333437,-0.33233333333333437,0.33233333333333437,-0.02233333333333437,0.20233333333333436,0.045,-0.02,-0.413958333333334,0.7341812500000011,0.34522291666666716,1998-06-09,23.504109589041096,23,61.13622311827959,0.35797334948280035,0.290699820361869,0.290699820361869,0.33140598390994425,0.31495600757358977,0.3293715255391688,1.008969726024799,0.3177810766713894
23,2021-12-06,Drew O'Connor,away,Pittsburgh Penguins,Seattle Kraken,L,10.25,0,0,0,0.13,0,0,0,2,5,0,1,0.58,0.14,20212022,0.383,0.383,0.383,0.383,-0.383,-0.617,0.19699999999999995,0.243,0.065,-0.03,-0.27687500000000004,0.33383124999999997,0.09195624999999993,1998-06-09,23.50958904109589,24,52.966330645161285,0.35742393379919446,0.28283277601740076,0.28283277601740076,0.3260701161068868,0.30887598189553406,0.3186787264027627,1.0088363968982723,0.31160533266390655
24,2021-12-10,Drew O'Connor,away,Pittsburgh Penguins,Washington Capitals,L,5.8,0,0,0,0.17,0,0,0,0,0,0,0,0.27,0.1,20212022,0.24059999999999998,0.24059999999999998,0.24059999999999998,0.24059999999999998,-0.24059999999999998,0.24059999999999998,0.029400000000000037,0.14059999999999997,0.085,0.0,-0.381625,0.6871412499999999,0.39051624999999995,1998-06-09,23.52054794520548,25,62.59729838709677,0.3464172835482058,0.2870339122066056,0.2870339122066056,0.3028804122921122,0.3068877399195017,0.3118245817928163,1.0085729806219919,0.30951868256695847
25,2021-12-11,Drew O'Connor,home,Pittsburgh Penguins,Anaheim Ducks,L,9.7166666666667,0,0,0,0.23,0,0,0,0,0,0,0,0.82,0.17,20212022,0.36593333333333444,0.36593333333333444,0.36593333333333444,0.36593333333333444,-0.36593333333333444,0.36593333333333444,0.4540666666666655,0.19593333333333443,0.115,0.0,-0.11620833333333414,0.7020912500000012,0.700882916666667,1998-06-09,23.523287671232875,26,72.60912634408604,0.34818581092725526,0.30296169311427756,0.30296169311427756,0.33452588969377073,0.30744039756744135,0.30941858600417627,1.0085078004210364,0.31005603911130925
26,2021-12-14,Drew O'Connor,home,Pittsburgh Penguins,Montreal Canadiens,L,11.183333333333,0,0,0,0.14,1,0,0,0,0,1,0,0.48,0.13,20212022,0.412866666666656,0.412866666666656,0.412866666666656,0.412866666666656,0.5871333333333439,0.412866666666656,0.06713333333334398,0.282866666666656,0.12000000000000001,0.0,0.26695833333333996,0.8202512499999886,1.2072095833333285,1998-06-09,23.53150684931507,27,88.94224462365577,0.361809839970251,0.33732279536568616,0.33732279536568616,0.3932408676044348,0.3071302879604925,0.31069515884592075,1.0083138728902308,0.309683730135336
27,2021-12-17,Drew O'Connor,home,Pittsburgh Penguins,Buffalo Sabres,L,9.95,0,0,0,0.28,0,0,1,2,0,0,1,0.66,0.41,20212022,0.37339999999999995,0.37339999999999995,0.37339999999999995,0.37339999999999995,-0.37339999999999995,-0.6266,0.2866000000000001,-0.03660000000000002,0.14,0.16999999999999998,-0.220875,-0.1354287500000001,-0.04630375000000009,1998-06-09,23.53972602739726,28,48.506330645161285,0.39342530622764343,0.32291820237083596,0.32291820237083596,0.36935574420888234,0.30236144139131294,0.31464149279968323,1.0081223594724165,0.30481732970889114
28,2021-12-19,Drew O'Connor,away,Pittsburgh Penguins,New Jersey Devils,L,6.95,0,0,0,0.14,0,0,0,0,1,1,1,0.39,0.29,20212022,0.27740000000000004,0.27740000000000004,0.27740000000000004,0.27740000000000004,0.7225999999999999,-0.7225999999999999,0.11259999999999998,-0.012599999999999945,0.07,-0.01,0.29537499999999994,-0.03402874999999994,0.32134625,1998-06-09,23.545205479452054,29,60.36600806451613,0.377485818019714,0.3228598351951909,0.3228598351951909,0.3581504592312934,0.2938773248975253,0.3190880613854468,1.0079960215623402,0.2962271743240888
29,2022-01-02,Drew O'Connor,home,Pittsburgh Penguins,San Jose Sharks,L,14.95,0,0,0,0.29,0,0,0,2,6,0,1,0.9,0.53,20212022,0.5334,0.5334,0.5334,0.5334,-0.5334,-0.4666,0.36660000000000004,0.0033999999999999586,0.145,-0.04,-0.170875,-0.16842875000000013,-0.23430375000000014,1998-06-09,23.583561643835615,30,42.44181451612903,0.3755147843271383,0.30238820687563367,0.30238820687563367,0.32811966457263686,0.28519469266163255,0.3236427498721901,1.0071414381602284,0.28723139292290095
