,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,RoundAge,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2022-02-19,J.J. Moser,home,Arizona Coyotes,Los Angeles Kings,D,17.683333333333,0,0,1,0.06,1,0,0,0,0,2,1,0.67,1.36,20212022,0.620866666666656,0.620866666666656,0.620866666666656,0.620866666666656,1.379133333333344,-0.379133333333344,0.04913333333334402,-0.7391333333333441,0.6300000000000001,0.0,0.5011333333333443,-1.7605041666666816,-0.6293708333333372,2000-06-06,21.720547945205478,21.0,1,29.697715053763314,0.0,-0.05916033393405239,-0.05916033393405239,-0.058057055959498796,-0.053241231051809515,-0.05511884695862896,1.12837177786081,-0.0471841214894131
1,2022-02-20,J.J. Moser,home,Arizona Coyotes,Dallas Stars,D,16.233333333333,0,0,0,0.01,0,0,1,0,0,0,1,0.38,0.44,20212022,0.574466666666656,0.574466666666656,0.574466666666656,0.574466666666656,-0.574466666666656,-0.425533333333344,-0.19446666666665602,0.13446666666665602,0.005,0.15,-0.716466666666656,0.28879583333331804,-0.27267083333333797,2000-06-06,21.723287671232878,21.0,2,41.20416666666652,-0.0594071341355408,-0.07768637100150566,-0.07768637100150566,-0.07996902219005511,-0.07291465043305252,-0.07374733871707403,1.1280302981887518,-0.06463891133964188
2,2022-02-23,J.J. Moser,home,Arizona Coyotes,Los Angeles Kings,D,19.516666666667,0,0,1,0.0,2,0,1,0,0,1,1,0.49,0.89,20212022,0.6795333333333441,0.6795333333333441,0.6795333333333441,0.6795333333333441,0.3204666666666559,-0.3204666666666559,-0.1895333333333441,-0.21046666666665592,0.65,0.15,-0.24553333333334404,-0.5951708333333177,-0.040704166666661656,2000-06-06,21.731506849315068,21.0,3,48.68696236559156,-0.07783324236109324,-0.07470196090575454,-0.07470196090575454,-0.07275655864663241,-0.0931371840277514,-0.09276628236622171,1.1270099008914063,-0.08264096345035188
3,2022-02-25,J.J. Moser,home,Arizona Coyotes,Vegas Golden Knights,D,18.533333333333,0,0,0,0.06,1,0,0,0,0,1,0,0.48,1.19,20212022,0.6480666666666561,0.6480666666666561,0.6480666666666561,0.6480666666666561,0.35193333333334387,0.6480666666666561,-0.16806666666665615,-0.5419333333333438,0.08,0.0,-0.2300666666666561,-0.7554041666666815,-0.9054708333333377,2000-06-06,21.736986301369864,21.0,4,20.791263440860074,-0.07486479619968274,-0.13745802869788415,-0.13745802869788415,-0.13580969120873948,-0.11395617233031292,-0.11223359783798037,1.126332991502064,-0.10117449563325173
4,2022-02-27,J.J. Moser,home,Arizona Coyotes,Winnipeg Jets,D,19.866666666667,0,0,0,0.14,1,0,0,0,0,0,1,1.15,1.5,20212022,0.6907333333333441,0.6907333333333441,0.6907333333333441,0.6907333333333441,-0.6907333333333441,-0.3092666666666559,0.45926666666665583,-0.8092666666666559,0.12000000000000001,0.0,0.3992666666666558,-1.982070833333318,-1.462804166666662,2000-06-06,21.742465753424657,21.0,5,2.81276881720445,-0.13657280597738475,-0.23170308358119507,-0.23170308358119507,-0.23598022025671025,-0.1352329682045321,-0.13180153663222552,1.1256587547767736,-0.12013673560540981
5,2022-03-03,J.J. Moser,home,Arizona Coyotes,Colorado Avalanche,D,17.15,0,0,1,0.01,1,0,0,0,0,1,0,0.8,0.66,20212022,0.6038,0.6038,0.6038,0.6038,0.3962,0.6038,0.19620000000000004,-0.05620000000000003,0.6050000000000001,0.0,0.32620000000000005,0.3999625,1.3311625,2000-06-06,21.753424657534246,21.0,6,92.94072580645161,-0.22861479845187682,-0.1265665765227158,-0.1265665765227158,-0.12321161268448037,-0.156758054810513,-0.15073912657358146,1.1243182594540142,-0.13942498353325425
6,2022-03-05,J.J. Moser,home,Arizona Coyotes,Ottawa Senators,D,15.433333333333,0,0,0,0.12,0,0,0,0,0,0,1,0.45,0.88,20212022,0.5488666666666561,0.5488666666666561,0.5488666666666561,0.5488666666666561,-0.5488666666666561,-0.45113333333334393,-0.09886666666665606,-0.33113333333334394,0.06,0.0,-0.5788666666666561,-0.7600041666666817,-1.2788708333333378,2000-06-06,21.75890410958904,21.0,7,8.746102150537489,-0.12666456259135322,-0.20022245521355272,-0.20022245521355272,-0.20845666204212296,-0.1785881839286407,-0.1694473913669969,1.1236519810623995,-0.15893549509856933
7,2022-03-08,J.J. Moser,away,Arizona Coyotes,Detroit Red Wings,D,17.516666666667,0,1,0,0.0,0,0,0,0,0,3,0,0.69,0.43,20212022,0.615533333333344,0.615533333333344,0.615533333333344,0.615533333333344,2.384466666666656,0.615533333333344,0.07446666666665591,0.18553333333334404,0.7,0.0,0.9384666666666559,0.9458291666666822,2.584295833333338,2000-06-06,21.767123287671232,21.0,8,133.36438172043026,-0.19760837428564093,-0.030436793163953757,-0.030436793163953757,-0.03151043579117457,-0.20079343641853997,-0.18858338694654486,1.1226574974382253,-0.17885547183956585
8,2022-03-10,J.J. Moser,away,Arizona Coyotes,Toronto Maple Leafs,D,20.466666666667,0,0,0,0.08,4,0,0,0,0,0,2,0.42,1.09,20212022,0.7099333333333441,0.7099333333333441,0.7099333333333441,0.7099333333333441,-0.7099333333333441,-1.290066666666656,-0.2899333333333441,-0.380066666666656,0.24000000000000002,0.0,-0.7879333333333441,-1.586470833333318,-2.134404166666662,2000-06-06,21.77260273972603,21.0,9,-18.851747311827808,-0.03538293603414377,-0.15324601317913705,-0.15324601317913705,-0.14614808530932566,-0.22336854790133304,-0.2085145272318382,1.121997783449416,-0.19908109552107986
9,2022-03-12,J.J. Moser,away,Arizona Coyotes,Boston Bruins,D,18.233333333333,0,0,0,0.04,1,1,0,0,0,0,1,0.56,1.06,20212022,0.6384666666666561,0.6384666666666561,0.6384666666666561,0.6384666666666561,-0.6384666666666561,-0.3615333333333439,-0.07846666666665603,-0.421533333333344,0.07,-0.15,-0.49246666666665595,-1.045204166666682,-1.6176708333333378,2000-06-06,21.778082191780822,21.0,10,-2.182930107527028,-0.1514596491380996,-0.23533470137588464,-0.23533470137588464,-0.22557105590117013,-0.2476213308782988,-0.23021605509319468,1.1213406782345503,-0.22082613757324512
