,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,RoundAge,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2021-12-16,Jack Drury,home,Carolina Hurricanes,Detroit Red Wings,C,16.083333333333,1,0,0,0.45,2,1,0,6,2,1,0,0.69,0.41,20212022,0.5696666666666561,0.5696666666666561,0.5696666666666561,0.5696666666666561,0.4303333333333439,0.5696666666666561,0.12033333333334384,0.15966666666665613,1.075,-0.10999999999999999,0.30020833333333996,0.5118312499999887,1.7770395833333286,2000-02-03,21.882191780821916,21.0,1,107.32385752688157,0.0,0.16704024018276728,0.16704024018276728,0.18839305795311778,0.24445548029150502,0.25183332531468616,1.1093388524663312,0.271183961985684
1,2021-12-18,Jack Drury,home,Carolina Hurricanes,Los Angeles Kings,C,15.833333333333,1,0,0,0.32,0,0,0,6,1,2,0,0.68,0.57,20212022,0.5616666666666561,0.5616666666666561,0.5616666666666561,0.5616666666666561,1.438333333333344,0.5616666666666561,0.11833333333334395,-0.00833333333334385,0.91,0.05,0.92395833333334,0.23128124999998878,2.115239583333329,2000-02-03,21.887671232876713,21.0,2,118.23353494623642,0.16773708487907565,0.33608304298423075,0.33608304298423075,0.3582073757654914,0.3013878656708391,0.3434272124063369,1.108731969475439,0.33415836188122844
2,2022-11-09,Jack Drury,away,Carolina Hurricanes,Florida Panthers,C,9.0666666666667,0,0,0,0.08,0,1,0,6,2,0,0,0.54,0.08,20222023,0.3451333333333344,0.3451333333333344,0.3451333333333344,0.3451333333333344,-0.3451333333333344,0.3451333333333344,0.19486666666666563,0.2651333333333344,0.04,-0.10999999999999999,-0.278208333333334,0.8328612500000011,0.4846529166666671,2000-02-03,22.78082191780822,22.0,3,65.63396505376346,0.33629606788266503,0.3480724156816439,0.3480724156816439,0.44181765110519694,0.3380203047580614,0.40526458147450456,1.0370304418929477,0.35053734601204123
3,2022-11-10,Jack Drury,home,Carolina Hurricanes,Edmonton Oilers,C,11.8,0,0,0,0.13,0,0,1,9,7,1,1,0.94,0.28,20222023,0.43260000000000004,0.43260000000000004,0.43260000000000004,0.43260000000000004,0.5673999999999999,-0.5673999999999999,0.5073999999999999,0.1526,0.065,0.16999999999999998,0.5421249999999999,0.14884124999999998,0.9259662499999999,2000-02-03,22.783561643835615,22.0,4,79.86987903225807,0.3568962638106026,0.39172636787795434,0.39172636787795434,0.45068131172739156,0.3583956675609066,0.44009301846389337,1.0368808077177212,0.3716135892630847
4,2022-11-12,Jack Drury,away,Carolina Hurricanes,Colorado Avalanche,C,12.9,0,0,0,0.02,0,1,0,6,1,0,1,0.06,0.57,20222023,0.4678,0.4678,0.4678,0.4678,-0.4678,-0.5322,-0.4078,-0.10219999999999996,0.01,-0.09999999999999999,-0.654875,-0.30653874999999997,-1.05141375,2000-02-03,22.78904109589041,22.0,5,16.08342741935484,0.4263968484965271,0.2891050105454749,0.2891050105454749,0.32665350967158274,0.3566234765045745,0.4510304671661639,1.0365826363054766,0.36966970344353606
5,2022-11-14,Jack Drury,away,Carolina Hurricanes,Chicago Blackhawks,C,11.866666666667,0,0,0,0.23,2,0,0,0,0,1,0,0.52,0.37,20222023,0.43473333333334396,0.43473333333334396,0.43473333333334396,0.43473333333334396,0.565266666666656,0.43473333333334396,0.08526666666665605,0.06473333333334397,0.21500000000000002,0.0,0.27829166666665994,0.43562125000001134,0.9289129166666713,2000-02-03,22.794520547945204,22.0,6,79.96493279569907,0.265007318761183,0.3321459279120497,0.3321459279120497,0.4043131581893995,0.33917167808952975,0.43490755592305186,1.0362859242995832,0.35147883592524903
6,2022-11-17,Jack Drury,home,Carolina Hurricanes,Colorado Avalanche,C,7.2666666666667,0,0,0,0.21,0,0,1,0,0,0,0,0.12,0.14,20222023,0.2875333333333344,0.2875333333333344,0.2875333333333344,0.2875333333333344,-0.2875333333333344,0.2875333333333344,-0.16753333333333442,0.1475333333333344,0.105,0.15,-0.504708333333334,0.6693012500000011,0.4195929166666671,2000-02-03,22.802739726027397,22.0,7,63.5352553763441,0.3305982752560665,0.33773558425282957,0.33773558425282957,0.3820048070577594,0.32921958709644394,0.39900152596581306,1.035843584374094,0.3410199971441397
7,2022-11-19,Jack Drury,away,Carolina Hurricanes,Minnesota Wild,C,8.7,0,0,0,0.04,0,0,0,0,0,0,0,0.22,0.11,20222023,0.3334,0.3334,0.3334,0.3334,-0.3334,0.3334,-0.11339999999999997,0.2234,0.02,0.0,-0.470875,0.76932125,0.31844625,2000-02-03,22.80821917808219,22.0,8,60.272459677419356,0.33864181190744175,0.3365594194561811,0.3365594194561811,0.38948086786230235,0.33625477377580726,0.3679915029918723,1.035550504305564,0.3482088005586905
8,2022-11-21,Jack Drury,away,Carolina Hurricanes,Winnipeg Jets,C,9.2166666666667,0,0,0,0.07,1,0,0,0,1,0,0,0.28,0.2,20222023,0.34993333333333443,0.34993333333333443,0.34993333333333443,0.34993333333333443,-0.34993333333333443,0.34993333333333443,-0.0699333333333344,0.14993333333333442,0.085,-0.01,-0.44370833333333404,0.6339912500000011,0.2652829166666671,2000-02-03,22.813698630136987,22.0,9,58.55751344086023,0.3369619234195009,0.33239898815708857,0.33239898815708857,0.37363867424111336,0.34722500020665004,0.34753848889995154,1.0352588704262207,0.3594677614976807
9,2022-11-23,Jack Drury,home,Carolina Hurricanes,Arizona Coyotes,C,14.266666666667,0,0,0,0.23,1,0,0,9,6,0,0,0.59,0.32,20222023,0.511533333333344,0.511533333333344,0.511533333333344,0.511533333333344,-0.511533333333344,0.511533333333344,0.07846666666665592,0.19153333333334405,0.165,0.03,-0.3509583333333401,0.6027012500000114,0.4467429166666713,2000-02-03,22.81917808219178,22.0,10,64.41106182795714,0.33143802537125666,0.33880856478091687,0.33880856478091687,0.42340723494175814,0.33470057992069946,0.34843099443395126,1.0349686789986434,0.3464046170606062
10,2022-11-25,Jack Drury,away,Carolina Hurricanes,Boston Bruins,C,16.0,0,0,0,0.07,1,2,1,1,1,0,0,0.19,0.53,20222023,0.5670000000000001,0.5670000000000001,0.5670000000000001,0.5670000000000001,-0.5670000000000001,0.5670000000000001,-0.37700000000000006,0.03700000000000003,0.085,-0.15,-0.6356250000000001,0.30498125,-0.39564375000000007,2000-02-03,22.824657534246576,22.0,11,37.23729838709677,0.33971742174490466,0.2991570051397927,0.2991570051397927,0.3151411808617556,0.3229250581970491,0.3592163746651409,1.0346799263025976,0.3341240754165848
11,2022-11-26,Jack Drury,home,Carolina Hurricanes,Calgary Flames,C,6.2333333333333,0,0,0,0.14,0,0,0,0,1,0,0,0.9,0.01,20222023,0.2544666666666656,0.2544666666666656,0.2544666666666656,0.2544666666666656,-0.2544666666666656,0.2544666666666656,0.6455333333333344,0.2444666666666656,0.07,-0.01,0.003458333333334007,0.8549612499999988,0.9184195833333328,2000-02-03,22.827397260273973,22.0,12,79.626438172043,0.2902769498115398,0.3314417550660753,0.3314417550660753,0.3660433213223083,0.3297222042894309,0.3659956571541654,1.0345360883209969,0.3411095194581644
12,2022-11-29,Jack Drury,away,Carolina Hurricanes,Pittsburgh Penguins,C,6.2166666666667,0,0,0,0.35,0,0,0,0,1,0,0,0.55,0.03,20222023,0.2539333333333344,0.2539333333333344,0.2539333333333344,0.2539333333333344,-0.2539333333333344,0.2539333333333344,0.29606666666666565,0.2239333333333344,0.175,-0.01,-0.21495833333333403,0.8203912500000011,0.770432916666667,2000-02-03,22.835616438356166,22.0,13,74.8526747311828,0.32991913518244914,0.35359577675650466,0.35359577675650466,0.379067157278033,0.33156163063316174,0.36187008458527803,1.034106722309191,0.34287011109754956
