,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,RoundAge,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2021-05-04,Jack Rathbone,home,Vancouver Canucks,Edmonton Oilers,D,12.066666666667,0,0,0,0.09,0,0,0,0,0,0,0,0.53,0.83,20202021,0.44113333333334404,0.44113333333334404,0.44113333333334404,0.44113333333334404,-0.44113333333334404,0.44113333333334404,0.08886666666665599,-0.3888666666666559,0.045,0.0,-0.343133333333344,-0.2248708333333178,-0.5230041666666618,1999-05-20,21.972602739726028,21.0,1,33.12889784946252,0.0,-0.04916195589335961,-0.04916195589335961,-0.04579683738299792,-0.004118719907775705,-0.03370171872965017,1.099629180769721,-0.003745553482759228
1,2021-05-06,Jack Rathbone,away,Vancouver Canucks,Edmonton Oilers,D,12.933333333333,1,0,0,0.11,0,0,0,0,0,1,0,0.48,0.56,20202021,0.468866666666656,0.468866666666656,0.468866666666656,0.468866666666656,0.531133333333344,0.468866666666656,0.011133333333343987,-0.09113333333334406,0.805,0.0,-0.05086666666665607,0.43599583333331793,1.190129166666662,1999-05-20,21.97808219178082,21.0,2,88.39126344086006,-0.04936704568601647,0.05836977363988862,0.05836977363988862,0.054217159033344224,0.037011143213889625,0.01545493739618604,1.0990611128666203,0.0406775082491234
2,2021-05-08,Jack Rathbone,away,Vancouver Canucks,Edmonton Oilers,D,11.3,0,0,0,0.03,0,0,0,0,0,2,0,1.18,0.57,20202021,0.4166,0.4166,0.4166,0.4166,1.5834,0.4166,0.7633999999999999,-0.15339999999999993,0.015,0.0,1.5213999999999999,0.3378625000000004,1.8742625000000002,1999-05-20,21.983561643835618,21.0,3,110.4600806451613,0.057913032853957845,0.20490967527155313,0.20490967527155313,0.19043323507436974,0.06943209109083409,0.05459817341640198,1.0984953262932202,0.07627082755804639
3,2021-05-10,Jack Rathbone,away,Vancouver Canucks,Winnipeg Jets,D,16.333333333333,0,0,1,0.15,4,0,0,0,0,0,0,0.43,1.48,20202021,0.5776666666666561,0.5776666666666561,0.5776666666666561,0.5776666666666561,-0.5776666666666561,0.5776666666666561,-0.14766666666665612,-0.9023333333333439,0.825,0.0,-0.6396666666666562,-1.5236041666666822,-1.3382708333333384,1999-05-20,21.98904109589041,21.0,4,6.829973118279405,0.20310697662826227,0.08833821499221609,0.08833821499221609,0.08378945883958512,0.06954307691862635,0.061294608718530576,1.0979318131873854,0.07635355653589725
4,2021-05-11,Jack Rathbone,away,Vancouver Canucks,Winnipeg Jets,D,18.566666666667,0,0,0,0.13,3,0,1,0,0,0,2,0.57,0.83,20202021,0.6491333333333441,0.6491333333333441,0.6491333333333441,0.6491333333333441,-0.6491333333333441,-1.350866666666656,-0.07913333333334416,-0.18086666666665585,0.21500000000000002,0.15,-0.4871333333333442,-1.0758708333333173,-1.1980041666666614,1999-05-20,21.991780821917807,21.0,5,11.354704301075436,0.08860987052329178,-0.003133291873129107,-0.003133291873129107,-0.002959736040046274,0.04379386502103544,0.04095031266623089,1.0976509067392366,0.04807037564995528
5,2021-05-15,Jack Rathbone,away,Vancouver Canucks,Edmonton Oilers,D,15.966666666667,0,0,0,0.18,0,0,0,0,0,1,1,0.58,0.56,20202021,0.5659333333333441,0.5659333333333441,0.5659333333333441,0.5659333333333441,0.43406666666665594,-0.43406666666665594,0.014066666666655903,0.005933333333344004,0.09,0.0,0.012066666666656012,0.0005291666666820127,0.10259583333333802,1999-05-20,22.002739726027396,22.0,6,53.30954301075284,-0.0005125105078008984,0.0039792781618991566,0.0039792781618991566,0.003674777200100073,0.013986346109844117,0.013213489553223434,1.09653292562133,0.015336489018579879
6,2021-05-18,Jack Rathbone,home,Vancouver Canucks,Calgary Flames,D,15.6,0,0,0,0.01,0,0,0,0,0,1,1,0.74,0.65,20202021,0.5542,0.5542,0.5542,0.5542,0.4458,-0.4458,0.18579999999999997,-0.0958,0.005,0.0,0.2797999999999998,-0.22333749999999974,0.061462500000000087,1999-05-20,22.01095890410959,22.0,7,51.98266129032258,0.006214859491544059,0.0076536351639157445,0.0076536351639157445,0.00696265793164163,0.01788154350229827,0.019109022392698634,1.0957003396415448,0.019592813288783272
7,2021-05-19,Jack Rathbone,away,Vancouver Canucks,Calgary Flames,D,21.283333333333,0,0,1,0.17,1,0,1,0,0,1,1,0.67,0.54,20202021,0.7360666666666561,0.7360666666666561,0.7360666666666561,0.7360666666666561,0.2639333333333439,-0.2639333333333439,-0.06606666666665606,0.19606666666665606,0.685,0.15,-0.014066666666656125,0.29109583333331823,1.1120291666666622,1999-05-20,22.013698630136986,22.0,8,85.8719086021504,0.00961697761968985,0.07499279811314627,0.07499279811314627,0.06804795793188224,0.05647328972696042,0.06601659534827678,1.0954239296422796,0.061862192952533965
8,2021-10-13,Jack Rathbone,away,Vancouver Canucks,Edmonton Oilers,D,12.65,0,0,0,0.03,1,0,0,0,0,0,0,0.57,0.54,20212022,0.4598,0.4598,0.4598,0.4598,-0.4598,0.4598,0.11019999999999996,-0.08020000000000005,0.065,0.0,-0.29780000000000006,0.46896249999999995,0.2361624999999999,1999-05-20,22.416438356164385,22.0,9,57.61814516129032,0.07368007304841276,0.08440032297692412,0.08440032297692412,0.10734800494095079,0.08929355431093328,0.10849382643658873,1.0603991377122752,0.09468680799457786
9,2021-10-15,Jack Rathbone,away,Vancouver Canucks,Philadelphia Flyers,D,12.65,0,0,0,0.07,0,1,0,0,0,0,0,0.26,0.17,20212022,0.4598,0.4598,0.4598,0.4598,-0.4598,0.4598,-0.19979999999999998,0.28979999999999995,0.035,-0.15,-0.7938,1.3199625,0.4111625,1999-05-20,22.421917808219177,22.0,10,63.263306451612905,0.08528725619355669,0.10271705600068787,0.10271705600068787,0.12080506631814908,0.10035617345333608,0.12306652845692394,1.0599935254726969,0.10637689410175119
