,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,RoundAge,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2018-10-06,Jacob MacDonald,away,Florida Panthers,Tampa Bay Lightning,D,10.466666666667,1,0,0,0.04,0,0,0,0,0,1,0,0.19,0.33,20182019,0.389933333333344,0.389933333333344,0.389933333333344,0.389933333333344,0.610066666666656,0.389933333333344,-0.199933333333344,0.059933333333344,0.77,0.0,-0.435933333333344,0.851529166666682,1.185595833333338,1993-02-26,25.624657534246577,25.0,1,88.24502688172058,0.0,0.1114450204807515,0.1114450204807515,0.13213429817491293,0.09492513944412916,0.09501882163295383,1,0.09492513944412916
1,2018-10-11,Jacob MacDonald,home,Florida Panthers,Columbus Blue Jackets,D,13.633333333333,0,0,0,0.02,1,0,0,0,0,0,0,0.54,0.63,20182019,0.491266666666656,0.491266666666656,0.491266666666656,0.491266666666656,-0.491266666666656,0.491266666666656,0.04873333333334401,-0.13873333333334398,0.060000000000000005,0.0,-0.3772666666666561,0.30719583333331824,-0.010070833333337859,1993-02-26,25.638356164383563,25.0,2,49.675134408602005,0.11190993762506965,0.10090124292237919,0.10090124292237919,0.11156764371307455,0.12713192196379935,0.12593687010221422,1,0.12713192196379935
2,2021-01-31,Jacob MacDonald,away,Colorado Avalanche,Minnesota Wild,D,10.966666666667,0,0,0,0.08,0,0,0,0,0,0,0,0.25,0.43,20202021,0.405933333333344,0.405933333333344,0.405933333333344,0.405933333333344,-0.405933333333344,0.405933333333344,-0.15593333333334403,-0.024066666666655967,0.04,0.0,-0.755933333333344,0.6445291666666821,-0.07140416666666183,1993-02-26,27.947945205479453,27.0,3,47.69663978494639,0.10129698809115481,0.0869964470028572,0.0869964470028572,0.06589305784802961,0.15941997287259904,0.15761548785002744,1,0.15941997287259904
3,2021-02-02,Jacob MacDonald,home,Colorado Avalanche,Minnesota Wild,D,15.583333333333,0,0,0,0.14,1,0,0,0,0,0,0,0.42,0.28,20202021,0.553666666666656,0.553666666666656,0.553666666666656,0.553666666666656,-0.553666666666656,0.553666666666656,-0.133666666666656,0.27366666666665596,0.12000000000000001,0.0,-0.631666666666656,1.2018958333333178,0.6902291666666618,1993-02-26,27.953424657534246,27.0,4,72.26545698924716,0.04896196196814646,0.13256449210670446,0.13256449210670446,0.1360104531920692,0.19178236293425505,0.19011796415790566,1,0.19178236293425505
4,2021-02-14,Jacob MacDonald,away,Colorado Avalanche,Vegas Golden Knights,D,19.683333333333,0,0,0,0.12,1,0,0,0,0,0,0,1.02,0.32,20202021,0.6848666666666561,0.6848666666666561,0.6848666666666561,0.6848666666666561,-0.6848666666666561,0.6848666666666561,0.33513333333334394,0.36486666666665607,0.11,0.0,0.19713333333334382,1.298495833333318,1.6056291666666618,1993-02-26,27.986301369863014,27.0,5,101.79448924731167,0.1985341283471168,0.2373137776883102,0.2373137776883102,0.23312479691934285,0.2239951979765767,0.222724121771486,1,0.2239951979765767
5,2021-02-16,Jacob MacDonald,away,Colorado Avalanche,Vegas Golden Knights,D,15.533333333333,0,0,0,0.12,1,1,0,0,0,1,0,0.59,0.47,20202021,0.552066666666656,0.552066666666656,0.552066666666656,0.552066666666656,0.44793333333334395,0.552066666666656,0.03793333333334392,0.08206666666665607,0.11,-0.15,0.041933333333344036,0.7625958333333182,0.7645291666666622,1993-02-26,27.991780821917807,27.0,6,74.66223118279555,0.4696367471911974,0.272780413493066,0.272780413493066,0.26888178700594173,0.2555812270343838,0.2539040452878354,1,0.2555812270343838
6,2021-02-26,Jacob MacDonald,away,Colorado Avalanche,Arizona Coyotes,D,10.4,0,0,0,0.07,0,0,0,0,0,1,0,0.41,0.12,20202021,0.38780000000000003,0.38780000000000003,0.38780000000000003,0.38780000000000003,0.6122,0.38780000000000003,0.022199999999999942,0.26780000000000004,0.035,0.0,-0.0818000000000001,1.3314625000000002,1.2846625,1993-02-26,28.019178082191782,28.0,7,91.44072580645161,0.5174274851100764,0.33746043508690676,0.33746043508690676,0.3405265504563126,0.28683325733533166,0.2843867309704558,1,0.28683325733533166
7,2021-02-27,Jacob MacDonald,away,Colorado Avalanche,Arizona Coyotes,D,14.416666666667,1,0,0,0.15,0,0,0,0,0,1,1,0.57,0.33,20202021,0.5163333333333441,0.5163333333333441,0.5163333333333441,0.5163333333333441,0.4836666666666559,-0.4836666666666559,0.05366666666665587,0.18633333333334406,0.825,0.0,0.045666666666655864,0.4582291666666821,1.328895833333338,1993-02-26,28.02191780821918,28.0,8,92.86760752688187,0.6261958678212538,0.39791308722535706,0.39791308722535706,0.40528193139036933,0.31824103650630836,0.31548142187779676,1,0.31824103650630836
8,2021-03-01,Jacob MacDonald,away,Colorado Avalanche,San Jose Sharks,D,16.033333333333,0,0,0,0.29,1,0,0,0,0,0,0,0.54,0.86,20202021,0.5680666666666561,0.5680666666666561,0.5680666666666561,0.5680666666666561,-0.5680666666666561,0.5680666666666561,-0.028066666666656026,-0.2919333333333439,0.195,0.0,-0.454066666666656,-0.11140416666668185,-0.37047083333333786,1993-02-26,28.027397260273972,28.0,9,38.0493279569891,0.7135920953668551,0.35306228243415794,0.35306228243415794,0.3720131451943368,0.3500946936219878,0.3479643867919632,1,0.3500946936219878
9,2021-03-03,Jacob MacDonald,away,Colorado Avalanche,San Jose Sharks,D,14.116666666667,0,0,0,0.07,1,1,0,0,0,1,0,0.79,0.49,20202021,0.506733333333344,0.506733333333344,0.506733333333344,0.506733333333344,0.493266666666656,0.506733333333344,0.283266666666656,0.016733333333344036,0.085,-0.15,0.407266666666656,0.6514291666666822,0.9936958333333381,1993-02-26,28.03287671232877,28.0,10,82.05470430107542,0.5932711372529548,0.38897315138719885,0.38897315138719885,0.40624748088559937,0.3822923198319499,0.382196442097595,1,0.3822923198319499
