,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,RoundAge,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2021-10-14,Jake Leschyshyn,away,Vegas Golden Knights,Los Angeles Kings,C,11.283333333333,0,0,0,0.11,1,1,0,5,6,0,0,0.15,1.15,20212022,0.416066666666656,0.416066666666656,0.416066666666656,0.416066666666656,-0.416066666666656,0.416066666666656,-0.266066666666656,-0.733933333333344,0.10500000000000001,-0.16,-0.56629166666666,-0.9103287500000113,-1.5316204166666711,1999-03-10,22.613698630136987,22.0,1,0.5928897849460952,0.0,-0.14397104300227687,-0.14397104300227687,-0.16934277196848216,-0.14762326301876086,-0.17400941941704556,1.0468695506249752,-0.14101400019766608
1,2021-10-20,Jake Leschyshyn,home,Vegas Golden Knights,St Louis Blues,C,10.216666666667,0,0,0,0.0,2,0,0,3,1,0,0,1.37,1.29,20212022,0.381933333333344,0.381933333333344,0.381933333333344,0.381933333333344,-0.381933333333344,0.381933333333344,0.9880666666666561,-0.908066666666656,0.1,0.02,0.21754166666665997,-1.1848087499999886,-0.8472670833333287,1999-03-10,22.63013698630137,22.0,2,22.668803763441012,-0.1445716495245637,-0.204995154459204,-0.204995154459204,-0.2335443611559187,-0.16743535338539212,-0.19748303596552128,1.0458381153359593,-0.1600968170218257
2,2021-10-24,Jake Leschyshyn,home,Vegas Golden Knights,New York Islanders,C,9.8333333333333,0,0,0,0.1,0,0,0,1,2,0,0,0.24,0.04,20212022,0.3696666666666656,0.3696666666666656,0.3696666666666656,0.3696666666666656,-0.3696666666666656,0.3696666666666656,-0.1296666666666656,0.3296666666666656,0.05,-0.01,-0.48104166666666603,0.9270812499999989,0.4860395833333328,1999-03-10,22.64109589041096,22.0,3,65.67869623655912,-0.20581635555071853,-0.14922965629392326,-0.14922965629392326,-0.17660397982012913,-0.1862164825620719,-0.21957381563840905,1.0451583870583712,-0.1781705862650958
3,2021-10-26,Jake Leschyshyn,away,Vegas Golden Knights,Colorado Avalanche,C,8.9666666666667,0,0,0,0.0,1,0,0,1,2,0,0,0.29,0.5,20212022,0.3419333333333344,0.3419333333333344,0.3419333333333344,0.3419333333333344,-0.3419333333333344,0.3419333333333344,-0.05193333333333444,-0.15806666666666558,0.05,-0.01,-0.43245833333333406,0.11544125000000116,-0.2770170833333329,1999-03-10,22.646575342465752,22.0,4,41.063965053763454,-0.14995986206699355,-0.1588826857951773,-0.1588826857951773,-0.19368655251595082,-0.2037464631253481,-0.23990780781863827,1.0448208784508333,-0.19500611762988992
4,2021-10-27,Jake Leschyshyn,away,Vegas Golden Knights,Dallas Stars,C,12.45,0,0,0,0.0,0,0,0,0,5,0,1,0.16,0.76,20212022,0.45339999999999997,0.45339999999999997,0.45339999999999997,0.45339999999999997,-0.45339999999999997,-0.5466,-0.2934,-0.30660000000000004,0.0,-0.05,-0.583375,-0.6449287499999999,-1.27830375,1999-03-10,22.649315068493152,22.0,5,8.764395161290324,-0.15948501847056354,-0.23848445669195356,-0.23848445669195356,-0.2901704998661651,-0.22214270260101962,-0.2559793383285971,1.0446527111422619,-0.21264741883273397
5,2021-10-29,Jake Leschyshyn,home,Vegas Golden Knights,Anaheim Ducks,C,12.116666666667,0,0,0,0.36,0,0,0,5,6,0,1,1.17,0.74,20212022,0.44273333333334397,0.44273333333334397,0.44273333333334397,0.44273333333334397,-0.44273333333334397,-0.557266666666656,0.727266666666656,-0.297266666666656,0.18,-0.01,0.05454166666665994,-0.6223287499999884,-0.3977870833333285,1999-03-10,22.654794520547945,22.0,6,37.1681586021507,-0.23764927404508496,-0.2492010032115443,-0.2492010032115443,-0.3027636944216068,-0.24122363791036616,-0.2663881689659994,1.0443175478331292,-0.23098686640944113
6,2021-11-02,Jake Leschyshyn,away,Vegas Golden Knights,Toronto Maple Leafs,C,12.616666666667,0,0,0,0.07,0,0,0,3,3,0,1,0.11,0.4,20212022,0.458733333333344,0.458733333333344,0.458733333333344,0.458733333333344,-0.458733333333344,-0.541266666666656,-0.348733333333344,0.05873333333334396,0.035,0.0,-0.61795833333334,-0.0272287499999887,-0.6101870833333287,1999-03-10,22.665753424657535,22.0,7,30.31654569892488,-0.24814381409223324,-0.27227541847069114,-0.27227541847069114,-0.302272873175829,-0.25790737320607404,-0.27432931224934465,1.0436518915049915,-0.24712011285119254
7,2021-11-04,Jake Leschyshyn,away,Vegas Golden Knights,Ottawa Senators,C,14.666666666667,0,0,0,0.04,1,0,0,4,5,1,0,0.37,0.73,20212022,0.5243333333333441,0.5243333333333441,0.5243333333333441,0.5243333333333441,0.4756666666666559,0.5243333333333441,-0.1543333333333441,-0.2056666666666559,0.07,-0.01,0.12854166666666,-0.08061874999998841,0.10792291666667159,1999-03-10,22.671232876712327,22.0,8,53.48138440860231,-0.2705709273728446,-0.24909287149049544,-0.24909287149049544,-0.29546261173819677,-0.2709128326754285,-0.28269992112329106,1.043321389992622,-0.25966383443681174
8,2021-11-06,Jake Leschyshyn,away,Vegas Golden Knights,Montreal Canadiens,C,11.216666666667,0,0,0,0.01,3,2,1,2,7,0,0,0.13,0.71,20212022,0.41393333333334403,0.41393333333334403,0.41393333333334403,0.41393333333334403,-0.41393333333334403,0.41393333333334403,-0.28393333333334403,-0.29606666666665593,0.15500000000000003,-0.2,-0.5774583333333401,-0.1646087499999883,-0.7870670833333283,1999-03-10,22.676712328767124,22.0,9,24.61073924731199,-0.24841294632056102,-0.28049459101179686,-0.28049459101179686,-0.33065883652412253,-0.280821803982343,-0.29317449759702097,1.042992433952307,-0.2692462522649366
9,2021-11-07,Jake Leschyshyn,away,Vegas Golden Knights,Detroit Red Wings,C,11.233333333333,0,0,0,0.05,0,0,1,4,4,0,1,0.4,0.92,20212022,0.414466666666656,0.414466666666656,0.414466666666656,0.414466666666656,-0.414466666666656,-0.585533333333344,-0.01446666666665597,-0.505533333333344,0.025,0.15,-0.40904166666666,-0.9585387500000114,-1.1925804166666714,1999-03-10,22.67945205479452,22.0,10,11.529663978494476,-0.278310728113787,-0.3316217830126619,-0.3316217830126619,-0.3908615877543195,-0.2872703487390353,-0.30427843407667465,1.0428285341717742,-0.275472274995993
10,2021-11-09,Jake Leschyshyn,home,Vegas Golden Knights,Seattle Kraken,C,15.25,0,0,0,0.09,1,0,0,0,7,0,0,0.27,0.84,20212022,0.543,0.543,0.543,0.543,-0.543,0.543,-0.273,-0.29699999999999993,0.095,-0.07,-0.570625,-0.24766875,-0.79329375,1999-03-10,22.684931506849313,22.0,11,24.409879032258065,-0.32647537829476797,-0.35654649652397286,-0.35654649652397286,-0.41183194254716043,-0.28958267001607996,-0.31314427993545463,1.0425018884759933,-0.2777766383132537
11,2021-11-11,Jake Leschyshyn,home,Vegas Golden Knights,Minnesota Wild,C,12.45,0,0,0,0.39,1,0,1,4,2,0,1,0.65,0.3,20212022,0.45339999999999997,0.45339999999999997,0.45339999999999997,0.45339999999999997,-0.45339999999999997,-0.5466,0.19660000000000005,0.15339999999999998,0.245,0.16999999999999998,-0.27712499999999995,0.13707124999999998,0.27494625,1999-03-10,22.69041095890411,22.0,12,58.86923387096774,-0.3499219787042432,-0.3236241367371749,-0.3236241367371749,-0.3585179919125438,-0.2874523203498259,-0.31776878954885596,1.042176777796102,-0.2758191570509786
12,2021-11-13,Jake Leschyshyn,home,Vegas Golden Knights,Vancouver Canucks,C,12.333333333333,1,1,0,0.16,0,0,0,3,4,2,1,0.78,0.77,20212022,0.449666666666656,0.449666666666656,0.449666666666656,0.449666666666656,1.550333333333344,-0.550333333333344,0.330333333333344,-0.320333333333344,1.53,-0.01,1.0564583333333402,-0.6659187500000116,1.9105395833333287,1999-03-10,22.695890410958903,22.0,13,111.6303091397848,-0.31992926311579745,-0.21087537128607226,-0.21087537128607226,-0.24925939050291868,-0.27870393585230985,-0.312989209409244,1.0418531979837902,-0.26750787576566626
13,2021-11-16,Jake Leschyshyn,home,Vegas Golden Knights,Carolina Hurricanes,C,11.7,0,0,0,0.0,0,0,0,8,5,0,0,0.41,0.58,20212022,0.4294,0.4294,0.4294,0.4294,-0.4294,0.4294,-0.01940000000000003,-0.15059999999999996,0.0,0.03,-0.4121250000000001,0.07292125000000005,-0.30920375,1999-03-10,22.704109589041096,22.0,14,40.025685483870966,-0.21740077544202113,-0.21568943937760093,-0.21568943937760093,-0.23170939513834135,-0.2615544543043417,-0.29641128946308315,1.0413706896151387,-0.2511636412591993
14,2021-11-18,Jake Leschyshyn,home,Vegas Golden Knights,Detroit Red Wings,C,14.65,0,0,1,0.05,0,0,0,5,2,1,1,0.2,1.46,20212022,0.5238,0.5238,0.5238,0.5238,0.47619999999999996,-0.47619999999999996,-0.32380000000000003,-0.9361999999999999,0.5750000000000001,0.03,0.022625000000000006,-1.7596887499999996,-1.1320637499999995,1999-03-10,22.70958904109589,22.0,15,13.481814516129049,-0.22145739344491855,-0.2593037140395609,-0.2593037140395609,-0.2981697598558828,-0.23676028373148986,-0.2708806586812793,1.0410509189495203,-0.22742430694013938
15,2021-11-20,Jake Leschyshyn,home,Vegas Golden Knights,Columbus Blue Jackets,C,10.766666666667,0,1,0,0.03,2,0,0,0,4,2,0,0.58,0.32,20212022,0.399533333333344,0.399533333333344,0.399533333333344,0.399533333333344,1.600466666666656,0.399533333333344,0.18046666666665595,0.079533333333344,0.815,-0.04,0.9627916666666599,0.4830012500000114,2.220792916666671,1999-03-10,22.715068493150685,22.0,16,121.63848118279583,-0.26013385060957966,-0.1443391152377262,-0.1443391152377262,-0.16194285042437045,-0.20607966250152154,-0.23939482553263322,1.0407326647839759,-0.19801402365351659
16,2021-11-22,Jake Leschyshyn,away,Vegas Golden Knights,St Louis Blues,C,10.133333333333,0,0,0,0.08,2,0,0,3,5,0,1,0.2,0.54,20212022,0.37926666666665604,0.37926666666665604,0.37926666666665604,0.37926666666665604,-0.37926666666665604,-0.620733333333344,-0.17926666666665603,-0.160733333333344,0.14,-0.02,-0.5120416666666601,-0.3501587500000115,-0.7422004166666716,1999-03-10,22.720547945205478,22.0,17,26.058051075268658,-0.15868313833575998,-0.17137817103410904,-0.17137817103410904,-0.19230351628805137,-0.172091432035048,-0.2034394499800561,1.0404159230564296,-0.16540638048819462
17,2021-11-24,Jake Leschyshyn,away,Vegas Golden Knights,Nashville Predators,C,14.233333333333,0,0,0,0.09,1,0,0,6,3,1,0,0.3,0.33,20212022,0.5104666666666561,0.5104666666666561,0.5104666666666561,0.5104666666666561,0.4895333333333439,0.5104666666666561,-0.2104666666666561,0.18046666666665606,0.095,0.03,0.09345833333333986,0.5845612499999886,0.8030195833333285,1999-03-10,22.726027397260275,22.0,18,75.90385752688157,-0.18169128323207193,-0.12831331525876788,-0.12831331525876788,-0.1463902385399041,-0.14278987559943024,-0.16930033144106948,1.0401006897236271,-0.13728466581189558
18,2021-12-28,Jake Leschyshyn,away,Vegas Golden Knights,Los Angeles Kings,C,10.25,0,0,0,0.09,0,0,0,3,5,0,0,0.31,0.32,20212022,0.383,0.383,0.383,0.383,-0.383,0.383,-0.07300000000000001,0.063,0.045,-0.02,-0.44562500000000005,0.46533125,0.04470624999999995,1999-03-10,22.81917808219178,22.0,19,51.44213709677419,-0.14419950171302257,-0.12082942986043468,-0.12082942986043468,-0.12667605161388404,-0.12414677547279705,-0.14272775490857928,1.0349686789987047,-0.11995220531012071
19,2022-01-11,Jake Leschyshyn,home,Vegas Golden Knights,Toronto Maple Leafs,C,9.3,0,0,0,0.11,0,0,0,2,3,0,0,0.2,0.01,20212022,0.3526,0.3526,0.3526,0.3526,-0.3526,0.3526,-0.1526,0.3426,0.055,-0.01,-0.495375,0.95984125,0.50946625,1999-03-10,22.85753424657534,22.0,20,66.43439516129033,-0.1368245449385844,-0.09411013914823527,-0.09411013914823527,-0.09413696023764277,-0.10987461567990134,-0.11879231354054941,1.0329774172904476,-0.10636690971241952
20,2022-03-04,Jake Leschyshyn,away,Vegas Golden Knights,Anaheim Ducks,C,9.7833333333333,0,0,0,0.0,0,0,0,4,5,0,0,0.1,0.34,20212022,0.3680666666666656,0.3680666666666656,0.3680666666666656,0.3680666666666656,-0.3680666666666656,0.3680666666666656,-0.26806666666666557,0.028066666666665574,0.0,-0.01,-0.567541666666666,0.4153712499999988,-0.16217041666666715,1999-03-10,23.0,23.0,21,44.76869623655912,-0.11190888204615906,-0.09694142936255139,-0.09694142936255139,-0.0980834574880511,-0.09618432874869233,-0.09883441263352029,1.0261780924939414,-0.0937306394009383
21,2022-03-06,Jake Leschyshyn,home,Vegas Golden Knights,Ottawa Senators,C,9.85,0,0,0,0.06,0,0,0,1,2,0,0,0.25,0.4,20212022,0.3702,0.3702,0.3702,0.3702,-0.3702,0.3702,-0.12019999999999997,-0.02980000000000005,0.03,-0.01,-0.475125,0.31565124999999994,-0.13947375000000006,1999-03-10,23.005479452054793,23.0,22,45.50084677419355,-0.11396134286363228,-0.09867980098446402,-0.09867980098446402,-0.10303481551528207,-0.08404480807846983,-0.08859876275516528,1.0259348379094777,-0.08192022043985354
22,2022-03-08,Jake Leschyshyn,away,Vegas Golden Knights,Philadelphia Flyers,C,10.683333333333,0,0,0,0.06,1,0,0,1,3,0,0,0.08,0.09,20212022,0.396866666666656,0.396866666666656,0.396866666666656,0.396866666666656,-0.396866666666656,0.396866666666656,-0.31686666666665597,0.30686666666665596,0.08,-0.02,-0.59804166666666,0.8711512499999885,0.3331095833333284,1999-03-10,23.01095890410959,23.0,23,60.74547043010737,-0.11496596100667396,-0.08132116142012646,-0.08132116142012646,-0.08488501679072852,-0.07431559171500544,-0.08338833838892164,1.0256929051499328,-0.07245403701426813
23,2022-03-10,Jake Leschyshyn,away,Vegas Golden Knights,Buffalo Sabres,C,10.733333333333,0,0,0,0.05,0,0,1,4,3,0,0,0.16,0.23,20212022,0.39846666666665603,0.39846666666665603,0.39846666666665603,0.39846666666665603,-0.39846666666665603,0.39846666666665603,-0.23846666666665603,0.16846666666665602,0.025,0.16,-0.54904166666666,0.6348612499999886,0.2708195833333286,1999-03-10,23.016438356164382,23.0,24,58.7361155913977,-0.0979278168262461,-0.06738205964478168,-0.06738205964478168,-0.07140754692417155,-0.06709450005363149,-0.08013946868342904,1.0254522910416077,-0.06542917758317157
