,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,RoundAge,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2022-10-12,Jakub Lauko,away,Boston Bruins,Washington Capitals,C,11.6,0,0,0,0.0,0,0,2,0,0,0,0,0.15,0.27,20222023,0.42619999999999997,0.42619999999999997,0.42619999999999997,0.42619999999999997,-0.42619999999999997,0.42619999999999997,-0.2762,0.15619999999999995,0.0,0.3,-0.5726249999999999,0.5965012499999999,0.3238762499999999,2000-03-28,22.556164383561644,22.0,1,60.44762096774193,0.0,0.03044409764244744,0.03044409764244744,0.03588087766527005,0.030448047060471425,0.0358790416836698,1.0505931128142327,0.031988508540374924
1,2022-10-15,Jakub Lauko,home,Boston Bruins,Arizona Coyotes,C,11.666666666667,0,0,0,0.43,0,0,0,0,0,0,0,0.59,0.04,20222023,0.428333333333344,0.428333333333344,0.428333333333344,0.428333333333344,-0.428333333333344,0.428333333333344,0.16166666666665597,0.388333333333344,0.215,0.0,-0.29895833333334004,0.9897812500000114,0.9058229166666714,2000-03-28,22.564383561643837,22.0,2,79.22009408602166,0.030571101817925286,0.10639961502887019,0.10639961502887019,0.16785144667545623,0.11055585154020922,0.16592689062171928,1.0500502404439682,0.11608919849228434
2,2022-10-18,Jakub Lauko,away,Boston Bruins,Ottawa Senators,C,9.6333333333333,0,1,0,0.06,0,0,1,0,0,1,0,0.55,0.39,20222023,0.3632666666666656,0.3632666666666656,0.3632666666666656,0.3632666666666656,0.6367333333333344,0.3632666666666656,0.18673333333333442,-0.026733333333334386,0.73,0.15,0.34170833333333395,0.32524124999999887,1.5469495833333327,2000-03-28,22.572602739726026,22.0,3,99.90159946236557,0.10645750569870659,0.2226499020565469,0.2226499020565469,0.2687919818601947,0.20344761610707307,0.2668818531397059,1.0495110387177695,0.21352051890518828
3,2022-10-22,Jakub Lauko,home,Boston Bruins,Minnesota Wild,C,8.5333333333333,0,0,0,0.12,0,1,0,0,0,0,0,0.14,0.46,20222023,0.32806666666666556,0.32806666666666556,0.32806666666666556,0.32806666666666556,-0.32806666666666556,0.32806666666666556,-0.18806666666666555,-0.13193333333333446,0.06,-0.15,-0.517541666666666,0.16862124999999867,-0.4389204166666673,2000-03-28,22.583561643835615,22.0,4,35.84127688172041,0.22199393105647247,0.1726750496650066,0.1726750496650066,0.2241660247172946,0.1739843476379968,0.225309719970117,1.0487977861765327,0.18247439863209933
4,2022-10-28,Jakub Lauko,away,Boston Bruins,Columbus Blue Jackets,C,13.1,0,0,0,0.0,1,0,0,0,0,0,0,0.36,0.22,20222023,0.4742,0.4742,0.4742,0.4742,-0.4742,0.4742,-0.11420000000000002,0.2542,0.05,0.0,-0.47137500000000004,0.73280125,0.3114262499999999,2000-03-28,22.6,22.0,5,60.04600806451613,0.17257253422803168,0.18254161517274475,0.18254161517274475,0.2197477355190591,0.170729047262012,0.19882604652157043,1.0477400114794566,0.17887965393817715
5,2022-11-01,Jakub Lauko,away,Boston Bruins,Pittsburgh Penguins,C,9.0333333333333,1,0,0,0.13,0,0,0,0,0,1,1,0.21,0.78,20222023,0.3440666666666656,0.3440666666666656,0.3440666666666656,0.3440666666666656,0.6559333333333344,-0.6559333333333344,-0.13406666666666558,-0.43593333333333445,0.815,0.0,0.14120833333333394,-0.7957787500000012,0.16042958333333268,2000-03-28,22.610958904109587,22.0,6,55.17514784946235,0.18233667996725755,0.18105410286459436,0.18105410286459436,0.19633783643605676,0.17625712485018802,0.19199184387952886,1.0470428452031142,0.18454876149046137
6,2022-11-03,Jakub Lauko,away,Boston Bruins,New York Rangers,C,8.85,0,0,0,0.0,0,0,0,0,0,0,1,0.34,0.38,20222023,0.3382,0.3382,0.3382,0.3382,-0.3382,-0.6617999999999999,0.0018000000000000238,-0.041800000000000004,0.0,0.0,-0.398875,-0.12204875000000004,-0.52092375,2000-03-28,22.616438356164384,22.0,7,33.19600806451613,0.1808870906784834,0.13618331872173384,0.13618331872173384,0.14916519225613709,0.14269848701439866,0.15615691295696613,1.0466966537348856,0.1493620288510021
7,2023-02-01,Jakub Lauko,away,Boston Bruins,Toronto Maple Leafs,C,7.1833333333333,0,1,0,0.08,1,0,0,0,0,1,1,0.15,0.33,20222023,0.2848666666666656,0.2848666666666656,0.2848666666666656,0.2848666666666656,0.7151333333333344,-0.7151333333333344,-0.1348666666666656,-0.04513333333333441,0.79,0.0,0.140708333333334,-0.09404875000000124,0.8366595833333328,2000-03-28,22.863013698630137,22.0,8,76.98901881720428,0.13717430261648839,0.1788947732761138,0.1788947732761138,0.18207160939291647,0.15948584165123247,0.17725753385547194,1.0326986329684786,0.16470081065105502
8,2023-02-11,Jakub Lauko,home,Boston Bruins,Washington Capitals,C,5.1666666666667,0,0,0,0.0,0,0,0,0,0,0,1,0.09,0.17,20222023,0.22033333333333438,0.22033333333333438,0.22033333333333438,0.22033333333333438,-0.22033333333333438,-0.7796666666666656,-0.13033333333333438,0.05033333333333437,0.0,0.0,-0.481458333333334,0.10898125000000108,-0.3724770833333329,2000-03-28,22.89041095890411,22.0,9,37.98461021505378,0.18534450901385563,0.14671102912622266,0.14671102912622266,0.1489106730990427,0.16478704318000775,0.1729132949275926,1.0313257838362397,0.16994912647367777
9,2023-02-14,Jakub Lauko,away,Boston Bruins,Dallas Stars,C,6.4,0,0,0,0.0,0,0,1,0,0,0,0,0.6,0.07,20222023,0.25980000000000003,0.25980000000000003,0.25980000000000003,0.25980000000000003,-0.25980000000000003,0.25980000000000003,0.34019999999999995,0.18980000000000002,0.0,0.15,-0.18737500000000007,0.7586612500000001,0.72128625,2000-03-28,22.898630136986302,22.0,10,73.26729838709677,0.14875789248746096,0.17891898238046922,0.17891898238046922,0.17762977402069227,0.1603760347876406,0.18354483302278332,1.0309207345609366,0.16533497958924476
10,2023-02-16,Jakub Lauko,away,Boston Bruins,Nashville Predators,C,12.666666666667,0,0,0,0.0,0,1,0,0,0,0,0,0.22,0.66,20222023,0.46033333333334403,0.46033333333334403,0.46033333333334403,0.46033333333334403,-0.46033333333334403,0.46033333333334403,-0.24033333333334403,-0.199666666666656,0.0,-0.15,-0.5502083333333401,-0.030018749999988548,-0.7302270833333286,2000-03-28,22.904109589041095,22.0,11,26.444287634408752,0.18418760401942808,0.12983606886565885,0.12983606886565885,0.13208065123191676,0.16432981051162543,0.2408325785888315,1.0306524357591436,0.16936691947164526
11,2023-03-02,Jakub Lauko,home,Boston Bruins,Buffalo Sabres,C,11.883333333333,2,0,0,0.53,1,0,0,0,2,2,1,0.74,0.17,20222023,0.43526666666665603,0.43526666666665603,0.43526666666665603,0.43526666666665603,1.564733333333344,-0.564733333333344,0.30473333333334396,0.265266666666656,1.8150000000000002,-0.02,1.0404583333333401,0.33869124999998856,3.174149583333329,2000-03-28,22.942465753424656,22.0,12,152.3919220430106,0.1307067720528895,0.28854887337340035,0.28854887337340035,0.2935253183960545,0.2896549589000081,0.2934651623737724,1.0288128814293958,0.2980007528862305
12,2023-03-16,Jakub Lauko,away,Boston Bruins,Winnipeg Jets,C,6.4833333333333,0,0,0,0.41,0,0,2,0,0,0,0,0.43,0.09,20222023,0.2624666666666656,0.2624666666666656,0.2624666666666656,0.2624666666666656,-0.2624666666666656,0.2624666666666656,0.16753333333333437,0.17246666666666563,0.205,0.3,-0.29529166666666606,0.7275112499999988,0.9372195833333328,2000-03-28,22.980821917808218,22.0,13,80.23288978494622,0.303167316020347,0.32128453239214255,0.32128453239214255,0.31605972276131045,0.3181305950295204,0.3157790493467162,1.0270399390663594,0.3267328269342633
13,2023-03-18,Jakub Lauko,away,Boston Bruins,Minnesota Wild,C,8.5333333333333,0,0,0,0.02,0,0,0,0,0,0,0,0.06,0.47,20222023,0.32806666666666556,0.32806666666666556,0.32806666666666556,0.32806666666666556,-0.32806666666666556,0.32806666666666556,-0.26806666666666557,-0.1419333333333344,0.01,0.0,-0.567541666666666,0.15162124999999887,-0.40592041666666706,2000-03-28,22.986301369863014,22.0,14,36.905793010752674,0.33804003934907023,0.2856812387443252,0.2856812387443252,0.28049504461727087,0.2700001668269772,0.2775027938113482,1.0267920328952838,0.27723402017833765
14,2023-03-19,Jakub Lauko,away,Boston Bruins,Buffalo Sabres,C,12.833333333333,0,0,0,0.0,0,0,1,0,1,1,0,0.06,0.81,20222023,0.465666666666656,0.465666666666656,0.465666666666656,0.465666666666656,0.534333333333344,0.465666666666656,-0.405666666666656,-0.34433333333334404,0.0,0.13999999999999999,-0.028541666666660026,-0.2793187500000114,-0.16786041666667142,2000-03-28,22.98904109589041,22.0,15,44.58514784946221,0.2991149632905979,0.264095201138906,0.264095201138906,0.265456824266923,0.2583897643899367,0.2669121337785127,1.0266685799037074,0.26528065246786986
15,2023-03-21,Jakub Lauko,home,Boston Bruins,Ottawa Senators,C,6.0,0,0,0,0.09,1,0,0,0,0,0,0,0.09,0.13,20222023,0.247,0.247,0.247,0.247,-0.247,0.247,-0.157,0.11699999999999999,0.095,0.0,-0.49812500000000004,0.64298125,0.23985624999999988,2000-03-28,22.994520547945207,22.0,16,57.73729838709677,0.27585479703010946,0.26297160730044006,0.26297160730044006,0.2613137607192394,0.27182493626372195,0.2613137115625995,1.0264226720912528,0.27900727742084397
