,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,RoundAge,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2019-10-21,Joel Farabee,home,Philadelphia Flyers,Vegas Golden Knights,L,14.583333333333,0,0,0,0.22,0,0,0,0,0,0,0,0.48,0.36,20192020,0.5216666666666561,0.5216666666666561,0.5216666666666561,0.5216666666666561,-0.5216666666666561,0.5216666666666561,-0.04166666666665608,0.16166666666665608,0.11,0.0,-0.42604166666666005,0.5455312499999887,0.22948958333332864,2000-02-25,19.665753424657535,19.0,1,57.40288978494608,0.0,0.021571829619876224,0.021571829619876224,0.024299492016493337,0.02773355761133922,0.0527013214949927,1.7604014706399727,0.04882219560507997
1,2019-10-24,Joel Farabee,away,Philadelphia Flyers,Chicago Blackhawks,L,14.883333333333,0,0,1,0.56,0,0,0,0,1,1,0,0.71,0.69,20192020,0.531266666666656,0.531266666666656,0.531266666666656,0.531266666666656,0.468733333333344,0.531266666666656,0.17873333333334396,-0.15873333333334394,0.8300000000000001,-0.01,0.33670833333333994,-0.0052087500000113085,1.1514995833333288,2000-02-25,19.673972602739727,19.0,2,87.14514784946222,0.021661821199413175,0.11961423740654302,0.11961423740654302,0.14572427100651056,0.033811982671261634,0.058816235891501645,1.754862598536141,0.05933538377214916
2,2019-10-26,Joel Farabee,home,Philadelphia Flyers,Columbus Blue Jackets,L,13.75,0,0,0,0.25,1,0,0,0,0,0,0,0.45,0.25,20192020,0.495,0.495,0.495,0.495,-0.495,0.495,-0.044999999999999984,0.245,0.175,0.0,-0.428125,0.70403125,0.45090625,2000-02-25,19.67945205479452,19.0,3,64.54536290322581,0.11962142926017362,0.14634902092765606,0.14634902092765606,0.17667746533948622,0.03988992100415656,0.06492424050449394,1.7511972332513446,0.06985511929709366
3,2019-10-27,Joel Farabee,away,Philadelphia Flyers,New York Islanders,L,16.95,0,0,0,0.1,0,0,0,0,0,0,1,0.55,0.98,20192020,0.5974,0.5974,0.5974,0.5974,-0.5974,-0.40259999999999996,-0.0474,-0.38259999999999994,0.05,0.0,-0.42962500000000003,-0.8650287500000001,-1.2446537500000001,2000-02-25,19.682191780821917,19.0,4,9.849879032258059,0.14614592494464584,0.04127302796670722,0.04127302796670722,0.04942742316224652,0.04596723018990405,0.07102215043395724,1.749372647508846,0.080413815175961
4,2019-10-29,Joel Farabee,away,Philadelphia Flyers,Pittsburgh Penguins,L,13.5,0,0,0,0.12,0,0,0,0,1,0,3,0.15,0.5,20192020,0.487,0.487,0.487,0.487,-0.487,-2.513,-0.33699999999999997,-0.013000000000000012,0.06,-0.01,-0.610625,-1.04201875,-1.60264375,2000-02-25,19.687671232876713,19.0,5,-1.6981854838709651,0.04286325661294674,-0.0756255108561507,-0.0756255108561507,-0.08252419626719978,0.052043818810293296,0.07710779268679507,1.7457395578597499,0.09085495323921436
5,2019-11-01,Joel Farabee,away,Philadelphia Flyers,New Jersey Devils,L,16.083333333333,1,0,0,0.22,0,0,0,0,0,1,1,0.25,0.28,20192020,0.5696666666666561,0.5696666666666561,0.5696666666666561,0.5696666666666561,0.4303333333333439,-0.4303333333333439,-0.3196666666666561,0.2896666666666561,0.86,0.0,0.02520833333333994,0.29533124999998867,1.1805395833333285,2000-02-25,19.695890410958903,19.0,6,88.0819220430106,-0.07129191873766846,0.0088787559722487,0.0088787559722487,0.011257912157673227,0.058119638607468056,0.08317986762931628,1.74032979581235,0.10114733879042245
6,2019-11-02,Joel Farabee,home,Philadelphia Flyers,Toronto Maple Leafs,L,17.55,0,0,0,0.63,0,1,1,0,0,0,0,0.48,0.36,20192020,0.6166,0.6166,0.6166,0.6166,-0.6166,0.6166,-0.13660000000000005,0.25660000000000005,0.315,0.0,-0.48537500000000006,0.64699125,0.47661624999999996,2000-02-25,19.698630136986303,19.0,7,65.37471774193548,0.010354485725375572,0.03877677632203044,0.03877677632203044,0.04653783000779602,0.06419467565433165,0.08923778534732107,1.7385370867255348,0.11160482439537237
7,2019-11-05,Joel Farabee,home,Philadelphia Flyers,Carolina Hurricanes,L,15.516666666667,1,0,0,0.23,0,1,0,0,0,1,0,0.26,0.84,20192020,0.551533333333344,0.551533333333344,0.551533333333344,0.551533333333344,0.448466666666656,0.551533333333344,-0.29153333333334397,-0.288466666666656,0.865,-0.15,0.042791666666659955,-0.23854874999998865,0.5192429166666713,2000-02-25,19.706849315068492,19.0,8,66.74977150537649,0.038954030682565026,0.06807314046026033,0.06807314046026033,0.07889255038744702,0.07026894186785462,0.09528150423302545,1.7331902910516934,0.12178944780784148
8,2019-11-07,Joel Farabee,home,Philadelphia Flyers,Montreal Canadiens,L,19.083333333333,0,0,0,0.15,3,0,0,0,0,1,0,1.06,0.04,20192020,0.6656666666666561,0.6656666666666561,0.6656666666666561,0.6656666666666561,0.3343333333333439,0.6656666666666561,0.39433333333334397,0.625666666666656,0.22500000000000003,0.0,0.4714583333333401,1.2434312499999884,1.9398895833333285,2000-02-25,19.71232876712329,19.0,9,112.57708333333318,0.06686151527011217,0.1773316395491201,0.1773316395491201,0.20104944943492523,0.07634246755679397,0.10131138667026521,1.7296516563678315,0.13204587546081611
9,2019-11-09,Joel Farabee,away,Philadelphia Flyers,Toronto Maple Leafs,L,16.683333333333,0,0,1,0.12,0,0,0,0,1,1,2,0.4,0.65,20192020,0.5888666666666561,0.5888666666666561,0.5888666666666561,0.5888666666666561,0.4111333333333439,-1.411133333333344,-0.18886666666665608,-0.06113333333334392,0.6100000000000001,-0.01,0.10695833333334004,-0.7506487500000115,-0.043690416666671394,2000-02-25,19.71780821917808,19.0,10,48.590631720429954,0.17009010035545372,0.1649421946233016,0.1649421946233016,0.1975868777973801,0.08237366429681789,0.10729586579057437,1.726133540857078,0.14218794482603853
10,2019-11-10,Joel Farabee,away,Philadelphia Flyers,Boston Bruins,L,14.683333333333,0,0,0,0.11,1,1,0,0,0,0,1,0.36,0.5,20192020,0.524866666666656,0.524866666666656,0.524866666666656,0.524866666666656,-0.524866666666656,-0.47513333333334395,-0.16486666666665606,0.024866666666656045,0.10500000000000001,-0.15,-0.5030416666666601,-0.12654875000001142,-0.6745904166666715,2000-02-25,19.720547945205478,19.0,11,28.239018817204144,0.15888293555136654,0.1196175673639227,0.1196175673639227,0.13587665159053808,0.08820557371211891,0.11311515568169919,1.7243821254858063,0.15210011467739856
11,2019-11-13,Joel Farabee,home,Philadelphia Flyers,Washington Capitals,L,11.85,0,0,0,0.0,0,0,1,0,0,0,0,0.07,0.56,20192020,0.4342,0.4342,0.4342,0.4342,-0.4342,0.4342,-0.36419999999999997,-0.12580000000000008,0.0,0.15,-0.627625,0.11205124999999982,-0.36557375000000014,2000-02-25,19.72876712328767,19.0,12,38.20729838709677,0.11729031462661031,0.09432251337698169,0.09432251337698169,0.11138420501653323,0.0937569226388839,0.11870993508532024,1.71915820058196,0.16118298241596565
