,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,RoundAge,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2019-12-22,Jordan Gross,away,Arizona Coyotes,Detroit Red Wings,D,17.55,0,0,1,0.02,0,0,0,0,0,3,1,0.46,0.53,20192020,0.6166,0.6166,0.6166,0.6166,2.3834,-0.38339999999999996,-0.15660000000000002,0.08660000000000001,0.56,0.0,0.5693999999999999,0.14236250000000017,1.2717625000000001,1995-05-09,24.638356164383563,24.0,1,91.02459677419355,0.0,0.11954461535232384,0.11954461535232384,0.14117653836890856,0.08947862559746828,0.10787688165296672,1,0.08947862559746828
1,2019-12-23,Jordan Gross,away,Arizona Coyotes,Nashville Predators,D,14.8,0,0,0,0.02,1,0,0,0,0,0,1,0.54,1.48,20192020,0.5286000000000001,0.5286000000000001,0.5286000000000001,0.5286000000000001,-0.5286000000000001,-0.47139999999999993,0.011399999999999966,-0.9513999999999999,0.060000000000000005,0.0,-0.4146,-2.1691374999999997,-2.5237374999999997,1995-05-09,24.64109589041096,24.0,2,-31.41088709677419,0.12004332171846259,-0.10980964397698244,-0.10980964397698244,-0.11746725283199587,0.03837630683618875,0.04775976146042866,1,0.03837630683618875
2,2021-01-26,Jordan Gross,home,Arizona Coyotes,Anaheim Ducks,D,17.2,0,0,0,0.14,0,0,0,0,0,0,0,0.68,0.52,20202021,0.6054,0.6054,0.6054,0.6054,-0.6054,0.6054,0.0746,0.08540000000000003,0.07,0.0,-0.26739999999999997,0.7242625,0.5268625,1995-05-09,25.736986301369864,25.0,3,66.99556451612904,-0.10838088609968391,-0.05843112805714613,-0.05843112805714613,-0.06594718719627413,0.017117704679515656,0.019916252706691583,1,0.017117704679515656
3,2021-01-28,Jordan Gross,home,Arizona Coyotes,Anaheim Ducks,D,15.266666666667,0,0,0,0.03,1,0,0,0,0,1,1,1.34,0.36,20202021,0.543533333333344,0.543533333333344,0.543533333333344,0.543533333333344,0.45646666666665603,-0.45646666666665603,0.7964666666666561,0.18353333333334398,0.065,0.0,1.250466666666656,0.4283291666666822,1.743795833333338,1995-05-09,25.742465753424657,25.0,4,106.25147849462381,-0.0090351199838541,0.07770863490163493,0.07770863490163493,0.08201936450880007,0.0362257391600795,0.03566949745793544,1,0.0362257391600795
4,2021-02-02,Jordan Gross,away,Arizona Coyotes,St Louis Blues,D,13.033333333333,0,0,0,0.03,1,0,0,0,0,1,2,0.63,0.56,20202021,0.472066666666656,0.472066666666656,0.472066666666656,0.472066666666656,0.527933333333344,-1.527933333333344,0.15793333333334403,-0.08793333333334408,0.065,0.0,0.18593333333334405,-0.7094041666666822,-0.4584708333333381,1995-05-09,25.756164383561643,25.0,5,35.210618279569736,0.22880114481481623,0.03958103791889115,0.03958103791889115,0.040354267726199794,0.07698993125836873,0.07606714574663943,1,0.07698993125836873
5,2021-04-02,Jordan Gross,away,Arizona Coyotes,Anaheim Ducks,D,15.066666666667,0,1,2,0.0,3,0,0,0,0,2,1,0.68,0.41,20202021,0.537133333333344,0.537133333333344,0.537133333333344,0.537133333333344,1.462866666666656,-0.462866666666656,0.14286666666665604,0.12713333333334403,1.9500000000000002,0.0,0.600866666666656,0.3041291666666821,2.854995833333338,1995-05-09,25.91780821917808,25.0,6,142.09663978494638,0.14599640532723318,0.22897856552479595,0.22897856552479595,0.2293862889918704,0.11819400596248406,0.11770536939086412,1,0.11819400596248406
6,2021-04-04,Jordan Gross,away,Arizona Coyotes,Anaheim Ducks,D,14.633333333333,0,0,0,0.04,1,0,0,0,0,0,1,0.31,1.05,20202021,0.523266666666656,0.523266666666656,0.523266666666656,0.523266666666656,-0.523266666666656,-0.476733333333344,-0.213266666666656,-0.526733333333344,0.07,0.0,-0.777266666666656,-1.1878041666666819,-1.895070833333338,1995-05-09,25.923287671232877,25.0,7,-11.131317204301226,0.4678832394171439,0.09320823930152689,0.09320823930152689,0.09451542303718462,0.10338178425001147,0.1000599090770519,1,0.10338178425001147
7,2021-04-05,Jordan Gross,away,Arizona Coyotes,Los Angeles Kings,D,13.816666666667,0,0,0,0.0,2,1,0,0,0,0,1,0.44,0.63,20202021,0.49713333333334403,0.49713333333334403,0.49713333333334403,0.49713333333334403,-0.49713333333334403,-0.5028666666666559,-0.05713333333334403,-0.13286666666665597,0.1,-0.15,-0.543133333333344,-0.2593708333333178,-0.8525041666666617,1995-05-09,25.926027397260274,25.0,8,22.49986559139801,0.21607481752466098,0.035543541024532936,0.035543541024532936,0.03566150780841993,0.07451746888670222,0.06992143589497209,1,0.07451746888670222
8,2021-04-11,Jordan Gross,away,Arizona Coyotes,Vegas Golden Knights,D,3.3,0,0,0,0.0,0,0,0,0,0,0,0,0.18,0.0,20202021,0.1606,0.1606,0.1606,0.1606,-0.1606,0.1606,0.0194,0.1606,0.0,0.0,-0.6226,1.2808625,0.6582625,1995-05-09,25.942465753424656,25.0,9,71.23427419354839,0.11299025832063138,0.07189183739242125,0.07189183739242125,0.06605962017509015,0.07265745764786714,0.07406496535440138,1,0.07265745764786714
9,2021-12-16,Jordan Gross,away,Colorado Avalanche,Nashville Predators,D,8.3166666666667,0,0,0,0.0,0,2,0,0,0,0,0,0.3,0.11,20212022,0.3211333333333344,0.3211333333333344,0.3211333333333344,0.3211333333333344,-0.3211333333333344,0.3211333333333344,-0.021133333333334392,0.2111333333333344,0.0,-0.3,-0.5911333333333344,1.2586291666666682,0.3674958333333338,1995-05-09,26.624657534246577,26.0,10,61.85470430107529,0.16146745604628346,0.08846199102444662,0.08846199102444662,0.08880235920556385,0.0876012091564216,0.09872691390390248,1,0.0876012091564216
