,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,RoundAge,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2016-02-29,Kasperi Kapanen,home,Toronto Maple Leafs,Tampa Bay Lightning,R,16.8,0,0,0,0.35,0,0,0,0,0,0,0,0.79,0.3,20152016,0.5926000000000001,0.5926000000000001,0.5926000000000001,0.5926000000000001,-0.5926000000000001,0.5926000000000001,0.1973999999999999,0.29260000000000014,0.175,0.0,-0.2766250000000001,0.7233412500000002,0.62171625,1996-07-23,19.616438356164384,19.0,1,70.05536290322581,0.0,0.058440809478608774,0.058440809478608774,0.058277010859283794,-0.008737557318128253,-0.013141188315695485,1.7946974236072377,-0.004868540625954803
1,2016-03-02,Kasperi Kapanen,away,Toronto Maple Leafs,Washington Capitals,R,17.116666666667,0,0,0,0.02,0,0,0,0,0,0,0,0.25,0.29,20152016,0.6027333333333441,0.6027333333333441,0.6027333333333441,0.6027333333333441,-0.6027333333333441,0.6027333333333441,-0.3527333333333441,0.31273333333334413,0.01,0.0,-0.6204583333333401,0.7511712500000115,0.1407129166666714,1996-07-23,19.621917808219177,19.0,2,54.53912634408617,0.05868460802732123,0.06557945657873653,0.06557945657873653,0.068506736266687,-0.002659368666875971,-0.006722584433947357,1.7907943502516066,-0.0014850218097361822
2,2016-03-03,Kasperi Kapanen,home,Toronto Maple Leafs,Minnesota Wild,R,14.883333333333,0,0,0,0.0,0,0,0,0,0,0,0,0.27,0.51,20152016,0.531266666666656,0.531266666666656,0.531266666666656,0.531266666666656,-0.531266666666656,0.531266666666656,-0.261266666666656,0.021266666666655998,0.0,0.0,-0.5632916666666601,0.3007912499999886,-0.2625004166666715,1996-07-23,19.624657534246577,19.0,3,41.53224462365576,0.06578426941041454,0.0391038880306543,0.0391038880306543,0.04009624019037943,0.0034071081517751513,-0.0003041358994420833,1.7888516629295834,0.0060948110830839185
3,2016-03-05,Kasperi Kapanen,home,Toronto Maple Leafs,Ottawa Senators,R,12.883333333333,0,0,0,0.14,0,0,0,0,0,0,0,0.42,0.66,20152016,0.467266666666656,0.467266666666656,0.467266666666656,0.467266666666656,-0.467266666666656,0.467266666666656,-0.04726666666665602,-0.19273333333334403,0.07,0.0,-0.42954166666666005,-0.02260875000001139,-0.38215041666667143,1996-07-23,19.63013698630137,19.0,4,37.67256720430092,0.039588145387789146,0.007282445773119303,0.007282445773119303,0.007935263187420953,0.00945983345642462,0.0061141476491057825,1.7849838608613207,0.01688565004615391
4,2016-03-31,Kasperi Kapanen,away,Toronto Maple Leafs,Buffalo Sabres,R,16.116666666667,0,0,0,0.27,0,0,0,0,0,0,0,0.38,0.48,20152016,0.5707333333333441,0.5707333333333441,0.5707333333333441,0.5707333333333441,-0.5707333333333441,0.5707333333333441,-0.19073333333334408,0.0907333333333441,0.135,0.0,-0.51920833333334,0.3939712500000115,0.00976291666667145,1996-07-23,19.7013698630137,19.0,5,50.31493279569908,0.00831132106069572,0.0074588314800694555,0.0074588314800694555,0.012550465515560924,0.015497258474640369,0.01253226035612421,1.7367496139080747,0.0269148576724653
5,2016-04-02,Kasperi Kapanen,home,Toronto Maple Leafs,Detroit Red Wings,R,15.35,0,0,0,0.01,0,0,1,0,0,0,1,0.1,0.13,20152016,0.5462,0.5462,0.5462,0.5462,-0.5462,-0.4538,-0.44620000000000004,0.4162,0.005,0.15,-0.678875,0.52525125,0.0013762499999999678,1996-07-23,19.706849315068492,19.0,6,50.044395161290325,0.008416271289115432,0.007049646341288852,0.007049646341288852,0.007065474102801362,0.02151828220956805,0.018950199689963053,1.7331902910516934,0.037295277805733724
6,2016-04-04,Kasperi Kapanen,home,Toronto Maple Leafs,Florida Panthers,R,13.016666666667,0,0,0,0.41,0,1,0,0,0,0,1,0.45,0.23,20152016,0.471533333333344,0.471533333333344,0.471533333333344,0.471533333333344,-0.471533333333344,-0.528466666666656,-0.021533333333344007,0.241533333333344,0.205,-0.15,-0.41345833333334003,0.27545125000001136,-0.08300708333332868,1996-07-23,19.71232876712329,19.0,7,47.32235215053778,0.00793990477222298,0.001293174023320777,0.001293174023320777,0.0012839719927817547,0.027522200962396052,0.02536796595385529,1.7296516563678315,0.04760382048149665
7,2016-04-06,Kasperi Kapanen,home,Toronto Maple Leafs,Columbus Blue Jackets,R,16.133333333333,0,0,0,0.15,0,0,0,0,0,0,1,0.42,0.57,20152016,0.571266666666656,0.571266666666656,0.571266666666656,0.571266666666656,-0.571266666666656,-0.42873333333334396,-0.15126666666665606,0.001266666666656091,0.075,0.0,-0.49454166666666005,-0.19595875000001117,-0.6155004166666712,1996-07-23,19.71780821917808,19.0,8,30.14514784946222,0.002155310910314238,-0.03631573972452159,-0.03631573972452159,-0.0341432409857297,0.03350865506969534,0.031785561800096396,1.726133540857078,0.057840413424811686
8,2016-04-07,Kasperi Kapanen,away,Toronto Maple Leafs,Philadelphia Flyers,R,10.716666666667,0,0,0,0.0,1,0,0,0,0,0,0,0.08,0.64,20152016,0.397933333333344,0.397933333333344,0.397933333333344,0.397933333333344,-0.397933333333344,0.397933333333344,-0.317933333333344,-0.242066666666656,0.05,0.0,-0.5987083333333401,-0.06270874999998866,-0.6114170833333287,1996-07-23,19.720547945205478,19.0,9,30.276868279570042,-0.03491357184914044,-0.06988458129866618,-0.06988458129866618,-0.06707477579700755,0.039477576160791325,0.03820299176982905,1.7243821254858063,0.06807442668917314
9,2017-03-28,Kasperi Kapanen,home,Toronto Maple Leafs,Florida Panthers,R,11.633333333333,0,0,0,0.34,1,0,1,0,0,0,0,0.34,0.19,20162017,0.427266666666656,0.427266666666656,0.427266666666656,0.427266666666656,-0.427266666666656,0.427266666666656,-0.087266666666656,0.23726666666665602,0.22000000000000003,0.15,-0.45454166666666,0.7336412499999886,0.6490995833333286,1996-07-23,20.693150684931506,20.0,10,70.93869623655898,-0.06761258859921997,-0.029581749704579878,-0.029581749704579878,-0.0057080710168727535,0.04542913717383892,0.044620261872188816,1.3191832282108686,0.0599293558318192
10,2017-03-30,Kasperi Kapanen,away,Toronto Maple Leafs,Nashville Predators,R,9.7,0,0,0,0.0,0,0,0,0,0,0,1,0.0,0.0,20162017,0.3654,0.3654,0.3654,0.3654,-0.3654,-0.6346,-0.3654,0.3654,0.0,0.0,-0.628375,0.55302125,-0.07535375,1996-07-23,20.698630136986303,20.0,11,47.56923387096774,0.004390020367639184,-0.032052885220231135,-0.032052885220231135,-0.030844251846762642,0.0513637065110203,0.05103737920993822,1.317725817802208,0.06768328216758682
11,2017-04-01,Kasperi Kapanen,away,Toronto Maple Leafs,Detroit Red Wings,R,11.466666666667,0,0,0,0.15,0,0,0,0,0,0,1,0.37,0.15,20162017,0.42193333333334404,0.42193333333334404,0.42193333333334404,0.42193333333334404,-0.42193333333334404,-0.578066666666656,-0.051933333333344045,0.271933333333344,0.075,0.0,-0.43245833333334005,0.3584412500000114,0.0009829166666713851,1996-07-23,20.704109589041096,20.0,12,50.03170698924746,-0.0029151638534914547,-0.030330590607105763,-0.030330590607105763,-0.03002831020835351,0.05728180705629819,0.057454351653891914,1.316274664183948,0.07539859134687861
12,2017-04-03,Kasperi Kapanen,away,Toronto Maple Leafs,Buffalo Sabres,R,11.95,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,20162017,0.43739999999999996,0.43739999999999996,0.43739999999999996,0.43739999999999996,-0.43739999999999996,0.43739999999999996,-0.43739999999999996,0.43739999999999996,0.0,0.0,-0.6733750000000001,1.0674712499999999,0.3940962499999998,1996-07-23,20.70958904109589,20.0,13,62.71278225806451,-0.002586889609583723,-0.008911568414205349,-0.008911568414205349,-0.008833924974492823,0.06318408030059583,0.06387118756512454,1.314829733950322,0.08307630749152821
13,2017-04-04,Kasperi Kapanen,home,Toronto Maple Leafs,Washington Capitals,R,11.816666666667,0,0,0,0.0,0,0,0,0,0,0,1,0.0,0.0,20162017,0.43313333333334403,0.43313333333334403,0.43313333333334403,0.43313333333334403,-0.43313333333334403,-0.566866666666656,-0.43313333333334403,0.43313333333334403,0.0,0.0,-0.67070833333334,0.6254112500000113,-0.045297083333328714,1996-07-23,20.71232876712329,20.0,14,48.53880376344101,0.028333386732412102,-0.010692970168785301,-0.010692970168785301,-0.010085740068903986,0.06907372512911732,0.07029001078553136,1.3141095922306705,0.09077044476327778
14,2017-04-06,Kasperi Kapanen,home,Toronto Maple Leafs,Tampa Bay Lightning,R,9.4166666666667,0,0,0,0.14,1,0,0,0,0,0,0,0.26,0.29,20162017,0.3563333333333344,0.3563333333333344,0.3563333333333344,0.3563333333333344,-0.3563333333333344,0.3563333333333344,-0.09633333333333438,0.06633333333333441,0.12000000000000001,0.0,-0.460208333333334,0.48783125000000116,0.14762291666666716,1996-07-23,20.71780821917808,20.0,15,54.76202956989249,0.022999685792457026,-0.0031580223949837297,-0.0031580223949837297,-0.0030602530834727398,0.07496517431933714,0.0767225125960673,1.3126739349748475,0.09840483035983967
15,2017-04-08,Kasperi Kapanen,home,Toronto Maple Leafs,Pittsburgh Penguins,R,10.133333333333,1,0,0,0.08,0,0,1,0,0,1,0,0.23,0.13,20162017,0.37926666666665604,0.37926666666665604,0.37926666666665604,0.37926666666665604,0.620733333333344,0.37926666666665604,-0.14926666666665603,0.24926666666665603,0.79,0.15,0.13170833333333998,0.7843412499999887,1.8560495833333288,1996-07-23,20.723287671232878,20.0,16,109.87256720430094,0.03144747692160138,0.0830253358804596,0.0830253358804596,0.07752572448139533,0.08087082227564062,0.08317857822200303,1.3112444186589478,0.10604141434129347
