,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,RoundAge,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2010-11-03,Kyle Palmieri,home,Anaheim Ducks,Tampa Bay Lightning,R,7.6666666666667,1,0,0,0.28,0,0,0,0,0,1,1,0.35,0.64,20102011,0.3003333333333344,0.3003333333333344,0.3003333333333344,0.3003333333333344,0.6996666666666655,-0.6996666666666655,0.04966666666666558,-0.3396666666666656,0.89,0.0,0.25604166666666595,-0.6045187499999988,0.5415229166666672,1991-02-01,19.767123287671232,19.0,1,67.46848118279571,0.0,0.050902702963316844,0.050902702963316844,0.055915025367208285,0.05900205999667969,0.056697147186371664,1.6953668753217337,0.10003013809411632
1,2010-11-05,Kyle Palmieri,home,Anaheim Ducks,Pittsburgh Penguins,R,8.7666666666667,0,0,0,0.03,0,0,0,0,0,0,0,0.14,0.13,20102011,0.3355333333333344,0.3355333333333344,0.3355333333333344,0.3355333333333344,-0.3355333333333344,0.3355333333333344,-0.1955333333333344,0.2055333333333344,0.015,0.0,-0.522208333333334,0.7376012500000011,0.23039291666666706,1991-02-01,19.77260273972603,19.0,2,57.432029569892485,0.051115054661021175,0.06647684269728302,0.06647684269728302,0.07724023723636478,0.06333705027400874,0.06301453993749892,1.6920450514216427,0.10716914248778028
2,2010-11-07,Kyle Palmieri,home,Anaheim Ducks,Nashville Predators,R,6.8166666666667,0,0,0,0.02,0,0,0,0,0,0,1,0.1,0.5,20102011,0.2731333333333344,0.2731333333333344,0.2731333333333344,0.2731333333333344,-0.2731333333333344,-0.7268666666666657,-0.1731333333333344,-0.2268666666666656,0.01,0.0,-0.508208333333334,-0.39558874999999893,-0.893797083333333,1991-02-01,19.778082191780822,19.0,3,21.167836021505387,0.06663179680574985,-0.011015866325261262,-0.011015866325261262,-0.012680212763645681,0.06767014445131772,0.06929553493488239,1.6887420044542827,0.11427741538242914
3,2010-11-09,Kyle Palmieri,away,Anaheim Ducks,San Jose Sharks,R,6.4166666666667,0,0,0,0.04,0,0,0,0,0,0,0,0.08,0.3,20102011,0.2603333333333344,0.2603333333333344,0.2603333333333344,0.2603333333333344,-0.2603333333333344,0.2603333333333344,-0.1803333333333344,-0.03966666666666557,0.02,0.0,-0.512708333333334,0.3682312500000011,-0.12447708333333285,1991-02-01,19.783561643835615,19.0,4,45.98461021505378,-0.010142226775319034,-0.01958669759091721,-0.01958669759091721,-0.021355636996239134,0.07200259719980869,0.07553787488451236,1.6854575860431722,0.12135732366522842
4,2010-11-10,Kyle Palmieri,home,Anaheim Ducks,New York Islanders,R,7.2333333333333,0,0,0,0.02,0,0,0,0,0,0,0,0.05,0.37,20102011,0.2864666666666656,0.2864666666666656,0.2864666666666656,0.2864666666666656,-0.2864666666666656,0.2864666666666656,-0.2364666666666656,-0.0835333333333344,0.01,0.0,-0.547791666666666,0.2771612499999988,-0.2606304166666672,1991-02-01,19.786301369863015,19.0,5,41.59256720430106,-0.018635284167358185,-0.03672726025810673,-0.03672726025810673,-0.04489159639381252,0.07633557545933965,0.08173961185497912,1.6838223166092081,0.1285355455096423
5,2010-11-12,Kyle Palmieri,home,Anaheim Ducks,Dallas Stars,R,6.65,0,0,0,0.02,0,0,0,0,0,0,0,0.2,0.06,20102011,0.26780000000000004,0.26780000000000004,0.26780000000000004,0.26780000000000004,-0.26780000000000004,0.26780000000000004,-0.06780000000000003,0.20780000000000004,0.01,0.0,-0.442375,0.78421125,0.35183625,1991-02-01,19.791780821917808,19.0,6,61.349556451612905,-0.035398028691253844,-0.010587961608181255,-0.010587961608181255,-0.012093812543749598,0.08067015840558214,0.08789909533768131,1.6805655662615808,0.13557149044128858
6,2010-11-14,Kyle Palmieri,away,Anaheim Ducks,Chicago Blackhawks,R,13.55,0,0,0,0.05,0,0,0,0,0,1,0,0.55,0.43,20102011,0.48860000000000003,0.48860000000000003,0.48860000000000003,0.48860000000000003,0.5114,0.48860000000000003,0.06140000000000001,0.05860000000000004,0.025,0.0,0.263375,0.39119125,0.67956625,1991-02-01,19.797260273972604,19.0,7,71.92149193548387,-0.01022267897712407,0.03352704932554716,0.03352704932554716,0.03962652150454349,0.08500733835253849,0.09401495827882345,1.6773270803651303,0.14258511064847415
7,2010-11-16,Kyle Palmieri,away,Anaheim Ducks,Dallas Stars,R,9.7333333333333,0,0,0,0.07,0,0,0,0,0,0,0,0.19,0.52,20102011,0.3664666666666656,0.3664666666666656,0.3664666666666656,0.3664666666666656,-0.3664666666666656,0.3664666666666656,-0.1764666666666656,-0.1535333333333344,0.035,0.0,-0.510291666666666,0.10766124999999882,-0.3676304166666672,1991-02-01,19.802739726027397,19.0,8,38.140954301075254,0.03203633034344595,0.009066521905139582,0.009066521905139582,0.010723651063802254,0.08934802243709668,0.10008610160914638,1.6741067159584149,0.14957812441954668
8,2010-11-17,Kyle Palmieri,away,Anaheim Ducks,Minnesota Wild,R,13.15,0,0,0,0.07,1,0,0,0,0,0,0,0.18,0.33,20102011,0.4758,0.4758,0.4758,0.4758,-0.4758,0.4758,-0.2958,0.14579999999999999,0.085,0.0,-0.584875,0.54751125,0.04763624999999999,1991-02-01,19.805479452054794,19.0,9,51.536653225806454,0.00888160200003115,0.011317848747552432,0.011317848747552432,0.013731743593584908,0.09369303494394225,0.10611167773324687,1.6725032850493673,0.15670190872998857
9,2010-11-19,Kyle Palmieri,home,Anaheim Ducks,Columbus Blue Jackets,R,6.8833333333333,0,0,0,0.04,0,0,0,0,0,0,1,0.16,0.45,20102011,0.2752666666666656,0.2752666666666656,0.2752666666666656,0.2752666666666656,-0.2752666666666656,-0.7247333333333343,-0.1152666666666656,-0.1747333333333344,0.02,0.0,-0.472041666666666,-0.30830875000000113,-0.7603504166666671,1991-02-01,19.81095890410959,19.0,10,25.47256720430106,0.011007732386083505,-0.031938202883860664,-0.031938202883860664,-0.035333415049486644,0.09804312014173773,0.11209107337824357,1.6693098381040181,0.163664345011017
10,2011-12-10,Kyle Palmieri,away,Anaheim Ducks,Nashville Predators,R,13.566666666667,0,0,0,0.06,0,0,0,0,0,0,0,0.2,0.34,20112012,0.489133333333344,0.489133333333344,0.489133333333344,0.489133333333344,-0.489133333333344,0.489133333333344,-0.289133333333344,0.149133333333344,0.03,0.0,-0.58070833333334,0.5447612500000114,-0.005947083333328607,1991-02-01,20.86849315068493,20.0,11,49.80815860215069,-0.029254531551253155,-0.030534996159262175,-0.030534996159262175,-0.008773235626162671,0.10239894551450499,0.11802389214261996,1.2754921732522788,0.13060905355303765
11,2011-12-14,Kyle Palmieri,home,Anaheim Ducks,Phoenix Coyotes,R,12.733333333333,1,0,0,0.13,1,1,0,0,0,1,0,0.14,0.53,20112012,0.46246666666665603,0.46246666666665603,0.46246666666665603,0.46246666666665603,0.537533333333344,0.46246666666665603,-0.322466666666656,-0.06753333333334399,0.865,-0.15,0.02345833333333991,0.19326124999998862,0.9317195833333285,1991-02-01,20.87945205479452,20.0,12,80.05547043010736,-0.026962946754577263,0.01963136227783579,0.01963136227783579,0.021574286329625016,0.10676110528519056,0.12390993703116132,1.2729522326325848,0.13590178733110578
12,2011-12-16,Kyle Palmieri,away,Anaheim Ducks,Chicago Blackhawks,R,11.216666666667,0,0,1,0.28,0,0,0,0,0,1,2,0.46,0.46,20112012,0.41393333333334403,0.41393333333334403,0.41393333333334403,0.41393333333334403,0.586066666666656,-1.5860666666666559,0.046066666666655987,-0.046066666666655987,0.6900000000000001,0.0,0.25379166666665987,-0.6146087499999885,0.32918291666667143,1991-02-01,20.884931506849316,20.0,13,60.618803763441015,0.05945518257988044,0.03525311608543485,0.03525311608543485,0.03860844667242474,0.11113012414112367,0.12974919321155345,1.2716901847931625,0.14132308810511265
13,2011-12-17,Kyle Palmieri,away,Anaheim Ducks,Winnipeg Jets,R,12.5,0,0,0,0.47,0,0,0,0,0,0,0,1.02,0.32,20112012,0.455,0.455,0.455,0.455,-0.455,0.455,0.565,0.135,0.235,0.0,-0.046875,0.5422812499999999,0.7304062499999999,1991-02-01,20.887671232876713,20.0,14,73.56149193548387,0.0818368676008372,0.06928718198252934,0.06928718198252934,0.07751708692472759,0.1155064610832426,0.13554181118271838,1.271061129927743,0.1468157729384212
14,2011-12-19,Kyle Palmieri,away,Anaheim Ducks,Dallas Stars,R,13.916666666667,0,0,0,0.14,0,0,1,0,0,1,0,0.36,0.24,20112012,0.5003333333333441,0.5003333333333441,0.5003333333333441,0.5003333333333441,0.49966666666665593,0.5003333333333441,-0.14033333333334408,0.2603333333333441,0.07,0.15,0.13729166666665993,0.7267312500000115,1.0840229166666715,1991-02-01,20.893150684931506,20.0,15,84.96848118279586,0.1316184816016231,0.11758290844365274,0.11758290844365274,0.13305617742743653,0.11989051333238974,0.14128809050442165,1.2698069419155034,0.1522378060992817
15,2011-12-22,Kyle Palmieri,away,Anaheim Ducks,Los Angeles Kings,R,10.233333333333,0,0,0,0.29,0,0,0,0,0,0,0,0.5,0.28,20112012,0.382466666666656,0.382466666666656,0.382466666666656,0.382466666666656,-0.382466666666656,0.382466666666656,0.11753333333334398,0.10246666666665599,0.145,0.0,-0.32654166666666007,0.5327612499999885,0.3512195833333285,1991-02-01,20.9013698630137,20.0,16,61.329663978494466,0.19975124398615926,0.1284131100823839,0.1284131100823839,0.14317881077287734,0.12428262023653348,0.14698846420203593,1.2679354153650328,0.1575823357122637
16,2011-12-29,Kyle Palmieri,home,Anaheim Ducks,Vancouver Canucks,R,11.25,0,0,0,0.35,0,0,1,0,0,0,1,0.61,0.33,20112012,0.415,0.415,0.415,0.415,-0.415,-0.585,0.195,0.08499999999999996,0.175,0.15,-0.27812500000000007,0.04503124999999997,0.09190624999999986,1991-02-01,20.92054794520548,20.0,17,52.96471774193548,0.20991769091698884,0.12676203980177025,0.12676203980177025,0.13669178424818026,0.1286830671324064,0.15264348392939203,1.2636135949666407,0.16260567307051363
17,2012-01-08,Kyle Palmieri,home,Anaheim Ducks,Columbus Blue Jackets,R,11.3,0,0,0,0.11,1,0,0,1,0,0,1,0.16,0.31,20112012,0.4166,0.4166,0.4166,0.4166,-0.4166,-0.5833999999999999,-0.25660000000000005,0.10660000000000003,0.10500000000000001,0.01,-0.5603750000000001,0.08074124999999999,-0.3646337500000001,1991-02-01,20.947945205479453,20.0,18,38.23762096774193,0.2024015764870867,0.10504412355907423,0.10504412355907423,0.11684639166659332,0.13309208912371662,0.1582538059461255,1.2575472437057524,0.1673695898365702
18,2012-01-10,Kyle Palmieri,home,Anaheim Ducks,Dallas Stars,R,4.7833333333333,0,0,0,0.01,0,0,0,0,0,1,1,0.02,0.12,20112012,0.2080666666666656,0.2080666666666656,0.2080666666666656,0.2080666666666656,0.7919333333333344,-0.7919333333333344,-0.1880666666666656,0.0880666666666656,0.005,0.0,0.10745833333333399,0.18087124999999882,0.2933295833333328,1991-02-01,20.953424657534246,20.0,19,59.4622446236559,0.16783531408464838,0.1131883285281225,0.1131883285281225,0.12378448820160871,0.13750987474580362,0.16382017794349996,1.2563489395104135,0.17276038530910015
19,2012-01-13,Kyle Palmieri,away,Anaheim Ducks,Edmonton Oilers,R,11.7,0,0,0,0.0,0,0,0,1,0,0,0,0.18,1.11,20112012,0.4294,0.4294,0.4294,0.4294,-0.4294,0.4294,-0.2494,-0.6806000000000001,0.0,0.01,-0.555875,-0.8280787500000001,-1.37395375,1991-02-01,20.96164383561644,20.0,20,5.678911290322581,0.17507183255514838,0.05014588226649502,0.05014588226649502,0.05561606571588656,0.141936569493398,0.16934342673399558,1.2545607229649964,0.17806804523880884
20,2012-02-01,Kyle Palmieri,home,Anaheim Ducks,Dallas Stars,R,11.316666666667,0,0,0,0.15,1,0,0,0,0,0,0,0.11,0.43,20112012,0.417133333333344,0.417133333333344,0.417133333333344,0.417133333333344,-0.417133333333344,0.417133333333344,-0.307133333333344,-0.01286666666665598,0.125,0.0,-0.59195833333334,0.3148112500000114,-0.1521470833333286,1991-02-01,21.013698630136986,21.0,21,45.092029569892624,0.09016018152219263,0.04173054640817945,0.04173054640817945,0.04570611428721509,0.14637227919404894,0.17482444680461226,1.243487892709428,0.18201215700608395
21,2012-03-12,Kyle Palmieri,away,Anaheim Ducks,Colorado Avalanche,R,13.716666666667,0,0,0,0.19,0,0,0,0,0,0,0,0.58,0.63,20112012,0.49393333333334405,0.49393333333334405,0.49393333333334405,0.49393333333334405,-0.49393333333334405,0.49393333333334405,0.08606666666665591,-0.13606666666665596,0.095,0.0,-0.34620833333334006,0.056891250000011384,-0.19431708333332864,1991-02-01,21.123287671232877,21.0,22,43.73170698924746,0.0771280823358634,0.03208285978275026,0.03208285978275026,0.03371544743891542,0.15081707321486987,0.1802641897214753,1.2215341927471832,0.1842282117820189
22,2012-03-14,Kyle Palmieri,home,Anaheim Ducks,Detroit Red Wings,R,13.733333333333,2,0,0,0.59,0,0,0,0,0,3,0,1.06,0.31,20112012,0.494466666666656,0.494466666666656,0.494466666666656,0.494466666666656,2.505533333333344,0.494466666666656,0.5655333333333441,0.184466666666656,1.795,0.0,1.82845833333334,0.6014612499999886,4.224919583333328,1991-02-01,21.12876712328767,21.0,23,186.28772849462348,0.06223519504595341,0.20064175465049855,0.20064175465049855,0.19002940791929654,0.15527098749458024,0.18566365436357918,1.2204825581920844,0.18950553203039644
23,2012-03-16,Kyle Palmieri,home,Anaheim Ducks,Los Angeles Kings,R,10.116666666667,0,0,0,0.12,1,0,0,0,0,0,0,0.29,1.19,20112012,0.37873333333334397,0.37873333333334397,0.37873333333334397,0.37873333333334397,-0.37873333333334397,0.37873333333334397,-0.08873333333334399,-0.8112666666666559,0.11,0.0,-0.45545833333334,-1.0182287499999885,-1.3636870833333286,1991-02-01,21.134246575342466,21.0,24,6.01009408602166,0.27952767432900255,0.1387195283598998,0.1387195283598998,0.1373278904535578,0.1597340273964612,0.19102387795601478,1.2194351615234882,0.19478528949900095
24,2012-03-18,Kyle Palmieri,home,Anaheim Ducks,Nashville Predators,R,11.85,0,0,0,0.2,1,0,0,0,0,0,1,0.32,0.54,20112012,0.4342,0.4342,0.4342,0.4342,-0.4342,-0.5658000000000001,-0.11419999999999997,-0.10580000000000006,0.15000000000000002,0.0,-0.471375,-0.29144875000000015,-0.6128237500000001,1991-02-01,21.13972602739726,21.0,25,30.231491935483866,0.1977108595193483,0.10939900639214033,0.10939900639214033,0.10964420893053525,0.16420616929774673,0.19634593372620163,1.2183919833268886,0.20006748028519247
25,2012-03-19,Kyle Palmieri,away,Anaheim Ducks,San Jose Sharks,R,11.1,1,1,0,0.29,0,1,0,0,0,3,0,0.59,0.62,20112012,0.4102,0.4102,0.4102,0.4102,2.5898,0.4102,0.17979999999999996,-0.2098,1.595,-0.15,1.5873750000000002,-0.015598749999999995,3.01677625,1991-02-01,21.14246575342466,21.0,26,147.3153629032258,0.1591278527674322,0.22129505362935448,0.22129505362935448,0.21090951958498977,0.16868615008115043,0.20163732149995514,1.2178719701229004,0.20543813393177793
26,2012-03-21,Kyle Palmieri,home,Anaheim Ducks,St Louis Blues,R,11.35,0,1,0,0.11,0,1,0,0,0,1,2,0.15,0.76,20112012,0.4182,0.4182,0.4182,0.4182,0.5818,-1.5817999999999999,-0.2682,-0.3418,0.755,-0.15,0.0573749999999999,-1.1200487499999996,-0.45767374999999966,1991-02-01,21.147945205479452,21.0,27,35.2363306451613,0.2892131428867494,0.19549447754907945,0.19549447754907945,0.1844218269672509,0.17316936812357475,0.20692197240732838,1.216835083506225,0.21071856252137028
