,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,RoundAge,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2016-10-15,Lawson Crouse,home,Arizona Coyotes,Philadelphia Flyers,L,5.6,0,0,0,0.0,0,0,0,0,0,0,1,0.03,0.42,20162017,0.2342,0.2342,0.2342,0.2342,-0.2342,-0.7658,-0.2042,-0.1858,0.0,0.0,-0.527625,-0.30119875000000007,-0.8288237500000001,1997-06-23,19.326027397260273,19.0,1,23.263749999999998,0.0,-0.07790874191417078,-0.07790874191417078,-0.08090333488021162,-0.15130737234330977,-0.1785781563930543,2.041569845236089,-0.07411324804604588
1,2016-10-18,Lawson Crouse,away,Arizona Coyotes,Ottawa Senators,L,11.016666666667,0,0,0,0.51,0,0,0,0,0,0,0,0.71,0.7,20162017,0.407533333333344,0.407533333333344,0.407533333333344,0.407533333333344,-0.407533333333344,0.407533333333344,0.30246666666665595,-0.29246666666665594,0.255,0.0,-0.21095833333334005,-0.1544487499999886,-0.11040708333332863,1997-06-23,19.334246575342465,19.0,2,46.438481182795854,-0.07823375517767871,-0.08072858205999962,-0.08072858205999962,-0.09971135661053716,-0.14892888923512584,-0.17557286215617407,2.033311511689044,-0.07324450207406373
2,2016-10-21,Lawson Crouse,away,Arizona Coyotes,New York Islanders,L,4.0666666666667,0,0,0,0.04,0,1,1,0,0,0,1,0.08,0.72,20162017,0.1851333333333344,0.1851333333333344,0.1851333333333344,0.1851333333333344,-0.1851333333333344,-0.8148666666666656,-0.1051333333333344,-0.5348666666666656,0.02,0.0,-0.465708333333334,-0.863638749999999,-1.309347083333333,1997-06-23,19.34246575342466,19.0,3,7.7629973118279665,-0.08102325887614346,-0.1798763079723799,-0.1798763079723799,-0.22161401926231775,-0.1465487597058416,-0.17256813831612916,2.0251396905678942,-0.07236476594103297
3,2016-10-23,Lawson Crouse,away,Arizona Coyotes,New York Rangers,L,10.166666666667,0,0,0,0.05,0,0,0,0,0,0,1,0.43,0.26,20162017,0.380333333333344,0.380333333333344,0.380333333333344,0.380333333333344,-0.380333333333344,-0.6196666666666559,0.04966666666665598,0.120333333333344,0.025,0.0,-0.36895833333334005,0.12698125000001143,-0.2169770833333286,1997-06-23,19.34794520547945,19.0,4,43.000739247311984,-0.17954247051429312,-0.18267889103846033,-0.18267889103846033,-0.2083270476223049,-0.14416665374246385,-0.1695640051574937,2.0197392275927326,-0.07137884523552668
4,2016-10-25,Lawson Crouse,away,Arizona Coyotes,New Jersey Devils,L,10.616666666667,0,0,0,0.0,0,0,0,0,0,0,0,0.14,0.42,20162017,0.394733333333344,0.394733333333344,0.394733333333344,0.394733333333344,-0.394733333333344,0.394733333333344,-0.25473333333334397,-0.025266666666656,0.0,0.0,-0.55920833333334,0.30787125000001136,-0.2513370833333286,1997-06-23,19.353424657534248,19.0,5,41.89235215053779,-0.18233186007395868,-0.18756115908576135,-0.18756115908576135,-0.23163559157654343,-0.141782305882865,-0.16656047272494584,2.014376255124749,-0.07038521503723967
5,2016-11-01,Lawson Crouse,home,Arizona Coyotes,San Jose Sharks,L,13.116666666667,1,0,0,0.13,3,0,0,0,0,1,0,0.27,0.88,20162017,0.474733333333344,0.474733333333344,0.474733333333344,0.474733333333344,0.525266666666656,0.474733333333344,-0.20473333333334398,-0.405266666666656,0.965,0.0,0.09704166666665998,-0.38862874999998864,0.6734129166666712,1997-06-23,19.372602739726027,19.0,6,71.72299731182811,-0.1871341507667623,-0.12964203415046552,-0.12964203415046552,-0.16360528666060392,-0.1393955107065166,-0.16355754211517645,1.9958957257641925,-0.06984107882346638
6,2016-11-03,Lawson Crouse,home,Arizona Coyotes,Nashville Predators,L,14.4,0,0,0,0.02,0,0,0,0,0,0,1,0.28,0.1,20162017,0.5158,0.5158,0.5158,0.5158,-0.5158,-0.48419999999999996,-0.2358,0.41580000000000006,0.01,0.0,-0.5473750000000001,0.54376125,0.006386249999999927,1997-06-23,19.378082191780823,19.0,7,50.206008064516126,-0.13043915157722044,-0.1209470365084009,-0.1209470365084009,-0.14721415411022012,-0.13700611738791263,-0.16055520679054636,1.9906968962420175,-0.06882319334829375
7,2016-11-04,Lawson Crouse,away,Arizona Coyotes,Anaheim Ducks,L,14.25,0,0,0,0.22,1,1,1,0,0,0,0,0.38,0.49,20162017,0.511,0.511,0.511,0.511,-0.511,0.511,-0.131,0.02100000000000002,0.16,0.0,-0.48187500000000005,0.31313125,-0.008743749999999995,1997-06-23,19.38082191780822,19.0,8,49.7179435483871,-0.12195159611834779,-0.11410545483794571,-0.11410545483794571,-0.13724291637346697,-0.13461402377512446,-0.15755345385466193,1.988110812402737,-0.06770951746519416
8,2016-11-08,Lawson Crouse,away,Arizona Coyotes,Colorado Avalanche,L,12.9,0,0,0,0.04,0,0,0,0,0,0,1,0.05,0.17,20162017,0.4678,0.4678,0.4678,0.4678,-0.4678,-0.5322,-0.4178,0.29779999999999995,0.02,0.0,-0.661125,0.3734612499999999,-0.26766375000000003,1997-06-23,19.39178082191781,19.0,9,41.36568548387097,-0.1153273687286192,-0.12306869955990048,-0.12306869955990048,-0.16010972112060368,-0.13221917034729302,-0.15455226524924723,1.9778543344436046,-0.06684980185079603
9,2016-11-10,Lawson Crouse,home,Arizona Coyotes,Winnipeg Jets,L,9.0333333333333,0,0,0,0.13,0,0,0,0,0,0,0,0.24,0.22,20162017,0.3440666666666656,0.3440666666666656,0.3440666666666656,0.3440666666666656,-0.3440666666666656,0.3440666666666656,-0.10406666666666559,0.12406666666666558,0.065,0.0,-0.465041666666666,0.5937212499999989,0.19367958333333285,1997-06-23,19.397260273972602,19.0,10,56.247728494623644,-0.12380935099158454,-0.1053132977984499,-0.1053132977984499,-0.13018379647149536,-0.12982153430901167,-0.15155161884732568,1.9727782096120483,-0.06580645187405096
