,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,RoundAge,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2021-03-23,MacKenzie Entwistle,home,Chicago Blackhawks,Florida Panthers,R,6.05,0,0,0,0.14,0,0,0,0,0,0,0,0.26,0.26,20202021,0.2486,0.2486,0.2486,0.2486,-0.2486,0.2486,0.011400000000000021,-0.011400000000000021,0.07,0.0,-0.392875,0.42369124999999996,0.10081625,1999-07-14,21.706849315068492,21.0,1,53.25213709677419,0.0,0.00947664349869863,0.00947664349869863,0.009114963925905164,-0.008928667074817815,-0.008453551449512136,1.1300893377617705,-0.00790085064646458
1,2021-05-04,MacKenzie Entwistle,away,Chicago Blackhawks,Carolina Hurricanes,R,10.05,0,1,0,0.11,0,0,0,2,6,1,0,0.53,0.38,20202021,0.37660000000000005,0.37660000000000005,0.37660000000000005,0.37660000000000005,0.6234,0.37660000000000005,0.15339999999999998,-0.0033999999999999586,0.755,-0.04,0.3208749999999999,0.35649125000000004,1.3923662499999998,1999-07-14,21.82191780821918,21.0,2,94.91504032258064,0.009516177378401198,0.12946823258832021,0.12946823258832021,0.11814872459826838,-0.01329437570040382,-0.012850128530938816,1.1161766081939533,-0.011910638157804606
2,2021-05-06,MacKenzie Entwistle,away,Chicago Blackhawks,Carolina Hurricanes,R,11.066666666667,0,0,0,0.08,1,0,0,2,8,0,0,0.37,0.68,20202021,0.409133333333344,0.409133333333344,0.409133333333344,0.409133333333344,-0.409133333333344,0.409133333333344,-0.03913333333334401,-0.27086666666665604,0.09,-0.06,-0.42445833333334004,-0.11873874999998868,-0.5131970833333287,1999-07-14,21.827397260273973,21.0,3,33.445255376344235,0.13781783174314227,0.07760607641017775,0.07760607641017775,0.06860116764206652,-0.01692722689223071,-0.01646725625470441,1.1155425550200773,-0.015173985802743364
3,2021-05-09,MacKenzie Entwistle,home,Chicago Blackhawks,Dallas Stars,R,12.466666666667,1,0,0,0.17,1,0,0,2,5,1,1,0.28,1.64,20202021,0.453933333333344,0.453933333333344,0.453933333333344,0.453933333333344,0.546066666666656,-0.546066666666656,-0.173933333333344,-1.186066666666656,0.885,-0.03,0.11629166666666002,-2.1403587499999888,-1.1690670833333288,1999-07-14,21.835616438356166,21.0,4,12.288158602150688,0.0823511886521264,-0.016567294697093324,-0.016567294697093324,-0.0151177220512511,-0.01965209088749445,-0.019173939022708184,1.1145961877481796,-0.017631579134679796
4,2021-05-10,MacKenzie Entwistle,home,Chicago Blackhawks,Dallas Stars,R,9.45,0,0,0,0.0,0,1,0,0,2,0,0,0.04,0.53,20202021,0.3574,0.3574,0.3574,0.3574,-0.3574,0.3574,-0.3174,-0.17260000000000003,0.0,-0.16999999999999998,-0.5983750000000001,0.08097124999999983,-0.6874037500000002,1999-07-14,21.838356164383562,21.0,5,27.825685483870963,-0.016418670000374988,-0.06427031863666857,-0.06427031863666857,-0.05857042153868643,-0.021479292027494813,-0.021006581496929532,1.1142819841013067,-0.019276352246526126
5,2021-10-13,MacKenzie Entwistle,away,Chicago Blackhawks,Colorado Avalanche,R,9.5333333333333,0,0,0,0.0,0,0,0,0,2,1,1,0.2,0.51,20212022,0.3600666666666656,0.3600666666666656,0.3600666666666656,0.3600666666666656,0.6399333333333344,-0.6399333333333344,-0.16006666666666558,-0.14993333333333442,0.0,-0.02,0.12495833333333406,-0.3196787500000011,-0.21472041666666708,1999-07-14,22.265753424657536,22.0,6,43.07353494623655,-0.06558991432448755,-0.07439134117351047,-0.07439134117351047,-0.0797995448573324,-0.022892562548897405,-0.022516297134169666,1.0722637041507144,-0.02134975049540583
6,2021-10-15,MacKenzie Entwistle,away,Chicago Blackhawks,New Jersey Devils,R,10.7,0,0,0,0.04,0,0,0,0,4,0,0,0.06,0.1,20212022,0.3974,0.3974,0.3974,0.3974,-0.3974,0.3974,-0.3374,0.2974,0.02,-0.04,-0.6108750000000001,0.85472125,0.2238462499999999,1999-07-14,22.27123287671233,22.0,7,57.22084677419355,-0.07898642767941352,-0.05532784148869267,-0.05532784148869267,-0.06494784020243712,-0.024983761613387962,-0.024946050156641496,1.071807569879581,-0.02330993203956837
7,2021-10-16,MacKenzie Entwistle,away,Chicago Blackhawks,Pittsburgh Penguins,R,12.133333333333,0,0,0,0.0,0,0,2,0,3,0,1,0.18,0.31,20212022,0.44326666666665604,0.44326666666665604,0.44326666666665604,0.44326666666665604,-0.44326666666665604,-0.556733333333344,-0.26326666666665605,0.13326666666665604,0.0,0.27,-0.5645416666666601,0.10924124999998863,-0.1853004166666714,1999-07-14,22.273972602739725,22.0,8,44.02256720430092,-0.0539374601895488,-0.06325290336228531,-0.06325290336228531,-0.0695999915437541,-0.02754841711761274,-0.02805297489110175,1.0715802205210965,-0.02570821725714224
8,2021-10-19,MacKenzie Entwistle,home,Chicago Blackhawks,New York Islanders,R,11.983333333333,1,0,0,0.32,0,0,0,2,1,1,1,0.41,0.13,20212022,0.438466666666656,0.438466666666656,0.438466666666656,0.438466666666656,0.561533333333344,-0.561533333333344,-0.028466666666656038,0.308466666666656,0.91,0.01,0.20720833333333988,0.4101112499999886,1.5373195833333286,1999-07-14,22.28219178082192,22.0,9,99.59095430107512,-0.0639908179072324,0.03017300292522851,0.03017300292522851,0.039473466780302266,-0.029827160537227643,-0.03094039693622356,1.070901034588768,-0.027852396789103336
9,2021-10-21,MacKenzie Entwistle,home,Chicago Blackhawks,Vancouver Canucks,R,8.95,0,0,0,0.0,1,0,0,0,0,0,0,0.1,0.32,20212022,0.3414,0.3414,0.3414,0.3414,-0.3414,0.3414,-0.24139999999999998,0.021399999999999975,0.05,0.0,-0.550875,0.4208712499999999,-0.08000375000000004,1999-07-14,22.28767123287671,22.0,10,47.419233870967744,0.050454105092666686,0.02399701833869518,0.02399701833869518,0.029865726421250766,-0.031200447953046807,-0.03286532459349714,1.0704506216526752,-0.029147022125015208
