,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,RoundAge,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2013-10-05,Matt Dumba,home,Minnesota Wild,Anaheim Ducks,D,10.366666666667,0,0,0,0.02,0,0,0,0,0,0,0,0.72,0.16,20132014,0.386733333333344,0.386733333333344,0.386733333333344,0.386733333333344,-0.386733333333344,0.386733333333344,0.333266666666656,0.22673333333334397,0.01,0.0,0.015266666666655881,1.237929166666682,1.263195833333338,1994-07-25,19.21095890410959,19.0,1,90.74825268817219,0.0,0.11873935582350639,0.11873935582350639,0.15404516974166693,0.13136561392348528,0.2512825005307377,2.16706856776709,0.2846782928190117
1,2013-10-10,Matt Dumba,home,Minnesota Wild,Winnipeg Jets,D,11.716666666667,0,0,0,0.09,0,0,0,0,0,0,0,0.94,0.19,20132014,0.42993333333334405,0.42993333333334405,0.42993333333334405,0.42993333333334405,-0.42993333333334405,0.42993333333334405,0.5100666666666559,0.23993333333334405,0.045,0.0,0.32406666666665584,1.2310291666666822,1.600095833333338,1994-07-25,19.224657534246575,19.0,2,101.61599462365606,0.11923470287436164,0.24727479126893992,0.24727479126893992,0.2757632945354604,0.13770460181136274,0.2557654913833232,2.151090741705719,0.296215094046695
2,2013-10-12,Matt Dumba,home,Minnesota Wild,Dallas Stars,D,15.033333333333,1,0,0,0.16,0,0,0,0,0,0,0,0.66,0.19,20132014,0.536066666666656,0.536066666666656,0.536066666666656,0.536066666666656,-0.536066666666656,0.536066666666656,0.123933333333344,0.34606666666665603,0.83,0.0,-0.23006666666665598,1.383595833333318,1.9835291666666621,1994-07-25,19.23013698630137,19.0,3,113.98481182795683,0.24807717796952308,0.3873879938193603,0.3873879938193603,0.421358689024028,0.14403105982650216,0.2602330556174919,2.1447830945691386,0.308915382208758
3,2013-10-14,Matt Dumba,away,Minnesota Wild,Buffalo Sabres,D,15.5,0,0,0,0.08,0,1,0,0,0,0,0,0.13,0.36,20132014,0.551,0.551,0.551,0.551,-0.551,0.551,-0.42100000000000004,0.19100000000000006,0.04,-0.15,-1.093,1.0140625,-0.18893749999999976,1994-07-25,19.235616438356164,19.0,4,43.90524193548388,0.38747326350930666,0.34385251366255765,0.34385251366255765,0.4255774190667726,0.1503372961903936,0.2646844336200569,2.1385223783774756,0.32149967220791953
4,2013-10-17,Matt Dumba,away,Minnesota Wild,Tampa Bay Lightning,D,14.216666666667,0,0,0,0.05,0,0,0,0,0,0,0,0.15,0.33,20132014,0.509933333333344,0.509933333333344,0.509933333333344,0.509933333333344,-0.509933333333344,0.509933333333344,-0.359933333333344,0.179933333333344,0.025,0.0,-1.019933333333344,1.024029166666682,0.029095833333338095,1994-07-25,19.243835616438357,19.0,5,50.93857526881736,0.34446510373439265,0.3214702395058763,0.3214702395058763,0.3634740068724967,0.15661649468383246,0.26911903001894794,2.12921819551197,0.3334706901981198
5,2013-10-19,Matt Dumba,away,Minnesota Wild,Florida Panthers,D,10.966666666667,0,0,0,0.03,0,0,0,0,0,0,0,0.4,0.15,20132014,0.405933333333344,0.405933333333344,0.405933333333344,0.405933333333344,-0.405933333333344,0.405933333333344,-0.005933333333344004,0.255933333333344,0.015,0.0,-0.515933333333344,1.288529166666682,0.787595833333338,1994-07-25,19.24931506849315,19.0,6,75.40631720430123,0.32245108756629814,0.3528272655357688,0.3528272655357688,0.43813289967128216,0.1628626887064727,0.27353640391944245,2.1230726103509157,0.3457693136408196
6,2013-10-24,Matt Dumba,home,Minnesota Wild,Carolina Hurricanes,D,12.283333333333,0,0,1,0.04,1,0,0,0,0,0,0,0.24,0.08,20132014,0.44806666666665595,0.44806666666665595,0.44806666666665595,0.44806666666665595,-0.44806666666665595,0.44806666666665595,-0.20806666666665596,0.36806666666665594,0.6200000000000001,0.0,-0.814066666666656,1.5100958333333179,1.3160291666666621,1994-07-25,19.263013698630136,19.0,7,92.4525537634407,0.3529099184768963,0.4143956247301064,0.4143956247301064,0.4534428123208954,0.16907072531905482,0.27793625777736286,2.1079053155616934,0.3563850806059066
7,2013-10-26,Matt Dumba,away,Minnesota Wild,Chicago Blackhawks,D,10.216666666667,0,0,0,0.0,1,0,1,0,0,0,0,0.06,0.62,20132014,0.381933333333344,0.381933333333344,0.381933333333344,0.381933333333344,-0.381933333333344,0.381933333333344,-0.321933333333344,-0.238066666666656,0.05,0.15,-1.035933333333344,0.1730291666666821,-0.662904166666662,1994-07-25,19.268493150684932,19.0,8,28.615994623656064,0.41263371352994416,0.34870740172200854,0.34870740172200854,0.3746173007813369,0.17523622188836221,0.28231842542863955,2.1019158161948917,0.368331786357386
8,2013-10-28,Matt Dumba,home,Minnesota Wild,Chicago Blackhawks,D,14.416666666667,0,0,0,0.05,0,0,1,0,0,1,2,0.63,0.54,20132014,0.5163333333333441,0.5163333333333441,0.5163333333333441,0.5163333333333441,0.4836666666666559,-1.483666666666656,0.11366666666665592,-0.023666666666655956,0.025,0.15,0.14166666666665595,-0.599770833333318,-0.2831041666666621,1994-07-25,19.273972602739725,19.0,9,40.86760752688187,0.3496069661045431,0.31182836695769767,0.31182836695769767,0.3364671600102009,0.18135551762053687,0.2866828597069953,2.0959698562962332,0.38011569820564567
9,2013-11-09,Matt Dumba,away,Minnesota Wild,Carolina Hurricanes,D,10.85,0,0,0,0.0,0,0,0,0,0,0,1,0.44,0.28,20132014,0.4022,0.4022,0.4022,0.4022,-0.4022,-0.5978,0.0378,0.12219999999999998,0.0,0.0,-0.44820000000000004,0.4091625000000001,-0.03903749999999995,1994-07-25,19.306849315068494,19.0,10,48.740725806451614,0.31445589964860343,0.29216049575312525,0.29216049575312525,0.29719009482881814,0.1874256219333422,0.29102961999979454,2.061183250631227,0.3863185526681457
