,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,RoundAge,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2015-10-08,Mattias Janmark,home,Dallas Stars,Pittsburgh Penguins,C,11.9,1,0,0,0.59,0,0,0,3,9,1,0,0.91,0.16,20152016,0.4358,0.4358,0.4358,0.4358,0.5642,0.4358,0.4742,0.27580000000000005,1.045,-0.06,0.521375,0.79376125,2.3001362499999995,1992-12-08,22.846575342465755,22.0,1,124.19794354838709,0.0,0.21621089099905563,0.21621089099905563,0.2558404446633418,0.35900601816590677,0.41315148683300146,1.0335392290232477,0.37104680322989736
1,2015-10-10,Mattias Janmark,away,Dallas Stars,Colorado Avalanche,C,14.983333333333,1,0,0,0.07,1,0,0,5,10,1,1,0.26,0.22,20152016,0.534466666666656,0.534466666666656,0.534466666666656,0.534466666666656,0.465533333333344,-0.465533333333344,-0.274466666666656,0.314466666666656,0.8350000000000001,-0.05,0.05345833333333999,0.3597112499999886,1.1981695833333286,1992-12-08,22.852054794520548,22.0,2,88.65063172042996,0.2171128617607832,0.30141420973080674,0.30141420973080674,0.40147726355306645,0.36352782634917874,0.41690988497108084,1.0332576147744346,0.37561789475768725
2,2015-10-13,Mattias Janmark,home,Dallas Stars,Edmonton Oilers,C,14.35,0,1,0,0.19,0,0,0,0,0,1,1,0.69,0.67,20152016,0.5142,0.5142,0.5142,0.5142,0.4858,-0.4858,0.17579999999999996,-0.15580000000000005,0.7949999999999999,0.0,0.3348749999999999,-0.4269487500000001,0.7029262499999996,1992-12-08,22.86027397260274,22.0,3,72.67504032258063,0.30202465180385424,0.333815647343762,0.333815647343762,0.41964415983132786,0.36797923368224145,0.42062240488128144,1.0328378487087522,0.3800628800858615
3,2015-10-15,Mattias Janmark,away,Dallas Stars,Tampa Bay Lightning,C,17.0,0,1,0,0.03,2,0,0,0,1,1,0,0.15,0.75,20152016,0.5990000000000001,0.5990000000000001,0.5990000000000001,0.5990000000000001,0.4009999999999999,0.5990000000000001,-0.44900000000000007,-0.1509999999999999,0.815,-0.01,-0.05562500000000009,-0.0348187499999999,0.71455625,1992-12-08,22.865753424657534,22.0,4,73.05020161290322,0.3341279342162231,0.36257669492814165,0.36257669492814165,0.4073961094549247,0.37235041191273566,0.4242807795871823,1.0325597696218785,0.3844740555432259
4,2015-10-17,Mattias Janmark,away,Dallas Stars,Florida Panthers,C,14.616666666667,0,0,0,0.29,0,0,1,0,0,0,0,0.39,0.5,20152016,0.522733333333344,0.522733333333344,0.522733333333344,0.522733333333344,-0.522733333333344,0.522733333333344,-0.13273333333334403,0.02273333333334404,0.145,0.15,-0.48295833333334004,0.3086712500000114,0.12071291666667133,1992-12-08,22.87123287671233,22.0,5,53.893965053763594,0.36243299632262715,0.345377818043442,0.345377818043442,0.3817777299986156,0.37663334627465817,0.4278781529371536,1.0322830983236273,0.38879223762439974
5,2015-10-20,Mattias Janmark,away,Dallas Stars,Philadelphia Flyers,C,12.116666666667,0,0,0,0.17,1,0,0,0,0,0,0,0.35,0.42,20152016,0.44273333333334397,0.44273333333334397,0.44273333333334397,0.44273333333334397,-0.44273333333334397,0.44273333333334397,-0.09273333333334399,0.022733333333343986,0.135,0.0,-0.45795833333334,0.3591712500000114,0.03621291666667137,1992-12-08,22.87945205479452,22.0,6,51.16815860215069,0.3456341488862501,0.3245797928150976,0.3245797928150976,0.37059851781787395,0.3808217276635193,0.4314090034132922,1.0318707231926538,0.3929587915316315
6,2015-10-22,Mattias Janmark,away,Dallas Stars,Pittsburgh Penguins,C,12.75,1,0,0,0.37,0,0,0,0,0,2,0,0.94,0.31,20152016,0.463,0.463,0.463,0.463,1.537,0.463,0.4769999999999999,0.15300000000000002,0.935,0.0,1.1481249999999998,0.56783125,2.65095625,1992-12-08,22.884931506849316,22.0,7,135.5147177419355,0.3254197018159367,0.47328296830617905,0.47328296830617905,0.5346993811792938,0.384910820959788,0.43486904820823585,1.0315975558180837,0.39707306211004934
7,2015-10-24,Mattias Janmark,home,Dallas Stars,Florida Panthers,C,14.75,0,0,0,0.23,0,0,0,5,2,0,4,0.8,0.77,20152016,0.527,0.527,0.527,0.527,-0.527,-3.473,0.273,-0.243,0.115,0.03,-0.22937500000000002,-1.8957687499999998,-1.9801437499999999,1992-12-08,22.89041095890411,22.0,8,-13.87560483870967,0.4685418134709703,0.3236855742538056,0.3236855742538056,0.3716603902093604,0.38889731929209403,0.43825513520930587,1.0313257838362397,0.40107983265073127
8,2015-10-27,Mattias Janmark,home,Dallas Stars,Anaheim Ducks,C,12.6,0,0,0,0.37,0,0,0,0,1,0,1,0.81,0.29,20152016,0.4582,0.4582,0.4582,0.4582,-0.4582,-0.5418000000000001,0.35180000000000006,0.16820000000000002,0.185,-0.01,-0.18012499999999995,0.15920125000000002,0.15407625000000005,1992-12-08,22.898630136986302,22.0,9,54.970201612903224,0.3260663154987031,0.3137854260474982,0.3137854260474982,0.3807094214288415,0.392779192097538,0.4415651290725147,1.0309207345609366,0.40492421323744504
9,2015-10-29,Mattias Janmark,home,Dallas Stars,Vancouver Canucks,C,9.4,0,0,0,0.0,0,0,0,0,0,1,0,0.29,0.52,20152016,0.3558,0.3558,0.3558,0.3558,0.6442,0.3558,-0.06580000000000003,-0.1642,0.0,0.0,0.183875,0.09626124999999996,0.28013625,1992-12-08,22.904109589041095,22.0,10,59.03665322580645,0.31655810758639524,0.31189921332928594,0.31189921332928594,0.35954566601829696,0.3965555330619334,0.4447977962188473,1.0306524357591436,0.40871092606404724
10,2015-10-31,Mattias Janmark,home,Dallas Stars,San Jose Sharks,C,11.033333333333,0,0,0,0.04,0,0,1,0,0,0,0,0.47,0.26,20152016,0.408066666666656,0.408066666666656,0.408066666666656,0.408066666666656,-0.408066666666656,0.408066666666656,0.061933333333344,0.14806666666665597,0.02,0.15,-0.36129166666666,0.5941212499999885,0.40282958333332847,1992-12-08,22.90958904109589,22.0,11,62.994502688171885,0.3146431506350534,0.31680835571585503,0.31680835571585503,0.34254621020646153,0.40022641245954044,0.44795269238561225,1.0303855201502774,0.41238750018000303
11,2015-11-02,Mattias Janmark,away,Dallas Stars,Toronto Maple Leafs,C,10.116666666667,0,0,0,0.33,0,0,1,0,0,0,0,1.02,0.14,20152016,0.37873333333334397,0.37873333333334397,0.37873333333334397,0.37873333333334397,-0.37873333333334397,0.37873333333334397,0.641266666666656,0.23873333333334396,0.165,0.15,0.0007916666666599737,0.7667712500000113,1.0825629166666713,1992-12-08,22.915068493150685,22.0,12,84.92138440860231,0.3190641409567472,0.35673034579851903,0.35673034579851903,0.40893273506031713,0.4037927370818075,0.45103005533698487,1.0301199842841617,0.41595496797677023
12,2015-11-03,Mattias Janmark,away,Dallas Stars,Boston Bruins,C,16.816666666667,0,1,0,0.28,1,0,0,0,0,0,1,0.43,0.18,20152016,0.5931333333333441,0.5931333333333441,0.5931333333333441,0.5931333333333441,-0.5931333333333441,-0.40686666666665594,-0.16313333333334407,0.41313333333334407,0.89,0.0,-0.5019583333333401,0.4904112500000114,0.8784529166666714,1992-12-08,22.91780821917808,22.0,13,78.3371908602152,0.35564556271106124,0.38305947076143954,0.38305947076143954,0.43264966603755217,0.4072561198482083,0.4540307044833356,1.0299877326807558,0.41946880750281823
13,2015-11-06,Mattias Janmark,away,Dallas Stars,Carolina Hurricanes,C,16.516666666667,0,0,0,0.02,0,0,0,0,0,0,0,0.63,0.72,20152016,0.583533333333344,0.583533333333344,0.583533333333344,0.583533333333344,-0.583533333333344,0.583533333333344,0.046466666666656,-0.13646666666665597,0.01,0.0,-0.37095833333334005,-0.0003487499999885735,-0.3613070833333286,1992-12-08,22.926027397260274,22.0,14,38.34493279569908,0.3795930356659319,0.3466159605222006,0.3466159605222006,0.40059993432649105,0.4106187603153868,0.456955948470065,1.0295930380577076,0.42277021691660877
14,2015-11-08,Mattias Janmark,away,Dallas Stars,Detroit Red Wings,C,14.683333333333,0,0,0,0.22,0,0,0,0,0,0,0,0.69,0.38,20152016,0.524866666666656,0.524866666666656,0.524866666666656,0.524866666666656,-0.524866666666656,0.524866666666656,0.1651333333333439,0.14486666666665604,0.11,0.0,-0.29679166666666007,0.5149512499999886,0.32815958333332856,1992-12-08,22.931506849315067,22.0,15,60.58579301075253,0.3469640066398222,0.345737540541796,0.345737540541796,0.4118443952191158,0.41388333662087995,0.45980750125778125,1.0293316208748635,0.4260232057370671
15,2015-11-10,Mattias Janmark,home,Dallas Stars,Toronto Maple Leafs,C,17.0,0,0,0,0.15,0,0,1,0,0,0,0,0.46,0.93,20152016,0.5990000000000001,0.5990000000000001,0.5990000000000001,0.5990000000000001,-0.5990000000000001,0.5990000000000001,-0.13900000000000007,-0.33099999999999996,0.075,0.15,-0.48687500000000006,-0.34081874999999995,-0.60269375,1992-12-08,22.936986301369863,22.0,16,30.55826612903226,0.34616789277999216,0.3017731153422848,0.3017731153422848,0.3419848902335008,0.4170529088879237,0.46258740680745847,1.0290715697897186,0.4291772916346641
16,2015-11-12,Mattias Janmark,home,Dallas Stars,Winnipeg Jets,C,13.15,0,0,0,0.17,0,0,0,0,0,0,0,0.62,0.34,20152016,0.4758,0.4758,0.4758,0.4758,-0.4758,0.4758,0.1442,0.13579999999999998,0.085,0.0,-0.309875,0.53051125,0.30563625,1992-12-08,22.942465753424656,22.0,17,59.85923387096774,0.30748665169735395,0.3019478306371354,0.3019478306371354,0.3460476893006709,0.42013121384162444,0.4652974164197431,1.0288128814293958,0.4322364046908313
17,2015-11-14,Mattias Janmark,home,Dallas Stars,Minnesota Wild,C,14.8,0,0,0,0.33,0,0,0,1,0,0,2,1.18,0.7,20152016,0.5286000000000001,0.5286000000000001,0.5286000000000001,0.5286000000000001,-0.5286000000000001,-1.4714,0.6513999999999999,-0.17139999999999989,0.165,0.01,0.007124999999999937,-0.90005875,-0.71793375,1992-12-08,22.947945205479453,22.0,18,26.840846774193547,0.30741390669598556,0.25687275428232786,0.25687275428232786,0.29020141569394736,0.42314588585556717,0.46790416812789476,1.028555552436351,0.435229050387342
