,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,RoundAge,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2015-10-08,Nic Petan,away,Winnipeg Jets,Boston Bruins,L,10.0,1,0,0,0.12,1,0,0,0,0,1,0,0.17,0.51,20152016,0.375,0.375,0.375,0.375,0.625,0.375,-0.205,-0.135,0.8600000000000001,0.0,0.09687499999999999,0.13378124999999996,1.09065625,1995-03-22,20.561643835616437,20.0,1,85.18245967741936,0.0,0.10252077875221037,0.10252077875221037,0.12131193531463753,-0.007769009380649403,-0.0065629350611274215,1.3561295135094464,-0.005728810783377503
1,2015-10-09,Nic Petan,away,Winnipeg Jets,New Jersey Devils,L,8.8,0,0,0,0.1,0,0,0,0,1,0,0,0.0,0.1,20152016,0.3366,0.3366,0.3366,0.3366,-0.3366,0.3366,-0.3366,0.2366,0.05,-0.01,-0.610375,0.78974125,0.21936624999999998,1995-03-22,20.564383561643837,20.0,2,57.07633064516129,0.10294846648096793,0.11265931309872242,0.11265931309872242,0.13346926307100912,-0.01060489209803242,-0.009510187417041857,1.3553194808595426,-0.007824643744740395
2,2015-10-12,Nic Petan,away,Winnipeg Jets,New York Islanders,L,8.9166666666667,0,0,0,0.0,0,0,0,0,0,0,0,0.09,0.58,20152016,0.3403333333333344,0.3403333333333344,0.3403333333333344,0.3403333333333344,-0.3403333333333344,0.3403333333333344,-0.2503333333333344,-0.23966666666666558,0.0,0.0,-0.556458333333334,-0.022268749999998838,-0.5787270833333329,1995-03-22,20.572602739726026,20.0,3,31.331384408602165,0.11300703100258894,0.05686543659275288,0.05686543659275288,0.06695850205108654,-0.012321258462807766,-0.011313447421337719,1.3529001007301844,-0.009107293625122624
3,2015-10-13,Nic Petan,away,Winnipeg Jets,New York Rangers,L,9.25,0,0,0,0.0,0,1,0,0,0,0,0,0.22,0.45,20152016,0.351,0.351,0.351,0.351,-0.351,0.351,-0.13099999999999998,-0.09900000000000003,0.0,-0.15,-0.481875,0.21013125,-0.42174375,1995-03-22,20.575342465753426,20.0,4,36.39536290322581,0.05770332526759492,0.020711421250334074,0.020711421250334074,0.023188971283424984,-0.01277720910264778,-0.011826538675947242,1.3520971965771242,-0.009449919084954602
4,2015-10-16,Nic Petan,home,Winnipeg Jets,Calgary Flames,L,10.45,0,0,0,0.0,0,0,0,1,1,0,0,0.13,0.24,20152016,0.38939999999999997,0.38939999999999997,0.38939999999999997,0.38939999999999997,-0.38939999999999997,0.38939999999999997,-0.25939999999999996,0.14939999999999998,0.0,0.0,-0.562125,0.6081712499999999,0.046046249999999955,1995-03-22,20.583561643835615,20.0,5,51.485362903225806,0.022146761952767626,0.022512975016228697,0.022512975016228697,0.029029566188733594,-0.011962251890425579,-0.011036962356291306,1.3496990821172372,-0.008862902886220173
5,2015-10-23,Nic Petan,home,Winnipeg Jets,Tampa Bay Lightning,L,9.05,0,0,0,0.01,0,0,0,0,0,0,0,0.19,0.31,20152016,0.3446,0.3446,0.3446,0.3446,-0.3446,0.3446,-0.15460000000000002,0.03460000000000002,0.005,0.0,-0.49662500000000004,0.44129125,-0.05033375000000001,1995-03-22,20.602739726027398,20.0,6,48.37633064516129,0.02380563278564715,0.017612457467364312,0.017612457467364312,0.020184345826837303,-0.009951187892130635,-0.009019784311113749,1.3441646732539059,-0.007403250576464827
6,2015-10-25,Nic Petan,home,Winnipeg Jets,Minnesota Wild,L,10.533333333333,0,0,0,0.03,0,0,0,0,1,0,0,0.2,0.27,20152016,0.39206666666665596,0.39206666666665596,0.39206666666665596,0.39206666666665596,-0.39206666666665596,0.39206666666665596,-0.19206666666665595,0.12206666666665594,0.015,-0.01,-0.52004166666666,0.5600212499999885,0.04497958333332852,1995-03-22,20.60821917808219,20.0,7,51.450954301075114,0.0189331337399916,0.019361778179308543,0.019361778179308543,0.022050395528424947,-0.007150994774637653,-0.006192782020949401,1.3425989739744744,-0.0053262328612308394
7,2015-10-29,Nic Petan,home,Winnipeg Jets,Chicago Blackhawks,L,8.1333333333333,0,0,0,0.0,0,0,0,0,0,0,0,0.29,0.25,20152016,0.31526666666666564,0.31526666666666564,0.31526666666666564,0.31526666666666564,-0.31526666666666564,0.31526666666666564,-0.02526666666666566,0.06526666666666564,0.0,0.0,-0.41579166666666606,0.5119412499999989,0.09614958333333284,1995-03-22,20.61917808219178,20.0,8,53.10159946236558,0.02054512703349243,0.024043905206104,0.024043905206104,0.027605001601503865,-0.0045980688963245565,-0.003620807787440356,1.3394880742776167,-0.003432706109611529
8,2015-11-01,Nic Petan,away,Winnipeg Jets,Montreal Canadiens,L,12.883333333333,0,0,0,0.0,0,2,0,0,3,0,1,0.11,0.74,20152016,0.467266666666656,0.467266666666656,0.467266666666656,0.467266666666656,-0.467266666666656,-0.5327333333333439,-0.357266666666656,-0.272733333333344,0.0,-0.32999999999999996,-0.62329166666666,-0.5961087500000112,-1.5494004166666713,1995-03-22,20.627397260273973,20.0,9,0.019341397849316877,0.024983302578528564,-0.06779852179161948,-0.06779852179161948,-0.07420540641679443,-0.002538004062087474,-0.0015482085170399817,1.3371726878545382,-0.0018980376170856744
9,2015-11-04,Nic Petan,away,Winnipeg Jets,Toronto Maple Leafs,L,9.3833333333333,0,0,0,0.65,0,0,0,6,2,0,0,0.43,0.08,20152016,0.3552666666666656,0.3552666666666656,0.3552666666666656,0.3552666666666656,-0.3552666666666656,0.3552666666666656,0.07473333333333437,0.2752666666666656,0.325,0.04,-0.35329166666666606,0.8436912499999989,0.8553995833333328,1995-03-22,20.635616438356163,20.0,10,77.59353494623655,-0.06278588657215219,-0.01604842827200096,-0.01604842827200096,-0.018112116925071538,-0.0006177029429349917,0.00039869273291948636,1.3348724090860804,-0.00046274305973400236
