,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,RoundAge,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2013-04-06,Nick Bjugstad,home,Florida Panthers,Washington Capitals,C,13.066666666667,0,0,0,0.07,0,0,0,5,6,0,0,0.3,0.41,20122013,0.473133333333344,0.473133333333344,0.473133333333344,0.473133333333344,-0.473133333333344,0.473133333333344,-0.17313333333334402,0.06313333333334403,0.035,-0.01,-0.50820833333334,0.40866125000001147,-0.07454708333332855,1992-07-17,20.734246575342464,20.0,1,47.59525537634424,0.0,-0.007007363719814345,-0.007007363719814345,-0.00691038868339818,0.08141349026635435,0.010811399733854421,1.3084036788614322,0.10652171017344743
1,2013-04-07,Nick Bjugstad,home,Florida Panthers,Ottawa Senators,C,13.65,0,0,0,0.17,0,1,0,2,8,0,1,0.22,0.35,20122013,0.4918,0.4918,0.4918,0.4918,-0.4918,-0.5082,-0.27180000000000004,0.14180000000000004,0.085,-0.21,-0.569875,0.09311125000000009,-0.6017637499999999,1992-07-17,20.736986301369864,20.0,2,30.58826612903226,-0.007036596461804621,-0.058613626125325544,-0.058613626125325544,-0.05615559653219132,0.0870480566373088,0.01820124666849448,1.3076972814185688,0.11383250701737832
2,2013-04-11,Nick Bjugstad,away,Florida Panthers,Winnipeg Jets,C,14.383333333333,0,0,0,0.19,0,0,1,3,5,0,1,0.63,1.11,20122013,0.5152666666666561,0.5152666666666561,0.5152666666666561,0.5152666666666561,-0.5152666666666561,-0.4847333333333439,0.1147333333333439,-0.594733333333344,0.095,0.13,-0.3282916666666601,-1.1738087500000116,-1.2771004166666717,1992-07-17,20.747945205479454,20.0,3,8.803212365591236,-0.05842137004019855,-0.15694373771915415,-0.15694373771915415,-0.15248516859935216,0.09263475079687968,0.025541287829574783,1.304886722021643,0.12087785631263209
3,2013-04-13,Nick Bjugstad,home,Florida Panthers,Pittsburgh Penguins,C,14.2,0,0,0,0.05,0,0,0,4,9,1,1,0.66,0.1,20122013,0.5094,0.5094,0.5094,0.5094,0.49060000000000004,-0.49060000000000004,0.15060000000000007,0.4094,0.025,-0.05,0.3191250000000001,0.53692125,0.8310462500000001,1992-07-17,20.753424657534246,20.0,4,76.8079435483871,-0.15602521660898827,-0.08231122715569031,-0.08231122715569031,-0.07644172899287156,0.09817037639563414,0.0328248998011954,1.3034904052680292,0.12796414371326012
4,2013-04-16,Nick Bjugstad,away,Florida Panthers,New York Islanders,C,14.75,0,0,0,0.0,0,0,0,9,10,0,2,0.78,0.81,20122013,0.527,0.527,0.527,0.527,-0.527,-1.4729999999999999,0.253,-0.28300000000000003,0.0,-0.01,-0.2418750000000001,-1.0887687499999998,-1.34064375,1992-07-17,20.76164383561644,20.0,5,6.753427419354843,-0.08257367642301387,-0.17179095949087503,-0.17179095949087503,-0.16442065422681437,0.10365227639543628,0.0400463420750065,1.3014070457804183,0.13489380281220012
5,2013-04-18,Nick Bjugstad,away,Florida Panthers,New York Rangers,C,16.816666666667,0,0,0,0.13,1,0,0,1,7,0,1,0.4,1.07,20122013,0.5931333333333441,0.5931333333333441,0.5931333333333441,0.5931333333333441,-0.5931333333333441,-0.40686666666665594,-0.19313333333334404,-0.476866666666656,0.115,-0.06,-0.52070833333334,-1.0225887499999886,-1.4882970833333287,1992-07-17,20.767123287671232,20.0,6,1.9904166666668175,-0.17017276596464803,-0.26035446542254326,-0.26035446542254326,-0.23855142025159642,0.10907830812850498,0.047200724957148,1.3000255046882134,0.14180458257529616
6,2013-04-20,Nick Bjugstad,away,Florida Panthers,New Jersey Devils,C,16.733333333333,0,0,0,0.07,0,0,0,7,7,0,1,0.08,1.12,20122013,0.590466666666656,0.590466666666656,0.590466666666656,0.590466666666656,-0.590466666666656,-0.40953333333334396,-0.5104666666666561,-0.5295333333333441,0.035,0.0,-0.71904166666666,-1.1104387500000117,-1.7944804166666717,1992-07-17,20.77260273972603,20.0,7,-7.886465053763601,-0.2562854866505777,-0.3584165825183001,-0.3584165825183001,-0.3361823452691238,0.11444681321073083,0.05428396821601342,1.2986498199193384,0.14862633336645775
7,2013-04-21,Nick Bjugstad,away,Florida Panthers,Boston Bruins,C,18.183333333333,0,0,0,0.07,1,0,0,6,3,0,0,0.37,0.53,20122013,0.636866666666656,0.636866666666656,0.636866666666656,0.636866666666656,-0.636866666666656,0.636866666666656,-0.26686666666665604,0.10686666666665601,0.085,0.03,-0.56679166666666,0.3796512499999886,-0.07214041666667143,1992-07-17,20.775342465753425,20.0,8,47.67288978494608,-0.3509515189773337,-0.340960928322003,-0.340960928322003,-0.31242284099105266,0.11975658391977237,0.061292753041905075,1.2979641641193083,0.15543975434521112
8,2013-04-23,Nick Bjugstad,home,Florida Panthers,New York Rangers,C,16.816666666667,0,0,0,0.0,0,0,0,8,8,0,0,0.1,0.48,20122013,0.5931333333333441,0.5931333333333441,0.5931333333333441,0.5931333333333441,-0.5931333333333441,0.5931333333333441,-0.4931333333333441,0.11313333333334408,0.0,0.0,-0.7082083333333401,0.4179112500000115,-0.2902970833333286,1992-07-17,20.78082191780822,20.0,9,40.6355779569894,-0.3347582022007746,-0.3380036641721931,-0.3380036641721931,-0.30523330751342465,0.12500682740586486,0.06822446953654528,1.2965972067343843,0.16208350323717166
9,2013-04-25,Nick Bjugstad,home,Florida Panthers,Toronto Maple Leafs,C,13.833333333333,0,0,0,0.58,0,0,0,5,4,0,2,0.13,0.78,20122013,0.497666666666656,0.497666666666656,0.497666666666656,0.497666666666656,-0.497666666666656,-1.502333333333344,-0.367666666666656,-0.28233333333334404,0.29,0.01,-0.6297916666666601,-1.0691187500000114,-1.3989104166666715,1992-07-17,20.786301369863015,20.0,10,4.873857526881565,-0.3323088328989217,-0.39747304929376803,-0.39747304929376803,-0.38583284675069507,0.1301971288727996,0.07507716160720354,1.2952360298571124,0.16863601229999978
10,2013-04-27,Nick Bjugstad,away,Florida Panthers,Tampa Bay Lightning,C,14.883333333333,1,0,0,0.04,0,0,0,3,12,1,0,0.42,0.33,20122013,0.531266666666656,0.531266666666656,0.531266666666656,0.531266666666656,0.468733333333344,0.531266666666656,-0.11126666666665602,0.201266666666656,0.77,-0.09,0.15545833333333992,0.6067912499999886,1.4422495833333286,1992-07-17,20.791780821917808,20.0,11,96.52418010752673,-0.3882018537238524,-0.2981502338806269,-0.2981502338806269,-0.284398332214135,0.13532741465355122,0.08184947081693032,1.293880603541606,0.175097516947662
11,2013-10-15,Nick Bjugstad,away,Florida Panthers,Nashville Predators,C,9.8,0,0,0,0.0,0,1,0,2,3,0,0,0.16,0.02,20132014,0.36860000000000004,0.36860000000000004,0.36860000000000004,0.36860000000000004,-0.36860000000000004,0.36860000000000004,-0.20860000000000004,0.3486,0.0,-0.16,-0.530375,0.95994125,0.2695662499999999,1992-07-17,21.26027397260274,21.0,12,58.69568548387096,-0.29672597493422076,-0.2685527975805342,-0.2685527975805342,-0.25717842638030336,0.14039791591286538,0.0885405804457611,1.1964715760036024,0.1679821157198873
12,2013-10-17,Nick Bjugstad,home,Florida Panthers,Boston Bruins,C,9.8166666666667,0,1,0,0.1,2,0,0,5,5,1,0,0.54,0.63,20132014,0.3691333333333344,0.3691333333333344,0.3691333333333344,0.3691333333333344,0.6308666666666656,0.3691333333333344,0.1708666666666656,-0.2608666666666656,0.85,0.0,0.33179166666666604,-0.07648874999999888,1.105302916666667,1992-07-17,21.265753424657536,21.0,13,85.65493279569893,-0.26004478661590563,-0.19922012768809383,-0.19922012768809383,-0.2226807126388388,0.14540913353939994,0.09515016075169468,1.195520340465356,0.17383957683579584
13,2013-10-19,Nick Bjugstad,home,Florida Panthers,Minnesota Wild,C,10.316666666667,0,0,0,0.07,0,0,0,6,3,0,0,0.33,0.1,20132014,0.385133333333344,0.385133333333344,0.385133333333344,0.385133333333344,-0.385133333333344,0.385133333333344,-0.05513333333334397,0.285133333333344,0.035,0.03,-0.43445833333334,0.8416112500000114,0.47215291666667136,1992-07-17,21.27123287671233,21.0,14,65.23073924731197,-0.17668718258421087,-0.1663503133718841,-0.1663503133718841,-0.1823934224568687,0.15036180464305743,0.10167831618643264,1.1945728928791806,0.17961813595099133
14,2013-10-22,Nick Bjugstad,home,Florida Panthers,Chicago Blackhawks,C,13.683333333333,0,0,0,0.0,2,0,0,8,7,0,0,0.5,0.19,20132014,0.492866666666656,0.492866666666656,0.492866666666656,0.492866666666656,-0.492866666666656,0.492866666666656,0.007133333333343983,0.302866666666656,0.1,0.01,-0.39554166666666,0.8037512499999886,0.5182095833333286,1992-07-17,21.279452054794522,21.0,15,66.71643817204286,-0.13921879100515125,-0.13376910391263425,-0.13376910391263425,-0.14498840488447756,0.15525687094828636,0.10812553511926071,1.1931587877145249,0.1852460999250078
15,2013-10-25,Nick Bjugstad,home,Florida Panthers,Buffalo Sabres,C,13.283333333333,0,0,0,0.21,1,0,0,7,7,0,0,0.52,0.13,20132014,0.480066666666656,0.480066666666656,0.480066666666656,0.480066666666656,-0.480066666666656,0.480066666666656,0.039933333333344034,0.350066666666656,0.155,0.0,-0.37504166666666,0.8920712499999885,0.6720295833333285,1992-07-17,21.28767123287671,21.0,16,71.67837365591382,-0.10313230194778175,-0.09641639690625542,-0.09641639690625542,-0.11949727428193396,0.1600954492700111,0.11449264245176727,1.1917531127532768,0.19079425000517003
16,2013-10-27,Nick Bjugstad,home,Florida Panthers,Tampa Bay Lightning,C,13.216666666667,1,0,0,0.24,0,0,1,10,6,1,0,0.32,0.58,20132014,0.47793333333334403,0.47793333333334403,0.47793333333334403,0.47793333333334403,0.522066666666656,0.47793333333334403,-0.15793333333334403,-0.10206666666665593,0.87,0.19,0.12629166666665992,0.12479125000001151,1.3110829166666713,1992-07-17,21.293150684931508,21.0,17,92.29299731182812,-0.06257788542676321,-0.03276040782967862,-0.03276040782967862,-0.03897745391808474,0.16487880417369283,0.12078075536420319,1.1908206524075116,0.19634108515428722
17,2013-11-01,Nick Bjugstad,home,Florida Panthers,St Louis Blues,C,11.4,0,0,0,0.02,0,0,0,7,7,0,2,0.63,0.37,20132014,0.4198,0.4198,0.4198,0.4198,-0.4198,-1.5802,0.2102,0.04980000000000001,0.01,0.0,-0.268625,-0.45533875,-0.71396375,1992-07-17,21.306849315068494,21.0,18,26.96891129032258,0.005963630993615735,-0.06286713124191559,-0.06286713124191559,-0.06960810850941011,0.1696083228528036,0.12699124231854325,1.1885056809821033,0.20158045525240378
18,2013-11-02,Nick Bjugstad,away,Florida Panthers,Washington Capitals,C,13.733333333333,0,0,0,0.1,0,1,0,6,5,1,1,0.44,0.39,20132014,0.494466666666656,0.494466666666656,0.494466666666656,0.494466666666656,0.505533333333344,-0.505533333333344,-0.054466666666656005,0.104466666666656,0.05,-0.13999999999999999,0.19095833333334,0.027961249999988613,0.12891958333332865,1992-07-17,21.30958904109589,21.0,19,54.15869623655899,-0.028563678219704167,-0.054571481032314614,-0.054571481032314614,-0.06466942721592145,0.17428549220360828,0.13312568535080477,1.188045444324928,0.20705908502442458
19,2013-11-05,Nick Bjugstad,home,Florida Panthers,Edmonton Oilers,C,12.916666666667,0,0,0,0.03,0,1,0,7,5,1,1,0.3,0.28,20132014,0.468333333333344,0.468333333333344,0.468333333333344,0.468333333333344,0.5316666666666561,-0.5316666666666561,-0.168333333333344,0.18833333333334396,0.015,-0.13,0.11979166666665997,0.1870312500000113,0.19182291666667128,1992-07-17,21.317808219178083,21.0,20,56.187836021505525,-0.021343384225462714,-0.044126409374145775,-0.044126409374145775,-0.05356521580257248,0.17891187803652067,0.13918584561295144,1.186670213936059,0.21230939658530007
20,2013-11-07,Nick Bjugstad,away,Florida Panthers,Boston Bruins,C,12.516666666667,0,1,0,0.24,0,0,0,5,7,1,1,0.71,0.53,20132014,0.455533333333344,0.455533333333344,0.455533333333344,0.455533333333344,0.544466666666656,-0.544466666666656,0.25446666666665596,-0.07446666666665602,0.82,-0.02,0.38404166666665995,-0.25164874999998854,0.9323929166666712,1992-07-17,21.323287671232876,21.0,21,80.0771908602152,-0.011947281007359036,-0.003503454065725449,-0.003503454065725449,-0.003908414688211074,0.18348910633345977,0.1451736320698656,1.1857579403450484,0.21757366480171683
21,2013-11-09,Nick Bjugstad,away,Florida Panthers,Ottawa Senators,C,18.583333333333,1,0,0,0.7,0,0,0,6,3,1,1,0.9,0.66,20132014,0.6496666666666561,0.6496666666666561,0.6496666666666561,0.6496666666666561,0.35033333333334393,-0.35033333333334393,0.25033333333334395,-0.010333333333343964,1.1,0.03,0.38145833333334,-0.2651687500000114,1.2462895833333287,1992-07-17,21.328767123287673,21.0,22,90.20288978494608,0.028066730352842344,0.047577811120768795,0.047577811120768795,0.05647245940605864,0.18801663088846768,0.15108988167656867,1.1848492858606403,0.22277137083812454
22,2013-11-10,Nick Bjugstad,away,Florida Panthers,New York Rangers,C,18.3,0,0,1,0.22,0,0,0,6,9,1,0,0.57,0.37,20132014,0.6406000000000001,0.6406000000000001,0.6406000000000001,0.6406000000000001,0.35939999999999994,0.6406000000000001,-0.07060000000000011,0.27060000000000006,0.66,-0.03,0.1808749999999999,0.6556412500000001,1.46651625,1992-07-17,21.33150684931507,21.0,23,97.30697580645162,0.07776916623865367,0.10462145744246798,0.10462145744246798,0.11935306694994506,0.19248580033887097,0.15693094863470236,1.1843963109309208,0.22797947182794456
