,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,RoundAge,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2016-02-05,Oskar Sundqvist,away,Pittsburgh Penguins,Tampa Bay Lightning,C,11.183333333333,0,0,0,0.04,1,0,0,3,5,0,0,0.2,0.38,20152016,0.412866666666656,0.412866666666656,0.412866666666656,0.412866666666656,-0.412866666666656,0.412866666666656,-0.212866666666656,0.032866666666656,0.07,-0.02,-0.53304166666666,0.3952512499999886,-0.08779041666667137,1994-03-23,21.887671232876713,21.0,1,47.168051075268664,0.0,-0.008252226018645357,-0.008252226018645357,-0.008471838743874348,0.03677307314097504,0.031776063394995155,1.108731969475439,0.04077148180725762
1,2016-02-06,Oskar Sundqvist,away,Pittsburgh Penguins,Florida Panthers,C,5.1833333333333,0,0,0,0.05,0,0,0,2,2,0,0,0.11,0.13,20152016,0.2208666666666656,0.2208666666666656,0.2208666666666656,0.2208666666666656,-0.2208666666666656,0.2208666666666656,-0.1108666666666656,0.0908666666666656,0.025,0.0,-0.469291666666666,0.6150512499999988,0.17075958333333285,1994-03-23,21.89041095890411,21.0,2,55.508373655913964,-0.008286651974496111,0.00728040317241223,0.00728040317241223,0.00756541862318881,0.039545695052233105,0.03520601869325033,1.1084294349969122,0.043833612423306925
2,2016-02-08,Oskar Sundqvist,home,Pittsburgh Penguins,Anaheim Ducks,C,13.833333333333,0,0,0,0.12,1,0,1,5,7,0,0,0.36,0.26,20152016,0.497666666666656,0.497666666666656,0.497666666666656,0.497666666666656,-0.497666666666656,0.497666666666656,-0.137666666666656,0.23766666666665598,0.11,0.13,-0.48604166666666004,0.6898812499999886,0.4438395833333285,1994-03-23,21.895890410958906,21.0,3,64.31740591397833,0.007183047376915397,0.0425100939952908,0.0425100939952908,0.04344000420901889,0.04231196024432089,0.03861802182197925,1.1078261747005422,0.046874297061547436
3,2016-02-10,Oskar Sundqvist,home,Pittsburgh Penguins,New York Rangers,C,11.083333333333,0,0,0,0.05,0,0,0,4,2,0,0,0.41,0.11,20152016,0.409666666666656,0.409666666666656,0.409666666666656,0.409666666666656,-0.409666666666656,0.409666666666656,0.00033333333334395476,0.29966666666665603,0.025,0.02,-0.39979166666666005,0.8508312499999886,0.49603958333332854,1994-03-23,21.9013698630137,21.0,4,66.00127688172027,0.04203220917164148,0.07676959543214656,0.07676959543214656,0.07839737588582905,0.04507156579087953,0.04201082647044864,1.1072253188212826,0.049904378802581
4,2016-02-12,Oskar Sundqvist,away,Pittsburgh Penguins,Carolina Hurricanes,C,12.1,0,0,0,0.02,0,0,0,1,3,0,0,0.12,0.54,20152016,0.4422,0.4422,0.4422,0.4422,-0.4422,0.4422,-0.3222,-0.09780000000000005,0.01,-0.02,-0.601375,0.15460124999999986,-0.45677375000000014,1994-03-23,21.90684931506849,21.0,5,35.2653629032258,0.07570687624118015,0.03882945252733314,0.03882945252733314,0.03934450397160662,0.04782436932127909,0.04538368431093003,1.106626858842675,0.05292373159813908
5,2016-02-15,Oskar Sundqvist,away,Pittsburgh Penguins,Florida Panthers,C,9.5666666666667,0,0,0,0.15,0,0,0,5,4,0,0,0.34,0.1,20152016,0.3611333333333344,0.3611333333333344,0.3611333333333344,0.3611333333333344,-0.3611333333333344,0.3611333333333344,-0.021133333333334392,0.26113333333333444,0.075,0.01,-0.413208333333334,0.8159612500000011,0.4877529166666671,1994-03-23,21.915068493150685,21.0,6,65.73396505376346,0.03880797444920566,0.06902926334410897,0.06902926334410897,0.07148356158504314,0.050570365753650356,0.04873628233852081,1.1057336426709803,0.0559173547359876
6,2016-02-18,Oskar Sundqvist,home,Pittsburgh Penguins,Detroit Red Wings,C,13.783333333333,0,0,0,0.15,0,0,0,4,6,0,0,0.34,0.51,20152016,0.496066666666656,0.496066666666656,0.496066666666656,0.496066666666656,-0.496066666666656,0.496066666666656,-0.15606666666665597,-0.013933333333344011,0.075,-0.02,-0.49754166666666,0.26317124999998853,-0.17937041666667147,1994-03-23,21.923287671232877,21.0,7,44.21385752688157,0.06805823423907621,0.05315142848445379,0.05315142848445379,0.054274401517523295,0.0533096634202186,0.05206867566712401,1.1048457698289855,0.05889895612083553
7,2016-02-20,Oskar Sundqvist,home,Pittsburgh Penguins,Tampa Bay Lightning,C,8.0333333333333,0,0,0,0.0,0,0,0,3,2,0,1,0.21,0.32,20152016,0.3120666666666656,0.3120666666666656,0.3120666666666656,0.3120666666666656,-0.3120666666666656,-0.6879333333333344,-0.10206666666666561,-0.007933333333334402,0.0,0.01,-0.46379166666666605,-0.04797875000000118,-0.5017704166666672,1994-03-23,21.92876712328767,21.0,8,33.813857526881705,0.05284194972441004,0.019315136852863915,0.019315136852863915,0.01958466308393209,0.05604246111071451,0.055381220953233834,1.1042568091966927,0.06188526928564734
8,2016-02-21,Oskar Sundqvist,away,Pittsburgh Penguins,Buffalo Sabres,C,12.7,0,0,0,0.04,1,0,0,4,5,0,0,0.55,0.99,20152016,0.4614,0.4614,0.4614,0.4614,-0.4614,0.4614,0.08860000000000007,-0.5286,0.07,-0.01,-0.34462499999999996,-0.5898787500000001,-0.8745037500000001,1994-03-23,21.931506849315067,21.0,9,21.79020161290322,0.02059484870621381,-0.032857345340381594,-0.032857345340381594,-0.034525357441104264,0.05876902698689629,0.05867451384404277,1.103963212145902,0.06487884380714323
9,2016-02-24,Oskar Sundqvist,away,Pittsburgh Penguins,Boston Bruins,C,14.133333333333,0,1,0,0.02,0,0,0,6,4,1,2,0.88,0.59,20152016,0.5072666666666561,0.5072666666666561,0.5072666666666561,0.5072666666666561,0.4927333333333439,-1.492733333333344,0.3727333333333439,-0.08273333333334387,0.71,0.02,0.45795833333334,-0.7358587500000112,0.4520995833333289,1994-03-23,21.93972602739726,21.0,10,64.58385752688157,-0.028678347045248555,-0.00567296717438142,-0.00567296717438142,-0.005818730450645686,0.061489679877842054,0.06194933243833063,1.1030859416759977,0.06782840143140505
10,2016-03-19,Oskar Sundqvist,away,Pittsburgh Penguins,Philadelphia Flyers,C,5.9333333333333,0,0,0,0.0,0,1,0,1,2,0,0,0.2,0.19,20152016,0.2448666666666656,0.2448666666666656,0.2448666666666656,0.2448666666666656,-0.2448666666666656,0.2448666666666656,-0.04486666666666558,0.05486666666666559,0.0,-0.16,-0.428041666666666,0.5387012499999988,-0.04934041666666722,1994-03-23,22.005479452054793,22.0,11,48.40837365591396,-0.003456970626867076,-0.008030482350074804,-0.008030482350074804,-0.007853078968647004,0.06420477314321527,0.06520658769689941,1.096254836673848,0.07038479309579691
11,2016-03-20,Oskar Sundqvist,home,Pittsburgh Penguins,Washington Capitals,C,12.883333333333,0,0,0,0.09,0,0,0,3,9,0,0,0.54,0.4,20152016,0.467266666666656,0.467266666666656,0.467266666666656,0.467266666666656,-0.467266666666656,0.467266666666656,0.07273333333334403,0.06726666666665598,0.045,-0.06,-0.35454166666666,0.41939124999998856,0.04984958333332856,1994-03-23,22.008219178082193,22.0,12,51.60805107526866,-0.005845631530659253,-0.005012952287534069,-0.005012952287534069,-0.004814308784352815,0.06691468107233209,0.0684472810000597,1.0959773083334041,0.0733369720496427
12,2016-03-31,Oskar Sundqvist,home,Pittsburgh Penguins,Nashville Predators,C,6.6333333333333,0,0,1,0.08,0,0,0,2,1,1,0,0.32,0.16,20152016,0.2672666666666656,0.2672666666666656,0.2672666666666656,0.2672666666666656,0.7327333333333343,0.2672666666666656,0.05273333333333441,0.1072666666666656,0.5900000000000001,0.01,0.25795833333333396,0.6136412499999988,1.4715995833333329,1994-03-23,22.03835616438356,22.0,13,97.47095430107525,-0.0030846471202043797,0.06950541847699579,0.06950541847699579,0.06711388648062235,0.06961939782252066,0.07167288973091214,1.0929612243204856,0.07609130228055713
13,2016-04-02,Oskar Sundqvist,away,Pittsburgh Penguins,New York Islanders,C,9.3166666666667,1,0,0,0.07,1,0,0,7,1,0,0,0.19,0.3,20152016,0.3531333333333344,0.3531333333333344,0.3531333333333344,0.3531333333333344,-0.3531333333333344,0.3531333333333344,-0.1631333333333344,0.05313333333333442,0.8350000000000001,0.06,-0.5019583333333341,0.46741125000000117,0.8604529166666671,1994-03-23,22.043835616438358,22.0,14,77.75654569892475,0.06797369785177988,0.10822948942081992,0.10822948942081992,0.10506060982671425,0.07230972577981276,0.0748944108577329,1.0924200224565275,0.0789925922602084
14,2016-04-03,Oskar Sundqvist,home,Pittsburgh Penguins,Philadelphia Flyers,C,8.2,0,0,0,0.11,0,0,0,2,7,1,0,0.26,0.24,20152016,0.31739999999999996,0.31739999999999996,0.31739999999999996,0.31739999999999996,0.6826000000000001,0.31739999999999996,-0.05739999999999995,0.07739999999999997,0.055,-0.05,0.189125,0.53122125,0.72534625,1994-03-23,22.046575342465754,22.0,15,73.39826612903227,0.10453715136485173,0.13760078407891513,0.13760078407891513,0.13427925175947178,0.07497057718735049,0.07812716350915744,1.092150243109578,0.08187913410123022
15,2016-04-05,Oskar Sundqvist,away,Pittsburgh Penguins,Ottawa Senators,C,7.9333333333333,0,0,0,0.0,1,1,0,3,3,0,0,0.06,0.18,20152016,0.30886666666666557,0.30886666666666557,0.30886666666666557,0.30886666666666557,-0.30886666666666557,0.30886666666666557,-0.24886666666666557,0.12886666666666557,0.05,-0.15,-0.5555416666666659,0.6241012499999988,-0.03144041666666708,1994-03-23,22.052054794520547,22.0,16,48.98579301075267,0.13196682783408561,0.12976489833797838,0.12976489833797838,0.12867820393782287,0.07759220083492034,0.08137880516415195,1.0916123229659456,0.08470060259744758
16,2016-04-07,Oskar Sundqvist,away,Pittsburgh Penguins,Washington Capitals,C,5.2166666666667,0,1,0,0.01,0,0,1,2,0,1,0,0.21,0.13,20152016,0.2219333333333344,0.2219333333333344,0.2219333333333344,0.2219333333333344,0.7780666666666656,0.2219333333333344,-0.011933333333334406,0.0919333333333344,0.705,0.16999999999999998,0.21754166666666597,0.6161912500000011,1.7087329166666672,1994-03-23,22.057534246575344,22.0,17,105.12041666666669,0.12502706760047108,0.20117578284622673,0.20117578284622673,0.18969799320641373,0.08016963681363944,0.08465088326322111,1.0910765814242542,0.08747121326864976
17,2016-04-09,Oskar Sundqvist,away,Pittsburgh Penguins,Philadelphia Flyers,C,17.883333333333,0,0,0,0.09,0,0,0,7,12,0,2,0.51,0.58,20152016,0.627266666666656,0.627266666666656,0.627266666666656,0.627266666666656,-0.627266666666656,-1.372733333333344,-0.11726666666665597,0.04726666666665602,0.045,-0.05,-0.47329166666666,-0.5906087500000116,-1.0689004166666716,1994-03-23,22.063013698630137,22.0,18,15.519341397849303,0.18978225735538104,0.14504300943766743,0.14504300943766743,0.1407367644262228,0.08270174009237953,0.08794063076840818,1.090543011159866,0.09018980466850418
18,2017-03-10,Oskar Sundqvist,away,Pittsburgh Penguins,Edmonton Oilers,C,8.1,0,0,0,0.0,0,0,0,1,3,0,0,0.03,0.63,20162017,0.3142,0.3142,0.3142,0.3142,-0.3142,0.3142,-0.2842,-0.3158,0.0,-0.02,-0.577625,-0.13519874999999992,-0.73282375,1994-03-23,22.980821917808218,22.0,19,26.360524193548386,0.14015678405761833,0.10707126784409807,0.10707126784409807,0.12245902452519643,0.08519030275250078,0.09124244711860562,1.027039939066314,0.08749384334796925
19,2017-03-11,Oskar Sundqvist,away,Pittsburgh Penguins,Vancouver Canucks,C,8.35,0,0,0,0.21,0,0,1,1,1,1,0,0.38,0.28,20162017,0.3222,0.3222,0.3222,0.3222,0.6778,0.3222,0.05780000000000002,0.04219999999999996,0.105,0.15,0.26112499999999994,0.4683512499999999,0.9844762499999998,1994-03-23,22.983561643835618,22.0,20,81.75729838709677,0.07945943651583126,0.14426593621902134,0.14426593621902134,0.14881947763556233,0.08763926095148244,0.09454910757987843,1.0269158191479975,0.0899981434495167
20,2017-03-13,Oskar Sundqvist,away,Pittsburgh Penguins,Calgary Flames,C,6.0166666666667,0,0,0,0.04,0,0,0,0,1,0,1,0.08,0.29,20162017,0.2475333333333344,0.2475333333333344,0.2475333333333344,0.2475333333333344,-0.2475333333333344,-0.7524666666666656,-0.16753333333333442,-0.04246666666666557,0.02,-0.01,-0.504708333333334,-0.06594874999999878,-0.5606570833333328,1994-03-23,22.98904109589041,22.0,21,31.91428763440862,0.1383986362185189,0.11494131810290732,0.11494131810290732,0.11552983869985084,0.09005397634907056,0.09785273060073679,1.0266685799036621,0.09245558801297825
21,2017-03-15,Oskar Sundqvist,away,Pittsburgh Penguins,Philadelphia Flyers,C,11.15,0,0,0,0.14,0,0,0,0,0,0,0,0.31,0.19,20162017,0.4118,0.4118,0.4118,0.4118,-0.4118,0.4118,-0.1018,0.2218,0.07,0.0,-0.46362500000000006,0.71711125,0.3234862499999999,1994-03-23,22.994520547945207,22.0,22,60.43504032258064,0.09550281136111369,0.12346492053207768,0.12346492053207768,0.12564988150324732,0.0924406095639854,0.10114552206210048,1.0264226720912075,0.09488313747840592
22,2017-03-21,Oskar Sundqvist,away,Pittsburgh Penguins,Buffalo Sabres,C,5.8166666666667,0,0,0,0.0,0,0,0,0,1,0,0,0.07,0.39,20162017,0.2411333333333344,0.2411333333333344,0.2411333333333344,0.2411333333333344,-0.2411333333333344,0.2411333333333344,-0.1711333333333344,-0.14886666666666562,0.0,-0.01,-0.5069583333333341,0.1947112500000011,-0.32224708333333296,1994-03-23,23.01095890410959,23.0,23,39.604932795698936,0.10873112608399389,0.10554656888750835,0.10554656888750835,0.1070775816447666,0.09480562109255511,0.10442029038748749,1.0256929051498775,0.09724145292296135
23,2017-03-23,Oskar Sundqvist,away,Pittsburgh Penguins,Ottawa Senators,C,9.6833333333333,0,0,0,0.03,1,1,0,2,5,0,0,0.26,0.15,20162017,0.3648666666666656,0.3648666666666656,0.3648666666666656,0.3648666666666656,-0.3648666666666656,0.3648666666666656,-0.10486666666666561,0.21486666666666562,0.065,-0.18,-0.465541666666666,0.7349512499999988,0.15440958333333277,1994-03-23,23.016438356164382,23.0,24,54.98095430107525,0.08483869133998434,0.10748075725269556,0.10748075725269556,0.1072645961517871,0.09715538469275703,0.10767077072490965,1.0254522910415624,0.09962821182021205
24,2017-03-24,Oskar Sundqvist,home,Pittsburgh Penguins,New York Islanders,C,9.6,0,0,0,0.0,0,0,0,2,3,0,0,0.28,0.35,20162017,0.36219999999999997,0.36219999999999997,0.36219999999999997,0.36219999999999997,-0.36219999999999997,0.36219999999999997,-0.08219999999999994,0.012199999999999989,0.0,-0.01,-0.45137499999999997,0.39210124999999996,-0.06927375000000002,1994-03-23,23.019178082191782,23.0,25,47.76536290322581,0.08850619530592749,0.100584901003255,0.100584901003255,0.10040964075315927,0.09949590677531957,0.11089179641564244,1.0253324774937542,0.10201638459442602
25,2017-03-26,Oskar Sundqvist,home,Pittsburgh Penguins,Philadelphia Flyers,C,8.45,0,0,0,0.11,0,0,0,1,2,1,3,0.29,0.48,20162017,0.32539999999999997,0.32539999999999997,0.32539999999999997,0.32539999999999997,0.6746000000000001,-2.6746,-0.03539999999999999,-0.15460000000000002,0.055,-0.01,0.20287500000000003,-1.18072875,-0.93285375,1994-03-23,23.024657534246575,23.0,26,19.907943548387095,0.08059083111562305,0.06081101188595405,0.06081101188595405,0.06089875105814147,0.10183263950011731,0.11407935226151683,1.0250938354427346,0.10438801099843256
26,2017-03-29,Oskar Sundqvist,home,Pittsburgh Penguins,Chicago Blackhawks,C,8.5166666666667,0,0,0,0.0,1,0,0,0,0,0,1,0.02,0.16,20162017,0.3275333333333344,0.3275333333333344,0.3275333333333344,0.3275333333333344,-0.3275333333333344,-0.6724666666666657,-0.3075333333333344,0.1675333333333344,0.05,0.0,-0.592208333333334,0.2405512500000011,-0.30165708333333285,1994-03-23,23.03287671232877,23.0,27,40.26912634408604,0.032001702530991674,0.047037351568443006,0.047037351568443006,0.04584472081327564,0.10417037201295815,0.11723054213828898,1.024738329100144,0.10674737295829913
27,2017-04-09,Oskar Sundqvist,away,Pittsburgh Penguins,New York Rangers,C,16.05,0,0,0,0.0,0,0,0,9,12,0,1,0.33,0.53,20162017,0.5686000000000001,0.5686000000000001,0.5686000000000001,0.5686000000000001,-0.5686000000000001,-0.4313999999999999,-0.2386000000000001,0.03860000000000008,0.0,-0.03,-0.5491250000000001,-0.13080875000000003,-0.7099337500000001,1994-03-23,23.063013698630137,23.0,28,27.098911290322576,0.016652849492840217,0.01861423862519533,0.01861423862519533,0.01790095044246829,0.10651318332789576,0.12034349945687711,1.023459868915859,0.10901196864657905
