,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,RoundAge,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2021-11-20,Philip Broberg,home,Edmonton Oilers,Chicago Blackhawks,D,14.4,0,0,1,0.05,0,0,1,0,0,1,0,0.57,0.52,20212022,0.5158,0.5158,0.5158,0.5158,0.48419999999999996,0.5158,0.054199999999999915,-0.0041999999999999815,0.5750000000000001,0.15,0.0461999999999998,0.5954625,1.3666625,2001-06-25,20.41917808219178,20.0,1,94.08588709677419,0.0,0.12846513628051248,0.12846513628051248,0.15890891303960214,0.06837612738603574,0.07387422035462818,1.4008492289125556,0.09578464532475484
1,2021-11-23,Philip Broberg,away,Edmonton Oilers,Dallas Stars,D,18.983333333333,0,0,0,0.18,0,1,0,0,0,0,2,0.25,0.29,20212022,0.6624666666666561,0.6624666666666561,0.6624666666666561,0.6624666666666561,-0.6624666666666561,-1.337533333333344,-0.4124666666666561,0.3724666666666561,0.09,-0.15,-1.012466666666656,0.18529583333331834,-0.8871708333333377,2001-06-25,20.427397260273974,20.0,2,21.381586021505235,0.1290010565400838,0.040339682623463935,0.040339682623463935,0.04674420998243234,0.025467327717117766,0.02727360523735571,1.39812382177594,0.03560647755827701
2,2021-11-24,Philip Broberg,away,Edmonton Oilers,Arizona Coyotes,D,21.483333333333,0,0,0,0.01,0,1,0,0,0,1,2,1.34,0.22,20212022,0.7424666666666561,0.7424666666666561,0.7424666666666561,0.7424666666666561,0.25753333333334394,-1.257533333333344,0.597533333333344,0.5224666666666561,0.005,-0.15,1.051533333333344,0.46129583333331814,1.3678291666666622,2001-06-25,20.43013698630137,20.0,3,94.1235215053762,0.04089654862705831,0.1474661530282922,0.1474661530282922,0.1773564127793513,-0.012354644628531966,-0.013425368466590768,1.3972194976673573,-0.008842307632521525
3,2021-11-27,Philip Broberg,away,Edmonton Oilers,Vegas Golden Knights,D,23.566666666667,0,0,0,0.01,2,0,0,0,0,0,1,0.86,1.85,20212022,0.809133333333344,0.809133333333344,0.809133333333344,0.809133333333344,-0.809133333333344,-0.19086666666665597,0.05086666666665596,-1.040866666666656,0.10500000000000001,0.0,-0.18313333333334403,-2.6168708333333175,-2.6950041666666613,2001-06-25,20.438356164383563,20.0,4,-36.935618279569724,0.1469517314728396,-0.06725332672140458,-0.06725332672140458,-0.07538248146024155,-0.04726102113343106,-0.05020500242833591,1.3945188742366683,-0.03389055681250696
4,2021-12-01,Philip Broberg,home,Edmonton Oilers,Pittsburgh Penguins,D,13.116666666667,0,0,0,0.0,2,0,0,0,0,0,1,0.25,0.44,20212022,0.474733333333344,0.474733333333344,0.474733333333344,0.474733333333344,-0.474733333333344,-0.525266666666656,-0.224733333333344,0.034733333333343996,0.1,0.0,-0.824733333333344,0.14542916666668215,-0.5793041666666618,2001-06-25,20.44931506849315,20.0,5,31.312768817204457,-0.06449883142055567,-0.10366514257175044,-0.10366514257175044,-0.1099976891809644,-0.0825326095659686,-0.0866332016920162,1.3909466305122977,-0.05933556885325724
5,2021-12-03,Philip Broberg,away,Edmonton Oilers,Seattle Kraken,D,12.333333333333,0,0,0,0.07,2,0,0,0,0,0,1,0.59,0.43,20212022,0.449666666666656,0.449666666666656,0.449666666666656,0.449666666666656,-0.449666666666656,-0.550333333333344,0.14033333333334397,0.019666666666656007,0.135,0.0,-0.25566666666665605,0.13239583333331817,0.011729166666662127,2001-06-25,20.454794520547946,20.0,6,50.37836021505362,-0.10040361838170332,-0.0959023799034775,-0.0959023799034775,-0.11055542292278948,-0.11300819837640103,-0.11767148057185003,1.3891726523006858,-0.08134928238706822
6,2021-12-05,Philip Broberg,home,Edmonton Oilers,Los Angeles Kings,D,10.416666666667,0,0,0,0.0,0,1,0,0,0,0,1,0.13,0.95,20212022,0.388333333333344,0.388333333333344,0.388333333333344,0.388333333333344,-0.388333333333344,-0.6116666666666559,-0.258333333333344,-0.5616666666666559,0.0,-0.15,-0.930333333333344,-1.1517708333333176,-2.2321041666666614,2001-06-25,20.46027397260274,20.0,7,-22.00336021505359,-0.09306673891618857,-0.2324494929901535,-0.2324494929901535,-0.2515086166878278,-0.1362967636413543,-0.14122267336128383,1.3874067064787619,-0.09823850714061738
7,2021-12-07,Philip Broberg,home,Edmonton Oilers,Minnesota Wild,D,10.3,0,0,0,0.03,0,0,0,0,0,0,1,0.08,0.26,20212022,0.3846,0.3846,0.3846,0.3846,-0.3846,-0.6154,-0.3046,0.12459999999999999,0.015,0.0,-1.0066,0.42986250000000004,-0.5617374999999999,2001-06-25,20.465753424657535,20.0,8,31.87943548387097,-0.22490087859569946,-0.2525277889399839,-0.2525277889399839,-0.27022853212950176,-0.15020665028834038,-0.15666325255405775,1.3856487459893119,-0.10840167879710187
8,2022-02-11,Philip Broberg,home,Edmonton Oilers,New York Islanders,D,11.633333333333,0,0,0,0.02,0,0,0,0,0,1,0,0.43,0.59,20212022,0.427266666666656,0.427266666666656,0.427266666666656,0.427266666666656,0.572733333333344,0.427266666666656,0.002733333333343968,-0.16273333333334394,0.01,0.0,-0.08926666666665595,0.30719583333331824,0.2279291666666623,2001-06-25,20.646575342465752,20.0,9,57.35255376344072,-0.24452616305508743,-0.2244833692821399,-0.2244833692821399,-0.19934342860099094,-0.15480922701129662,-0.1635577199491774,1.3318286573769396,-0.1162380957594021
9,2022-02-14,Philip Broberg,away,Edmonton Oilers,San Jose Sharks,D,14.133333333333,0,0,0,0.1,1,0,0,0,0,1,0,0.91,0.44,20212022,0.5072666666666561,0.5072666666666561,0.5072666666666561,0.5072666666666561,0.4927333333333439,0.5072666666666561,0.40273333333334393,0.0672666666666561,0.1,0.0,0.598733333333344,0.7671958333333182,1.4659291666666623,2001-06-25,20.654794520547945,20.0,10,97.28803763440845,-0.21523939213928797,-0.1297268849084572,-0.1297268849084572,-0.1338984429960663,-0.15332191217122448,-0.16341944032454458,1.3295631499286131,-0.1153175102509848
