,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,RoundAge,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2021-01-15,Philipp Kurashev,away,Chicago Blackhawks,Tampa Bay Lightning,C,13.85,0,0,0,0.18,0,0,0,0,0,0,1,0.77,0.38,20202021,0.4982,0.4982,0.4982,0.4982,-0.4982,-0.5018,0.27180000000000004,0.11819999999999997,0.09,0.0,-0.23012499999999997,0.04895124999999989,-0.09117375000000008,1999-10-12,21.276712328767122,21.0,1,47.05891129032258,0.0,-0.00857025653294459,-0.00857025653294459,-0.007697080257125279,0.21696353729430357,0.23747556259303448,1.1936292166856706,0.2589740170699518
1,2021-01-17,Philipp Kurashev,away,Chicago Blackhawks,Florida Panthers,C,13.55,0,0,0,0.14,0,0,0,0,0,0,2,0.4,0.42,20202021,0.48860000000000003,0.48860000000000003,0.48860000000000003,0.48860000000000003,-0.48860000000000003,-1.5114,-0.08860000000000001,0.06860000000000005,0.07,0.0,-0.45537500000000003,-0.4668087499999999,-0.8521837499999999,1999-10-12,21.28219178082192,21.0,2,22.51020161290323,-0.008606009222263346,-0.08176953663648177,-0.08176953663648177,-0.08684428049939931,0.21102214876439646,0.23080752059738785,1.192689295428421,0.25168385792959946
2,2021-01-19,Philipp Kurashev,away,Chicago Blackhawks,Florida Panthers,C,10.8,1,0,0,0.07,0,0,0,0,0,1,0,0.27,0.06,20202021,0.4006,0.4006,0.4006,0.4006,0.5993999999999999,0.4006,-0.1306,0.3406,0.785,0.0,0.14337499999999992,0.9261412499999999,1.8545162499999999,1999-10-12,21.28767123287671,21.0,3,109.82310483870967,-0.08161880698905445,0.07448590983653348,0.07448590983653348,0.07060344527030561,0.20506409004317439,0.2241332650833518,1.1917531127532768,0.2443857676228713
3,2021-01-22,Philipp Kurashev,home,Chicago Blackhawks,Detroit Red Wings,C,10.5,0,0,0,0.12,0,0,0,0,0,0,1,0.81,0.31,20202021,0.391,0.391,0.391,0.391,-0.391,-0.609,0.41900000000000004,0.08100000000000002,0.06,0.0,-0.138125,0.05338125000000005,-0.024743749999999953,1999-10-12,21.295890410958904,21.0,4,49.20181451612903,0.073150464942758,0.06699012675369503,0.06699012675369503,0.07428526297447263,0.19908596873690562,0.21745266485791842,1.1903558130567415,0.23698314018400832
4,2021-01-24,Philipp Kurashev,home,Chicago Blackhawks,Detroit Red Wings,C,12.25,1,0,0,0.4,0,0,0,0,0,2,0,0.53,0.65,20202021,0.447,0.447,0.447,0.447,1.553,0.447,0.08300000000000002,-0.203,0.95,0.0,0.9018750000000001,-0.027268749999999953,1.8246062500000002,1999-10-12,21.301369863013697,21.0,5,108.85826612903227,0.06586579822027049,0.19197379951182433,0.19197379951182433,0.21058297383433977,0.1930862492290712,0.2107659185352104,1.1894289059512335,0.22966236617476135
5,2021-01-26,Philipp Kurashev,away,Chicago Blackhawks,Nashville Predators,C,14.8,0,0,0,0.0,0,0,1,0,0,0,0,0.11,0.28,20202021,0.5286000000000001,0.5286000000000001,0.5286000000000001,0.5286000000000001,-0.5286000000000001,0.5286000000000001,-0.4186000000000001,0.24860000000000004,0.0,0.15,-0.6616250000000001,0.6889412500000001,0.17731624999999995,1999-10-12,21.306849315068494,21.0,6,55.71987903225806,0.18810925593128958,0.19098776234144993,0.19098776234144993,0.20460975605199516,0.18706478179885477,0.20407343756756374,1.1885056809821033,0.22232755587961645
6,2021-01-27,Philipp Kurashev,away,Chicago Blackhawks,Nashville Predators,C,13.983333333333,0,0,0,0.04,0,0,0,0,0,0,1,0.24,0.68,20202021,0.5024666666666561,0.5024666666666561,0.5024666666666561,0.5024666666666561,-0.5024666666666561,-0.49753333333334393,-0.2624666666666561,-0.17753333333334398,0.02,0.0,-0.5640416666666601,-0.4564887500000113,-1.0005304166666713,1999-10-12,21.30958904109589,21.0,7,17.724825268817057,0.18740532056232914,0.11482530964526712,0.11482530964526712,0.12119685022495667,0.1810223666506392,0.1973757481071844,1.188045444324928,0.21506279802020867
7,2021-01-29,Philipp Kurashev,home,Chicago Blackhawks,Columbus Blue Jackets,C,11.683333333333,0,0,0,0.14,0,1,0,1,1,0,0,0.36,0.39,20202021,0.428866666666656,0.428866666666656,0.428866666666656,0.428866666666656,-0.428866666666656,0.428866666666656,-0.06886666666665603,0.038866666666656,0.07,-0.15,-0.44304166666666006,0.3953512499999886,-0.12769041666667147,1999-10-12,21.315068493150687,21.0,8,45.880954301075114,0.11453989571377797,0.10003794289724713,0.10003794289724713,0.10838236783572215,0.1749103683847885,0.1906171228501575,1.1871277127715156,0.20764094556065718
8,2021-01-31,Philipp Kurashev,home,Chicago Blackhawks,Columbus Blue Jackets,C,14.05,1,1,0,0.13,2,0,0,6,4,2,1,0.63,0.9,20202021,0.5046,0.5046,0.5046,0.5046,1.4954,-0.49539999999999995,0.12539999999999996,-0.3954,1.615,0.02,0.9283750000000001,-0.82820875,1.7351662500000002,1999-10-12,21.32054794520548,21.0,9,105.97310483870969,0.100490256708223,0.19548088300602237,0.19548088300602237,0.21099821812115005,0.16855318178472806,0.18359834116259488,1.186213623778735,0.19994008056429816
9,2021-02-02,Philipp Kurashev,home,Chicago Blackhawks,Carolina Hurricanes,C,16.833333333333,1,0,0,0.12,1,0,0,5,8,0,0,0.1,0.62,20202021,0.5936666666666561,0.5936666666666561,0.5936666666666561,0.5936666666666561,-0.5936666666666561,0.5936666666666561,-0.49366666666665615,-0.026333333333343867,0.8600000000000001,-0.03,-0.7085416666666601,0.18048124999998882,0.3019395833333288,1999-10-12,21.326027397260273,21.0,10,59.73998655913964,0.19042943737801932,0.20144845125311003,0.20144845125311003,0.19749567458305434,0.16188612648366602,0.1762441779566536,1.1853031616865153,0.19188413755427244
10,2021-02-04,Philipp Kurashev,home,Chicago Blackhawks,Carolina Hurricanes,C,6.9333333333333,0,0,1,0.33,0,0,0,0,2,0,2,0.45,0.4,20202021,0.2768666666666656,0.2768666666666656,0.2768666666666656,0.2768666666666656,-0.2768666666666656,-1.7231333333333345,0.17313333333333442,-0.12313333333333443,0.7150000000000001,-0.02,-0.291791666666666,-0.6590987500000013,-0.25589041666666723,1999-10-12,21.33150684931507,21.0,11,41.74547043010751,0.19626579981414619,0.17675767278788784,0.17675767278788784,0.17206682980486418,0.15495368967759893,0.16860173233891457,1.1843963109309208,0.18352657841928288
11,2021-02-07,Philipp Kurashev,away,Chicago Blackhawks,Dallas Stars,C,13.166666666667,0,0,0,0.08,1,0,2,3,2,0,0,0.18,0.4,20202021,0.476333333333344,0.476333333333344,0.476333333333344,0.476333333333344,-0.476333333333344,0.476333333333344,-0.296333333333344,0.07633333333334397,0.09,0.31,-0.58520833333334,0.42908125000001135,0.24387291666667138,1999-10-12,21.339726027397262,21.0,12,57.86686827957004,0.1736955824207706,0.1802566713406323,0.1802566713406323,0.1862131990216215,0.14785379802068768,0.1607780951052138,1.183042772242382,0.17491736709695957
12,2021-02-09,Philipp Kurashev,away,Chicago Blackhawks,Dallas Stars,C,12.683333333333,0,0,1,0.02,0,0,0,0,0,0,0,0.27,0.55,20202021,0.460866666666656,0.460866666666656,0.460866666666656,0.460866666666656,-0.460866666666656,0.460866666666656,-0.19086666666665597,-0.08913333333334406,0.56,0.0,-0.51929166666666,0.15755124999998854,0.19825958333332855,1999-10-12,21.345205479452055,21.0,13,56.39547043010737,0.17705031015692674,0.1811652019391138,0.1811652019391138,0.1866771986872149,0.1406978175380226,0.15289559423371782,1.1821448823608538,0.1663252049619146
13,2021-02-11,Philipp Kurashev,home,Chicago Blackhawks,Columbus Blue Jackets,C,11.7,0,0,0,0.0,0,0,0,0,0,0,1,0.14,1.13,20202021,0.4294,0.4294,0.4294,0.4294,-0.4294,-0.5706,-0.2894,-0.7005999999999999,0.0,0.0,-0.580875,-1.2995787499999998,-1.8804537499999998,1999-10-12,21.350684931506848,21.0,14,-10.659798387096771,0.1780214646098544,0.08023021101146302,0.08023021101146302,0.08773750473172785,0.133585727977197,0.14506427875326972,1.1812505500891646,0.15779821465712546
14,2021-02-13,Philipp Kurashev,home,Chicago Blackhawks,Columbus Blue Jackets,C,15.45,0,1,0,0.12,0,0,1,1,1,1,1,0.49,0.71,20202021,0.5494,0.5494,0.5494,0.5494,0.4506,-0.4506,-0.05940000000000001,-0.16059999999999997,0.76,0.15,0.18787500000000001,-0.45732874999999995,0.6405462500000002,1999-10-12,21.356164383561644,21.0,15,70.66278225806452,0.08756302933958449,0.10689811007702003,0.10689811007702003,0.11593790593059074,0.12659443945997106,0.13736888649694576,1.1803597602872413,0.14942698221466913
15,2021-02-15,Philipp Kurashev,away,Chicago Blackhawks,Detroit Red Wings,C,14.75,0,0,0,0.03,0,0,0,1,0,1,0,0.26,0.18,20202021,0.527,0.527,0.527,0.527,0.473,0.527,-0.267,0.34700000000000003,0.015,0.01,0.05812499999999993,0.85723125,0.9403562499999999,1999-10-12,21.361643835616437,21.0,16,80.33407258064516,0.11092588158297992,0.14553296788378364,0.14553296788378364,0.1560944538991485,0.11977516898890338,0.1298658518351362,1.1794724979073083,0.14127151775461183
16,2021-02-17,Philipp Kurashev,away,Chicago Blackhawks,Detroit Red Wings,C,10.116666666667,1,0,0,0.14,0,0,0,1,1,0,0,0.12,0.38,20202021,0.37873333333334397,0.37873333333334397,0.37873333333334397,0.37873333333334397,-0.37873333333334397,0.37873333333334397,-0.258733333333344,-0.0012666666666560356,0.8200000000000001,0.0,-0.56170833333334,0.3587712500000113,0.6170629166666713,1999-10-12,21.367123287671234,21.0,17,69.90525537634423,0.1446711501196304,0.16685852376828894,0.16685852376828894,0.17764360049274958,0.11315599001196616,0.12258607397455053,1.1785887479930557,0.1333643765961179
17,2021-02-19,Philipp Kurashev,away,Chicago Blackhawks,Carolina Hurricanes,C,12.733333333333,0,0,0,0.4,0,0,0,0,1,0,1,0.62,0.62,20202021,0.46246666666665603,0.46246666666665603,0.46246666666665603,0.46246666666665603,-0.46246666666665603,-0.537533333333344,0.15753333333334396,-0.15753333333334396,0.2,-0.01,-0.30154166666666005,-0.3972387500000114,-0.5087804166666714,1999-10-12,21.372602739726027,21.0,18,33.587728494623505,0.16320684452183704,0.13699772678305297,0.13699772678305297,0.13312492348304622,0.10670242218981377,0.11549046915518207,1.1777084956791402,0.12566434912248609
