,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,RoundAge,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2021-12-28,Rafael Harvey-Pinard,away,Montreal Canadiens,Tampa Bay Lightning,L,9.4666666666667,1,0,0,0.13,0,0,0,0,1,2,2,0.54,0.37,20212022,0.35793333333333444,0.35793333333333444,0.35793333333333444,0.35793333333333444,1.6420666666666657,-1.6420666666666657,0.1820666666666656,-0.01206666666666556,0.815,-0.01,0.963791666666666,-0.5214587499999989,1.2473329166666671,1999-01-06,22.991780821917807,22.0,1,90.23654569892474,0.0,0.1172482548740106,0.1172482548740106,0.12250178862167944,0.1088792103282821,0.1136918358242518,1.0265454597698782,0.11176945902582762
1,2021-12-30,Rafael Harvey-Pinard,away,Montreal Canadiens,Carolina Hurricanes,L,13.35,0,0,0,0.0,0,0,0,0,0,0,0,0.44,0.31,20212022,0.4822,0.4822,0.4822,0.4822,-0.4822,0.4822,-0.042200000000000015,0.17220000000000002,0.0,0.0,-0.42637500000000006,0.58835125,0.16197624999999993,1999-01-06,22.997260273972604,22.0,2,55.22504032258064,0.1177373814729126,0.12112924666592863,0.12112924666592863,0.12221818994460511,0.05300427987978395,0.05556516657668957,1.0263002164661774,0.05439830391425612
2,2022-01-01,Rafael Harvey-Pinard,away,Montreal Canadiens,Florida Panthers,L,17.983333333333,0,0,0,0.49,3,0,0,0,0,0,1,0.63,1.61,20212022,0.6304666666666561,0.6304666666666561,0.6304666666666561,0.6304666666666561,-0.6304666666666561,-0.3695333333333439,-0.00046666666665606815,-0.979533333333344,0.395,0.0,-0.40029166666666005,-1.9006887500000116,-1.9059804166666716,1999-01-06,23.002739726027396,23.0,3,-11.483239247311985,0.12156631555339459,-0.042455554544650706,-0.042455554544650706,-0.04313715702406085,0.014299066936431928,0.015691345257796464,1.026056299774684,0.014671647711025871
3,2022-04-21,Rafael Harvey-Pinard,home,Montreal Canadiens,Philadelphia Flyers,L,11.55,0,0,0,0.21,0,0,0,0,0,1,1,0.39,0.44,20212022,0.42460000000000003,0.42460000000000003,0.42460000000000003,0.42460000000000003,0.5753999999999999,-0.5753999999999999,-0.03460000000000002,-0.01539999999999997,0.105,0.0,0.20337499999999997,-0.13170874999999993,0.17666625000000002,1999-01-06,23.304109589041097,23.0,4,55.698911290322584,-0.04051015241853945,-0.025903149565206136,-0.025903149565206136,-0.02515024038786833,-0.003974732083160058,-0.002956511835843554,1.0145957419553617,-0.0039175524978055055
4,2023-01-17,Rafael Harvey-Pinard,home,Montreal Canadiens,Winnipeg Jets,L,12.916666666667,0,0,0,0.0,1,0,0,0,0,0,0,0.36,0.32,20222023,0.468333333333344,0.468333333333344,0.468333333333344,0.468333333333344,-0.468333333333344,0.468333333333344,-0.108333333333344,0.14833333333334398,0.05,0.0,-0.46770833333334005,0.5565312500000114,0.1388229166666713,1999-01-06,24.046575342465754,24.0,5,54.478158602150685,-0.021016453749462614,-0.014189517399251218,-0.014189517399251218,-0.014326481394933378,-0.0013655655055624153,0.00010509903485559193,1.000714730038933,-0.0013645901919613873
5,2023-01-19,Rafael Harvey-Pinard,home,Montreal Canadiens,Florida Panthers,L,13.116666666667,0,0,0,0.32,1,0,0,0,0,1,0,0.39,0.16,20222023,0.474733333333344,0.474733333333344,0.474733333333344,0.474733333333344,0.525266666666656,0.474733333333344,-0.08473333333334399,0.31473333333334397,0.21000000000000002,0.0,0.17204166666666,0.8353712500000113,1.2174129166666714,1999-01-06,24.052054794520547,24.0,6,89.2713844086023,-0.00010028646557108869,0.06866237937468841,0.06866237937468841,0.07106355711322791,0.03343976748732708,0.03530804347083238,1.0006794535800791,0.033462488257063355
6,2023-01-21,Rafael Harvey-Pinard,home,Montreal Canadiens,Toronto Maple Leafs,L,13.8,1,0,0,0.49,0,0,0,0,0,1,1,0.96,0.66,20222023,0.49660000000000004,0.49660000000000004,0.49660000000000004,0.49660000000000004,0.5034,-0.5034,0.4633999999999999,-0.1634,0.995,0.0,0.514625,-0.4287587500000002,1.0808662499999997,1999-01-06,24.057534246575344,24.0,7,84.86665322580644,0.14126076847862734,0.13336296957430127,0.13336296957430127,0.1337497820453025,0.10864443069515482,0.11098606128864812,1.0006450868917909,0.10871451579326236
7,2023-01-24,Rafael Harvey-Pinard,home,Montreal Canadiens,Boston Bruins,L,13.283333333333,0,0,0,0.02,0,0,1,0,0,0,1,0.14,0.83,20222023,0.480066666666656,0.480066666666656,0.480066666666656,0.480066666666656,-0.480066666666656,-0.519933333333344,-0.34006666666665597,-0.349933333333344,0.01,0.15,-0.61254166666666,-0.7354287500000113,-1.1879704166666714,1999-01-06,24.065753424657533,24.0,8,11.67837365591383,0.23934090320942322,0.052794827970089955,0.052794827970089955,0.05141893873536709,0.1853116797661303,0.1929091266120581,1.0005952396369335,0.18542198462311385
8,2023-01-26,Rafael Harvey-Pinard,home,Montreal Canadiens,Detroit Red Wings,L,16.116666666667,2,1,0,0.36,3,0,0,0,0,2,0,0.62,0.4,20222023,0.5707333333333441,0.5707333333333441,0.5707333333333441,0.5707333333333441,1.4292666666666558,0.5707333333333441,0.04926666666665591,0.17073333333334406,2.5300000000000002,0.0,0.8807916666666599,0.5299712500000114,3.9407629166666718,1999-01-06,24.07123287671233,24.0,9,177.1213844086023,0.10373301387930202,0.27973671615243323,0.27973671615243323,0.3052563372870729,0.24966393724879316,0.26423753581507226,1.000563141300281,0.2498045333230487
9,2023-01-28,Rafael Harvey-Pinard,away,Montreal Canadiens,Ottawa Senators,L,10.283333333333,0,0,0,0.0,0,0,0,0,0,0,1,0.06,0.3,20222023,0.38406666666665595,0.38406666666665595,0.38406666666665595,0.38406666666665595,-0.38406666666665595,-0.6159333333333441,-0.32406666666665596,0.08406666666665596,0.0,0.0,-0.60254166666666,0.0629712499999886,-0.5395704166666714,1999-01-06,24.076712328767123,24.0,10,32.594502688171886,0.43781824576872747,0.2338102562633712,0.2338102562633712,0.24625952531330814,0.31298147593603587,0.3300756732935194,1.0005319478897663,0.31314796577169596
