,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,RoundAge,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2021-01-31,Reese Johnson,home,Chicago Blackhawks,Columbus Blue Jackets,C,10.933333333333,0,0,0,0.02,0,1,1,0,0,0,0,0.35,0.21,20202021,0.404866666666656,0.404866666666656,0.404866666666656,0.404866666666656,-0.404866666666656,0.404866666666656,-0.05486666666665602,0.194866666666656,0.01,0.0,-0.43429166666666,0.6757012499999886,0.2514095833333286,1998-07-10,22.578082191780823,22.0,1,58.10998655913963,0.0,0.023632291355870902,0.023632291355870902,0.025454095445367534,0.02105346491854231,0.022585539889535114,1.0491536024815697,0.022088318564008013
1,2021-02-13,Reese Johnson,home,Chicago Blackhawks,Columbus Blue Jackets,C,7.0,0,0,0,0.03,1,0,0,0,0,0,1,0.19,0.25,20202021,0.279,0.279,0.279,0.279,-0.279,-0.721,-0.08900000000000002,0.029000000000000026,0.065,0.0,-0.45562500000000006,0.03568125,-0.35494375000000006,1998-07-10,22.613698630136987,22.0,2,38.55020161290322,0.023730878599728635,-0.009216274849262782,-0.009216274849262782,-0.009925431277556943,0.0020857483873424195,-0.00021794474125128027,1.0468695506249335,0.0021835064769738385
2,2021-02-15,Reese Johnson,away,Chicago Blackhawks,Detroit Red Wings,C,7.35,0,0,0,0.05,1,0,0,0,0,0,0,0.06,0.09,20202021,0.2902,0.2902,0.2902,0.2902,-0.2902,0.2902,-0.23020000000000002,0.20020000000000002,0.07500000000000001,0.0,-0.543875,0.7571512499999999,0.28827624999999996,1998-07-10,22.61917808219178,22.0,3,59.29923387096774,-0.009677929346404456,0.014790939175405984,0.014790939175405984,0.015843729697449616,-0.016296086957483767,-0.02223406755636547,1.0465241539809829,-0.015571630043600402
3,2021-03-09,Reese Johnson,away,Chicago Blackhawks,Dallas Stars,C,7.5333333333333,0,0,0,0.14,0,1,1,0,1,0,1,0.15,0.16,20202021,0.29606666666666565,0.29606666666666565,0.29606666666666565,0.29606666666666565,-0.29606666666666565,-0.7039333333333344,-0.14606666666666565,0.13606666666666564,0.07,-0.01,-0.491291666666666,0.2069212499999989,-0.22437041666666713,1998-07-10,22.67945205479452,22.0,4,42.7622446236559,0.014562952913802225,-0.0032752483752007226,-0.0032752483752007226,-0.003239689974713015,-0.033986213733344,-0.043372079985280615,1.0428285341717274,-0.032590414070648485
4,2021-03-20,Reese Johnson,away,Chicago Blackhawks,Tampa Bay Lightning,C,6.9166666666667,0,0,0,0.0,0,1,0,0,0,0,0,0.01,0.19,20202021,0.27633333333333443,0.27633333333333443,0.27633333333333443,0.27633333333333443,-0.27633333333333443,0.27633333333333443,-0.2663333333333344,0.08633333333333443,0.0,-0.15,-0.5664583333333341,0.5723312500000012,-0.1441270833333329,1998-07-10,22.70958904109589,22.0,5,45.35073924731184,-0.004124182358692445,-0.013291189521253952,-0.013291189521253952,-0.012663820345314368,-0.0523917594934452,-0.06527882181090847,1.0410509189494581,-0.050325837612548864
5,2021-10-24,Reese Johnson,home,Chicago Blackhawks,Detroit Red Wings,C,12.1,0,0,0,0.16,0,0,0,4,3,0,1,0.51,0.55,20212022,0.4422,0.4422,0.4422,0.4422,-0.4422,-0.5578000000000001,0.06780000000000003,-0.10780000000000006,0.08,0.01,-0.35762499999999997,-0.2998987500000002,-0.5675237500000002,1998-07-10,23.306849315068494,23.0,6,31.692782258064508,-0.014479159322901572,-0.050575314348733365,-0.050575314348733365,-0.05606787151397224,-0.07414981538942603,-0.0909702566014539,1.0145084291998543,-0.07308940296130235
6,2021-10-27,Reese Johnson,home,Chicago Blackhawks,Toronto Maple Leafs,C,11.133333333333,0,0,0,0.0,0,0,0,4,6,0,1,0.02,0.51,20212022,0.411266666666656,0.411266666666656,0.411266666666656,0.411266666666656,-0.411266666666656,-0.588733333333344,-0.391266666666656,-0.098733333333344,0.0,-0.02,-0.64454166666666,-0.26495875000001134,-0.9295004166666714,1998-07-10,23.315068493150687,23.0,7,20.016115591397696,-0.07023795354098104,-0.10675665736819334,-0.10675665736819334,-0.12225940891282663,-0.09675832685613489,-0.11754120941954133,1.0142482396202117,-0.09539905821514301
7,2021-10-29,Reese Johnson,away,Chicago Blackhawks,Carolina Hurricanes,C,9.8833333333333,0,0,0,0.0,0,1,2,3,2,0,1,0.22,0.44,20212022,0.37126666666666563,0.37126666666666563,0.37126666666666563,0.37126666666666563,-0.37126666666666563,-0.6287333333333344,-0.15126666666666563,-0.06873333333333437,0.0,0.16,-0.49454166666666605,-0.1887087500000011,-0.5232504166666672,1998-07-10,23.32054794520548,23.0,8,33.12095430107526,-0.14934596158608185,-0.13215231339705727,-0.13215231339705727,-0.1416324350072763,-0.1169992279660762,-0.14128854996700252,1.014076234033635,-0.11537517993168507
8,2021-10-30,Reese Johnson,away,Chicago Blackhawks,St Louis Blues,C,10.0,0,0,0,0.0,0,0,1,4,5,0,0,0.0,0.45,20212022,0.375,0.375,0.375,0.375,-0.375,0.375,-0.375,-0.07500000000000001,0.0,0.13999999999999999,-0.634375,0.23578125,-0.25859375,1998-07-10,23.323287671232876,23.0,9,41.658266129032256,-0.1809778056562715,-0.13953273877929842,-0.13953273877929842,-0.16038187001089424,-0.13330968641153057,-0.16043013406431217,1.013990666552133,-0.13147032887868956
9,2021-11-01,Reese Johnson,home,Chicago Blackhawks,Ottawa Senators,C,11.783333333333,0,0,0,0.01,1,0,0,1,3,0,0,0.05,0.97,20212022,0.432066666666656,0.432066666666656,0.432066666666656,0.432066666666656,-0.432066666666656,0.432066666666656,-0.382066666666656,-0.537933333333344,0.055,-0.02,-0.63879166666666,-0.5872287500000114,-1.1910204166666714,1998-07-10,23.328767123287673,23.0,10,11.579986559139634,-0.18704251359551663,-0.19847413539106162,-0.19847413539106162,-0.23082912142649722,-0.14511650731420192,-0.17405579607277447,1.0138204006724063,-0.1431382789475876
