,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,RoundAge,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2010-10-11,Ryan Reaves,home,St Louis Blues,Anaheim Ducks,R,1.9166666666667,0,0,0,0.0,0,2,1,0,0,0,0,0.06,0.02,20102011,0.1163333333333344,0.1163333333333344,0.1163333333333344,0.1163333333333344,-0.1163333333333344,0.1163333333333344,-0.0563333333333344,0.0963333333333344,0.0,-0.15,-0.43520833333333403,0.6903312500000012,0.10512291666666718,1987-01-20,23.73972602739726,23.0,1,53.391061827957,0.0,0.009881466576999337,0.009881466576999337,0.013155399366668675,0.06547095368716263,0.10799564388058748,1.0041879611802964,0.06574514349964145
1,2010-10-14,Ryan Reaves,away,St Louis Blues,Nashville Predators,R,4.1,0,0,0,0.09,0,1,2,0,0,0,0,0.2,0.15,20102011,0.18619999999999998,0.18619999999999998,0.18619999999999998,0.18619999999999998,-0.18619999999999998,0.18619999999999998,0.013800000000000034,0.03619999999999998,0.045,0.15,-0.39137500000000003,0.54400125,0.34762624999999997,1987-01-20,23.747945205479454,23.0,2,61.21375,0.00992268926422965,0.039187155967628076,0.039187155967628076,0.03888834611668407,0.06728201967800683,0.10851686905632224,1.0040553786099207,0.06755487374144128
2,2011-01-12,Ryan Reaves,away,St Louis Blues,Anaheim Ducks,R,10.516666666667,1,0,0,0.27,0,0,0,0,0,1,0,0.72,0.0,20102011,0.391533333333344,0.391533333333344,0.391533333333344,0.391533333333344,0.608466666666656,0.391533333333344,0.32846666666665597,0.391533333333344,0.885,0.0,0.43029166666665997,1.0184512500000114,2.3337429166666714,1987-01-20,23.994520547945207,23.0,3,125.28202956989263,0.03920238725194681,0.2243544682103481,0.2243544682103481,0.2513218399844979,0.06909626184212768,0.10905031642315009,1.0010955007920332,0.06917195685170227
3,2011-01-13,Ryan Reaves,away,St Louis Blues,Los Angeles Kings,R,4.7666666666667,1,0,0,0.19,0,0,0,0,0,1,0,0.2,0.18,20102011,0.2075333333333344,0.2075333333333344,0.2075333333333344,0.2075333333333344,0.7924666666666655,0.2075333333333344,-0.007533333333334391,0.02753333333333441,0.845,0.0,0.220291666666666,0.5158012500000011,1.5810929166666672,1987-01-20,23.997260273972604,23.0,4,101.00299731182798,0.2533777310636603,0.3268421430298393,0.3268421430298393,0.3454296446397361,0.07091264035459126,0.10959748406823794,1.001073390380942,0.07098875730063507
4,2011-01-15,Ryan Reaves,away,St Louis Blues,San Jose Sharks,R,5.05,0,0,0,0.0,0,1,1,0,0,0,0,0.01,0.23,20102011,0.2166,0.2166,0.2166,0.2166,-0.2166,0.2166,-0.20659999999999998,-0.013400000000000023,0.0,0.0,-0.5291250000000001,0.44049124999999995,-0.08863375000000012,1987-01-20,24.002739726027396,24.0,5,47.14084677419355,0.3669261181346223,0.29729774913942436,0.29729774913942436,0.308913941000095,0.0727301814301696,0.1101597307768274,1.0010298623876384,0.07280508350847065
5,2011-01-18,Ryan Reaves,home,St Louis Blues,Los Angeles Kings,R,4.2,0,0,0,0.0,0,0,0,0,0,0,0,0.21,0.0,20102011,0.1894,0.1894,0.1894,0.1894,-0.1894,0.1894,0.02059999999999998,0.1894,0.0,0.0,-0.38712500000000005,0.80242125,0.4152962499999999,1987-01-20,24.01095890410959,24.0,6,63.396653225806446,0.33090891892121355,0.30523570000925576,0.30523570000925576,0.32089301209759985,0.0745479770403522,0.11073827898572769,1.0009662997508173,0.07462001273199022
6,2011-01-20,Ryan Reaves,home,St Louis Blues,Detroit Red Wings,R,4.1333333333333,0,0,0,0.0,1,1,0,0,0,0,0,0.22,0.08,20102011,0.18726666666666558,0.18726666666666558,0.18726666666666558,0.18726666666666558,-0.18726666666666558,0.18726666666666558,0.03273333333333442,0.10726666666666558,0.05,-0.15,-0.379541666666666,0.6641412499999988,0.18459958333333282,1987-01-20,24.016438356164382,24.0,7,55.95482526881719,0.33712475467722114,0.2975245776011783,0.2975245776011783,0.3080123486453912,0.07636518411090433,0.11133421866961202,1.0009250754558365,0.07643582766840576
7,2011-01-22,Ryan Reaves,home,St Louis Blues,Columbus Blue Jackets,R,5.7333333333333,0,0,0,0.0,1,1,1,0,0,0,2,0.07,0.46,20102011,0.23846666666666558,0.23846666666666558,0.23846666666666558,0.23846666666666558,-0.23846666666666558,-1.7615333333333345,-0.16846666666666557,-0.22153333333333444,0.05,0.0,-0.505291666666666,-0.8021387500000011,-1.2574304166666672,1987-01-20,24.02191780821918,24.0,8,9.437728494623641,0.3266234926355535,0.202711387023475,0.202711387023475,0.21744560571092117,0.07818102327713256,0.11194851198448309,1.000884770121094,0.07825019551056471
8,2011-03-01,Ryan Reaves,home,St Louis Blues,Calgary Flames,R,7.25,0,0,0,0.0,0,0,0,0,0,0,0,0.06,0.07,20102011,0.28700000000000003,0.28700000000000003,0.28700000000000003,0.28700000000000003,-0.28700000000000003,0.28700000000000003,-0.22700000000000004,0.21700000000000003,0.0,0.0,-0.5418750000000001,0.78773125,0.2458562499999999,1987-01-20,24.126027397260273,24.0,9,57.93084677419355,0.2242224906964728,0.20522976589024794,0.20522976589024794,0.20461708406178655,0.07999477726908558,0.1125819985085917,1.0002917045663362,0.08001811211089802
9,2011-03-03,Ryan Reaves,away,St Louis Blues,Washington Capitals,R,6.4333333333333,0,0,0,0.01,0,0,0,0,0,0,0,0.08,0.09,20102011,0.2608666666666656,0.2608666666666656,0.2608666666666656,0.2608666666666656,-0.2608666666666656,0.2608666666666656,-0.18086666666666557,0.17086666666666558,0.005,0.0,-0.513041666666666,0.7258012499999988,0.2177595833333329,1987-01-20,24.13150684931507,24.0,10,57.02450268817203,0.22562847264376734,0.2059321278436183,0.2059321278436183,0.20490674797318914,0.08180578899349036,0.11323540093717215,1.0002694859636845,0.08182783450537225
