,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,RoundAge,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2012-04-03,Torey Krug,home,Boston Bruins,Pittsburgh Penguins,D,18.3,0,0,0,0.1,1,0,0,0,0,2,2,0.62,0.66,20112012,0.6406000000000001,0.6406000000000001,0.6406000000000001,0.6406000000000001,1.3594,-1.3594,-0.020600000000000063,-0.019399999999999973,0.1,0.0,0.4014,-0.6971375,-0.1957375,1991-04-12,20.991780821917807,20.0,1,43.685887096774195,0.0,-0.018399161909181536,-0.018399161909181536,-0.017307822444749425,0.5200426139937349,0.6133543372229746,1.2480975689108726,0.6490639222556358
1,2012-04-05,Torey Krug,away,Boston Bruins,Ottawa Senators,D,15.95,0,0,1,0.05,3,0,0,0,0,0,0,0.4,0.47,20112012,0.5654,0.5654,0.5654,0.5654,-0.5654,0.5654,-0.1654,0.09540000000000004,0.7250000000000001,0.0,-0.6754,0.7817625000000001,0.8313625000000002,1991-04-12,20.997260273972604,20.0,2,76.81814516129033,-0.018475918015248578,0.05533358702505131,0.05533358702505131,0.054209146998970024,0.5238347577928217,0.6164838295147864,1.2469380562378798,0.6531894946720217
2,2013-03-27,Torey Krug,home,Boston Bruins,Montreal Canadiens,D,15.783333333333,0,0,1,0.0,1,0,0,0,0,1,2,0.39,0.12,20122013,0.560066666666656,0.560066666666656,0.560066666666656,0.560066666666656,0.43993333333334395,-1.439933333333344,-0.17006666666665604,0.44006666666665606,0.6000000000000001,0.0,-0.28606666666665603,0.42909583333331813,0.7430291666666622,1991-04-12,21.972602739726028,21.0,3,73.96868279569878,0.05507874985897828,0.11082961998466977,0.11082961998466977,0.14818668919906983,0.5275974818109053,0.6195946573220674,1.099629180769721,0.5801615866998935
3,2013-10-03,Torey Krug,home,Boston Bruins,Tampa Bay Lightning,D,15.333333333333,0,0,0,0.01,0,0,0,0,0,1,1,0.48,0.62,20132014,0.545666666666656,0.545666666666656,0.545666666666656,0.545666666666656,0.454333333333344,-0.454333333333344,-0.06566666666665599,-0.07433333333334402,0.005,0.0,-0.12766666666665594,-0.16660416666668199,-0.2892708333333379,1991-04-12,22.493150684931507,22.0,4,40.66868279569878,0.15541273685806614,0.08060613424101563,0.08060613424101563,0.10578918340684525,0.5313294599359365,0.6226855086770828,1.0548787740617698,0.5604881693201229
4,2013-10-05,Torey Krug,home,Boston Bruins,Detroit Red Wings,D,16.983333333333,1,1,0,0.31,1,0,0,0,0,1,0,0.83,0.16,20132014,0.598466666666656,0.598466666666656,0.598466666666656,0.598466666666656,0.40153333333334396,0.598466666666656,0.23153333333334392,0.438466666666656,1.655,0.0,0.3795333333333437,1.542295833333318,3.576829166666662,1991-04-12,22.4986301369863,22.0,5,165.3815860215052,0.07835978761482545,0.3292217389767297,0.3292217389767297,0.3705811534618314,0.5350296010009314,0.6257552592030713,1.0544973241442395,0.5641872825934423
5,2013-10-10,Torey Krug,home,Boston Bruins,Colorado Avalanche,D,17.9,0,0,0,0.23,2,0,0,0,0,0,0,0.23,0.53,20132014,0.6278,0.6278,0.6278,0.6278,-0.6278,0.6278,-0.39780000000000004,0.0978,0.21500000000000002,0.0,-1.0098,0.7334625000000001,-0.06133749999999982,1991-04-12,22.512328767123286,22.0,6,48.021370967741944,0.5967163915979353,0.30294818441336124,0.30294818441336124,0.32971938184666194,0.5386970371106097,0.6288029643369647,1.053551075305118,0.5675448427115639
6,2013-10-12,Torey Krug,away,Boston Bruins,Columbus Blue Jackets,D,18.616666666667,0,0,0,0.12,1,0,0,0,0,0,0,0.57,0.19,20132014,0.650733333333344,0.650733333333344,0.650733333333344,0.650733333333344,-0.650733333333344,0.650733333333344,-0.08073333333334409,0.46073333333334404,0.11,0.0,-0.4887333333333442,1.548429166666682,1.1696958333333378,1991-04-12,22.517808219178082,22.0,7,87.73212365591412,0.5110886637065367,0.3583511383702605,0.3583511383702605,0.40685621267972766,0.5423311105472657,0.6318278502472735,1.0531755134033323,0.5711698457852159
7,2013-10-14,Torey Krug,home,Boston Bruins,Detroit Red Wings,D,20.016666666667,0,0,0,0.22,0,0,0,0,0,1,0,0.41,0.3,20132014,0.6955333333333441,0.6955333333333441,0.6955333333333441,0.6955333333333441,0.3044666666666559,0.6955333333333441,-0.28553333333334413,0.3955333333333441,0.11,0.0,-0.3895333333333442,1.3598291666666822,1.080295833333338,1991-04-12,22.523287671232875,22.0,8,84.84825268817218,0.5871774022205954,0.4023716278393631,0.4023716278393631,0.4920370736342556,0.5459313597064432,0.6348293038088123,1.052801622912854,0.5747574214979645
8,2013-10-17,Torey Krug,away,Boston Bruins,Florida Panthers,D,16.916666666667,0,0,1,0.12,0,0,0,0,0,1,1,1.01,0.63,20132014,0.596333333333344,0.596333333333344,0.596333333333344,0.596333333333344,0.40366666666665596,-0.40366666666665596,0.41366666666665597,-0.033666666666655964,0.6100000000000001,0.0,0.669666666666656,-0.11677083333331795,1.1628958333333381,1991-04-12,22.53150684931507,22.0,9,87.51276881720446,0.6384221987632389,0.4467636586548836,0.4467636586548836,0.568783688719674,0.5494975044502488,0.6378068619493014,1.0522439105956087,0.5782054029452577
9,2013-10-19,Torey Krug,away,Boston Bruins,Tampa Bay Lightning,D,17.0,0,0,0,0.07,1,0,0,0,0,1,0,0.47,0.08,20132014,0.5990000000000001,0.5990000000000001,0.5990000000000001,0.5990000000000001,0.4009999999999999,0.5990000000000001,-0.12900000000000011,0.5190000000000001,0.085,0.0,-0.19700000000000017,1.7270625000000002,1.6150625,1991-04-12,22.53698630136986,22.0,10,102.09879032258064,0.6880513208441967,0.512252933343428,0.512252933343428,0.596063873833825,0.5530294312064217,0.6407602006378184,1.051874177715523,0.5817173782027382
10,2013-10-23,Torey Krug,away,Boston Bruins,Buffalo Sabres,D,19.883333333333,2,0,0,0.22,1,0,1,0,0,0,1,0.1,0.36,20132014,0.691266666666656,0.691266666666656,0.691266666666656,0.691266666666656,-0.691266666666656,-0.30873333333334396,-0.5912666666666561,0.33126666666665605,1.6600000000000001,0.15,-1.2812666666666561,0.6406958333333181,1.169429166666662,1991-04-12,22.54794520547945,22.0,11,87.7235215053762,0.7684679989901488,0.5477325173626009,0.5477325173626009,0.6781621135880834,0.5565271780856695,0.6436891237425476,1.0511396714529881,0.5849877951276293
11,2013-10-24,Torey Krug,home,Boston Bruins,San Jose Sharks,D,18.3,0,0,0,0.01,2,0,0,0,0,0,0,0.45,0.75,20132014,0.6406000000000001,0.6406000000000001,0.6406000000000001,0.6406000000000001,-0.6406000000000001,0.6406000000000001,-0.19060000000000005,-0.10939999999999994,0.10500000000000001,0.0,-0.6706000000000001,0.2458625000000001,-0.3197375,1991-04-12,22.55068493150685,22.0,12,39.685887096774195,0.8006997877576524,0.5025076748397466,0.5025076748397466,0.4974536003929124,0.5599909202388893,0.6465935519459024,1.0509570746855923,0.5885264193847559
12,2013-10-26,Torey Krug,home,Boston Bruins,New Jersey Devils,D,18.3,1,0,0,0.24,4,1,0,0,0,0,0,0.41,0.32,20132014,0.6406000000000001,0.6406000000000001,0.6406000000000001,0.6406000000000001,-0.6406000000000001,0.6406000000000001,-0.23060000000000008,0.32060000000000005,1.07,-0.15,-0.7346000000000001,1.2348625000000002,1.4202625000000002,1991-04-12,22.556164383561644,22.0,13,95.81491935483871,0.7171860877579043,0.5488228676763511,0.5488228676763511,0.6430014837458207,0.5634209556301832,0.6494735118693118,1.0505931128141854,0.5919261756002573
13,2013-10-30,Torey Krug,away,Boston Bruins,Pittsburgh Penguins,D,17.933333333333,0,0,0,0.05,1,1,1,0,0,0,1,0.19,0.76,20132014,0.628866666666656,0.628866666666656,0.628866666666656,0.628866666666656,-0.628866666666656,-0.371133333333344,-0.438866666666656,-0.13113333333334398,0.07500000000000001,0.0,-1.074866666666656,-0.3690041666666819,-1.368870833333338,1991-04-12,22.567123287671233,22.0,14,5.842876344085873,0.7661294728190897,0.4549343262796175,0.4549343262796175,0.48965168237460477,0.5668176913610998,0.6523291255279401,1.0498700994542127,0.5950849460016852
14,2013-10-31,Torey Krug,home,Boston Bruins,Anaheim Ducks,D,18.9,0,0,1,0.11,1,0,0,0,0,0,2,0.26,0.75,20132014,0.6598,0.6598,0.6598,0.6598,-0.6598,-1.3401999999999998,-0.39980000000000004,-0.09019999999999995,0.6550000000000001,0.0,-0.9938,-0.8765374999999997,-1.2153374999999995,1991-04-12,22.56986301369863,22.0,15,10.795564516129048,0.6261831067177405,0.375438760606225,0.375438760606225,0.4130362331943949,0.5701816306462615,0.6551606002073969,1.0496903657370116,0.5985141644095998
15,2013-11-02,Torey Krug,away,Boston Bruins,New York Islanders,D,19.516666666667,0,0,0,0.03,0,1,0,0,0,0,0,0.49,0.52,20132014,0.6795333333333441,0.6795333333333441,0.6795333333333441,0.6795333333333441,-0.6795333333333441,0.6795333333333441,-0.1895333333333441,0.15953333333334407,0.015,-0.15,-0.6455333333333441,0.8308291666666822,0.05029583333333809,1991-04-12,22.575342465753426,22.0,16,51.62244623655929,0.5126964426387278,0.3603667969882037,0.3603667969882037,0.427786572419817,0.5735133605102611,0.6579682188299878,1.0493321178232042,0.6018059891841352
16,2013-11-05,Torey Krug,home,Boston Bruins,Dallas Stars,D,17.233333333333,1,0,0,0.24,0,0,0,0,0,1,0,0.56,0.18,20132014,0.606466666666656,0.606466666666656,0.606466666666656,0.606466666666656,0.39353333333334395,0.606466666666656,-0.046466666666656,0.42646666666665606,0.87,0.0,-0.06046666666665601,1.5077958333333181,2.317329166666662,1991-04-12,22.583561643835615,22.0,17,124.75255376344072,0.4857577695060803,0.44887296819996625,0.44887296819996625,0.5175277842122383,0.5768135402500806,0.6607523308570937,1.0487977861765012,0.6049607640509147
17,2013-11-07,Torey Krug,home,Boston Bruins,Florida Panthers,D,15.433333333333,1,0,0,0.14,2,0,0,0,0,1,0,0.72,0.43,20132014,0.5488666666666561,0.5488666666666561,0.5488666666666561,0.5488666666666561,0.45113333333334393,0.5488666666666561,0.1711333333333439,0.11886666666665607,0.92,0.0,0.25313333333334387,0.8499958333333182,2.023129166666662,1991-04-12,22.589041095890412,22.0,18,115.26223118279556,0.5871347475720345,0.51844939716497,0.51844939716497,0.625205673756784,0.5800828906859732,0.6635133437565667,1.0484435852549043,0.6081841856558304
18,2013-11-09,Torey Krug,home,Boston Bruins,Toronto Maple Leafs,D,15.9,0,0,1,0.37,1,0,0,0,0,0,0,0.58,0.09,20132014,0.5638000000000001,0.5638000000000001,0.5638000000000001,0.5638000000000001,-0.5638000000000001,0.5638000000000001,0.01619999999999988,0.4738000000000001,0.7850000000000001,0.0,-0.38580000000000014,1.6534625000000003,2.0526625000000003,1991-04-12,22.594520547945205,22.0,19,116.21491935483871,0.6627209438840137,0.5848111119286517,0.5848111119286517,0.7038782230936672,0.5833221842062877,0.6662517150493579,1.048090995190751,0.6113747285616107
19,2013-11-11,Torey Krug,home,Boston Bruins,Tampa Bay Lightning,D,17.233333333333,0,0,1,0.17,2,0,0,0,0,1,0,0.82,0.5,20132014,0.606466666666656,0.606466666666656,0.606466666666656,0.606466666666656,0.39353333333334395,0.606466666666656,0.2135333333333439,0.10646666666665605,0.735,0.0,0.3555333333333439,0.7717958333333181,1.862329166666662,1991-04-12,22.6,22.0,20,110.075134408602,0.7324770813747251,0.6389672443365189,0.6389672443365189,0.7291694972508244,0.5865322355977102,0.6689679449375849,1.0477400114794304,0.6145332912582009
20,2013-11-14,Torey Krug,home,Boston Bruins,Columbus Blue Jackets,D,20.016666666667,0,0,1,0.14,2,0,0,0,0,1,0,0.5,0.72,20132014,0.6955333333333441,0.6955333333333441,0.6955333333333441,0.6955333333333441,0.3044666666666559,0.6955333333333441,-0.1955333333333441,-0.024466666666655867,0.7200000000000001,0.0,-0.24553333333334404,0.39382916666668233,0.8682958333333384,1991-04-12,22.60821917808219,22.0,21,78.00954301075285,0.7866671229171733,0.6485072552439646,0.6485072552439646,0.7458366671841106,0.5897138936414063,0.6716625695066565,1.0472165380224712,0.6175581421229053
21,2013-11-15,Torey Krug,away,Boston Bruins,Ottawa Senators,D,18.216666666667,0,0,0,0.06,1,0,0,0,0,0,2,0.22,0.81,20132014,0.637933333333344,0.637933333333344,0.637933333333344,0.637933333333344,-0.637933333333344,-1.362066666666656,-0.41793333333334404,-0.17206666666665604,0.08,0.0,-1.035933333333344,-1.0459708333333182,-2.0019041666666624,1991-04-12,22.610958904109587,22.0,22,-14.577553763440719,0.7904234878660938,0.5401802245720041,0.5401802245720041,0.6411790219026651,0.5928680334471668,0.6743361544865443,1.0470428452030671,0.6207582325704687
