,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,RoundAge,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2016-10-12,Tyler Motte,home,Chicago Blackhawks,St Louis Blues,L,12.266666666667,0,1,0,0.07,1,0,0,0,0,1,0,0.28,0.44,20162017,0.447533333333344,0.447533333333344,0.447533333333344,0.447533333333344,0.552466666666656,0.447533333333344,-0.16753333333334397,0.0075333333333439945,0.785,0.0,0.12029166666666002,0.3303012500000114,1.2355929166666715,1995-03-10,21.60821917808219,21.0,1,89.85783602150553,0.0,0.11614470465591897,0.11614470465591897,0.13688610476066418,0.18690407752282745,0.22778495112712738,1.1429692849988786,0.21362561984964107
1,2016-10-14,Tyler Motte,away,Chicago Blackhawks,Nashville Predators,L,15.35,0,0,0,0.04,2,0,0,0,0,0,0,0.33,0.38,20162017,0.5462,0.5462,0.5462,0.5462,-0.5462,0.5462,-0.2162,0.16620000000000001,0.12000000000000001,0.0,-0.5351250000000001,0.53775125,0.12262624999999994,1995-03-10,21.613698630136987,21.0,2,53.955685483870965,0.1166292275550433,0.11670710018043258,0.11670710018043258,0.1375044667170893,0.18602696063549407,0.22641961394133348,1.1422294773672057,0.21248547802289014
2,2016-10-15,Tyler Motte,home,Chicago Blackhawks,Nashville Predators,L,14.166666666667,0,1,0,0.07,2,0,1,0,1,1,1,0.25,0.8,20162017,0.5083333333333441,0.5083333333333441,0.5083333333333441,0.5083333333333441,0.4916666666666559,-0.4916666666666559,-0.2583333333333441,-0.29166666666665597,0.835,0.13999999999999999,0.06354166666666,-0.6542187499999886,0.3843229166666714,1995-03-10,21.616438356164384,21.0,3,62.397513440860365,0.11714827798253899,0.13830330729866847,0.13830330729866847,0.17043667644093027,0.18513226787275547,0.22503452484351355,1.141860666521409,0.2113952547878046
3,2016-10-18,Tyler Motte,home,Chicago Blackhawks,Philadelphia Flyers,L,13.333333333333,0,0,0,0.14,1,2,0,0,0,0,1,0.44,0.88,20162017,0.481666666666656,0.481666666666656,0.481666666666656,0.481666666666656,-0.481666666666656,-0.518333333333344,-0.04166666666665597,-0.39833333333334403,0.12000000000000001,-0.3,-0.42604166666666,-0.8187187500000114,-1.4247604166666714,1995-03-10,21.624657534246577,21.0,4,4.039986559139635,0.13846800524214745,0.020229874024797284,0.020229874024797284,0.02144370378681272,0.18421647788131706,0.22362475846677737,1.140758588855592,0.21014652935183864
4,2016-10-21,Tyler Motte,away,Chicago Blackhawks,Columbus Blue Jackets,L,14.3,1,0,0,0.39,0,0,0,0,0,2,0,1.29,1.35,20162017,0.5126000000000001,0.5126000000000001,0.5126000000000001,0.5126000000000001,1.4874,0.5126000000000001,0.7774,-0.8374,0.9450000000000001,0.0,1.3358750000000001,-1.14715875,1.13371625,1995-03-10,21.632876712328766,21.0,5,86.57149193548386,0.022331398603576327,0.09940963062516256,0.09940963062516256,0.1346631293664006,0.18327703287708424,0.22218666377280955,1.1396630139229953,0.20887405567156173
5,2016-10-22,Tyler Motte,home,Chicago Blackhawks,Toronto Maple Leafs,L,14.533333333333,1,0,0,0.31,0,0,0,0,1,1,0,0.5,0.26,20162017,0.520066666666656,0.520066666666656,0.520066666666656,0.520066666666656,0.479933333333344,0.520066666666656,-0.02006666666665602,0.260066666666656,0.905,-0.01,0.21245833333333997,0.7138212499999885,1.8212795833333284,1995-03-10,21.635616438356163,21.0,6,108.75095430107511,0.09959993915693637,0.21524261993564753,0.21524261993564753,0.24502980643848138,0.18231224103153143,0.22071773990801674,1.139299260796017,0.20770820144128904
6,2016-10-24,Tyler Motte,home,Chicago Blackhawks,Calgary Flames,L,14.8,0,0,0,0.05,0,2,0,0,0,0,0,0.14,0.44,20162017,0.5286000000000001,0.5286000000000001,0.5286000000000001,0.5286000000000001,-0.5286000000000001,0.5286000000000001,-0.38860000000000006,0.08860000000000007,0.025,-0.3,-0.6428750000000001,0.41694125000000004,-0.50093375,1995-03-10,21.64109589041096,21.0,7,33.84084677419355,0.21171779092883355,0.16946425930437772,0.16946425930437772,0.2109030645405242,0.1813211601415684,0.21921648656657663,1.1385739039700786,0.20644754117476935
7,2016-10-28,Tyler Motte,away,Chicago Blackhawks,New Jersey Devils,L,11.533333333333,0,0,0,0.0,1,0,0,0,0,0,0,0.37,0.2,20162017,0.424066666666656,0.424066666666656,0.424066666666656,0.424066666666656,-0.424066666666656,0.424066666666656,-0.054066666666655994,0.22406666666665598,0.05,0.0,-0.43379166666666,0.7132212499999886,0.32942958333332856,1995-03-10,21.65205479452055,21.0,8,60.626760752688014,0.1679900703813027,0.1792181253705286,0.1792181253705286,0.21338997623675424,0.18030347611378766,0.21768224661648394,1.1371317493497521,0.2050288072071126
8,2016-10-30,Tyler Motte,home,Chicago Blackhawks,Los Angeles Kings,L,13.016666666667,0,0,0,0.2,1,0,0,0,0,0,0,0.45,0.76,20162017,0.471533333333344,0.471533333333344,0.471533333333344,0.471533333333344,-0.471533333333344,0.471533333333344,-0.021533333333344007,-0.288466666666656,0.15000000000000002,0.0,-0.41345833333334003,-0.18804874999998855,-0.45150708333332856,1995-03-10,21.65753424657534,21.0,9,35.435255376344244,0.17739055420851577,0.14240250175376123,0.14240250175376123,0.16787118248970276,0.17925938540404596,0.21611505308559273,1.136414929593248,0.2037130418428678
9,2016-11-01,Tyler Motte,home,Chicago Blackhawks,Calgary Flames,L,11.583333333333,1,0,0,0.23,1,0,0,0,0,1,0,0.3,0.46,20162017,0.425666666666656,0.425666666666656,0.425666666666656,0.425666666666656,0.574333333333344,0.425666666666656,-0.125666666666656,-0.03433333333334404,0.915,0.0,0.14645833333334002,0.2729312499999885,1.3343895833333286,1995-03-10,21.663013698630138,21.0,10,93.04482526881705,0.14266037799445397,0.20921962648948716,0.20921962648948716,0.2502811687533943,0.17818948699988887,0.21451548798958192,1.135700933668008,0.20236996675559715
10,2016-11-03,Tyler Motte,home,Chicago Blackhawks,Colorado Avalanche,L,10.816666666667,0,0,0,0.09,1,0,0,1,0,0,0,0.12,0.28,20162017,0.401133333333344,0.401133333333344,0.401133333333344,0.401133333333344,-0.401133333333344,0.401133333333344,-0.281133333333344,0.12113333333334397,0.095,0.01,-0.57570833333334,0.5527112500000113,0.08200291666667126,1995-03-10,21.66849315068493,21.0,11,52.64525537634423,0.20525410771477262,0.20235145975439878,0.20235145975439878,0.24426329020382648,0.17709468685294658,0.2128845569788435,1.1349897507476978,0.20100065448996743
11,2016-11-05,Tyler Motte,away,Chicago Blackhawks,Dallas Stars,L,12.433333333333,0,1,0,0.25,2,0,2,1,0,1,0,0.46,0.33,20162017,0.452866666666656,0.452866666666656,0.452866666666656,0.452866666666656,0.547133333333344,0.452866666666656,0.0071333333333440385,0.12286666666665597,0.9249999999999999,0.31,0.22945833333333998,0.5230012499999885,1.9874595833333284,1995-03-10,21.673972602739727,21.0,12,114.11159946236543,0.19908123289569588,0.2954166172345098,0.2954166172345098,0.34178376114294573,0.17597611577612926,0.21122358128923205,1.1342813700670922,0.19960642970163314
