,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,RoundAge,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2023-01-11,Vincent Desharnais,away,Edmonton Oilers,Anaheim Ducks,D,15.066666666667,0,0,0,0.0,1,1,1,0,0,0,0,0.97,0.41,20222023,0.537133333333344,0.537133333333344,0.537133333333344,0.537133333333344,-0.537133333333344,0.537133333333344,0.43286666666665596,0.12713333333334403,0.05,0.0,0.26486666666665615,0.8791291666666822,1.1939958333333383,1996-05-29,26.638356164383563,26.0,1,88.51599462365607,0.0,0.11223461348177137,0.11223461348177137,0.1344264124435277,0.11207550979085497,0.13697542747438246,1,0.11207550979085497
1,2023-01-13,Vincent Desharnais,away,Edmonton Oilers,San Jose Sharks,D,12.966666666667,0,0,1,0.02,1,0,0,0,0,1,1,0.67,0.44,20222023,0.469933333333344,0.469933333333344,0.469933333333344,0.469933333333344,0.530066666666656,-0.530066666666656,0.200066666666656,0.029933333333344025,0.6100000000000001,0.0,0.252066666666656,0.13852916666668214,1.0005958333333382,1996-05-29,26.643835616438356,26.0,2,82.27728494623672,0.11270282458504459,0.18931659743367252,0.18931659743367252,0.2014132241102361,0.19481940618494498,0.21326163680057733,1,0.19481940618494498
2,2023-01-14,Vincent Desharnais,away,Edmonton Oilers,Vegas Golden Knights,D,12.75,0,0,0,0.03,1,1,0,0,0,1,0,0.72,0.17,20222023,0.463,0.463,0.463,0.463,0.5369999999999999,0.463,0.25699999999999995,0.29300000000000004,0.065,-0.15,0.33899999999999997,1.3245625,1.5785625,1996-05-29,26.646575342465752,26.0,3,100.92137096774194,0.1895511689077849,0.30142672098283774,0.30142672098283774,0.31134294128815304,0.2691817614591862,0.2810185026255916,1,0.2691817614591862
3,2023-01-17,Vincent Desharnais,home,Edmonton Oilers,Seattle Kraken,D,9.8333333333333,0,1,0,0.0,1,2,0,0,0,1,0,0.27,0.22,20222023,0.3696666666666656,0.3696666666666656,0.3696666666666656,0.3696666666666656,0.6303333333333344,0.3696666666666656,-0.09966666666666557,0.1496666666666656,0.75,-0.3,-0.28766666666666557,1.0753958333333318,1.237729166666666,1996-05-29,26.654794520547945,26.0,4,89.92674731182794,0.3003900677091122,0.37215476786255874,0.37215476786255874,0.38338111051125073,0.31655654350667334,0.3240058627343196,1,0.31655654350667334
4,2023-01-19,Vincent Desharnais,home,Edmonton Oilers,Tampa Bay Lightning,D,10.483333333333,0,1,0,0.0,0,0,0,0,0,2,1,0.35,1.19,20222023,0.390466666666656,0.390466666666656,0.390466666666656,0.390466666666656,1.609533333333344,-0.6095333333333439,-0.04046666666665605,-0.7995333333333439,0.7,0.0,0.2195333333333439,-1.7007041666666816,-0.7811708333333377,1996-05-29,26.660273972602738,26.0,5,24.80094086021491,0.37002760800514956,0.2901420532447602,0.2901420532447602,0.2913688851882,0.32774703494042434,0.3366813626676207,1,0.32774703494042434
5,2023-01-21,Vincent Desharnais,away,Edmonton Oilers,Vancouver Canucks,D,11.216666666667,0,0,0,0.0,0,0,0,0,0,0,0,0.32,0.37,20222023,0.41393333333334403,0.41393333333334403,0.41393333333334403,0.41393333333334403,-0.41393333333334403,0.41393333333334403,-0.09393333333334403,0.04393333333334404,0.0,0.0,-0.651933333333344,0.7940291666666821,0.14209583333333808,1996-05-29,26.665753424657535,26.0,6,54.583736559139936,0.2901330628838987,0.280182743494633,0.280182743494633,0.3106658965691739,0.3083433027390369,0.3295148130528866,1,0.3083433027390369
6,2023-01-25,Vincent Desharnais,home,Edmonton Oilers,Columbus Blue Jackets,D,12.833333333333,0,0,0,0.01,3,0,0,0,0,0,0,0.76,0.4,20222023,0.465666666666656,0.465666666666656,0.465666666666656,0.465666666666656,-0.465666666666656,0.465666666666656,0.294333333333344,0.06566666666665599,0.15500000000000003,0.0,0.00033333333334395476,0.799395833333318,0.954729166666662,1996-05-29,26.676712328767124,26.0,7,80.79771505376328,0.28049150531901845,0.32330009659199505,0.32330009659199505,0.3645820855672534,0.31168290461215487,0.3476834235645382,1,0.31168290461215487
7,2023-01-28,Vincent Desharnais,home,Edmonton Oilers,Chicago Blackhawks,D,13.983333333333,0,0,0,0.05,1,0,0,0,0,0,0,0.61,0.58,20222023,0.5024666666666561,0.5024666666666561,0.5024666666666561,0.5024666666666561,-0.5024666666666561,0.5024666666666561,0.10753333333334392,-0.07753333333334389,0.07500000000000001,0.0,-0.27646666666665604,0.43829583333331823,0.2368291666666622,1996-05-29,26.684931506849313,26.0,8,57.63965053763427,0.32201548625825355,0.318027542216682,0.318027542216682,0.3649194659734594,0.3568639854971982,0.3896702905095688,1,0.3568639854971982
8,2023-02-07,Vincent Desharnais,away,Edmonton Oilers,Detroit Red Wings,D,11.233333333333,0,1,0,0.0,0,1,1,0,0,1,0,0.73,0.25,20222023,0.414466666666656,0.414466666666656,0.414466666666656,0.414466666666656,0.585533333333344,0.414466666666656,0.315533333333344,0.164466666666656,0.7,0.0,0.40353333333334396,1.070795833333318,2.174329166666662,1996-05-29,26.71232876712329,26.0,9,120.13965053763425,0.3170467905505858,0.42638043660215486,0.42638043660215486,0.45752464064011417,0.398079204062155,0.41389921176040395,1,0.398079204062155
9,2023-02-09,Vincent Desharnais,away,Edmonton Oilers,Philadelphia Flyers,D,10.083333333333,0,0,0,0.0,1,1,0,0,0,0,0,0.08,0.26,20222023,0.377666666666656,0.377666666666656,0.377666666666656,0.377666666666656,-0.377666666666656,0.377666666666656,-0.297666666666656,0.11766666666665598,0.05,-0.15,-0.9996666666666559,0.994895833333318,-0.10477083333333792,1996-05-29,26.71780821917808,26.0,10,46.620295698924586,0.42126851586368913,0.39660662344153796,0.39660662344153796,0.4208770125536301,0.4097386600361581,0.4167087982956101,1,0.4097386600361581
