,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,RoundAge,Career Game,Adjusted,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2021-10-16,William Eklund,home,San Jose Sharks,Winnipeg Jets,C,14.016666666667,0,0,1,0.14,1,1,0,0,0,0,1,0.18,0.15,20212022,0.503533333333344,0.503533333333344,0.503533333333344,0.503533333333344,-0.503533333333344,-0.49646666666665595,-0.32353333333334405,0.353533333333344,0.6700000000000002,-0.15,-0.6022083333333401,0.4456512500000114,0.3634429166666714,2002-10-12,19.024657534246575,19.0,1,61.72396505376359,0.0,0.0341633313416962,0.0341633313416962,0.04200478856115907,0.035948128556409796,0.04412617378361801,2.4186158688080415,0.08694471418048424
1,2021-10-19,William Eklund,away,San Jose Sharks,Montreal Canadiens,C,15.833333333333,0,0,1,0.04,1,0,1,0,1,0,0,0.14,0.34,20212022,0.5616666666666561,0.5616666666666561,0.5616666666666561,0.5616666666666561,-0.5616666666666561,0.5616666666666561,-0.4216666666666561,0.22166666666665608,0.6200000000000001,0.13999999999999999,-0.66354166666666,0.6222812499999887,0.7187395833333288,2002-10-12,19.03287671232877,19.0,2,73.18514784946223,0.034305851109553566,0.09356315034627696,0.09356315034627696,0.11339469989463583,0.09083924076820131,0.1078297480664624,2.405976781218283,0.2185571041117896
2,2021-10-21,William Eklund,away,San Jose Sharks,Ottawa Senators,C,10.5,0,0,1,0.06,0,0,0,0,0,0,0,0.27,0.24,20212022,0.391,0.391,0.391,0.391,-0.391,0.391,-0.121,0.15100000000000002,0.5800000000000001,0.0,-0.475625,0.60988125,0.71425625,2002-10-12,19.03835616438356,19.0,3,73.04052419354839,0.093647875601259,0.14365218063223884,0.14365218063223884,0.16583493348072392,0.11823176268816864,0.14148915634119397,2.3976400950181955,0.2834772147258294
3,2021-10-22,William Eklund,away,San Jose Sharks,Toronto Maple Leafs,C,11.316666666667,0,0,0,0.29,0,0,0,0,1,0,1,0.56,0.6,20212022,0.417133333333344,0.417133333333344,0.417133333333344,0.417133333333344,-0.417133333333344,-0.582866666666656,0.14286666666665604,-0.18286666666665596,0.145,-0.01,-0.31070833333333997,-0.4116887499999887,-0.5873970833333287,2002-10-12,19.041095890410958,19.0,4,31.05170698924746,0.14333721576397832,0.0884289065165988,0.0884289065165988,0.09352358807813622,0.11335641714092717,0.13445061119810536,2.393498230638283,0.2713183838583043
4,2021-10-26,William Eklund,away,San Jose Sharks,Nashville Predators,C,14.85,0,0,0,0.0,1,0,0,1,2,0,0,0.25,0.32,20212022,0.5302,0.5302,0.5302,0.5302,-0.5302,0.5302,-0.2802,0.2102,0.05,-0.01,-0.575125,0.62265125,0.08752625000000003,2002-10-12,19.052054794520547,19.0,5,52.82342741935484,0.08907189660126887,0.08836471882214637,0.08836471882214637,0.10207368025174136,0.09333028009748875,0.10653150708200723,2.37710476165468,0.22185585322630552
5,2021-10-28,William Eklund,home,San Jose Sharks,Montreal Canadiens,C,16.3,0,0,0,0.98,1,0,0,1,0,0,0,0.93,0.65,20212022,0.5766000000000001,0.5766000000000001,0.5766000000000001,0.5766000000000001,-0.5766000000000001,0.5766000000000001,0.35339999999999994,-0.07339999999999991,0.54,0.01,-0.17912500000000006,0.11124125000000007,0.48211625,2002-10-12,19.057534246575344,19.0,6,65.55213709677419,0.08896428759574683,0.11485302406853079,0.11485302406853079,0.13966101000067058,0.10486618776351629,0.12903617532071704,2.3690109265754797,0.24842914464008597
6,2021-10-30,William Eklund,home,San Jose Sharks,Winnipeg Jets,C,17.55,0,0,0,0.0,0,0,0,0,0,0,0,0.7,0.75,20212022,0.6166,0.6166,0.6166,0.6166,-0.6166,0.6166,0.08339999999999992,-0.13339999999999996,0.0,0.0,-0.34787500000000005,-0.016008750000000016,-0.36388375000000006,2002-10-12,19.063013698630137,19.0,7,38.26181451612903,0.11464568912477105,0.08425192410103367,0.08425192410103367,0.0975187469698074,0.11402683959772775,0.14620670664099428,2.360984573932175,0.2692156093044737
7,2021-11-02,William Eklund,home,San Jose Sharks,Buffalo Sabres,C,13.1,0,1,0,0.0,0,0,0,1,0,1,0,0.45,0.15,20212022,0.4742,0.4742,0.4742,0.4742,0.5258,0.4742,-0.0242,0.32420000000000004,0.7,0.01,0.20987500000000003,0.8518012500000001,1.77167625,2002-10-12,19.07123287671233,19.0,8,107.15084677419355,0.08519862269033729,0.18714241597166362,0.18714241597166362,0.20782377674688085,0.14393449294164284,0.16732192279417937,2.3490697825467755,0.33811216803540534
8,2021-11-04,William Eklund,home,San Jose Sharks,St Louis Blues,C,15.483333333333,0,0,0,0.15,0,0,0,0,1,0,0,0.13,0.65,20212022,0.550466666666656,0.550466666666656,0.550466666666656,0.550466666666656,-0.550466666666656,0.550466666666656,-0.420466666666656,-0.09953333333334402,0.075,-0.01,-0.66279166666666,0.08331124999998851,-0.5144804166666715,2002-10-12,19.076712328767123,19.0,9,33.403857526881566,0.1834912826210135,0.14618847633061885,0.14618847633061885,0.16120064591751673,0.1352191188909792,0.12169801574735938,2.341208573726891,0.3165761604793563
9,2023-03-04,William Eklund,home,San Jose Sharks,Washington Capitals,L,19.766666666667,0,0,1,0.28,1,0,0,0,1,0,3,0.5,1.04,20222023,0.6875333333333441,0.6875333333333441,0.6875333333333441,0.6875333333333441,-0.6875333333333441,-2.312466666666656,-0.1875333333333441,-0.35246666666665594,0.7400000000000001,-0.01,-0.5172083333333402,-1.7456987499999883,-1.5329070833333285,2002-10-12,20.405479452054795,20.0,10,0.5513844086023099,0.14491300215287667,0.052066367805250174,0.052066367805250174,-0.08210134146847611,0.062252387885445924,0.03227230870060261,1.4054333962424612,0.08749158493004532
