,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2014-12-13,Bobby Farnham,away,Pittsburgh Penguins,Columbus Blue Jackets,R,5.5166666666667,0,0,0,0.0,0,1,2,0,0,0,0,0.02,0.09,20142015,0.2315333333333344,0.2315333333333344,0.2315333333333344,0.2315333333333344,-0.2315333333333344,0.2315333333333344,-0.2115333333333344,0.1415333333333344,0.0,0.15,-0.5322083333333341,0.6944512500000011,0.31224291666666704,1989-01-21,25.90958904109589,1,0.0,0.029350574002146166,0.029350574002146166,0.034054098587782994,0.09731282291172522,0.1074554336774621,1,0.09731282291172522
1,2014-12-15,Bobby Farnham,home,Pittsburgh Penguins,Tampa Bay Lightning,R,9.2833333333333,0,0,0,0.0,0,1,2,0,0,0,0,0.07,0.19,20142015,0.3520666666666656,0.3520666666666656,0.3520666666666656,0.3520666666666656,-0.3520666666666656,0.3520666666666656,-0.2820666666666656,0.16206666666666558,0.0,0.15,-0.576291666666666,0.6532712499999989,0.2269795833333329,1989-01-21,25.915068493150685,2,0.029473016305896594,0.04649859418276818,0.04649859418276818,0.04884897079676447,0.09733449739325976,0.10748391556731682,1,0.09733449739325976
2,2014-12-18,Bobby Farnham,home,Pittsburgh Penguins,Colorado Avalanche,R,4.2333333333333,0,0,0,0.3,0,1,1,0,0,0,0,0.61,0.0,20142015,0.1904666666666656,0.1904666666666656,0.1904666666666656,0.1904666666666656,-0.1904666666666656,0.1904666666666656,0.4195333333333344,0.1904666666666656,0.15,0.0,-0.13779166666666598,0.8035612499999988,0.8157695833333328,1989-01-21,25.923287671232877,3,0.04656747759726779,0.10857764403070597,0.10857764403070597,0.12597567144318453,0.09736851674635025,0.10753065798792831,1,0.09736851674635025
3,2014-12-20,Bobby Farnham,home,Pittsburgh Penguins,Florida Panthers,R,6.4833333333333,0,0,0,0.0,1,0,2,0,0,0,0,0.15,0.29,20142015,0.2624666666666656,0.2624666666666656,0.2624666666666656,0.2624666666666656,-0.2624666666666656,0.2624666666666656,-0.11246666666666563,-0.027533333333334353,0.05,0.3,-0.47029166666666605,0.3875112499999989,0.26721958333333284,1989-01-21,25.92876712328767,4,0.10816342169862302,0.12056141548384065,0.12056141548384065,0.13054178604502123,0.09739227523182968,0.10756469728845917,1,0.09739227523182968
4,2014-12-22,Bobby Farnham,away,Pittsburgh Penguins,Florida Panthers,R,7.8666666666667,0,0,0,0.0,0,0,0,0,0,0,0,0.02,0.26,20142015,0.3067333333333344,0.3067333333333344,0.3067333333333344,0.3067333333333344,-0.3067333333333344,0.3067333333333344,-0.2867333333333344,0.046733333333334404,0.0,0.0,-0.579208333333334,0.4858212500000011,-0.0933870833333329,1989-01-21,25.934246575342467,5,0.11999769992315863,0.10534758761233143,0.10534758761233143,0.11382717032682706,0.09741692981405943,0.10760112578090163,1,0.09741692981405943
5,2014-12-23,Bobby Farnham,away,Pittsburgh Penguins,Tampa Bay Lightning,R,7.5833333333333,0,0,0,0.03,0,1,1,0,0,0,1,0.08,0.17,20142015,0.29766666666666564,0.29766666666666564,0.29766666666666564,0.29766666666666564,-0.29766666666666564,-0.7023333333333344,-0.21766666666666562,0.12766666666666562,0.015,0.0,-0.5360416666666661,0.1916312499999988,-0.32941041666666726,1989-01-21,25.936986301369863,6,0.10516807375278746,0.07610071029555635,0.07610071029555635,0.0797189352003098,0.09742959650249804,0.10762024437380988,1,0.09742959650249804
6,2014-12-27,Bobby Farnham,home,Pittsburgh Penguins,Washington Capitals,R,10.883333333333,0,0,0,0.21,0,1,0,0,0,0,0,0.33,0.7,20142015,0.403266666666656,0.403266666666656,0.403266666666656,0.403266666666656,-0.403266666666656,0.403266666666656,-0.07326666666665599,-0.29673333333334395,0.105,-0.15,-0.44579166666666004,-0.15900875000001136,-0.6498004166666713,1989-01-21,25.947945205479453,7,0.07687824387682357,0.029700738210875613,0.029700738210875613,0.03190713457821653,0.097482508648674,0.10770269382224826,1,0.097482508648674
7,2014-12-29,Bobby Farnham,away,Pittsburgh Penguins,New Jersey Devils,R,8.4333333333333,0,0,0,0.13,1,0,2,0,0,0,0,0.17,0.09,20142015,0.3248666666666656,0.3248666666666656,0.3248666666666656,0.3248666666666656,-0.3248666666666656,0.3248666666666656,-0.15486666666666557,0.23486666666666559,0.115,0.3,-0.49679166666666597,0.7942012499999989,0.7124095833333328,1989-01-21,25.953424657534246,8,0.03214530549041694,0.07132882653516659,0.07132882653516659,0.07868377589647724,0.09751027693733764,0.10774740431211942,1,0.09751027693733764
8,2014-12-31,Bobby Farnham,home,Pittsburgh Penguins,Carolina Hurricanes,R,5.1,0,0,0,0.08,0,0,1,0,0,0,0,0.21,0.06,20142015,0.21819999999999998,0.21819999999999998,0.21819999999999998,0.21819999999999998,-0.21819999999999998,0.21819999999999998,-0.008199999999999985,0.15819999999999998,0.04,0.15,-0.405125,0.73120125,0.51607625,1989-01-21,25.958904109589042,9,0.07173483847335829,0.09728886986442609,0.09728886986442609,0.10764535723834696,0.09753887776256935,0.10779432081253144,1,0.09753887776256935
9,2015-01-02,Bobby Farnham,home,Pittsburgh Penguins,Tampa Bay Lightning,R,8.3666666666667,0,0,0,0.0,0,0,0,0,0,1,0,0.07,0.35,20142015,0.32273333333333437,0.32273333333333437,0.32273333333333437,0.32273333333333437,0.6772666666666656,0.32273333333333437,-0.25273333333333436,-0.027266666666665607,0.0,0.0,0.067041666666666,0.3499212500000012,0.4169629166666672,1989-01-21,25.964383561643835,10,0.09626041807193289,0.11520827603085428,0.11520827603085428,0.11860452233538298,0.09756826889153909,0.10784332656182426,1,0.09756826889153909
