,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2011-02-21,Brian Strait,home,Pittsburgh Penguins,Washington Capitals,D,13.033333333333,0,0,0,0.03,1,0,0,0,0,0,0,0.35,0.16,20102011,0.472066666666656,0.472066666666656,0.472066666666656,0.472066666666656,-0.472066666666656,0.472066666666656,-0.122066666666656,0.31206666666665595,0.065,0.0,-0.662066666666656,1.360595833333318,0.7635291666666619,1988-01-04,23.147945205479452,1,0.0,0.07177110548506223,0.07177110548506223,0.07207130264691483,0.10725021217617182,0.12555564074438572,1.0200651399724896,0.10940220269556591
1,2011-02-25,Brian Strait,away,Pittsburgh Penguins,Carolina Hurricanes,D,14.2,0,0,0,0.0,0,0,0,0,0,1,1,0.52,0.39,20102011,0.5094,0.5094,0.5094,0.5094,0.49060000000000004,-0.49060000000000004,0.010600000000000054,0.11939999999999995,0.0,0.0,-0.02739999999999987,0.3102625,0.2828625000000001,1988-01-04,23.15890410958904,2,0.07207051426315506,0.09008723986911785,0.09008723986911785,0.09426713686058028,0.10749168567774772,0.1256753006647566,1.0196491030197992,0.10960380088340166
2,2011-02-26,Brian Strait,away,Pittsburgh Penguins,Toronto Maple Leafs,D,13.383333333333,0,0,0,0.0,1,0,0,0,0,0,1,0.4,0.49,20102011,0.483266666666656,0.483266666666656,0.483266666666656,0.483266666666656,-0.483266666666656,-0.5167333333333439,-0.083266666666656,-0.0067333333333439715,0.05,0.0,-0.593266666666656,0.04269583333331828,-0.5005708333333376,1988-01-04,23.161643835616438,3,0.09037856034425593,0.042421992529021665,0.042421992529021665,0.04421475591592243,0.10755229811834087,0.12570603939553682,1.0195458684767191,0.10965450119173084
3,2011-10-18,Brian Strait,away,Pittsburgh Penguins,Minnesota Wild,D,6.8666666666667,0,0,0,0.04,0,0,0,0,0,0,0,0.13,0.15,20112012,0.27473333333333444,0.27473333333333444,0.27473333333333444,0.27473333333333444,-0.27473333333333444,0.27473333333333444,-0.14473333333333444,0.12473333333333445,0.02,0.0,-0.8167333333333344,1.0999291666666684,0.303195833333334,1988-01-04,23.802739726027397,4,0.043071090659650535,0.06212078165686777,0.06212078165686777,0.07614626998958243,0.1213831461682281,0.1372328784854042,1.0032285392677154,0.12177503642207106
4,2012-03-05,Brian Strait,home,Pittsburgh Penguins,Phoenix Coyotes,D,12.316666666667,0,0,0,0.22,4,0,0,0,0,0,0,0.58,0.27,20112012,0.449133333333344,0.449133333333344,0.449133333333344,0.449133333333344,-0.449133333333344,0.449133333333344,0.13086666666665597,0.17913333333334397,0.31,0.0,-0.2711333333333442,1.074629166666682,1.1134958333333378,1988-01-04,24.183561643835617,5,0.07199908953227996,0.13688381646681796,0.13688381646681796,0.13750422100426268,0.12878681806993647,0.14486168116333534,1.0001026225637935,0.12880003450338962
5,2012-03-07,Brian Strait,home,Pittsburgh Penguins,Toronto Maple Leafs,D,11.866666666667,0,0,0,0.0,1,0,1,0,0,1,0,0.67,0.03,20112012,0.43473333333334396,0.43473333333334396,0.43473333333334396,0.43473333333334396,0.565266666666656,0.43473333333334396,0.23526666666665608,0.40473333333334394,0.05,0.15,0.2872666666666561,1.605929166666682,2.093195833333338,1988-01-04,24.18904109589041,6,0.20388708806120448,0.2684881043407463,0.2684881043407463,0.27241678442319767,0.12888296117415388,0.1449570746023915,1.0000896861668176,0.12889452019290967
6,2012-03-09,Brian Strait,home,Pittsburgh Penguins,Florida Panthers,D,16.633333333333,0,0,0,0.01,1,0,0,0,0,0,0,0.52,0.28,20112012,0.5872666666666561,0.5872666666666561,0.5872666666666561,0.5872666666666561,-0.5872666666666561,0.5872666666666561,-0.06726666666665604,0.30726666666665603,0.055,0.0,-0.5052666666666561,1.250195833333318,0.7999291666666619,1988-01-04,24.194520547945206,7,0.4169652212147074,0.30245808942641306,0.30245808942641306,0.31072945697224164,0.12897945368148997,0.14505213223649205,1.000077626465064,0.12898946590054514
7,2012-03-27,Brian Strait,home,Pittsburgh Penguins,New York Islanders,D,13.816666666667,0,0,1,0.08,0,1,1,0,0,1,1,0.87,0.26,20112012,0.49713333333334403,0.49713333333334403,0.49713333333334403,0.49713333333334403,0.5028666666666559,-0.5028666666666559,0.37286666666665597,0.23713333333334402,0.5900000000000001,0.0,0.544866666666656,0.5916291666666822,1.7264958333333382,1988-01-04,24.243835616438357,8,0.45591218314299864,0.3892886166767939,0.3892886166767939,0.3897011850535745,0.12986737651651645,0.14589268022345023,1.0000083357011895,0.12986845905216135
8,2012-03-29,Brian Strait,away,Pittsburgh Penguins,New York Islanders,D,14.133333333333,0,0,0,0.0,1,0,1,0,0,0,1,0.99,0.39,20112012,0.5072666666666561,0.5072666666666561,0.5072666666666561,0.5072666666666561,-0.5072666666666561,-0.4927333333333439,0.4827333333333439,0.11726666666665608,0.05,0.15,0.32673333333334376,0.30719583333331824,0.833929166666662,1988-01-04,24.24931506849315,9,0.5769098372821866,0.4152424217685854,0.4152424217685854,0.41464510052539666,0.12996841212704388,0.14598440870865736,1.0000049749954807,0.12996905871930683
9,2012-03-30,Brian Strait,away,Pittsburgh Penguins,Buffalo Sabres,D,12.35,0,0,0,0.0,1,0,0,0,0,1,1,0.51,1.11,20112012,0.4502,0.4502,0.4502,0.4502,0.5498000000000001,-0.5498000000000001,0.05980000000000002,-0.6598000000000002,0.05,0.0,0.015800000000000036,-1.4308375000000002,-1.3650375000000001,1988-01-04,24.252054794520546,10,0.5993356149715312,0.3154483993034353,0.3154483993034353,0.312124338682958,0.13001911143062855,0.1460301472358018,1.0000036184243857,0.13001958189495197
