,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2013-10-01,Connor Carrick,away,Washington Capitals,Chicago Blackhawks,D,10.75,0,0,0,0.0,0,1,0,0,0,0,2,0.42,0.45,20132014,0.399,0.399,0.399,0.399,-0.399,-1.601,0.020999999999999963,-0.05099999999999999,0.0,-0.15,-0.47700000000000004,-0.5614374999999998,-1.1884374999999998,1994-04-13,19.482191780821918,1,0.0,-0.11171213477970715,-0.11171213477970715,-0.13310853869348013,0.0,0.0,1.8982864935972574,0.0
1,2013-10-03,Connor Carrick,home,Washington Capitals,Calgary Flames,D,17.433333333333,1,0,0,0.21,0,1,0,0,0,1,1,1.0,0.86,20132014,0.612866666666656,0.612866666666656,0.612866666666656,0.612866666666656,0.387133333333344,-0.387133333333344,0.387133333333344,-0.24713333333334397,0.855,-0.15,0.637133333333344,-0.6220041666666818,0.7201291666666623,1994-04-13,19.487671232876714,2,-0.1121781662494258,-0.039534312948030156,-0.039534312948030156,-0.05355620692532564,0.0,0.0,1.8937361905811778,0.0
2,2013-10-05,Connor Carrick,away,Washington Capitals,Dallas Stars,D,12.683333333333,0,0,0,0.01,1,1,0,0,0,0,0,0.06,0.73,20132014,0.460866666666656,0.460866666666656,0.460866666666656,0.460866666666656,-0.460866666666656,0.460866666666656,-0.400866666666656,-0.269133333333344,0.055,-0.15,-1.114866666666656,0.03349583333331796,-1.176370833333338,1994-04-13,19.493150684931507,3,-0.04014083757122531,-0.13127536650821153,-0.13127536650821153,-0.20166091166584812,0.0,0.0,1.8892152033334941,0.0
3,2014-01-09,Connor Carrick,away,Washington Capitals,Tampa Bay Lightning,D,12.983333333333,0,0,0,0.05,2,0,0,0,0,0,1,0.27,0.34,20132014,0.470466666666656,0.470466666666656,0.470466666666656,0.470466666666656,-0.470466666666656,-0.5295333333333441,-0.20046666666665597,0.13046666666665596,0.125,0.0,-0.788466666666656,0.36929583333331795,-0.29417083333333804,1994-04-13,19.756164383561643,4,-0.13096791523628445,-0.1435804483407032,-0.1435804483407032,0.023264626753615392,0.0,0.0,1.7020674554174506,0.0
4,2014-01-10,Connor Carrick,home,Washington Capitals,Toronto Maple Leafs,D,13.616666666667,0,0,0,0.04,0,0,0,0,0,0,0,0.4,0.34,20132014,0.49073333333334396,0.49073333333334396,0.49073333333334396,0.49073333333334396,-0.49073333333334396,0.49073333333334396,-0.09073333333334394,0.15073333333334393,0.02,0.0,-0.600733333333344,0.9734291666666819,0.3926958333333379,1994-04-13,19.75890410958904,5,-0.145264564948206,-0.10544596697687811,-0.10544596697687811,-0.1169540419668197,0.0,0.0,1.7003851464222515,0.0
5,2014-01-12,Connor Carrick,home,Washington Capitals,Buffalo Sabres,D,19.5,0,0,1,0.01,1,0,0,0,0,1,0,0.46,0.61,20132014,0.679,0.679,0.679,0.679,0.32099999999999995,0.679,-0.21900000000000003,0.06900000000000006,0.6050000000000001,0.0,-0.29300000000000004,0.6230625000000002,0.9350625000000002,1994-04-13,19.764383561643836,6,-0.10185860754690787,-0.035449271847121544,-0.035449271847121544,-0.039336729652954344,0.0,0.0,1.6970348754244604,0.0
6,2014-01-14,Connor Carrick,home,Washington Capitals,San Jose Sharks,D,16.083333333333,0,0,0,0.05,1,0,0,0,0,0,0,0.48,0.42,20132014,0.5696666666666561,0.5696666666666561,0.5696666666666561,0.5696666666666561,-0.5696666666666561,0.5696666666666561,-0.08966666666665613,0.14966666666665612,0.07500000000000001,0.0,-0.5516666666666561,0.9028958333333182,0.42622916666666216,1994-04-13,19.76986301369863,7,-0.024166138379384,-0.005938549431266628,-0.005938549431266628,-0.005884713555045275,0.0,0.0,1.6937036069195484,0.0
7,2014-01-15,Connor Carrick,away,Washington Capitals,Pittsburgh Penguins,D,13.233333333333,0,0,0,0.01,2,0,0,0,0,0,1,0.13,0.49,20132014,0.478466666666656,0.478466666666656,0.478466666666656,0.478466666666656,-0.478466666666656,-0.5215333333333441,-0.348466666666656,-0.011533333333343998,0.10500000000000001,0.0,-1.020466666666656,0.03579583333331793,-0.8796708333333381,1994-04-13,19.77260273972603,8,0.0073396569753420285,-0.05921426856968781,-0.05921426856968781,-0.06132467166817298,0.0,0.0,1.6920450514216427,0.0
8,2014-01-17,Connor Carrick,away,Washington Capitals,Columbus Blue Jackets,D,15.9,0,0,0,0.02,2,1,2,0,0,0,0,0.64,0.35,20132014,0.5638000000000001,0.5638000000000001,0.5638000000000001,0.5638000000000001,-0.5638000000000001,0.5638000000000001,0.07619999999999993,0.2138000000000001,0.11,0.15,-0.28980000000000006,1.0554625000000002,1.0256625000000001,1994-04-13,19.778082191780822,9,-0.050754964208225783,0.004110320698456724,0.004110320698456724,0.004538493848366325,0.0,0.0,1.6887420044542827,0.0
9,2014-01-19,Connor Carrick,away,Washington Capitals,New York Rangers,D,13.566666666667,0,0,0,0.07,1,0,0,0,0,0,0,0.76,0.39,20132014,0.489133333333344,0.489133333333344,0.489133333333344,0.489133333333344,-0.489133333333344,0.489133333333344,0.270866666666656,0.09913333333334401,0.085,0.0,-0.023133333333343997,0.856129166666682,0.917995833333338,1994-04-13,19.783561643835615,10,0.01564872657919736,0.05533839458913976,0.05533839458913976,0.05899286850219363,0.0,0.0,1.6854575860431722,0.0
