,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2013-01-19,Cory Conacher,home,Tampa Bay Lightning,Washington Capitals,C,13.833333333333,1,0,1,0.1,0,0,0,0,0,1,0,0.18,0.16,20122013,0.497666666666656,0.497666666666656,0.497666666666656,0.497666666666656,0.502333333333344,0.497666666666656,-0.317666666666656,0.337666666666656,1.35,0.0,0.026458333333339967,0.8598812499999886,2.2363395833333284,1989-12-14,23.115068493150684,1,0.0,0.21021405748853175,0.21021405748853175,0.2232556535294973,0.4656714047399287,0.46293599016797066,1.0213431920785867,0.4756103189767983
1,2013-01-21,Cory Conacher,away,Tampa Bay Lightning,New York Islanders,C,16.05,0,1,1,0.02,0,1,0,0,0,2,1,0.75,0.86,20122013,0.5686000000000001,0.5686000000000001,0.5686000000000001,0.5686000000000001,1.4314,-0.4313999999999999,0.1813999999999999,-0.2913999999999999,1.26,-0.15,0.963375,-0.6918087499999998,1.38156625,1989-12-14,23.12054794520548,2,0.21109101115484638,0.3118508116461249,0.3118508116461249,0.3606806706988247,0.4657808618846507,0.4630447671346394,1.0211270478236654,0.47562143642903576
2,2013-01-22,Cory Conacher,away,Tampa Bay Lightning,Carolina Hurricanes,C,14.2,1,0,0,0.45,0,1,1,0,0,1,0,0.65,1.05,20122013,0.5094,0.5094,0.5094,0.5094,0.49060000000000004,0.5094,0.14060000000000006,-0.5406000000000001,0.975,0.0,0.3128750000000001,-0.6405787500000001,0.64729625,1989-12-14,23.123287671232877,3,0.31239723081167153,0.33892077058455794,0.33892077058455794,0.35883408332463346,0.4658356040729663,0.463099254167841,1.0210194476528638,0.4756272111676182
3,2013-01-25,Cory Conacher,home,Tampa Bay Lightning,Ottawa Senators,C,16.216666666667,0,1,1,0.33,0,0,0,0,0,1,0,0.19,0.28,20122013,0.5739333333333441,0.5739333333333441,0.5739333333333441,0.5739333333333441,0.42606666666665594,0.5739333333333441,-0.38393333333334406,0.29393333333334404,1.415,0.0,-0.014958333333340068,0.7373912500000114,2.1374329166666715,1989-12-14,23.13150684931507,4,0.33912115859078523,0.474779917346627,0.474779917346627,0.4408719968424316,0.4660002707362742,0.46326590107039856,1.0206985306297869,0.47564579161359793
4,2013-01-27,Cory Conacher,home,Tampa Bay Lightning,Philadelphia Flyers,C,12.95,0,0,0,0.07,0,0,0,0,0,0,0,0.18,0.41,20122013,0.4694,0.4694,0.4694,0.4694,-0.4694,0.4694,-0.2894,0.05940000000000001,0.035,0.0,-0.580875,0.40467125000000004,-0.14120374999999996,1989-12-14,23.136986301369863,5,0.47272276302307614,0.43097746237039075,0.43097746237039075,0.4535213545557886,0.4661107285827373,0.46338192275497114,1.0204861519239206,0.47565954378185255
5,2013-01-29,Cory Conacher,home,Tampa Bay Lightning,Florida Panthers,C,13.083333333333,1,0,1,0.29,0,1,0,0,0,1,0,0.55,0.2,20122013,0.473666666666656,0.473666666666656,0.473666666666656,0.473666666666656,0.526333333333344,0.473666666666656,0.07633333333334402,0.273666666666656,1.445,-0.15,0.27270833333334,0.7662312499999886,2.3339395833333287,1989-12-14,23.14246575342466,6,0.4301155306515442,0.5589928160671499,0.5589928160671499,0.660409043922013,0.4662219585676269,0.4635035358935949,1.020275022655387,0.47567461934002436
6,2013-02-01,Cory Conacher,home,Tampa Bay Lightning,Winnipeg Jets,C,13.883333333333,2,0,1,0.11,0,0,0,0,0,3,0,0.27,0.28,20122013,0.49926666666665603,0.49926666666665603,0.49926666666665603,0.49926666666665603,2.500733333333344,0.49926666666665603,-0.22926666666665602,0.219266666666656,2.105,0.0,1.33170833333334,0.6575912499999885,4.094299583333329,1989-12-14,23.15068493150685,7,0.5541102126181219,0.7849714365969254,0.7849714365969254,0.8341563211909329,0.4663905338031686,0.46369848818329973,1.01996066521296,0.47569999910690736
7,2013-02-02,Cory Conacher,home,Tampa Bay Lightning,New York Rangers,C,16.283333333333,0,0,0,0.14,0,0,0,0,0,0,1,0.9,0.45,20122013,0.5760666666666561,0.5760666666666561,0.5760666666666561,0.5760666666666561,-0.5760666666666561,-0.42393333333334393,0.32393333333334395,0.12606666666665606,0.07,0.0,-0.19754166666666007,0.013171249999988643,-0.11437041666667142,1989-12-14,23.153424657534245,8,0.7717481464007755,0.7301341770991766,0.7301341770991766,0.7467566429888204,0.4664472262467781,0.463767099691224,1.0198565010361516,0.47570923607805726
8,2013-02-05,Cory Conacher,away,Tampa Bay Lightning,Philadelphia Flyers,C,16.1,0,0,0,0.67,0,0,0,0,0,0,0,0.91,0.22,20122013,0.5702000000000002,0.5702000000000002,0.5702000000000002,0.5702000000000002,-0.5702000000000002,0.5702000000000002,0.3397999999999999,0.3502000000000002,0.335,0.0,-0.18762500000000004,0.8354012500000001,0.9827762500000001,1989-12-14,23.161643835616438,9,0.7203354431043123,0.7448809722760977,0.7448809722760977,0.7989502590470906,0.466618851313966,0.4639841501705732,1.0195458684767191,0.47573932201050656
9,2013-02-07,Cory Conacher,away,Tampa Bay Lightning,New Jersey Devils,C,15.166666666667,0,0,0,0.18,0,0,1,0,0,0,1,0.33,1.03,20122013,0.540333333333344,0.540333333333344,0.540333333333344,0.540333333333344,-0.540333333333344,-0.459666666666656,-0.21033333333334397,-0.48966666666665604,0.09,0.15,-0.53145833333334,-1.0110187499999883,-1.3024770833333283,1989-12-14,23.167123287671235,10,0.7348053568693282,0.6301158202921777,0.6301158202921777,0.646520521045721,0.46673453234496454,0.46413801505906,1.0193403265677696,0.47576133062097137
