,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2007-10-04,Daniel Briere,away,Philadelphia Flyers,Calgary Flames,C,19.316666666667,2,0,0,0.66,0,0,0,10,7,2,0,0.7,0.81,20072008,0.673133333333344,0.673133333333344,0.673133333333344,0.673133333333344,1.326866666666656,0.673133333333344,0.026866666666655936,-0.13686666666665603,1.83,0.03,0.8667916666666601,-0.05758874999998864,2.6692029166666713,1977-10-06,30.013698630136986,1,0.0,0.2509028501549763,0.2509028501549763,0.29807258598411196,0.505957448133223,0.524649864716759,1,0.505957448133223
1,2007-10-06,Daniel Briere,away,Philadelphia Flyers,Edmonton Oilers,C,20.683333333333,1,1,0,0.15,0,0,1,7,12,1,3,0.65,0.92,20072008,0.7168666666666561,0.7168666666666561,0.7168666666666561,0.7168666666666561,0.2831333333333439,-2.283133333333344,-0.06686666666665608,-0.20313333333334394,1.525,0.09999999999999999,0.18320833333333997,-1.5103487500000115,0.2978595833333286,1977-10-06,30.019178082191782,2,0.25194954597047475,0.2549772267400914,0.2549772267400914,0.2843305504248428,0.5060368913835207,0.5247020502783883,1,0.5060368913835207
2,2007-10-10,Daniel Briere,away,Philadelphia Flyers,Vancouver Canucks,C,15.55,1,2,0,0.25,0,0,0,8,8,2,0,0.42,0.55,20072008,0.5526000000000001,0.5526000000000001,0.5526000000000001,0.5526000000000001,1.4474,0.5526000000000001,-0.1326000000000001,0.0026000000000000467,2.275,0.0,0.767125,0.25559125000000005,3.29771625,1977-10-06,30.03013698630137,3,0.2559231219806116,0.5005218399690287,0.5005218399690287,0.6652048163844804,0.5061960243232413,0.524807674838142,1,0.5061960243232413
3,2007-10-13,Daniel Briere,home,Philadelphia Flyers,New York Islanders,C,19.416666666667,0,0,0,0.0,0,0,1,6,13,0,0,0.0,0.0,20072008,0.676333333333344,0.676333333333344,0.676333333333344,0.676333333333344,-0.676333333333344,0.676333333333344,-0.676333333333344,0.676333333333344,0.0,0.07999999999999999,-0.82270833333334,1.3228312500000112,0.5801229166666712,1977-10-06,30.03835616438356,4,0.49993095629264095,0.5065348849101163,0.5065348849101163,0.6490155893891426,0.5063155877996626,0.5248880069753363,1,0.5063155877996626
4,2007-10-16,Daniel Briere,home,Philadelphia Flyers,Atlanta Thrashers,C,17.183333333333,0,0,1,0.02,0,0,0,3,8,1,0,0.56,0.36,20072008,0.604866666666656,0.604866666666656,0.604866666666656,0.604866666666656,0.395133333333344,0.604866666666656,-0.04486666666665595,0.24486666666665602,0.56,-0.05,0.19695833333334,0.6344512499999886,1.3414095833333286,1977-10-06,30.046575342465754,5,0.5059177573822787,0.5659026300745399,0.5659026300745399,0.7227891957065145,0.5064353325113219,0.5249693078108655,1,0.5064353325113219
5,2007-10-18,Daniel Briere,home,Philadelphia Flyers,New Jersey Devils,C,17.383333333333,0,1,0,0.12,0,2,0,8,8,0,0,0.19,0.48,20072008,0.6112666666666561,0.6112666666666561,0.6112666666666561,0.6112666666666561,-0.6112666666666561,0.6112666666666561,-0.4212666666666561,0.1312666666666561,0.76,-0.3,-0.6632916666666601,0.4372912499999887,0.23399958333332865,1977-10-06,30.052054794520547,6,0.5642690137571282,0.5435749728639444,0.5435749728639444,0.6381982802325704,0.5065152620256342,0.5250240519172644,1,0.5065152620256342
6,2007-10-20,Daniel Briere,home,Philadelphia Flyers,Carolina Hurricanes,C,19.05,0,1,1,0.35,1,0,1,14,9,1,0,0.39,0.44,20072008,0.6646000000000001,0.6646000000000001,0.6646000000000001,0.6646000000000001,0.3353999999999999,0.6646000000000001,-0.27460000000000007,0.22460000000000008,1.475,0.2,0.05337499999999995,0.5622912500000001,2.29066625,1977-10-06,30.057534246575344,7,0.5426315354198918,0.655249942742756,0.655249942742756,0.7364831415557537,0.5065952705699889,0.5250792341459616,1,0.5065952705699889
7,2007-10-24,Daniel Briere,away,Philadelphia Flyers,Florida Panthers,C,18.0,0,0,1,0.18,0,0,0,8,13,1,2,0.59,1.35,20072008,0.6310000000000001,0.6310000000000001,0.6310000000000001,0.6310000000000001,0.3689999999999999,-1.3689999999999998,-0.04100000000000015,-0.719,0.64,-0.05,0.19937499999999986,-1.8956187499999997,-1.10624375,1977-10-06,30.068493150684933,8,0.6504975290124829,0.5478430802887854,0.5478430802887854,0.670353768323047,0.5067555220569476,0.5251909224851657,1,0.5067555220569476
8,2007-10-25,Daniel Briere,away,Philadelphia Flyers,Tampa Bay Lightning,C,21.733333333333,0,0,0,0.14,0,0,2,10,11,0,2,0.46,0.75,20072008,0.7504666666666561,0.7504666666666561,0.7504666666666561,0.7504666666666561,-0.7504666666666561,-1.249533333333344,-0.29046666666665605,0.00046666666665606815,0.07,0.29,-0.5815416666666601,-0.7479387500000115,-0.9694804166666716,1977-10-06,30.07123287671233,9,0.5476580821638617,0.45927644303072424,0.45927644303072424,0.5222860240998433,0.506795633247255,0.5252191218649838,1,0.506795633247255
9,2007-10-27,Daniel Briere,away,Philadelphia Flyers,Boston Bruins,C,17.3,0,1,0,0.19,0,0,0,11,2,0,0,0.24,0.46,20072008,0.6086,0.6086,0.6086,0.6086,-0.6086,0.6086,-0.36860000000000004,0.1486,0.7949999999999999,0.09,-0.630375,0.46844125000000003,0.7230662499999999,1977-10-06,30.076712328767123,10,0.46360513964709327,0.47406324458978344,0.47406324458978344,0.5681848860632419,0.5068759129663819,0.5252758548765787,1,0.5068759129663819
