,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2009-11-25,David Desharnais,away,Montreal Canadiens,Pittsburgh Penguins,C,7.9166666666667,0,0,0,0.0,0,0,0,2,2,0,1,0.11,0.18,20092010,0.3083333333333344,0.3083333333333344,0.3083333333333344,0.3083333333333344,-0.3083333333333344,-0.6916666666666655,-0.19833333333333442,0.1283333333333344,0.0,0.0,-0.523958333333334,0.1860312500000012,-0.33792708333333277,1986-09-14,23.213698630136985,1,0.0,-0.031764864268458884,-0.031764864268458884,-0.03580780008140821,0.3257562785146212,0.1474484357694848,1.0176427604469884,0.3315035185005571
1,2010-02-06,David Desharnais,home,Montreal Canadiens,Pittsburgh Penguins,C,11.683333333333,0,0,0,0.2,1,0,0,3,4,1,0,0.56,0.32,20092010,0.428866666666656,0.428866666666656,0.428866666666656,0.428866666666656,0.5711333333333439,0.428866666666656,0.13113333333334404,0.10886666666665601,0.15000000000000002,-0.01,0.30695833333334,0.5143512499999886,0.9613095833333286,1986-09-14,23.413698630136988,2,-0.03189737830920866,0.054402954545012344,0.054402954545012344,0.057084967117788786,0.3454984660825645,0.180321490326652,1.0113277069180653,0.34941217144698894
2,2010-02-07,David Desharnais,home,Montreal Canadiens,Boston Bruins,C,7.65,0,0,0,0.09,0,0,0,4,1,0,1,0.02,0.12,20092010,0.2998,0.2998,0.2998,0.2998,-0.2998,-0.7001999999999999,-0.2798,0.17980000000000002,0.045,0.03,-0.574875,0.27891125000000005,-0.22096374999999996,1986-09-14,23.416438356164385,3,0.0653198133917745,0.03218126203482414,0.03218126203482414,0.03345650569097555,0.3457889828000925,0.18080748257207796,1.0112518240178374,0.34967973958186616
3,2010-02-10,David Desharnais,home,Montreal Canadiens,Washington Capitals,C,8.2166666666667,0,1,0,0.12,0,0,0,2,2,0,0,0.32,0.19,20092010,0.3179333333333344,0.3179333333333344,0.3179333333333344,0.3179333333333344,-0.3179333333333344,0.3179333333333344,0.0020666666666656064,0.1279333333333344,0.76,0.0,-0.398708333333334,0.6167912500000011,0.9780829166666671,1986-09-14,23.424657534246574,4,0.039751685083245794,0.10363443069929879,0.10363443069929879,0.10328542300866309,0.34666215481837825,0.18227143750334138,1.0110258524453384,0.3504844005857887
4,2010-02-12,David Desharnais,away,Montreal Canadiens,Philadelphia Flyers,C,7.9166666666667,0,0,0,0.0,1,0,0,2,2,0,0,0.06,0.66,20092010,0.3083333333333344,0.3083333333333344,0.3083333333333344,0.3083333333333344,-0.3083333333333344,0.3083333333333344,-0.2483333333333344,-0.35166666666666563,0.05,0.0,-0.555208333333334,-0.19246874999999886,-0.6976770833333328,1986-09-14,23.43013698630137,5,0.1170890241001878,0.04665335575205854,0.04665335575205854,0.04734535839750116,0.3472455357949773,0.18325238535367563,1.0108765994896476,0.35102238641238737
5,2010-02-13,David Desharnais,home,Montreal Canadiens,Philadelphia Flyers,C,7.2833333333333,0,0,0,0.0,0,0,1,3,1,0,0,0.07,0.1,20092010,0.28806666666666564,0.28806666666666564,0.28806666666666564,0.28806666666666564,-0.28806666666666564,0.28806666666666564,-0.21806666666666563,0.18806666666666563,0.0,0.16999999999999998,-0.5362916666666661,0.7378712499999989,0.3715795833333328,1986-09-14,23.432876712328767,6,0.0548301203570349,0.06851167100224453,0.06851167100224453,0.06932608029149565,0.3475375811071888,0.18374435111970375,1.0108023905885826,0.35129181780251983
6,2011-01-02,David Desharnais,home,Montreal Canadiens,Atlanta Thrashers,C,13.383333333333,0,0,0,0.37,0,0,0,5,1,0,1,0.77,0.33,20102011,0.483266666666656,0.483266666666656,0.483266666666656,0.483266666666656,-0.483266666666656,-0.5167333333333439,0.286733333333344,0.153266666666656,0.185,0.04,-0.22079166666666,0.11799124999998856,0.12219958333332856,1986-09-14,24.317808219178083,7,0.07735566817435734,0.07194342987534615,0.07194342987534615,0.08122745007513607,0.4216823918433254,0.40707766000231277,1.0,0.4216823918433254
7,2011-01-06,David Desharnais,home,Montreal Canadiens,Pittsburgh Penguins,C,14.15,0,0,1,0.07,2,0,0,2,3,1,1,0.43,0.53,20102011,0.5078,0.5078,0.5078,0.5078,0.49219999999999997,-0.49219999999999997,-0.07780000000000004,-0.022199999999999998,0.685,-0.01,0.17637499999999995,-0.19578875000000007,0.6555862499999999,1986-09-14,24.328767123287673,8,0.08257538857046587,0.10753097944287725,0.10753097944287725,0.11263794821498363,0.42276234683045116,0.4096992098871617,1.0,0.42276234683045116
8,2011-01-08,David Desharnais,home,Montreal Canadiens,Boston Bruins,C,12.483333333333,0,0,0,0.0,0,0,0,6,5,0,0,0.17,0.65,20102011,0.454466666666656,0.454466666666656,0.454466666666656,0.454466666666656,-0.454466666666656,0.454466666666656,-0.284466666666656,-0.195533333333344,0.0,0.01,-0.57779166666666,-0.0192887500000114,-0.5870804166666714,1986-09-14,24.334246575342465,9,0.14272825859121702,0.06698629949954951,0.06698629949954951,0.07076053400031133,0.4233070473862622,0.411002961029663,1.0,0.4233070473862622
9,2011-01-11,David Desharnais,away,Montreal Canadiens,New York Rangers,C,8.7666666666667,0,0,0,0.0,1,0,0,1,4,0,1,0.4,0.09,20102011,0.3355333333333344,0.3355333333333344,0.3355333333333344,0.3355333333333344,-0.3355333333333344,-0.6644666666666657,0.06446666666666562,0.2455333333333344,0.05,-0.03,-0.359708333333334,0.36810125000000116,0.028392916666667156,1986-09-14,24.34246575342466,10,0.07315388030532882,0.06482293807175522,0.06482293807175522,0.06719846114627252,0.42412995053209956,0.4129499209169305,1.0,0.42412995053209956
