,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2007-10-04,Duncan Keith,away,Chicago Blackhawks,Minnesota Wild,D,22.7,0,0,0,0.0,1,0,0,0,0,0,1,0.35,0.95,20072008,0.7814000000000001,0.7814000000000001,0.7814000000000001,0.7814000000000001,-0.7814000000000001,-0.2185999999999999,-0.4314000000000001,-0.16859999999999986,0.05,0.0,-0.9714000000000002,-0.5867374999999997,-1.5081374999999997,1983-07-16,24.235616438356164,164,0.0,-1.488298494556889,-1.488298494556889,-1.7680986115335846,0.569925253103751,0.5994280039395568,1.0000149979194803,0.5699338007968069
1,2007-10-10,Duncan Keith,home,Chicago Blackhawks,San Jose Sharks,D,24.8,0,0,0,0.07,1,0,0,0,0,1,0,0.66,0.87,20072008,0.8486000000000001,0.8486000000000001,0.8486000000000001,0.8486000000000001,0.15139999999999987,0.8486000000000001,-0.1886000000000001,-0.021399999999999864,0.085,0.0,-0.14260000000000017,0.26886250000000034,0.2112625000000002,1983-07-16,24.252054794520546,165,-1.5081374999999997,-0.6437080608181197,-0.6437080608181197,-0.7965566047504447,0.5710843823856767,0.600663644380252,1.0000036184243857,0.5710864488113322
2,2007-10-12,Duncan Keith,away,Chicago Blackhawks,Detroit Red Wings,D,21.366666666667,0,0,0,0.02,0,0,0,0,0,1,0,0.19,0.94,20072008,0.7387333333333441,0.7387333333333441,0.7387333333333441,0.7387333333333441,0.2612666666666559,0.7387333333333441,-0.5487333333333442,-0.20126666666665582,0.01,0.0,-0.7847333333333442,-0.05007083333331752,-0.8248041666666617,1983-07-16,24.257534246575343,166,-0.6435151863257387,-0.703909008393304,-0.703909008393304,-0.7609258877619063,0.5714719893238405,0.6010761158440409,1.000001552098559,0.5714728763046916
3,2007-10-13,Duncan Keith,home,Chicago Blackhawks,Dallas Stars,D,21.066666666667,0,0,0,0.03,0,0,0,0,0,0,0,0.49,0.4,20072008,0.7291333333333441,0.7291333333333441,0.7291333333333441,0.7291333333333441,-0.7291333333333441,0.7291333333333441,-0.23913333333334408,0.32913333333334405,0.015,0.0,-0.695133333333344,1.178129166666682,0.49799583333333797,1983-07-16,24.26027397260274,167,-0.7043292389548821,-0.40336127479798095,-0.40336127479798095,-0.48832613170794675,0.5716660184609434,0.6012824654735965,1.0000008420459374,0.5716664998299918
4,2007-10-17,Duncan Keith,home,Chicago Blackhawks,St Louis Blues,D,26.883333333333,0,0,0,0.05,3,0,0,0,0,0,0,0.44,0.92,20072008,0.915266666666656,0.915266666666656,0.915266666666656,0.915266666666656,-0.915266666666656,0.915266666666656,-0.475266666666656,-0.004733333333344025,0.17500000000000002,0.0,-0.9612666666666561,0.24969583333331813,-0.5365708333333379,1983-07-16,24.27123287671233,168,-0.4018844256402866,-0.430094605319917,-0.430094605319917,-0.4799836774038609,0.5724436269443227,0.6021086566308345,1.0,0.5724436269443227
5,2007-10-19,Duncan Keith,home,Chicago Blackhawks,Colorado Avalanche,D,25.483333333333,0,0,1,0.0,2,0,0,0,0,2,1,0.54,1.06,20072008,0.8704666666666561,0.8704666666666561,0.8704666666666561,0.8704666666666561,1.129533333333344,-0.12953333333334394,-0.33046666666665603,-0.189533333333344,0.65,0.0,0.04353333333334397,-0.7117041666666819,-0.01817083333333791,1983-07-16,24.276712328767122,169,-0.42912065019146245,-0.36095503227144327,-0.36095503227144327,-0.4219110802252897,0.5728333240129975,0.6025222544129035,1.0,0.5728333240129975
6,2007-10-20,Duncan Keith,away,Chicago Blackhawks,Toronto Maple Leafs,D,24.65,1,0,0,0.06,1,0,0,0,0,1,1,0.86,0.84,20072008,0.8438,0.8438,0.8438,0.8438,0.1562,-0.1562,0.016199999999999992,0.0038000000000000256,0.8300000000000001,0.0,0.18219999999999992,-0.2440374999999999,0.7681625000000001,1983-07-16,24.279452054794522,170,-0.3597770140970127,-0.19783704918190181,-0.19783704918190181,-0.23483452834134816,0.5730283962489866,0.602729186883019,1.0,0.5730283962489866
7,2007-10-23,Duncan Keith,home,Chicago Blackhawks,Columbus Blue Jackets,D,27.05,0,0,0,0.03,2,0,0,0,0,2,3,0.56,0.86,20072008,0.9206000000000001,0.9206000000000001,0.9206000000000001,0.9206000000000001,1.0794,-2.0793999999999997,-0.36060000000000003,0.0606000000000001,0.115,0.0,0.025399999999999978,-1.3296374999999994,-1.1892374999999995,1983-07-16,24.28767123287671,171,-0.19666165253873572,-0.32374745009323497,-0.32374745009323497,-0.37117014759024425,0.5736145137531042,0.6033505515651121,1.0,0.5736145137531042
8,2007-10-25,Duncan Keith,away,Chicago Blackhawks,Boston Bruins,D,27.983333333333,0,0,0,0.02,1,0,0,0,0,0,0,0.57,0.42,20072008,0.950466666666656,0.950466666666656,0.950466666666656,0.950466666666656,-0.950466666666656,0.950466666666656,-0.3804666666666561,0.530466666666656,0.060000000000000005,0.0,-0.7884666666666561,1.450295833333318,0.721829166666662,1983-07-16,24.293150684931508,172,-0.3226950202105675,-0.20508707380475805,-0.20508707380475805,-0.24985748210864786,0.5740060170408402,0.6037652981751187,1.0,0.5740060170408402
9,2007-10-27,Duncan Keith,home,Chicago Blackhawks,Atlanta Thrashers,D,22.1,0,0,0,0.03,1,3,0,0,0,0,0,0.33,0.58,20072008,0.7622000000000001,0.7622000000000001,0.7622000000000001,0.7622000000000001,-0.7622000000000001,0.7622000000000001,-0.4322000000000001,0.18220000000000014,0.065,-0.44999999999999996,-0.9842000000000001,0.8116625000000003,-0.5575374999999997,1983-07-16,24.2986301369863,173,-0.20460959219044308,-0.24129713349405418,-0.24129713349405418,-0.30618072124532564,0.5743981363511463,0.6041804791257178,1.0,0.5743981363511463
