,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2007-10-05,Jiri Novotny,home,Columbus Blue Jackets,Anaheim Ducks,C,19.733333333333,0,0,0,0.11,1,0,0,2,14,0,0,0.26,0.07,20072008,0.6864666666666561,0.6864666666666561,0.6864666666666561,0.6864666666666561,-0.6864666666666561,0.6864666666666561,-0.4264666666666561,0.6164666666666561,0.10500000000000001,-0.12,-0.6665416666666601,1.2146612499999887,0.5331195833333285,1983-08-12,24.164383561643834,83,0.0,0.5261065872931274,0.5261065872931274,0.6209897906560221,0.7291554763045472,0.9145459069803861,1.0001548221201997,0.7292683657013439
1,2007-10-10,Jiri Novotny,home,Columbus Blue Jackets,Phoenix Coyotes,C,14.55,0,0,0,0.04,0,1,0,2,2,0,0,0.21,0.08,20072008,0.5206000000000001,0.5206000000000001,0.5206000000000001,0.5206000000000001,-0.5206000000000001,0.5206000000000001,-0.3106000000000001,0.44060000000000005,0.02,-0.15,-0.594125,1.0203912499999999,0.29626624999999984,1983-08-12,24.17808219178082,84,0.5331195833333285,0.4118882975190208,0.4118882975190208,0.40654025855517006,0.7505723069817205,0.9156864057086888,1.0001164369127216,0.7506597013039198
2,2007-10-13,Jiri Novotny,away,Columbus Blue Jackets,Colorado Avalanche,C,17.833333333333,0,1,0,0.08,0,0,0,6,4,1,0,0.35,0.46,20072008,0.6256666666666562,0.6256666666666562,0.6256666666666562,0.6256666666666562,0.37433333333334384,0.6256666666666562,-0.2756666666666562,0.16566666666665614,0.74,0.02,0.05270833333333991,0.48668124999998874,1.2993895833333287,1983-08-12,24.186301369863013,85,0.4141278599151301,0.7069162779931015,0.7069162779931015,0.8317066306093271,0.761099824396624,0.9162636714883337,1.000096044699979,0.7611729240009122
3,2007-10-17,Jiri Novotny,home,Columbus Blue Jackets,Dallas Stars,C,14.1,1,0,0,0.29,0,0,0,5,4,0,1,0.42,0.16,20072008,0.5062,0.5062,0.5062,0.5062,-0.5062,-0.4938,-0.0862,0.34619999999999995,0.895,0.01,-0.45387500000000003,0.43150124999999995,0.88262625,1983-08-12,24.197260273972603,86,0.711281490447083,0.7508542271745907,0.7508542271745907,0.911627345010461,0.7732922818458967,0.9169389707354763,1.0000719249836487,0.7733479008806241
4,2007-10-19,Jiri Novotny,away,Columbus Blue Jackets,Buffalo Sabres,C,14.933333333333,0,0,0,0.08,1,0,0,5,1,0,0,0.02,0.13,20072008,0.532866666666656,0.532866666666656,0.532866666666656,0.532866666666656,-0.532866666666656,0.532866666666656,-0.512866666666656,0.40286666666665605,0.09,0.04,-0.72054166666666,0.9485012499999886,0.35795958333332867,1983-08-12,24.202739726027396,87,0.7545888502518875,0.6720056633808824,0.6720056633808824,0.7443409387001998,0.778819524774048,0.9172455909099992,1.0000611779800794,0.7788671713794201
5,2007-10-21,Jiri Novotny,home,Columbus Blue Jackets,Vancouver Canucks,C,17.233333333333,0,0,0,0.0,0,0,0,7,4,0,1,0.08,0.07,20072008,0.606466666666656,0.606466666666656,0.606466666666656,0.606466666666656,-0.606466666666656,-0.39353333333334395,-0.5264666666666561,0.536466666666656,0.0,0.03,-0.72904166666666,0.6916612499999886,-0.007380416666671441,1983-08-12,24.208219178082192,88,0.6743223981374584,0.5579737314944787,0.5579737314944787,0.674756328670907,0.7840720578935092,0.917536766403752,1.0000513045532797,0.7841122843601785
6,2007-10-23,Jiri Novotny,away,Columbus Blue Jackets,Chicago Blackhawks,C,14.6,2,0,0,0.34,0,0,0,4,5,2,1,0.48,0.21,20072008,0.5222,0.5222,0.5222,0.5222,1.4778,-0.4778,-0.042200000000000015,0.31220000000000003,1.67,-0.01,0.8236250000000002,0.36360125,2.84722625,1983-08-12,24.213698630136985,89,0.5592200922088054,0.8886906346764434,0.8886906346764434,1.0551162253423665,0.7891115711371084,0.9178162174555085,1.0000423034651174,0.7891449532909317
7,2007-10-25,Jiri Novotny,home,Columbus Blue Jackets,St Louis Blues,C,12.333333333333,1,1,0,0.9,0,0,0,5,4,1,0,0.12,0.55,20072008,0.449666666666656,0.449666666666656,0.449666666666656,0.449666666666656,0.550333333333344,0.449666666666656,-0.329666666666656,-0.10033333333334404,1.9,0.01,0.01895833333333996,0.14558124999998845,2.074539583333328,1983-08-12,24.21917808219178,90,0.8908143407281112,1.0392964937139908,1.0392964937139908,1.156577313831649,0.7939932583431649,0.918078235516013,1.0000341734826994,0.7940203918580424
8,2007-10-27,Jiri Novotny,home,Columbus Blue Jackets,San Jose Sharks,C,16.6,0,1,0,0.0,1,0,0,4,3,0,0,0.08,0.23,20072008,0.5862,0.5862,0.5862,0.5862,-0.5862,0.5862,-0.5062000000000001,0.35620000000000007,0.75,0.01,-0.716375,0.8355012500000001,0.8791262500000001,1983-08-12,24.224657534246575,91,1.041152909430898,1.0211190965872112,1.0211190965872112,1.2295054114306792,0.7987820554422713,0.9182352603261628,1.0000269133783686,0.7988035533659634
9,2007-10-31,Jiri Novotny,away,Columbus Blue Jackets,Los Angeles Kings,C,19.433333333333,0,0,0,0.27,1,0,1,6,10,0,0,0.64,0.22,20072008,0.6768666666666561,0.6768666666666561,0.6768666666666561,0.6768666666666561,-0.6768666666666561,0.6768666666666561,-0.036866666666656056,0.4568666666666561,0.185,0.10999999999999999,-0.4230416666666601,0.9494012499999887,0.8213595833333285,1983-08-12,24.235616438356164,92,1.0228318363291204,1.0005961992920867,1.0005961992920867,1.204008539619081,0.8078575157728857,0.9179988023726904,1.0000149979194803,0.8078696319548588
