,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2008-01-09,Jordan Hendry,home,Chicago Blackhawks,Dallas Stars,D,13.483333333333,0,0,0,0.06,2,1,0,0,0,0,0,0.65,0.39,20072008,0.486466666666656,0.486466666666656,0.486466666666656,0.486466666666656,-0.486466666666656,0.486466666666656,0.16353333333334402,0.09646666666665599,0.13,-0.15,-0.19646666666665602,0.852295833333318,0.635829166666662,1984-02-23,23.893150684931506,1,0.0,0.05976741188622459,0.05976741188622459,0.0650842979419361,0.07890600822190308,0.11882758663647797,1.002077677384335,0.07906994945067387
1,2008-01-11,Jordan Hendry,home,Chicago Blackhawks,Minnesota Wild,D,17.366666666667,0,0,0,0.03,0,0,1,0,0,1,1,0.97,0.13,20072008,0.6107333333333441,0.6107333333333441,0.6107333333333441,0.6107333333333441,0.3892666666666559,-0.3892666666666559,0.35926666666665585,0.4807333333333441,0.015,0.15,0.5912666666666557,1.0539291666666823,1.8101958333333381,1984-02-23,23.898630136986302,2,0.06001674464544133,0.2116498809492961,0.2116498809492961,0.2356747422733143,0.08395318728787515,0.11885457280825264,1.002016337717248,0.08412246526588688
2,2008-01-13,Jordan Hendry,away,Chicago Blackhawks,Nashville Predators,D,19.75,0,0,0,0.02,0,1,0,0,0,1,0,0.6,1.24,20072008,0.687,0.687,0.687,0.687,0.31299999999999994,0.687,-0.08700000000000008,-0.5529999999999999,0.01,-0.15,-0.07700000000000007,-0.8144374999999999,-1.0314375,1984-02-23,23.904109589041095,3,0.21149711886705644,0.11133453749340265,0.11133453749340265,0.11879979879146925,0.08900036635384012,0.11888155898002731,1.001955949275486,0.08917444655592789
3,2008-01-16,Jordan Hendry,home,Chicago Blackhawks,St Louis Blues,D,14.416666666667,0,0,0,0.0,2,0,0,0,0,1,0,0.37,0.74,20072008,0.5163333333333441,0.5163333333333441,0.5163333333333441,0.5163333333333441,0.4836666666666559,0.5163333333333441,-0.14633333333334408,-0.2236666666666559,0.1,0.0,-0.27433333333334403,0.09022916666668224,-0.08410416666666179,1984-02-23,23.912328767123288,4,0.11214036928159266,0.09657114784973965,0.09657114784973965,0.10476498924885022,0.09657113495278935,0.1189220382376893,1.001867146734752,0.09675144743208774
4,2008-01-18,Jordan Hendry,away,Chicago Blackhawks,Colorado Avalanche,D,16.083333333333,0,0,0,0.05,0,0,0,0,0,0,0,0.11,0.43,20072008,0.5696666666666561,0.5696666666666561,0.5696666666666561,0.5696666666666561,-0.5696666666666561,0.5696666666666561,-0.4596666666666561,0.13966666666665611,0.025,0.0,-1.1436666666666562,0.8798958333333182,-0.23877083333333804,1984-02-23,23.91780821917808,5,0.09753709531562668,0.07272505774854232,0.07272505774854232,0.07669617316535704,0.10161831401875432,0.11894902440946398,1.0018091295160478,0.10180215471001666
5,2008-01-19,Jordan Hendry,away,Chicago Blackhawks,Phoenix Coyotes,D,8.65,0,0,0,0.01,0,1,1,0,0,0,0,0.28,0.45,20072008,0.3318,0.3318,0.3318,0.3318,-0.3318,0.3318,-0.05179999999999996,-0.11820000000000003,0.005,0.0,-0.6337999999999999,0.4919625000000001,-0.13683749999999983,1984-02-23,23.92054794520548,6,0.07416159154980491,0.058627444004028056,0.058627444004028056,0.0632563865832066,0.10414190355174213,0.11896251749535132,1.0017804756672606,0.10432732567695821
6,2008-01-22,Jordan Hendry,away,Chicago Blackhawks,San Jose Sharks,D,14.05,0,0,0,0.08,0,1,0,0,0,2,0,0.41,0.19,20072008,0.5046,0.5046,0.5046,0.5046,1.4954,0.5046,-0.09460000000000007,0.31460000000000005,0.04,-0.15,0.2013999999999998,1.3383625000000001,1.4297624999999998,1984-02-23,23.92876712328767,7,0.060424458908772245,0.1462710995370918,0.1462710995370918,0.15203789924168434,0.11171267215068781,0.1190029967530133,1.001695930846352,0.11190212911731656
7,2008-01-24,Jordan Hendry,home,Chicago Blackhawks,Columbus Blue Jackets,D,15.7,0,0,0,0.01,0,0,0,0,0,0,1,0.16,0.21,20072008,0.5574,0.5574,0.5574,0.5574,-0.5574,-0.4426,-0.3974,0.34740000000000004,0.005,0.0,-1.0514,0.7932625000000001,-0.2531374999999999,1984-02-23,23.934246575342467,8,0.14457713095073144,0.12191720903486883,0.12191720903486883,0.12800968642678087,0.11675985121665988,0.11902998292478799,1.0016407463144512,0.11695142451221949
8,2008-01-30,Jordan Hendry,away,Chicago Blackhawks,Colorado Avalanche,D,16.833333333333,0,0,0,0.03,1,0,0,0,0,1,1,0.5,0.22,20072008,0.5936666666666561,0.5936666666666561,0.5936666666666561,0.5936666666666561,0.40633333333334387,-0.40633333333334387,-0.09366666666665613,0.37366666666665616,0.065,0.0,-0.14366666666665617,0.8223958333333182,0.7437291666666621,1984-02-23,23.95068493150685,9,0.1214677229793802,0.15821256345652163,0.15821256345652163,0.16450058624118968,0.1316654643180201,0.11894199247595,1.0014808335816074,0.13186043895912014
9,2008-02-02,Jordan Hendry,away,Chicago Blackhawks,San Jose Sharks,D,19.083333333333,0,0,0,0.04,3,0,0,0,0,0,1,0.14,0.7,20072008,0.6656666666666561,0.6656666666666561,0.6656666666666561,0.6656666666666561,-0.6656666666666561,-0.3343333333333439,-0.5256666666666561,-0.034333333333343874,0.17,0.0,-1.1916666666666562,-0.1781041666666816,-1.199770833333338,1984-02-23,23.958904109589042,10,0.15601070659148167,0.08209047504251558,0.08209047504251558,0.0841847955856997,0.1385433672455598,0.11863248925957699,1.0014040408142595,0.1387378877877175
