,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2019-02-19,Josh Currie,home,Edmonton Oilers,Arizona Coyotes,R,5.4166666666667,0,0,0,0.0,1,0,0,0,0,0,0,0.08,0.03,20182019,0.2283333333333344,0.2283333333333344,0.2283333333333344,0.2283333333333344,-0.2283333333333344,0.2283333333333344,-0.14833333333333437,0.1983333333333344,0.05,0.0,-0.492708333333334,0.7930312500000011,0.35032291666666704,1992-10-29,26.326027397260273,1,0.0,0.0329300622734362,0.0329300622734362,0.0342464327851258,0.11691497972566788,0.11679400897352665,1,0.11691497972566788
1,2019-02-21,Josh Currie,home,Edmonton Oilers,New York Islanders,R,9.1166666666667,0,0,0,0.1,1,0,0,0,0,1,0,0.52,0.24,20182019,0.3467333333333344,0.3467333333333344,0.3467333333333344,0.3467333333333344,0.6532666666666656,0.3467333333333344,0.17326666666666563,0.1067333333333344,0.1,0.0,0.333291666666666,0.5625712500000011,0.995862916666667,1992-10-29,26.33150684931507,2,0.03306743719111616,0.11648253301444778,0.11648253301444778,0.11665742688100322,0.11693909711380529,0.11681805688224431,1,0.11693909711380529
2,2019-02-23,Josh Currie,home,Edmonton Oilers,Anaheim Ducks,R,11.966666666667,1,0,0,0.24,2,0,0,0,0,1,0,0.79,0.41,20182019,0.437933333333344,0.437933333333344,0.437933333333344,0.437933333333344,0.5620666666666561,0.437933333333344,0.35206666666665604,0.027933333333344024,0.97,0.0,0.44504166666666,0.3710412500000114,1.7860829166666714,1992-10-29,26.336986301369862,3,0.11639869195954962,0.2512168553854637,0.2512168553854637,0.26793144611656916,0.11696321450194268,0.11684210479096194,1,0.11696321450194268
3,2019-02-25,Josh Currie,away,Edmonton Oilers,Nashville Predators,R,11.733333333333,0,0,0,0.03,1,0,0,0,0,0,1,0.13,1.12,20182019,0.430466666666656,0.430466666666656,0.430466666666656,0.430466666666656,-0.430466666666656,-0.569533333333344,-0.300466666666656,-0.6895333333333441,0.065,0.0,-0.58779166666666,-1.2814387500000115,-1.8042304166666716,1992-10-29,26.34246575342466,4,0.24986862262431672,0.09594889503070722,0.09594889503070722,0.09511777291829616,0.11698733189008009,0.11686615269967958,1,0.11698733189008009
4,2019-02-27,Josh Currie,away,Edmonton Oilers,Toronto Maple Leafs,R,11.916666666667,0,0,0,0.08,2,0,1,0,0,0,0,0.59,0.32,20182019,0.436333333333344,0.436333333333344,0.436333333333344,0.436333333333344,-0.436333333333344,0.436333333333344,0.15366666666665596,0.116333333333344,0.14,0.15,-0.30395833333334005,0.5223312500000113,0.5083729166666713,1992-10-29,26.34794520547945,5,0.09728539862054222,0.12527627105780884,0.12527627105780884,0.12383358197736526,0.11701144927821748,0.11689020060839722,1,0.11701144927821748
5,2019-02-28,Josh Currie,away,Edmonton Oilers,Ottawa Senators,R,11.816666666667,0,2,0,0.08,1,0,0,0,0,2,1,0.59,0.67,20182019,0.43313333333334403,0.43313333333334403,0.43313333333334403,0.43313333333334403,1.566866666666656,-0.566866666666656,0.15686666666665594,-0.236866666666656,1.49,0.0,0.9480416666666599,-0.5135887499999886,1.924452916666671,1992-10-29,26.350684931506848,6,0.12581161660243367,0.2463098072030367,0.2463098072030367,0.26082335019813946,0.0,0.0,1,0.0
6,2019-03-02,Josh Currie,away,Edmonton Oilers,Columbus Blue Jackets,R,12.783333333333,1,0,0,0.08,2,0,0,0,0,1,0,0.17,0.13,20182019,0.46406666666665597,0.46406666666665597,0.46406666666665597,0.46406666666665597,0.535933333333344,0.46406666666665597,-0.29406666666665593,0.33406666666665596,0.89,0.0,0.04120833333334001,0.8749712499999885,1.8061795833333285,1992-10-29,26.356164383561644,7,0.24273262383590927,0.3460174827801114,0.3460174827801114,0.34482024783906484,0.0,0.0,1,0.0
7,2019-03-04,Josh Currie,away,Edmonton Oilers,Buffalo Sabres,R,7.6833333333333,0,0,0,0.09,0,0,0,0,0,1,0,0.22,0.19,20182019,0.3008666666666656,0.3008666666666656,0.3008666666666656,0.3008666666666656,0.6991333333333344,0.3008666666666656,-0.08086666666666562,0.11086666666666561,0.045,0.0,0.17445833333333394,0.5985512499999989,0.8180095833333327,1992-10-29,26.361643835616437,8,0.33850401701277405,0.3747971433785805,0.3747971433785805,0.3853520539268742,0.0,0.0,1,0.0
8,2019-03-07,Josh Currie,home,Edmonton Oilers,Vancouver Canucks,R,8.1833333333333,0,0,0,0.09,0,0,0,1,0,0,1,0.29,0.26,20182019,0.3168666666666656,0.3168666666666656,0.3168666666666656,0.3168666666666656,-0.3168666666666656,-0.6831333333333345,-0.026866666666665595,0.056866666666665566,0.045,0.01,-0.416791666666666,0.05915124999999877,-0.30264041666666724,1992-10-29,26.36986301369863,9,0.36628117509461383,0.3352549055064975,0.3352549055064975,0.34884007239612047,0.0,0.0,1,0.0
9,2019-03-09,Josh Currie,home,Edmonton Oilers,Toronto Maple Leafs,R,8.5,0,0,0,0.0,0,0,0,0,2,0,1,0.18,0.35,20182019,0.327,0.327,0.327,0.327,-0.327,-0.673,-0.14700000000000002,-0.022999999999999965,0.0,-0.02,-0.49187500000000006,-0.08301875000000003,-0.5948937500000001,1992-10-29,26.375342465753423,10,0.3294544538219473,0.28311519720077727,0.28311519720077727,0.27695421362317363,0.0,0.0,1,0.0
