,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2007-10-04,Jozef Stumpel,away,Florida Panthers,New York Rangers,L,18.383333333333,0,0,0,0.46,1,0,1,5,2,0,2,0.39,0.8,20072008,0.643266666666656,0.643266666666656,0.643266666666656,0.643266666666656,-0.643266666666656,-1.356733333333344,-0.253266666666656,-0.15673333333334405,0.28,0.18,-0.55829166666666,-0.9475087500000116,-1.0458004166666715,1972-07-20,35.23013698630137,906,0.0,-1.0320432889786075,-1.0320432889786075,-1.2260674273065861,0.2806581098555627,0.3373038545957931,1,0.2806581098555627
1,2007-10-06,Jozef Stumpel,home,Florida Panthers,New Jersey Devils,L,21.516666666667,0,0,0,0.29,0,0,1,2,2,0,0,0.47,0.31,20072008,0.743533333333344,0.743533333333344,0.743533333333344,0.743533333333344,-0.743533333333344,0.743533333333344,-0.27353333333334406,0.43353333333334404,0.145,0.15,-0.5709583333333401,0.8676512500000114,0.5916929166666713,1972-07-20,35.23561643835617,907,-1.0458004166666715,-0.22513369844588305,-0.22513369844588305,-0.2860372266669933,0.2806993004656003,0.3373542412776339,1,0.2806993004656003
2,2007-10-10,Jozef Stumpel,away,Florida Panthers,Tampa Bay Lightning,L,14.366666666667,0,0,0,0.23,0,0,0,4,7,0,1,0.15,0.66,20072008,0.514733333333344,0.514733333333344,0.514733333333344,0.514733333333344,-0.514733333333344,-0.48526666666665597,-0.364733333333344,-0.145266666666656,0.115,-0.03,-0.6279583333333401,-0.4093787499999887,-0.9523370833333288,1972-07-20,35.24657534246575,908,-0.22549112464231078,-0.4668745831820751,-0.4668745831820751,-0.4995244226461662,0.2804328339921365,0.33701326213049265,1,0.2804328339921365
3,2007-10-11,Jozef Stumpel,home,Florida Panthers,New Jersey Devils,L,19.383333333333,0,1,1,0.13,0,0,0,6,7,1,0,0.34,0.07,20072008,0.675266666666656,0.675266666666656,0.675266666666656,0.675266666666656,0.324733333333344,0.675266666666656,-0.335266666666656,0.605266666666656,1.315,-0.01,0.015458333333340013,1.2026912499999884,2.5231495833333284,1972-07-20,35.24931506849315,909,-0.46931662523225876,0.28080938932815,0.28080938932815,0.3374790194650939,0.2792104219717742,0.33546796623359687,1,0.2792104219717742
4,2007-10-13,Jozef Stumpel,home,Florida Panthers,Tampa Bay Lightning,L,21.7,1,0,0,0.16,0,0,1,7,10,0,0,0.1,0.34,20072008,0.7494000000000001,0.7494000000000001,0.7494000000000001,0.7494000000000001,-0.7494000000000001,0.7494000000000001,-0.6494000000000001,0.40940000000000004,0.83,0.12,-0.8058750000000001,0.82292125,0.9670462499999999,1972-07-20,35.25479452054795,910,0.2834435588336339,0.41852771085390633,0.41852771085390633,0.44974724183242054,0.27451595413586694,0.32953572204901516,1,0.27451595413586694
5,2007-10-16,Jozef Stumpel,away,Florida Panthers,Montreal Canadiens,L,18.45,0,0,0,0.09,0,0,0,10,10,0,0,0.21,0.42,20072008,0.6454000000000001,0.6454000000000001,0.6454000000000001,0.6454000000000001,-0.6454000000000001,0.6454000000000001,-0.4354000000000001,0.2254000000000001,0.045,0.0,-0.6721250000000001,0.5757712500000001,-0.051353749999999976,1972-07-20,35.26301369863014,911,0.42126169711066164,0.3396601975026966,0.3396601975026966,0.411336643613074,0.2670303052500896,0.32007668621305274,1,0.2670303052500896
6,2007-10-18,Jozef Stumpel,away,Florida Panthers,Toronto Maple Leafs,L,18.716666666667,0,0,0,0.03,1,0,0,12,12,0,1,0.59,0.55,20072008,0.653933333333344,0.653933333333344,0.653933333333344,0.653933333333344,-0.653933333333344,-0.346066666666656,-0.06393333333334406,0.10393333333334398,0.065,0.0,-0.43995833333334006,-0.07360874999998868,-0.44856708333332873,1972-07-20,35.26849315068493,912,0.3415876261051024,0.22578893025961883,0.22578893025961883,0.27243059017406185,0.2635213559673696,0.31564204048196987,1,0.2635213559673696
7,2007-10-20,Jozef Stumpel,away,Florida Panthers,Ottawa Senators,L,11.65,0,0,0,0.0,0,0,0,2,5,0,1,0.06,0.58,20072008,0.4278,0.4278,0.4278,0.4278,-0.4278,-0.5722,-0.3678,-0.15219999999999995,0.0,-0.03,-0.6298750000000001,-0.36628874999999994,-1.02616375,1972-07-20,35.273972602739725,913,0.22722593896302956,0.06678772770476002,0.06678772770476002,0.07565643970304095,0.2604667025699603,0.31158047525899263,1,0.2604667025699603
8,2007-10-24,Jozef Stumpel,home,Florida Panthers,Philadelphia Flyers,L,21.0,0,0,0,0.0,0,0,1,8,2,1,2,0.95,0.82,20072008,0.7270000000000001,0.7270000000000001,0.7270000000000001,0.7270000000000001,0.2729999999999999,-1.273,0.22299999999999986,-0.09299999999999986,0.0,0.21,0.3643749999999999,-0.8920187499999997,-0.3176437499999999,1972-07-20,35.28493150684932,914,0.06822560542620112,0.023159376543902592,0.023159376543902592,0.02560385915612688,0.250817505099767,0.2970038487612415,1,0.250817505099767
9,2007-10-26,Jozef Stumpel,home,Florida Panthers,Buffalo Sabres,L,19.85,1,0,0,0.31,0,0,0,2,1,1,0,0.27,0.11,20072008,0.6902000000000001,0.6902000000000001,0.6902000000000001,0.6902000000000001,0.30979999999999985,0.6902000000000001,-0.42020000000000013,0.5802000000000002,0.905,0.01,-0.037625000000000075,1.1506512500000001,2.02802625,1972-07-20,35.29041095890411,915,0.02449105352854759,0.22913543377449502,0.22913543377449502,0.26451187723284547,0.24512075160277053,0.2883145320685706,1,0.24512075160277053
10,2007-10-27,Jozef Stumpel,away,Florida Panthers,Nashville Predators,L,18.383333333333,1,0,0,0.33,0,0,0,2,5,0,1,0.19,0.27,20072008,0.643266666666656,0.643266666666656,0.643266666666656,0.643266666666656,-0.643266666666656,-0.356733333333344,-0.453266666666656,0.373266666666656,0.915,-0.03,-0.68329166666666,0.3909912499999885,0.5926995833333286,1972-07-20,35.293150684931504,916,0.22915537336558142,0.2633101609070418,0.2633101609070418,0.3239477408646054,0.24236514727099,0.2841086304124964,1,0.24236514727099
11,2007-10-31,Jozef Stumpel,home,Florida Panthers,Carolina Hurricanes,L,17.9,0,0,1,0.04,0,0,0,7,7,0,0,0.44,0.32,20072008,0.6278,0.6278,0.6278,0.6278,-0.6278,0.6278,-0.18780000000000002,0.3078,0.5700000000000001,0.0,-0.517375,0.72696125,0.77958625,1972-07-20,35.3041095890411,917,0.2629084251257687,0.30810678678954373,0.30810678678954373,0.34247521272696124,0.23365866130100077,0.26905723678838456,1,0.23365866130100077
12,2007-11-03,Jozef Stumpel,away,Florida Panthers,Carolina Hurricanes,L,18.25,0,1,0,0.0,0,0,0,3,4,1,1,0.43,1.33,20072008,0.639,0.639,0.639,0.639,0.361,-0.361,-0.20900000000000002,-0.6910000000000001,0.7,-0.01,0.09437499999999999,-1.4155687499999998,-0.6311937499999999,1972-07-20,35.31232876712329,918,0.30711126216620327,0.23230659977100016,0.23230659977100016,0.25780171567045845,0.23325516092542825,0.2646278635492491,1,0.23325516092542825
13,2007-11-05,Jozef Stumpel,home,Florida Panthers,Tampa Bay Lightning,L,19.116666666667,0,0,0,0.01,0,0,0,5,3,0,0,0.18,0.34,20072008,0.6667333333333441,0.6667333333333441,0.6667333333333441,0.6667333333333441,-0.6667333333333441,0.6667333333333441,-0.48673333333334406,0.32673333333334403,0.005,0.02,-0.70420833333334,0.7345712500000114,0.05536291666667148,1972-07-20,35.31780821917808,919,0.23277275133569542,0.21894031927972873,0.21894031927972873,0.2624428161034674,0.23409360945933017,0.2639114042786261,1,0.23409360945933017
14,2007-11-07,Jozef Stumpel,away,Florida Panthers,Tampa Bay Lightning,L,16.683333333333,0,0,0,0.0,0,0,1,3,5,0,0,0.22,0.34,20072008,0.5888666666666561,0.5888666666666561,0.5888666666666561,0.5888666666666561,-0.5888666666666561,0.5888666666666561,-0.36886666666665613,0.24886666666665608,0.0,0.13,-0.6305416666666601,0.6513512499999886,0.1508095833333285,1972-07-20,35.323287671232876,920,0.219702895374758,0.21409555853039752,0.21409555853039752,0.2561546220114761,0.23451230990871397,0.26387794847071777,1,0.23451230990871397
15,2007-11-09,Jozef Stumpel,home,Florida Panthers,Atlanta Thrashers,L,13.333333333333,0,0,0,0.41,1,0,0,5,4,0,0,0.48,0.11,20072008,0.481666666666656,0.481666666666656,0.481666666666656,0.481666666666656,-0.481666666666656,0.481666666666656,-0.0016666666666559915,0.371666666666656,0.255,0.01,-0.40104166666666,0.9277812499999886,0.7917395833333285,1972-07-20,35.32876712328767,921,0.2149589138117313,0.25295461060051855,0.25295461060051855,0.3100288528121336,0.23494727757896883,0.2642624085776503,1,0.23494727757896883
