,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2017-10-05,Logan Brown,home,Ottawa Senators,Washington Capitals,C,10.3,0,0,0,0.12,1,0,0,1,5,0,1,0.02,0.15,20172018,0.3846,0.3846,0.3846,0.3846,-0.3846,-0.6154,-0.3646,0.2346,0.11,-0.04,-0.627875,0.31854125,-0.2393337499999999,1998-03-05,19.6,1,0.0,-0.0224971730842663,-0.0224971730842663,-0.02670015795195357,0.08690765272322644,0.11471006512762251,1.8065500788505744,0.15700302687986306
1,2017-10-19,Logan Brown,home,Ottawa Senators,New Jersey Devils,C,5.35,0,0,0,0.0,0,0,0,2,2,0,0,0.08,0.04,20172018,0.22619999999999998,0.22619999999999998,0.22619999999999998,0.22619999999999998,-0.22619999999999998,0.22619999999999998,-0.1462,0.18619999999999998,0.0,0.0,-0.491375,0.7737512499999999,0.2823762499999999,1998-03-05,19.638356164383563,2,-0.02259102493534452,0.003956309778784778,0.003956309778784778,0.0069539783362721,0.08931308930573001,0.11493359930704238,1.7792257151163762,0.15890814518924024
2,2017-10-21,Logan Brown,home,Ottawa Senators,Toronto Maple Leafs,C,10.81666667,0,0,1,0.43,0,0,0,0,0,2,1,0.69,0.35,20172018,0.40113333344,0.40113333344,0.40113333344,0.40113333344,1.59886666656,-0.59886666656,0.28886666655999993,0.05113333344000004,0.765,0.0,1.0305416666,-0.0037887498859999758,1.791752916714,1998-03-05,19.643835616438356,3,0.004361763116080069,0.1482288954412904,0.1482288954412904,0.16846510294895325,0.08964756351748904,0.1149655215213776,1.7754157018885635,0.15916169190500237
3,2017-10-24,Logan Brown,home,Ottawa Senators,Los Angeles Kings,C,6.05,0,0,0,0.0,0,0,0,1,1,0,0,0.05,0.09,20172018,0.2486,0.2486,0.2486,0.2486,-0.2486,0.2486,-0.1986,0.1586,0.0,0.0,-0.5241250000000001,0.71269125,0.18856624999999994,1998-03-05,19.65205479452055,4,0.1500125046315789,0.15127596887080458,0.15127596887080458,0.1806653367819807,0.09014491293632318,0.11501339961715523,1.7697433218544598,0.15953335766820964
4,2019-02-22,Logan Brown,home,Ottawa Senators,Columbus Blue Jackets,C,9.5333333333333,0,0,0,0.14,0,0,0,2,3,0,1,0.19,0.04,20182019,0.3600666666666656,0.3600666666666656,0.3600666666666656,0.3600666666666656,-0.3600666666666656,-0.6399333333333344,-0.1700666666666656,0.3200666666666656,0.07,-0.01,-0.506291666666666,0.4793212499999989,0.03302958333333289,1998-03-05,20.983561643835618,5,0.15293286724591887,0.1428674959628806,0.1428674959628806,1.3581565111175469,0.14493513124458018,0.12991873776166862,1.2498457834834718,0.18114656266466211
5,2019-02-24,Logan Brown,home,Ottawa Senators,Calgary Flames,C,11.5,0,0,0,0.12,1,0,0,0,3,0,0,0.37,0.5,20182019,0.423,0.423,0.423,0.423,-0.423,0.423,-0.05299999999999999,-0.07700000000000001,0.11,-0.03,-0.433125,0.20208125000000005,-0.15104374999999992,1998-03-05,20.98904109589041,6,0.13366046794726827,0.12309560891745994,0.12309560891745994,0.12280317584679162,0.1454384192784882,0.13102008071817822,1.2486791114824856,0.18160591616007984
6,2019-10-23,Logan Brown,home,Ottawa Senators,Detroit Red Wings,C,12.15,0,0,0,0.16,0,0,0,2,10,0,1,0.89,0.51,20192020,0.44380000000000003,0.44380000000000003,0.44380000000000003,0.44380000000000003,-0.44380000000000003,-0.5562,0.4462,-0.06619999999999998,0.08,-0.08,-0.12112500000000004,-0.23018875000000005,-0.3513137500000001,1998-03-05,21.649315068493152,7,0.09410612789304867,0.09277111954436815,0.09277111954436815,0.14585019307566385,0.3394488990729846,0.3809706113657789,1.137491221564788,0.38612014286535173
7,2019-10-25,Logan Brown,home,Ottawa Senators,New York Islanders,C,15.783333333333,0,1,0,0.27,0,0,0,4,3,0,0,0.85,0.48,20192020,0.560066666666656,0.560066666666656,0.560066666666656,0.560066666666656,-0.560066666666656,0.560066666666656,0.2899333333333439,0.08006666666665607,0.835,0.01,-0.21879166666666006,0.3825712499999887,1.0087795833333286,1998-03-05,21.654794520547945,8,0.013763747211398843,0.1486246235802874,0.1486246235802874,0.17719166970618558,0.34146365575018495,0.3827309758096588,1.1367729858135458,0.38816665949394646
8,2019-10-27,Logan Brown,home,Ottawa Senators,San Jose Sharks,C,14.4,0,0,0,0.3,1,0,0,7,0,1,0,1.11,0.2,20192020,0.5158,0.5158,0.5158,0.5158,0.48419999999999996,0.5158,0.5942000000000001,0.3158,0.2,0.07,0.596375,0.81126125,1.67763625,1998-03-05,21.660273972602738,9,0.1663057003220819,0.23787350053513243,0.23787350053513243,0.2987748254868753,0.3434488930102689,0.3844528588481982,1.1360575793298102,0.39017771801674905
9,2019-11-02,Logan Brown,away,Ottawa Senators,Boston Bruins,C,3.9333333333333,0,1,0,0.0,0,0,0,2,3,1,0,0.08,0.0,20192020,0.1808666666666656,0.1808666666666656,0.1808666666666656,0.1808666666666656,0.8191333333333344,0.1808666666666656,-0.10086666666666559,0.1808666666666656,0.7,-0.01,0.16195833333333398,0.7933012499999988,1.6452595833333328,1998-03-05,21.676712328767124,10,0.367868892118584,0.3167648684860651,0.3167648684860651,0.3501474878132225,0.34918063374975594,0.38935508074478886,1.1339282272191555,0.39594577700712197
