,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2007-10-29,Lukas Kaspar,away,San Jose Sharks,Dallas Stars,L,15.983333333333,0,0,0,0.18,0,0,0,0,0,0,2,0.47,0.79,20072008,0.566466666666656,0.566466666666656,0.566466666666656,0.566466666666656,-0.566466666666656,-1.433533333333344,-0.09646666666665604,-0.22353333333334402,0.09,0.0,-0.46029166666666005,-1.0125887500000115,-1.3828804166666715,1985-09-23,22.112328767123287,1,0.0,-0.1299896069342181,-0.1299896069342181,-0.15540881559685016,-0.08601879756448537,-0.10454331688662606,1.0858373963287855,-0.07921885712843818
1,2007-11-02,Lukas Kaspar,home,San Jose Sharks,Los Angeles Kings,L,12.766666666667,0,0,0,0.09,1,0,0,0,1,0,0,0.52,0.26,20072008,0.463533333333344,0.463533333333344,0.463533333333344,0.463533333333344,-0.463533333333344,0.463533333333344,0.05646666666665601,0.203533333333344,0.095,-0.01,-0.36470833333334,0.6534012500000114,0.37369291666667137,1985-09-23,22.123287671232877,2,-0.13053188685472236,-0.08628570886498006,-0.08628570886498006,-0.10450880742788966,-0.08606583452224532,-0.10459879097063042,1.0848149852972087,-0.07933687835134921
2,2007-11-03,Lukas Kaspar,away,San Jose Sharks,Los Angeles Kings,L,7.9833333333333,0,0,0,0.0,0,0,0,0,0,1,0,0.23,0.15,20072008,0.3104666666666656,0.3104666666666656,0.3104666666666656,0.3104666666666656,0.6895333333333344,0.3104666666666656,-0.0804666666666656,0.16046666666666562,0.0,0.0,0.17470833333333402,0.6768112499999989,0.8515195833333329,1985-09-23,22.126027397260273,3,-0.0867381396406881,-0.01060618590997589,-0.01060618590997589,-0.012851353106846434,-0.08607758042477247,-0.10461262297014423,1.0845606886143984,-0.07936631055173368
3,2008-10-09,Lukas Kaspar,home,San Jose Sharks,Anaheim Ducks,L,7.05,0,0,0,0.0,0,1,0,0,0,0,0,0.28,0.14,20082009,0.2806,0.2806,0.2806,0.2806,-0.2806,0.2806,-0.0005999999999999894,0.1406,0.0,-0.15,-0.40037500000000004,0.6618912499999999,0.11151624999999987,1985-09-23,23.06027397260274,4,-0.011627479978760201,-0.0013810883873499498,-0.0013810883873499498,-0.001428680309441905,0.001028764117563287,0.0007891208319574471,1.0235744734362313,0.0010530166899249307
4,2008-10-11,Lukas Kaspar,home,San Jose Sharks,Los Angeles Kings,L,3.916666667,0,0,0,0.0,0,0,0,0,0,0,0,0.01,0.15,20082009,0.18033333334399998,0.18033333334399998,0.18033333334399998,0.18033333334399998,-0.18033333334399998,0.18033333334399998,-0.17033333334399997,0.030333333343999985,0.0,0.0,-0.50645833334,0.5377312500114,0.031272916671399975,1985-09-23,23.065753424657533,5,0.004756979873991336,0.0009409302995104767,0.0009409302995104767,0.0011106230698064272,0.001032114618656919,0.0008647227969998495,1.0233455866952696,0.0010562099399662294
5,2008-10-12,Lukas Kaspar,away,San Jose Sharks,Los Angeles Kings,L,7.166666667,1,0,0,0.19,1,1,0,0,0,1,0,0.32,0.12,20082009,0.284333333344,0.284333333344,0.284333333344,0.284333333344,0.715666666656,0.284333333344,0.03566666665599999,0.16433333334400002,0.895,-0.15,0.2472916666599999,0.6998812500114,1.6921729166714,1985-09-23,23.068493150684933,6,0.007881187612080596,0.11471285383581012,0.11471285383581012,0.16286015489905198,0.001033473394035363,0.0008950380034184881,1.0232316263955565,0.0010574826618153404
6,2008-10-14,Lukas Kaspar,home,San Jose Sharks,Columbus Blue Jackets,L,5.5,0,0,0,0.01,0,0,0,0,1,0,0,0.05,0.25,20082009,0.23099999999999998,0.23099999999999998,0.23099999999999998,0.23099999999999998,-0.23099999999999998,0.23099999999999998,-0.181,-0.019000000000000017,0.005,-0.01,-0.513125,0.42188125,-0.09624375000000007,1985-09-23,23.073972602739726,7,0.18571663739690772,0.10122839959612137,0.10122839959612137,0.11757049748642052,0.10142319017501726,0.11761569722058027,1.0230046700473372,0.10375639720014186
7,2008-10-17,Lukas Kaspar,away,San Jose Sharks,Anaheim Ducks,L,12.88333333,0,0,0,0.37,0,0,1,0,0,0,1,0.62,0.34,20082009,0.46726666656,0.46726666656,0.46726666656,0.46726666656,-0.46726666656,-0.53273333344,0.15273333344,0.12726666655999996,0.185,0.15,-0.30454166660000004,0.08389124988599994,0.11434958328599987,1985-09-23,23.08219178082192,8,0.15869595825471178,0.10202846216666495,0.10202846216666495,0.12583964918657245,0.10145881950691955,0.1176572167383482,1.0226666405070508,0.10375855009495265
8,2008-10-18,Lukas Kaspar,home,San Jose Sharks,Philadelphia Flyers,L,6.916666667,0,0,0,0.08,0,0,0,0,0,0,1,0.29,0.14,20082009,0.276333333344,0.276333333344,0.276333333344,0.276333333344,-0.276333333344,-0.723666666656,0.01366666665599997,0.136333333344,0.04,0.0,-0.39145833334,0.21983125001139997,-0.13162708332860007,1985-09-23,23.084931506849315,9,0.15479751585734025,0.08838991640978669,0.08838991640978669,0.11356383825249165,0.10147069595088698,0.11767105657760416,1.0225546038224456,0.10375932729764707
9,2008-12-13,Lukas Kaspar,home,San Jose Sharks,St Louis Blues,L,7.683333333,0,1,0,0.26,0,1,0,0,0,0,0,0.36,0.02,20082009,0.30086666665600004,0.30086666665600004,0.30086666665600004,0.30086666665600004,-0.30086666665600004,0.30086666665600004,0.05913333334399995,0.280866666656,0.83,-0.15,-0.36304166666000004,0.8875512499886,1.2045095833286,1985-09-23,23.23835616438356,10,0.13161222174158285,0.1509542748302543,0.1509542748302543,0.1767199041893457,0.15210654989383415,0.16963224217415876,1.0167795664422286,0.1546588318540759
