,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2010-03-26,Nick Bonino,away,Anaheim Ducks,Edmonton Oilers,C,13.65,0,0,0,0.14,0,1,0,8,6,0,0,0.36,0.13,20092010,0.4918,0.4918,0.4918,0.4918,-0.4918,0.4918,-0.13180000000000003,0.3618,0.07,-0.13,-0.48237500000000005,0.90461125,0.3622362499999999,1988-04-20,21.945205479452056,1,0.0,0.034049905680438135,0.034049905680438135,0.03499678051237299,0.03695166966955922,0.03885698475777598,1.1025040183373274,0.04073936429496258
1,2010-03-29,Nick Bonino,home,Anaheim Ducks,Dallas Stars,C,14.566666666667,1,0,0,0.53,0,0,0,5,6,0,0,0.72,0.24,20092010,0.521133333333344,0.521133333333344,0.521133333333344,0.521133333333344,-0.521133333333344,0.521133333333344,0.19886666666665598,0.281133333333344,1.0150000000000001,-0.01,-0.27570833333334,0.7489612500000113,1.4782529166666714,1988-04-20,21.953424657534246,2,0.034191952268477356,0.15936158163892783,0.15936158163892783,0.15968918455400025,0.03737324060746672,0.03967331776652794,1.101635498392179,0.04117168854313742
2,2010-03-31,Nick Bonino,away,Anaheim Ducks,Colorado Avalanche,C,16.316666666667,0,0,0,0.0,2,1,0,2,3,0,1,0.03,1.02,20092010,0.577133333333344,0.577133333333344,0.577133333333344,0.577133333333344,-0.577133333333344,-0.42286666666665595,-0.547133333333344,-0.442866666666656,0.1,-0.16,-0.74195833333334,-0.9546887499999887,-1.7566470833333288,1988-04-20,21.958904109589042,3,0.1593954556645022,0.004742469389247966,0.004742469389247966,0.0047165577121341075,0.03765480119944368,0.040219529473428196,1.101059383316822,0.04146017218757699
3,2010-04-02,Nick Bonino,home,Anaheim Ducks,Vancouver Canucks,C,15.166666666667,0,0,0,0.0,0,0,0,1,8,0,1,0.0,0.0,20092010,0.540333333333344,0.540333333333344,0.540333333333344,0.540333333333344,-0.540333333333344,-0.459666666666656,-0.540333333333344,0.540333333333344,0.0,-0.07,-0.7377083333333401,0.7399812500000114,-0.06772708333332877,1988-04-20,21.964383561643835,4,0.005986488892595385,-0.0007318620577571947,-0.0007318620577571947,-0.0007010129805617131,0.03793679566851189,0.04076727398814979,1.1004855774185442,0.041748896486671634
4,2010-04-03,Nick Bonino,away,Anaheim Ducks,Los Angeles Kings,C,16.1,0,0,0,0.22,0,0,0,2,4,0,0,0.77,0.78,20092010,0.5702000000000002,0.5702000000000002,0.5702000000000002,0.5702000000000002,-0.5702000000000002,0.5702000000000002,0.19979999999999987,-0.20979999999999988,0.11,-0.02,-0.2751250000000001,-0.11659874999999986,-0.30172374999999996,1988-04-20,21.96712328767123,5,0.0005027395393016101,-0.022135325036887483,-0.022135325036887483,-0.02144162979120893,0.03807796174700958,0.04104170534969742,1.1001995379062954,0.041893355918473534
5,2010-04-06,Nick Bonino,home,Anaheim Ducks,Los Angeles Kings,C,13.35,0,0,0,0.21,0,0,0,3,7,1,0,0.81,0.56,20092010,0.4822,0.4822,0.4822,0.4822,0.5178,0.4822,0.32780000000000004,-0.07780000000000004,0.105,-0.04,0.4298750000000001,0.16335124999999984,0.65822625,1988-04-20,21.975342465753425,6,-0.02046111135302727,0.02363370352683325,0.02363370352683325,0.022865751900941644,0.03850216441823788,0.041867160966009974,1.099344861158957,0.04232715659668705
6,2010-04-08,Nick Bonino,away,Anaheim Ducks,Dallas Stars,C,16.1,0,0,0,0.46,1,0,0,1,7,0,0,0.88,0.32,20092010,0.5702000000000002,0.5702000000000002,0.5702000000000002,0.5702000000000002,-0.5702000000000002,0.5702000000000002,0.30979999999999985,0.25020000000000014,0.28,-0.06,-0.2063750000000001,0.6654012500000002,0.6790262500000002,1988-04-20,21.980821917808218,7,0.023798475384043498,0.06552673100858444,0.06552673100858444,0.06478017887127842,0.03878557709582885,0.04241920399207621,1.098777934906079,0.04261673630549534
7,2010-04-09,Nick Bonino,away,Anaheim Ducks,St Louis Blues,C,7.95,0,0,0,0.0,0,1,1,5,0,0,1,0.09,0.29,20092010,0.3094,0.3094,0.3094,0.3094,-0.3094,-0.6906,-0.2194,0.01940000000000003,0.0,0.05,-0.5371250000000001,0.00017125000000006718,-0.48695375,1988-04-20,21.983561643835618,8,0.06405620763498095,0.031839301256964846,0.031839301256964846,0.03104250383095098,0.03892747377067996,0.04269572880316507,1.0984953262932202,0.04276164800149385
8,2010-04-11,Nick Bonino,home,Anaheim Ducks,Edmonton Oilers,C,14.8,0,1,0,0.05,0,0,0,7,3,2,0,0.81,0.52,20092010,0.5286000000000001,0.5286000000000001,0.5286000000000001,0.5286000000000001,1.4714,0.5286000000000001,0.2814,0.008600000000000052,0.725,0.04,1.025875,0.28094125000000003,2.0718162500000004,1988-04-20,21.98904109589041,9,0.03210395177661462,0.15091338057930903,0.15091338057930903,0.15283551233928908,0.039211659391251236,0.0432497544315778,1.0979318131873854,0.04305172829352264
9,2010-11-03,Nick Bonino,home,Anaheim Ducks,Tampa Bay Lightning,C,8.2666666666667,0,0,0,0.23,0,0,0,1,3,1,1,0.57,0.64,20102011,0.3195333333333344,0.3195333333333344,0.3195333333333344,0.3195333333333344,0.6804666666666657,-0.6804666666666657,0.25046666666666556,-0.3204666666666656,0.115,-0.02,0.3815416666666659,-0.5839987499999989,-0.10745708333333304,1988-04-20,22.553424657534247,10,0.1443049607784563,0.13643036160866592,0.13643036160866592,0.16625875891951727,0.07329317530935182,0.10052481819484108,1.0507748886669348,0.0770146281257303
10,2010-11-05,Nick Bonino,home,Anaheim Ducks,Pittsburgh Penguins,C,10.433333333333,0,0,0,0.03,1,0,0,3,2,0,0,0.15,0.2,20102011,0.388866666666656,0.388866666666656,0.388866666666656,0.388866666666656,-0.388866666666656,0.388866666666656,-0.23886666666665599,0.18886666666665597,0.065,0.01,-0.5492916666666601,0.6756012499999885,0.20130958333332843,1988-04-20,22.55890410958904,11,0.12533183681397517,0.13993305644386778,0.13993305644386778,0.15921979625454835,0.07367804522564131,0.10104068034417213,1.0504117465459084,0.07739228416755431
11,2010-11-07,Nick Bonino,home,Anaheim Ducks,Nashville Predators,C,6.8333333333333,0,0,0,0.08,0,1,0,2,3,0,1,0.12,0.58,20102011,0.2736666666666656,0.2736666666666656,0.2736666666666656,0.2736666666666656,-0.2736666666666656,-0.7263333333333344,-0.15366666666666562,-0.30633333333333435,0.04,-0.16,-0.49604166666666605,-0.5310187500000011,-1.1470604166666671,1988-04-20,22.564383561643837,12,0.13067528929296682,0.07283670039190279,0.07283670039190279,0.08570876943240274,0.07406391046660649,0.1015553615156134,1.050050240443921,0.07777082699367717
12,2010-11-09,Nick Bonino,away,Anaheim Ducks,San Jose Sharks,C,6.9833333333333,0,0,0,0.04,0,0,0,0,3,0,0,0.08,0.44,20102011,0.2784666666666656,0.2784666666666656,0.2784666666666656,0.2784666666666656,-0.2784666666666656,0.2784666666666656,-0.19846666666666557,-0.16153333333333442,0.02,-0.03,-0.524041666666666,0.14961124999999886,-0.3844304166666671,1988-04-20,22.56986301369863,13,0.0464179304438933,0.049760368757571345,0.049760368757571345,0.055436130861533,0.07445076627579701,0.10206885922715038,1.0496903657370116,0.07815025208144213
