,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2007-10-04,Niko Kapanen,home,Phoenix Coyotes,St Louis Blues,C,14.716666666667,0,0,0,0.01,0,0,0,8,6,1,0,1.16,0.28,20072008,0.525933333333344,0.525933333333344,0.525933333333344,0.525933333333344,0.474066666666656,0.525933333333344,0.6340666666666559,0.245933333333344,0.005,0.02,0.6212916666666598,0.6860912500000114,1.3323829166666712,1978-04-29,29.45205479452055,319,0.0,1.3148558994443968,1.3148558994443968,1.5620488085399438,0.740975931073091,0.8566729986229455,1,0.740975931073091
1,2007-10-06,Niko Kapanen,home,Phoenix Coyotes,Boston Bruins,C,16.216666666667,1,0,0,0.57,0,0,0,6,4,1,0,1.22,0.56,20072008,0.5739333333333441,0.5739333333333441,0.5739333333333441,0.5739333333333441,0.42606666666665594,0.5739333333333441,0.6460666666666559,0.013933333333344011,1.035,0.02,0.6287916666666599,0.2613912500000114,1.9451829166666714,1978-04-29,29.457534246575342,320,1.3323829166666712,1.6280945361147006,1.6280945361147006,2.06739267438258,0.74006898160321,0.8553762950686002,1,0.74006898160321
2,2007-10-10,Niko Kapanen,away,Phoenix Coyotes,Columbus Blue Jackets,C,12.85,0,0,0,0.0,2,0,0,4,3,0,1,0.14,0.38,20072008,0.4662,0.4662,0.4662,0.4662,-0.4662,-0.5338,-0.3262,0.0862,0.1,0.01,-0.6038749999999999,0.014751249999999883,-0.47912375000000007,1978-04-29,29.46849315068493,321,1.6393676987843748,0.927601629448028,0.927601629448028,1.028920941888362,0.7372294472599913,0.8515415639809099,1,0.7372294472599913
3,2007-10-11,Niko Kapanen,away,Phoenix Coyotes,Nashville Predators,C,13.15,0,0,1,0.05,0,0,0,5,2,0,0,0.06,0.13,20072008,0.4758,0.4758,0.4758,0.4758,-0.4758,0.4758,-0.4158,0.3458,0.5750000000000001,0.03,-0.659875,0.88751125,0.8326362500000001,1978-04-29,29.471232876712328,322,0.9287050998953076,0.9038546333696013,0.9038546333696013,1.0928542615424157,0.7361109907370104,0.8500585442720903,1,0.7361109907370104
4,2007-10-13,Niko Kapanen,home,Phoenix Coyotes,Minnesota Wild,C,15.6,0,1,0,0.0,0,1,0,5,3,1,0,0.22,0.19,20072008,0.5542,0.5542,0.5542,0.5542,0.4458,0.5542,-0.33420000000000005,0.3642,0.7,-0.13,0.016124999999999945,0.86930125,1.45542625,1978-04-29,29.476712328767125,323,0.9045388102566169,1.0145474882669867,1.0145474882669867,1.056447064842434,0.7335939399927212,0.8467250973524018,1,0.7335939399927212
5,2007-10-18,Niko Kapanen,home,Phoenix Coyotes,Edmonton Oilers,C,16.583333333333,0,0,1,0.17,2,1,1,8,7,0,0,0.62,0.41,20072008,0.5856666666666561,0.5856666666666561,0.5856666666666561,0.5856666666666561,-0.5856666666666561,0.5856666666666561,0.034333333333343874,0.17566666666665615,0.735,0.01,-0.3785416666666601,0.5289312499999888,0.8953895833333286,1978-04-29,29.49041095890411,324,1.0156008091731108,0.9945473638926834,0.9945473638926834,1.2253150649633835,0.727325222421494,0.8383905809015246,1,0.727325222421494
6,2007-10-20,Niko Kapanen,home,Phoenix Coyotes,Detroit Red Wings,C,19.133333333333,0,0,0,0.14,0,0,0,5,8,0,1,0.37,0.57,20072008,0.667266666666656,0.667266666666656,0.667266666666656,0.667266666666656,-0.667266666666656,-0.332733333333344,-0.297266666666656,0.09726666666665607,0.07,-0.03,-0.58579166666666,-0.09335875000001137,-0.6391504166666714,1978-04-29,29.495890410958904,325,0.995271062531827,0.7585351868373738,0.7585351868373738,0.8221056476005738,0.723161009794795,0.833230048158682,1,0.723161009794795
7,2007-10-25,Niko Kapanen,away,Phoenix Coyotes,Anaheim Ducks,C,11.766666666667,0,1,0,0.0,2,2,0,4,6,1,0,0.25,0.6,20072008,0.431533333333344,0.431533333333344,0.431533333333344,0.431533333333344,0.568466666666656,0.431533333333344,-0.18153333333334398,-0.168466666666656,0.7999999999999999,-0.32,0.11154166666665999,0.0412012500000114,0.6327429166666714,1978-04-29,29.50958904109589,326,0.7580732740938444,0.7425592457777646,0.7425592457777646,0.8953960719859624,0.7016869362403944,0.807959143664536,1,0.7016869362403944
8,2007-10-27,Niko Kapanen,home,Phoenix Coyotes,Dallas Stars,C,12.7,0,0,0,0.09,0,0,0,2,3,0,0,0.26,0.06,20072008,0.4614,0.4614,0.4614,0.4614,-0.4614,0.4614,-0.20139999999999997,0.4014,0.045,-0.01,-0.525875,0.99112125,0.50024625,1978-04-29,29.515068493150686,327,0.7420568203543093,0.7150596337955464,0.7150596337955464,0.8418856152948144,0.6914769831541323,0.7960941606651113,1,0.6914769831541323
9,2007-10-30,Niko Kapanen,away,Phoenix Coyotes,St Louis Blues,C,11.816666666667,0,0,0,0.2,0,0,0,7,4,0,0,0.46,0.28,20072008,0.43313333333334403,0.43313333333334403,0.43313333333334403,0.43313333333334403,-0.43313333333334403,0.43313333333334403,0.02686666666665599,0.153133333333344,0.1,0.03,-0.38320833333334003,0.5869112500000113,0.3337029166666713,1978-04-29,29.523287671232875,328,0.7145636248277568,0.6758797989483584,0.6758797989483584,0.7531321526021886,0.6752044798545017,0.7773518488479341,1,0.6752044798545017
