,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2017-10-04,Nolan Patrick,away,Philadelphia Flyers,San Jose Sharks,C,13.5,0,0,0,0.27,1,0,2,5,4,0,0,0.75,0.5,20172018,0.487,0.487,0.487,0.487,-0.487,0.487,0.263,-0.013000000000000012,0.185,0.31,-0.23562500000000006,0.27048125,0.5298562499999999,1998-09-19,19.054794520547944,1,0.0,0.04980604601745587,0.04980604601745587,0.05916958266873758,0.1316490964289908,0.2221854566024284,2.373049356980282,0.3124098036278518
1,2017-10-05,Nolan Patrick,away,Philadelphia Flyers,Los Angeles Kings,C,14.33333333,0,0,0,0.1,1,0,1,2,6,0,0,0.09,0.85,20172018,0.51366666656,0.51366666656,0.51366666656,0.51366666656,-0.51366666656,0.51366666656,-0.42366666656000007,-0.33633333343999994,0.1,0.10999999999999999,-0.6647916666,-0.29601875011400003,-0.7508104167140001,1998-09-19,19.057534246575344,2,0.05001382277216708,-0.019662435893770945,-0.019662435893770945,-0.023481551894691987,0.13166780134569603,0.22065197792519875,2.3690109265752652,0.3119224600660953
2,2017-10-07,Nolan Patrick,away,Philadelphia Flyers,Anaheim Ducks,C,13.81666667,0,1,0,0.13,0,0,0,6,2,1,0,0.29,0.67,20172018,0.49713333344,0.49713333344,0.49713333344,0.49713333344,0.50286666656,0.49713333344,-0.20713333344,-0.17286666656000005,0.7649999999999999,0.04,0.09554166660000002,-0.00768874988599999,0.8928529167139999,1998-09-19,19.063013698630137,3,-0.01917785945937814,0.05397622572285599,0.05397622572285599,0.05823171407589999,0.13170521117910644,0.21758502057074658,2.360984573931989,0.31095397190032525
3,2017-10-10,Nolan Patrick,away,Philadelphia Flyers,Nashville Predators,C,13.85,1,0,0,0.21,0,0,0,2,7,2,0,0.49,0.76,20172018,0.4982,0.4982,0.4982,0.4982,1.5018,0.4982,-0.008199999999999985,-0.26180000000000003,0.855,-0.05,0.8448749999999999,-0.15954875000000002,1.4903262499999999,1998-09-19,19.07123287671233,4,0.05361048896421738,0.1624777385845103,0.1624777385845103,0.21499638731963908,0.1317613259292221,0.21298458453906477,2.349069782546565,0.30951654924860483
4,2017-10-14,Nolan Patrick,home,Philadelphia Flyers,Washington Capitals,C,13.73333333,0,0,0,0.0,0,0,0,5,2,0,0,0.43,0.58,20172018,0.49446666656000005,0.49446666656000005,0.49446666656000005,0.49446666656000005,-0.49446666656000005,0.49446666656000005,-0.06446666656000005,-0.08553333343999991,0.0,0.03,-0.4402916666000001,0.14246124988600006,-0.267830416714,1998-09-19,19.08219178082192,5,0.16036312384441676,0.13187862598212405,0.13187862598212405,0.1509611488229118,0.13183614559604295,0.2068506698301551,2.3334120318803717,0.3076280483705391
5,2017-10-17,Nolan Patrick,home,Philadelphia Flyers,Florida Panthers,C,13.55,0,1,0,0.3,0,0,1,6,5,1,0,0.46,0.41,20172018,0.48860000000000003,0.48860000000000003,0.48860000000000003,0.48860000000000003,0.5114,0.48860000000000003,-0.028600000000000014,0.07860000000000006,0.85,0.16,0.207125,0.42519125,1.64231625,1998-09-19,19.09041095890411,6,0.13053634520270072,0.23348821901895084,0.23348821901895084,0.25486485880679216,0.13189224487257142,0.20225017840455198,2.3218367766395462,0.306232264698685
6,2017-10-19,Nolan Patrick,home,Philadelphia Flyers,Nashville Predators,C,12.83333333,0,0,0,0.14,1,0,1,2,6,0,0,0.41,0.18,20172018,0.46566666656,0.46566666656,0.46566666656,0.46566666656,-0.46566666656,0.46566666656,-0.05566666656000002,0.28566666656,0.12000000000000001,0.10999999999999999,-0.4347916666,0.791681249886,0.5868895832859999,1998-09-19,19.095890410958905,7,0.22951338013171602,0.25607781535323565,0.25607781535323565,0.29896471736576624,0.13191316577062284,0.19912632625581497,2.314198536358568,0.3052732551528005
7,2017-10-21,Nolan Patrick,home,Philadelphia Flyers,Edmonton Oilers,C,12.21666667,0,0,0,0.03,1,0,0,2,4,0,1,0.13,0.3,20172018,0.44593333344,0.44593333344,0.44593333344,0.44593333344,-0.44593333344,-0.55406666656,-0.31593333344,0.14593333344000003,0.065,-0.02,-0.5974583334000001,0.12909125011400002,-0.42336708328600003,1998-09-19,19.101369863013698,8,0.2515520695944671,0.21464874576652224,0.21464874576652224,0.23159714668517606,0.13186234664699747,0.19576845973013474,2.306622302363543,0.3041566296179569
8,2017-10-24,Nolan Patrick,home,Philadelphia Flyers,Anaheim Ducks,C,4.483333333,0,0,0,0.02,0,0,0,4,1,0,1,0.05,0.33,20172018,0.198466666656,0.198466666656,0.198466666656,0.198466666656,-0.198466666656,-0.801533333344,-0.148466666656,-0.13153333334400003,0.01,0.03,-0.49279166666,-0.18638875001139998,-0.6391804166714,1998-09-19,19.10958904109589,9,0.21220753310772764,0.16481047603582316,0.16481047603582316,0.1915158440019663,0.13156497071902415,0.19008270408280722,2.295372612316951,0.3019906305287296
9,2017-11-16,Nolan Patrick,away,Philadelphia Flyers,Winnipeg Jets,C,7.966666667,0,0,0,0.0,0,0,0,1,10,0,0,0.09,0.06,20172018,0.30993333334400003,0.30993333334400003,0.30993333334400003,0.30993333334400003,-0.30993333334400003,0.30993333334400003,-0.21993333334400003,0.24993333334400003,0.0,-0.09,-0.53745833334,0.8292412500114,0.20178291667140003,1998-09-19,19.172602739726027,10,0.1650552586735926,0.16688297515591255,0.16688297515591255,0.16132639485499983,0.12388699731862655,0.14212749418129994,2.2134553006625173,0.274218330898077
