,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2011-01-23,Paul Byron,away,Buffalo Sabres,New York Islanders,L,14.5,0,0,1,0.09,0,0,0,3,4,0,1,0.91,0.47,20102011,0.519,0.519,0.519,0.519,-0.519,-0.481,0.391,0.049000000000000044,0.5950000000000001,-0.01,-0.15562499999999999,-0.08181874999999994,0.3475562500000001,1989-04-27,21.756164383561643,1,0.0,0.03266999791198916,0.03266999791198916,0.036492918465740515,0.19889687585865862,0.20490557564535133,1.1239847905116207,0.22355706334541023
1,2011-01-25,Paul Byron,away,Buffalo Sabres,Ottawa Senators,L,12.733333333333,1,0,0,0.33,0,0,1,8,8,1,0,0.49,0.24,20102011,0.46246666666665603,0.46246666666665603,0.46246666666665603,0.46246666666665603,0.537533333333344,0.46246666666665603,0.027533333333343957,0.22246666666665604,0.915,0.15,0.2422083333333399,0.6862612499999886,1.9934695833333285,1989-04-27,21.76164383561644,2,0.03280628791461647,0.2028061078623942,0.2028061078623942,0.22107706553547493,0.19895047908048286,0.2049749878244231,1.123319829880999,0.22348501831543124
2,2011-02-04,Paul Byron,away,Buffalo Sabres,Pittsburgh Penguins,L,11.883333333333,0,0,0,0.0,0,0,0,3,7,0,1,0.29,0.51,20102011,0.43526666666665603,0.43526666666665603,0.43526666666665603,0.43526666666665603,-0.43526666666665603,-0.564733333333344,-0.14526666666665605,-0.07473333333334398,0.0,-0.04,-0.4907916666666601,-0.2393087500000114,-0.7701004166666715,1989-04-27,21.78904109589041,3,0.20250435574793346,0.12429396651631958,0.12429396651631958,0.1276287443900526,0.19921895840297263,0.2053242518769584,1.1200342556722738,0.22313205779067913
3,2011-02-05,Paul Byron,home,Buffalo Sabres,Toronto Maple Leafs,L,8.6666666666667,0,0,0,0.0,0,1,3,5,5,0,1,0.11,0.21,20102011,0.33233333333333437,0.33233333333333437,0.33233333333333437,0.33233333333333437,-0.33233333333333437,-0.6676666666666656,-0.22233333333333438,0.12233333333333438,0.0,0.3,-0.538958333333334,0.1606812500000011,-0.07827708333333289,1989-04-27,21.791780821917808,4,0.12365780486389855,0.1089918013064696,0.1089918013064696,0.11645534297238856,0.19924584623566063,0.2053593681562825,1.1197092655375822,0.2230974201499456
4,2011-02-08,Paul Byron,away,Buffalo Sabres,Tampa Bay Lightning,L,9.5833333333333,0,0,0,0.04,0,0,0,4,5,2,0,0.29,0.35,20102011,0.3616666666666656,0.3616666666666656,0.3616666666666656,0.3616666666666656,1.6383333333333345,0.3616666666666656,-0.0716666666666656,0.011666666666665604,0.02,-0.01,0.8052083333333341,0.3915312499999989,1.206739583333333,1989-04-27,21.8,5,0.10848829486617168,0.1870523901604221,0.1870523901604221,0.18931100027116457,0.19932655025996493,0.20546490996697314,1.1187381533704874,0.22299421675554282
5,2011-02-10,Paul Byron,away,Buffalo Sabres,Florida Panthers,L,10.933333333333,0,0,0,0.02,0,0,0,2,4,0,0,0.46,0.17,20102011,0.404866666666656,0.404866666666656,0.404866666666656,0.404866666666656,-0.404866666666656,0.404866666666656,0.055133333333344026,0.23486666666665598,0.01,-0.02,-0.36554166666666,0.7437012499999885,0.36815958333332854,1989-04-27,21.805479452054794,6,0.18563494529290714,0.19923576529735076,0.19923576529735076,0.2046706221766545,0.1993803856473343,0.20553542694791022,1.1180939486771544,0.22292600267720183
6,2011-02-15,Paul Byron,away,Buffalo Sabres,Montreal Canadiens,L,10.883333333333,0,0,0,0.16,2,0,0,2,5,0,1,0.39,0.34,20102011,0.403266666666656,0.403266666666656,0.403266666666656,0.403266666666656,-0.403266666666656,-0.596733333333344,-0.01326666666665599,0.06326666666665598,0.18,-0.03,-0.40829166666666,0.015491249999988521,-0.24280041666667151,1989-04-27,21.81917808219178,7,0.19765765607087704,0.1709805859874876,0.1709805859874876,0.17494899398607347,0.19951508238285548,0.20571223535628785,1.1164945807099487,0.2227575082503571
7,2011-02-18,Paul Byron,home,Buffalo Sabres,St Louis Blues,L,8.45,0,0,0,0.0,0,0,0,2,4,0,0,0.37,0.26,20102011,0.32539999999999997,0.32539999999999997,0.32539999999999997,0.32539999999999997,-0.32539999999999997,0.32539999999999997,0.04460000000000003,0.06539999999999996,0.0,-0.02,-0.37212500000000004,0.5057712499999999,0.11364624999999984,1989-04-27,21.827397260273973,8,0.17019334074700404,0.16748463186362736,0.16748463186362736,0.174649893599762,0.19959597044096772,0.20581865426729098,1.115542555020024,0.22265779883741832
8,2011-11-11,Paul Byron,away,Calgary Flames,Chicago Blackhawks,L,11.216666666667,0,0,0,0.0,0,0,0,1,1,0,0,0.15,0.38,20112012,0.41393333333334403,0.41393333333334403,0.41393333333334403,0.41393333333334403,-0.41393333333334403,0.41393333333334403,-0.263933333333344,0.03393333333334403,0.0,0.0,-0.5649583333333401,0.3963912500000114,-0.1685670833333287,1989-04-27,22.556164383561644,9,0.16685642297711525,0.14786919031835496,0.14786919031835496,0.19307293797216907,0.20345542055614335,0.21968139756348176,1.0505931128141854,0.21374886360099785
9,2011-11-12,Paul Byron,away,Calgary Flames,Colorado Avalanche,L,9.8833333333333,1,0,0,0.28,0,0,0,0,0,2,0,0.32,0.11,20112012,0.37126666666666563,0.37126666666666563,0.37126666666666563,0.37126666666666563,1.6287333333333343,0.37126666666666563,-0.05126666666666563,0.26126666666666565,0.89,0.0,0.8179583333333339,0.8097912499999989,2.517749583333333,1989-04-27,22.55890410958904,10,0.13690684498895553,0.28071341008875433,0.28071341008875433,0.3182792816317097,0.20347063362751766,0.21974269689534723,1.0504117465459084,0.21372794363948347
