,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2021-12-28,Rafael Harvey-Pinard,away,Montreal Canadiens,Tampa Bay Lightning,L,9.4666666666667,1,0,0,0.13,0,0,0,0,1,2,2,0.54,0.37,20212022,0.35793333333333444,0.35793333333333444,0.35793333333333444,0.35793333333333444,1.6420666666666657,-1.6420666666666657,0.1820666666666656,-0.01206666666666556,0.815,-0.01,0.963791666666666,-0.5214587499999989,1.2473329166666671,1999-01-06,22.991780821917807,1,0.0,0.1172482548740106,0.1172482548740106,0.12244140609720836,0.10201660108985168,0.1065480937554315,1.026545459769833,0.10472467866993743
1,2021-12-30,Rafael Harvey-Pinard,away,Montreal Canadiens,Carolina Hurricanes,L,13.35,0,0,0,0.0,0,0,0,0,0,0,0,0.44,0.31,20212022,0.4822,0.4822,0.4822,0.4822,-0.4822,0.4822,-0.042200000000000015,0.17220000000000002,0.0,0.0,-0.42637500000000006,0.58835125,0.16197624999999993,1999-01-06,22.997260273972604,2,0.1177373814729126,0.12112924666592863,0.12112924666592863,0.12221818994460376,0.10146909101977965,0.10598471349853718,1.0263002164661372,0.10413775007822203
2,2022-01-01,Rafael Harvey-Pinard,away,Montreal Canadiens,Florida Panthers,L,17.983333333333,0,0,0,0.49,3,0,0,0,0,0,1,0.63,1.61,20212022,0.6304666666666561,0.6304666666666561,0.6304666666666561,0.6304666666666561,-0.6304666666666561,-0.3695333333333439,-0.00046666666665606815,-0.979533333333344,0.395,0.0,-0.40029166666666005,-1.9006887500000116,-1.9059804166666716,1999-01-06,23.002739726027396,3,0.12156631555339459,-0.042455554544650706,-0.042455554544650706,-0.04311655974550639,0.10091442377565084,0.1054139775440935,1.0260562997746439,0.10354388025313464
3,2022-04-21,Rafael Harvey-Pinard,home,Montreal Canadiens,Philadelphia Flyers,L,11.55,0,0,0,0.21,0,0,0,0,0,1,1,0.39,0.44,20212022,0.42460000000000003,0.42460000000000003,0.42460000000000003,0.42460000000000003,0.5753999999999999,-0.5753999999999999,-0.03460000000000002,-0.01539999999999997,0.105,0.0,0.20337499999999997,-0.13170874999999993,0.17666625000000002,1999-01-06,23.304109589041097,4,-0.04051015241853945,-0.025903149565206136,-0.025903149565206136,-0.025149514579696657,0.0673064769794334,0.07075706373772055,1.0145957419553175,0.06828886494934673
4,2023-01-17,Rafael Harvey-Pinard,home,Montreal Canadiens,Winnipeg Jets,L,12.916666666667,0,0,0,0.0,1,0,0,0,0,0,0,0.36,0.32,20222023,0.468333333333344,0.468333333333344,0.468333333333344,0.468333333333344,-0.468333333333344,0.468333333333344,-0.108333333333344,0.14833333333334398,0.05,0.0,-0.46770833333334005,0.5565312500000114,0.1388229166666713,1999-01-06,24.046575342465754,5,-0.021016453749462614,-0.014189517399251218,-0.014189517399251218,-0.0143321801272204,0.13581549238495366,0.14055991782113142,1.0007147300389043,0.13591256379710978
5,2023-01-19,Rafael Harvey-Pinard,home,Montreal Canadiens,Florida Panthers,L,13.116666666667,0,0,0,0.32,1,0,0,0,0,1,0,0.39,0.16,20222023,0.474733333333344,0.474733333333344,0.474733333333344,0.474733333333344,0.525266666666656,0.474733333333344,-0.08473333333334399,0.31473333333334397,0.21000000000000002,0.0,0.17204166666666,0.8353712500000113,1.2174129166666714,1999-01-06,24.052054794520547,6,-0.00010028646557108869,0.06866237937468841,0.06866237937468841,0.07109482334144962,0.14320848917297813,0.14842440965345002,1.000679453580036,0.14330579269363827
6,2023-01-21,Rafael Harvey-Pinard,home,Montreal Canadiens,Toronto Maple Leafs,L,13.8,1,0,0,0.49,0,0,0,0,0,1,1,0.96,0.66,20222023,0.49660000000000004,0.49660000000000004,0.49660000000000004,0.49660000000000004,0.5034,-0.5034,0.4633999999999999,-0.1634,0.995,0.0,0.514625,-0.4287587500000002,1.0808662499999997,1999-01-06,24.057534246575344,7,0.14126076847862734,0.13336296957430127,0.13336296957430127,0.13364367022660503,0.1498234538509651,0.15546501937807095,1.0006450868917478,0.14992010299712075
7,2023-01-24,Rafael Harvey-Pinard,home,Montreal Canadiens,Boston Bruins,L,13.283333333333,0,0,0,0.02,0,0,1,0,0,0,1,0.14,0.83,20222023,0.480066666666656,0.480066666666656,0.480066666666656,0.480066666666656,-0.480066666666656,-0.519933333333344,-0.34006666666665597,-0.349933333333344,0.01,0.15,-0.61254166666666,-0.7354287500000113,-1.1879704166666714,1999-01-06,24.065753424657533,8,0.23934090320942322,0.052794827970089955,0.052794827970089955,0.051463412387272214,0.15947304936900553,0.16576163897060767,1.0005952396369049,0.15956797404900805
8,2023-01-26,Rafael Harvey-Pinard,home,Montreal Canadiens,Detroit Red Wings,L,16.116666666667,2,1,0,0.36,3,0,0,0,0,2,0,0.62,0.4,20222023,0.5707333333333441,0.5707333333333441,0.5707333333333441,0.5707333333333441,1.4292666666666558,0.5707333333333441,0.04926666666665591,0.17073333333334406,2.5300000000000002,0.0,0.8807916666666599,0.5299712500000114,3.9407629166666718,1999-01-06,24.07123287671233,9,0.10373301387930202,0.27973671615243323,0.27973671615243323,0.30521193118368084,0.16654512813957115,0.17334010005770464,1.0005631413002332,0.16663891657957916
9,2023-01-28,Rafael Harvey-Pinard,away,Montreal Canadiens,Ottawa Senators,L,10.283333333333,0,0,0,0.0,0,0,0,0,0,0,1,0.06,0.3,20222023,0.38406666666665595,0.38406666666665595,0.38406666666665595,0.38406666666665595,-0.38406666666665595,-0.6159333333333441,-0.32406666666665596,0.08406666666665596,0.0,0.0,-0.60254166666666,0.0629712499999886,-0.5395704166666714,1999-01-06,24.076712328767123,10,0.43781824576872747,0.2338102562633712,0.2338102562633712,0.2462827904527372,0.17409883804299187,0.1814595502697655,1.0005319478897232,0.1741914495524921
