,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2007-10-04,Sami Kapanen,away,Philadelphia Flyers,Calgary Flames,R,18.383333333333,0,0,0,0.05,0,0,0,1,2,0,0,0.36,0.43,20072008,0.643266666666656,0.643266666666656,0.643266666666656,0.643266666666656,-0.643266666666656,0.643266666666656,-0.283266666666656,0.213266666666656,0.025,-0.01,-0.57704166666666,0.5564912499999886,-0.005550416666671443,1973-06-14,34.32876712328767,758,0.0,-0.00547740293519031,-0.00547740293519031,-0.006507154687006089,0.8507748594166322,1.0510916911293113,1,0.8507748594166322
1,2007-10-06,Sami Kapanen,away,Philadelphia Flyers,Edmonton Oilers,R,12.9,0,0,0,0.01,0,2,2,0,0,0,0,0.64,0.28,20072008,0.4678,0.4678,0.4678,0.4678,-0.4678,0.4678,0.17220000000000002,0.18779999999999997,0.005,0.0,-0.29237500000000005,0.6239612499999999,0.33658624999999986,1973-06-14,34.33424657534247,759,-0.005550416666671443,0.16450984078484063,0.16450984078484063,0.1845371850653269,0.8507351425441603,1.0509838643555007,1,0.8507351425441603
2,2007-10-10,Sami Kapanen,away,Philadelphia Flyers,Vancouver Canucks,R,17.116666666667,0,0,0,0.02,1,0,0,0,0,1,0,0.5,0.21,20072008,0.6027333333333441,0.6027333333333441,0.6027333333333441,0.6027333333333441,0.3972666666666559,0.6027333333333441,-0.10273333333334411,0.39273333333334415,0.060000000000000005,0.0,0.1607916666666599,0.8871712500000115,1.1079629166666713,1973-06-14,34.345205479452055,760,0.1658444104729262,0.4781376181171142,0.4781376181171142,0.6429871679213589,0.8484010300021926,1.0471799472615537,1,0.8484010300021926
3,2007-10-13,Sami Kapanen,home,Philadelphia Flyers,New York Islanders,R,15.583333333333,1,0,0,0.0,3,0,0,0,0,1,0,0.0,0.0,20072008,0.553666666666656,0.553666666666656,0.553666666666656,0.553666666666656,0.446333333333344,0.553666666666656,-0.553666666666656,0.553666666666656,0.9,0.0,-0.12104166666665994,1.1917312499999886,1.9706895833333287,1973-06-14,34.35342465753425,761,0.4818845750236583,0.85136442846472,0.85136442846472,1.1004732916874873,0.845220617427918,1.0420511504060286,1,0.845220617427918
4,2007-10-16,Sami Kapanen,home,Philadelphia Flyers,Atlanta Thrashers,R,15.6,1,0,0,0.49,2,0,0,0,0,2,0,0.71,0.16,20072008,0.5542,0.5542,0.5542,0.5542,1.4458,0.5542,0.15579999999999994,0.3942,1.095,0.0,0.947375,0.92030125,2.96267625,1973-06-14,34.36164383561644,762,0.8574670790434357,1.2750757400294406,1.2750757400294406,1.6428871101379214,0.8397865733848764,1.0340756797831367,1,0.8397865733848764
5,2007-10-18,Sami Kapanen,home,Philadelphia Flyers,New Jersey Devils,R,16.866666666667,1,0,0,0.05,0,0,0,0,0,1,0,0.2,0.4,20072008,0.5947333333333441,0.5947333333333441,0.5947333333333441,0.5947333333333441,0.4052666666666559,0.5947333333333441,-0.3947333333333441,0.19473333333334408,0.775,0.0,-0.021708333333340157,0.5556212500000115,1.3089129166666713,1973-06-14,34.367123287671234,763,1.283505701530528,1.2807551596331728,1.2807551596331728,1.5124736864032204,0.8323690948615052,1.0241107798998983,1,0.8323690948615052
6,2007-10-20,Sami Kapanen,home,Philadelphia Flyers,Carolina Hurricanes,R,16.4,0,0,0,0.02,0,0,0,0,0,0,0,0.44,0.47,20072008,0.5798,0.5798,0.5798,0.5798,-0.5798,0.5798,-0.13979999999999998,0.10980000000000001,0.01,0.0,-0.487375,0.42066125000000004,-0.05671374999999995,1973-06-14,34.37260273972603,764,1.2877956262030072,1.0875376913458379,1.0875376913458379,1.22947179286392,0.82240773081829,1.011088581096976,1,0.82240773081829
7,2007-10-24,Sami Kapanen,away,Philadelphia Flyers,Florida Panthers,R,17.5,0,0,0,0.0,2,0,0,0,0,0,0,0.13,0.48,20072008,0.6150000000000001,0.6150000000000001,0.6150000000000001,0.6150000000000001,-0.6150000000000001,0.6150000000000001,-0.4850000000000001,0.13500000000000012,0.1,0.0,-0.7031250000000001,0.44128125000000007,-0.16184375000000006,1973-06-14,34.38356164383562,765,1.0929382866491102,0.9288630427301121,0.9288630427301121,1.149781804628463,0.7998581110437538,0.9821344753660444,1,0.7998581110437538
8,2007-10-25,Sami Kapanen,away,Philadelphia Flyers,Tampa Bay Lightning,R,17.15,0,0,0,0.19,1,0,1,0,0,1,0,0.49,0.48,20072008,0.6038,0.6038,0.6038,0.6038,0.3962,0.6038,-0.11380000000000001,0.12380000000000002,0.14500000000000002,0.15,0.15387499999999998,0.42931125000000003,0.8781862500000001,1973-06-14,34.38630136986301,766,0.9330423638388035,0.92311183598155,0.92311183598155,1.0527814044517567,0.7943597372889225,0.9751280270893022,1,0.7943597372889225
9,2007-10-27,Sami Kapanen,away,Philadelphia Flyers,Boston Bruins,R,17.183333333333,0,0,0,0.03,0,0,0,1,0,0,0,0.37,0.22,20072008,0.604866666666656,0.604866666666656,0.604866666666656,0.604866666666656,-0.604866666666656,0.604866666666656,-0.234866666666656,0.38486666666665603,0.015,0.01,-0.54679166666666,0.8724512499999886,0.3506595833333286,1973-06-14,34.391780821917806,767,0.9268316724003428,0.8642992237755388,0.8642992237755388,1.041865616540822,0.782322070752926,0.9596639783109598,1,0.782322070752926
10,2007-11-01,Sami Kapanen,away,Philadelphia Flyers,Montreal Canadiens,R,16.0,0,0,0,0.01,0,0,1,1,0,0,0,0.17,0.39,20072008,0.5670000000000001,0.5670000000000001,0.5670000000000001,0.5670000000000001,-0.5670000000000001,0.5670000000000001,-0.397,0.17700000000000005,0.005,0.16,-0.6481250000000001,0.54298125,0.059856249999999944,1973-06-14,34.40547945205479,768,0.8680318742850696,0.7886822545121139,0.7886822545121139,0.9513320186582658,0.7415850730690968,0.9059571596092235,1,0.7415850730690968
11,2007-11-05,Sami Kapanen,away,Philadelphia Flyers,New York Rangers,R,11.15,0,0,0,0.0,0,0,0,0,1,0,0,0.13,0.5,20072008,0.4118,0.4118,0.4118,0.4118,-0.4118,0.4118,-0.2818,-0.0882,0.0,-0.01,-0.576125,0.19011124999999995,-0.39601375000000005,1973-06-14,34.416438356164385,769,0.7925424653181858,0.6858876745968152,0.6858876745968152,0.7693384373892722,0.704196415061191,0.8558708118384665,1,0.704196415061191
12,2007-11-07,Sami Kapanen,away,Philadelphia Flyers,Pittsburgh Penguins,R,11.483333333333,0,0,0,0.0,2,0,0,0,0,0,0,0.19,0.27,20072008,0.422466666666656,0.422466666666656,0.422466666666656,0.422466666666656,-0.422466666666656,0.422466666666656,-0.232466666666656,0.15246666666665598,0.1,0.0,-0.5452916666666601,0.5925112499999885,0.1472195833333284,1973-06-14,34.42191780821918,770,0.6902957502789483,0.6424179431749086,0.6424179431749086,0.7503378444575134,0.6817406734557944,0.8261058047394485,1,0.6817406734557944
13,2007-11-17,Sami Kapanen,home,Philadelphia Flyers,New Jersey Devils,R,11.0,0,0,0,0.0,1,0,0,0,0,0,2,0.08,0.37,20072008,0.407,0.407,0.407,0.407,-0.407,-1.593,-0.32699999999999996,0.03699999999999998,0.05,0.0,-0.604375,-0.46901875000000015,-1.02339375,1973-06-14,34.44931506849315,771,0.6471263142419902,0.5165829546295002,0.5165829546295002,0.5924651073397301,0.510925369767162,0.6063586589738426,1,0.510925369767162
14,2007-11-21,Sami Kapanen,away,Philadelphia Flyers,Carolina Hurricanes,R,12.5,0,0,0,0.04,2,0,0,0,0,0,0,0.27,0.34,20072008,0.455,0.455,0.455,0.455,-0.455,0.455,-0.185,0.11499999999999999,0.12000000000000001,0.0,-0.515625,0.5082812499999999,0.1126562499999999,1973-06-14,34.46027397260274,772,0.5219213760822939,0.4878598208336865,0.4878598208336865,0.5433729694805871,0.4225293460118868,0.49425446353750774,1,0.4225293460118868
15,2007-11-23,Sami Kapanen,home,Philadelphia Flyers,Washington Capitals,R,13.416666666667,0,0,0,0.0,0,0,0,0,0,0,2,0.05,0.42,20072008,0.484333333333344,0.484333333333344,0.484333333333344,0.484333333333344,-0.484333333333344,-1.515666666666656,-0.434333333333344,0.06433333333334401,0.0,0.0,-0.67145833333334,-0.47136874999998846,-1.1428270833333285,1973-06-14,34.465753424657535,773,0.49318249311709106,0.37816086334735444,0.37816086334735444,0.4349914527616488,0.3752109174052481,0.4347599058025415,1,0.3752109174052481
16,2007-11-24,Sami Kapanen,away,Philadelphia Flyers,Ottawa Senators,R,13.966666666667,0,0,0,0.18,2,0,0,0,0,0,1,1.17,0.34,20072008,0.501933333333344,0.501933333333344,0.501933333333344,0.501933333333344,-0.501933333333344,-0.498066666666656,0.6680666666666559,0.16193333333334398,0.19,0.0,0.01754166666665996,0.12094125000001132,0.3284829166666713,1973-06-14,34.46849315068493,774,0.38545503091135086,0.37498542353387154,0.37498542353387154,0.40361629999556864,0.353429363551788,0.4075032489130066,1,0.353429363551788
17,2007-11-26,Sami Kapanen,home,Philadelphia Flyers,Boston Bruins,R,12.716666666667,0,0,0,0.01,1,0,0,0,0,0,2,0.1,0.55,20072008,0.461933333333344,0.461933333333344,0.461933333333344,0.461933333333344,-0.461933333333344,-1.538066666666656,-0.361933333333344,-0.08806666666665602,0.055,0.0,-0.62620833333334,-0.7163087499999886,-1.2875170833333285,1973-06-14,34.47397260273973,775,0.38192900583491246,0.2736145365303358,0.2736145365303358,0.31734192666830524,0.3172082663276458,0.36242957985940555,1,0.3172082663276458
18,2007-11-28,Sami Kapanen,away,Philadelphia Flyers,Carolina Hurricanes,R,20.283333333333,0,0,0,0.02,1,0,1,0,0,0,0,0.25,0.38,20072008,0.7040666666666561,0.7040666666666561,0.7040666666666561,0.7040666666666561,-0.7040666666666561,0.7040666666666561,-0.45406666666665607,0.32406666666665607,0.060000000000000005,0.15,-0.6837916666666601,0.7064712499999887,0.2326795833333285,1973-06-14,34.47945205479452,776,0.2842779959129469,0.27122515077426623,0.27122515077426623,0.30223683201929713,0.2903005311195309,0.3293806436625097,1,0.2903005311195309
19,2007-12-01,Sami Kapanen,home,Philadelphia Flyers,Dallas Stars,R,16.083333333333,0,0,0,0.06,2,0,0,0,0,0,1,0.04,0.66,20072008,0.5696666666666561,0.5696666666666561,0.5696666666666561,0.5696666666666561,-0.5696666666666561,-0.4303333333333439,-0.5296666666666561,-0.09033333333334392,0.13,0.0,-0.73104166666666,-0.3506687500000113,-0.9517104166666713,1973-06-14,34.487671232876714,777,0.2814163318718058,0.20267320116322307,0.20267320116322307,0.23164279680608804,0.2552994780735361,0.28728447116311046,1,0.2552994780735361
20,2007-12-05,Sami Kapanen,away,Philadelphia Flyers,Minnesota Wild,R,11.883333333333,0,0,0,0.04,0,0,0,0,0,0,0,0.14,0.22,20072008,0.43526666666665603,0.43526666666665603,0.43526666666665603,0.43526666666665603,-0.43526666666665603,0.43526666666665603,-0.295266666666656,0.21526666666665603,0.02,0.0,-0.5845416666666601,0.6911912499999886,0.12664958333332854,1973-06-14,34.4986301369863,778,0.21626793544941994,0.19856884345905368,0.19856884345905368,0.22662920512258464,0.2093672406450984,0.23334710735954373,1,0.2093672406450984
21,2007-12-07,Sami Kapanen,away,Philadelphia Flyers,Colorado Avalanche,R,9.8333333333333,0,0,0,0.02,0,1,0,0,0,0,1,0.13,0.41,20072008,0.3696666666666656,0.3696666666666656,0.3696666666666656,0.3696666666666656,-0.3696666666666656,-0.6303333333333344,-0.23966666666666558,-0.04033333333333439,0.01,-0.15,-0.549791666666666,-0.13941875000000115,-0.8292104166666672,1973-06-14,34.50410958904109,779,0.21173809953357525,0.14498640918799988,0.14498640918799988,0.16470712126015105,0.18980337046171764,0.2110215199472253,1,0.18980337046171764
22,2007-12-11,Sami Kapanen,home,Philadelphia Flyers,Pittsburgh Penguins,R,11.916666666667,0,0,0,0.0,0,0,0,0,2,0,0,0.07,0.23,20072008,0.436333333333344,0.436333333333344,0.436333333333344,0.436333333333344,-0.436333333333344,0.436333333333344,-0.366333333333344,0.206333333333344,0.0,-0.02,-0.62895833333334,0.6753312500000114,0.02637291666667141,1973-06-14,34.515068493150686,780,0.16147172029532228,0.13900048938835272,0.13900048938835272,0.15458081660762477,0.15625413891926554,0.17406394465807795,1,0.15625413891926554
