Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2019-11-02,Adam Boqvist,away,Chicago Blackhawks,Los Angeles Kings,D,15.633333333333,0,0,0,0.06,1,0,0,0,0,1,0,0.77,0.87,20192020,0.555266666666656,0.555266666666656,0.555266666666656,0.555266666666656,0.4447333333333439,0.555266666666656,0.214733333333344,-0.3147333333333439,0.08,0.0,0.326733333333344,-0.1528041666666819,0.253929166666662,2000-08-15,19.22739726027397,1,0.0,0.0238691300898573,0.0238691300898573,0.0279353921986457,0.1207368124157022,0.1341868030627322,2.1479310198794628,0.2593343446290546
2019-11-03,Adam Boqvist,away,Chicago Blackhawks,Anaheim Ducks,D,15.733333333333,1,0,0,0.24,0,0,0,0,0,1,0,0.44,0.2,20192020,0.5584666666666561,0.5584666666666561,0.5584666666666561,0.5584666666666561,0.4415333333333439,0.5584666666666561,-0.1184666666666561,0.3584666666666561,0.87,0.0,-0.2044666666666562,1.392795833333318,2.058329166666662,2000-08-15,19.23013698630137,2,0.0239687053580108,0.2003966645947967,0.2003966645947967,0.2283571344546947,0.1196732045349108,0.1319912813789189,2.144783094568985,0.2566730659593731
2019-11-05,Adam Boqvist,away,Chicago Blackhawks,San Jose Sharks,D,15.75,0,0,0,0.23,0,0,0,0,0,0,1,0.74,0.7,20192020,0.559,0.559,0.559,0.559,-0.559,-0.4409999999999999,0.1809999999999999,-0.1409999999999999,0.115,0.0,-0.1250000000000001,-0.3314374999999996,-0.3414374999999997,2000-08-15,19.235616438356164,3,0.1997386379384785,0.1566714356604028,0.1566714356604028,0.1926376778010353,0.1185085142190774,0.1296709119759928,2.138522378377301,0.2534331096857416
2019-11-07,Adam Boqvist,home,Chicago Blackhawks,Vancouver Canucks,D,12.3,0,0,0,0.12,0,1,0,0,0,0,1,0.2,1.02,20192020,0.4486,0.4486,0.4486,0.4486,-0.4486,-0.5514,-0.2486,-0.5714,0.06,-0.15,-0.8785999999999999,-1.2261375,-2.1947375,2000-08-15,19.24109589041096,4,0.1565478615788511,-0.0209533929421957,-0.0209533929421957,-0.0232541847077821,0.1172450393690413,0.1272212550182289,2.132308087490136,0.2500025456647062
2019-11-10,Adam Boqvist,home,Chicago Blackhawks,Toronto Maple Leafs,D,12.55,0,0,0,0.1,1,0,0,0,0,2,0,0.58,0.18,20192020,0.4566,0.4566,0.4566,0.4566,1.5434,0.4566,0.1233999999999999,0.2766,0.1,0.0,0.5213999999999999,1.2923625,1.9137625,2000-08-15,19.24931506849315,5,-0.0178518425731995,0.1166238031504423,0.1166238031504423,0.1314059646809406,0.115890408894451,0.124647158121288,2.123072610350744,0.2460437529261572
2019-11-13,Adam Boqvist,away,Chicago Blackhawks,Vegas Golden Knights,D,14.733333333333,0,0,0,0.0,1,1,0,0,0,0,0,0.53,0.56,20192020,0.5264666666666561,0.5264666666666561,0.5264666666666561,0.5264666666666561,-0.5264666666666561,0.5264666666666561,0.0035333333333439,-0.0335333333333439,0.05,-0.15,-0.428466666666656,0.5187958333333181,-0.0096708333333378,2000-08-15,19.257534246575343,6,0.1162397161097971,0.1081277577581706,0.1081277577581706,0.1189596975268106,0.1144551281076485,0.1219592389002798,2.113938818371304,0.2419511382684189
2019-12-10,Adam Boqvist,away,Chicago Blackhawks,Vegas Golden Knights,D,17.7,0,0,1,0.16,0,0,0,0,0,0,2,1.38,0.9,20192020,0.6214000000000001,0.6214000000000001,0.6214000000000001,0.6214000000000001,-0.6214000000000001,-1.3786,0.7585999999999998,-0.2785999999999999,0.63,0.0,0.8365999999999996,-1.2767374999999996,0.1898625,2000-08-15,19.33150684931507,7,0.108022591908446,0.1133522843741305,0.1133522843741305,0.0892995470090082,0.112950651156932,0.1191709599956457,2.0360546119198317,0.2299736942074194
2019-12-12,Adam Boqvist,away,Chicago Blackhawks,Arizona Coyotes,D,15.333333333333,0,0,0,0.01,1,0,0,0,0,0,2,0.37,0.33,20192020,0.545666666666656,0.545666666666656,0.545666666666656,0.545666666666656,-0.545666666666656,-1.454333333333344,-0.1756666666666559,0.2156666666666559,0.055,0.0,-0.703666666666656,-0.0746041666666819,-0.7232708333333379,2000-08-15,19.336986301369866,8,0.1132844793272946,0.062339292105335,0.062339292105335,0.0667659006866748,0.1113000781512705,0.1163509389745739,2.0305780237290327,0.2260034927332938
2019-12-14,Adam Boqvist,away,Chicago Blackhawks,St Louis Blues,D,14.933333333333,0,0,0,0.0,2,0,0,0,0,1,1,0.35,0.43,20192020,0.532866666666656,0.532866666666656,0.532866666666656,0.532866666666656,0.4671333333333439,-0.4671333333333439,-0.182866666666656,0.102866666666656,0.1,0.0,-0.322866666666656,0.2519958333333181,0.029129166666662,2000-08-15,19.34246575342466,9,0.0625659637589637,0.0604008069115557,0.0604008069115557,0.0657499632757935,0.1092066053769618,0.1136956229580683,2.025139690567718,0.2211586310210513
2019-12-15,Adam Boqvist,home,Chicago Blackhawks,Minnesota Wild,D,13.7,0,0,0,0.0,1,0,1,0,0,1,0,0.8,0.71,20192020,0.4934,0.4934,0.4934,0.4934,0.5065999999999999,0.4934,0.3066,-0.2165999999999999,0.05,0.15,0.4365999999999999,0.1262625000000001,0.7628625,2000-08-15,19.34520547945205,10,0.0606477528560525,0.0997774673590512,0.0997774673590512,0.1076316641571241,0.106574640611577,0.1112644770606579,2.022434749156854,0.2155402565517566
