Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2008-10-09,Adam Pardy,away,Calgary Flames,Vancouver Canucks,D,20.88333333,0,0,0,0.01,1,0,0,0,0,0,0,0.27,0.11,20082009,0.72326666656,0.72326666656,0.72326666656,0.72326666656,-0.72326666656,0.72326666656,-0.45326666656,0.6132666665600001,0.055,0.0,-1.04126666656,1.83669583318,0.8504291666200002,1984-03-29,24.54794520547945,1,0.0,0.0799396330745601,0.0799396330745601,0.0944977594123005,0.1134840414255351,0.0677493377294704,1,0.1134840414255351
2008-11-02,Adam Pardy,away,Calgary Flames,Anaheim Ducks,D,6.483333333,0,0,0,0.0,1,0,0,0,0,0,1,0.01,0.76,20082009,0.262466666656,0.262466666656,0.262466666656,0.262466666656,-0.262466666656,-0.737533333344,-0.252466666656,-0.497533333344,0.05,0.0,-0.996466666656,-0.8957041666819998,-1.842170833338,1984-03-29,24.613698630136987,2,0.0802731186423005,-0.0868394707572682,-0.0868394707572682,-0.104206270127161,0.1198656177570289,0.073787244312462,1,0.1198656177570289
2008-11-11,Adam Pardy,home,Calgary Flames,Toronto Maple Leafs,D,14.18333333,0,0,0,0.03,0,1,0,0,0,0,0,0.78,0.28,20082009,0.50886666656,0.50886666656,0.50886666656,0.50886666656,-0.50886666656,0.50886666656,0.27113333344,0.22886666656,0.015,-0.15,-0.0108666665599999,1.13749583318,0.99162916662,1984-03-29,24.638356164383563,3,-0.0926105435038405,0.0001913795457024,0.0001913795457024,0.0002168799582491,0.1262317505377272,0.0799062881232173,1,0.1262317505377272
2008-11-13,Adam Pardy,away,Calgary Flames,San Jose Sharks,D,16.21666667,0,0,0,0.0,1,2,1,0,0,0,0,0.34,0.42,20082009,0.57393333344,0.57393333344,0.57393333344,0.57393333344,-0.57393333344,0.57393333344,-0.2339333334399999,0.15393333344,0.05,-0.15,-0.7799333334399999,0.90902916682,0.0290958333800002,1984-03-29,24.64383561643836,4,-0.0017308533639117,0.0023748145834394,0.0023748145834394,0.0024979599476605,0.1325793699274223,0.086109804981109,1,0.1325793699274223
2008-11-18,Adam Pardy,home,Calgary Flames,Colorado Avalanche,D,11.45,0,0,0,0.02,0,0,0,0,0,0,0,1.08,0.15,20082009,0.4214,0.4214,0.4214,0.4214,-0.4214,0.4214,0.6586000000000001,0.2714,0.01,0.0,0.5566000000000002,1.3107625,1.8773625000000005,1984-03-29,24.65753424657534,5,0.0006615864102028,0.1357047517638039,0.1357047517638039,0.1580306583516426,0.1389061851931099,0.0923993890318112,1,0.1389061851931099
2008-11-20,Adam Pardy,away,Calgary Flames,Colorado Avalanche,D,10.83333333,0,0,0,0.01,0,0,0,0,0,0,0,0.12,0.16,20082009,0.40166666656,0.40166666656,0.40166666656,0.40166666656,-0.40166666656,0.40166666656,-0.28166666656,0.24166666656,0.005,0.0,-0.95966666656,1.25939583318,0.3047291666200001,1984-03-29,24.663013698630134,6,0.1370233007960408,0.1470752987719885,0.1470752987719885,0.171912826855089,0.1452106081425526,0.0987751199359065,1,0.1452106081425526
2008-11-22,Adam Pardy,home,Calgary Flames,Detroit Red Wings,D,10.4,0,0,0,0.03,1,0,0,0,0,1,1,0.6,0.56,20082009,0.3878,0.3878,0.3878,0.3878,0.6122,-0.6122,0.2121999999999999,-0.1722,0.065,0.0,0.2221999999999999,-0.2555375,0.0316624999999999,1984-03-29,24.66849315068493,7,0.1484239263041627,0.1396980535214603,0.1396980535214603,0.1597882342789356,0.1514916643430821,0.1052358077597281,1,0.1514916643430821
2008-11-25,Adam Pardy,home,Calgary Flames,Los Angeles Kings,D,13.25,0,0,0,0.01,1,0,0,0,0,2,1,0.31,0.52,20082009,0.479,0.479,0.479,0.479,1.521,-0.521,-0.1689999999999999,-0.041,0.055,0.0,0.0669999999999999,-0.0324374999999999,0.0895625,1984-03-29,24.676712328767124,8,0.1409651292580806,0.136641044277931,0.136641044277931,0.1537403977115866,0.1577489008746559,0.1117792352544863,1,0.1577489008746559
2008-11-27,Adam Pardy,away,Calgary Flames,Vancouver Canucks,D,12.0,0,0,0,0.02,1,1,0,0,0,0,1,0.3,0.2,20082009,0.439,0.439,0.439,0.439,-0.439,-0.5609999999999999,-0.139,0.239,0.06,-0.15,-0.7090000000000001,0.6460625000000001,-0.1529374999999999,1984-03-29,24.68219178082192,9,0.1378620080640378,0.1197382559534622,0.1197382559534622,0.1327209286981647,0.1639822966624097,0.1184023844679913,1,0.1639822966624097
2008-11-29,Adam Pardy,home,Calgary Flames,Vancouver Canucks,D,15.73333333,0,0,0,0.02,2,0,0,0,0,0,0,0.59,0.5,20082009,0.5584666665600001,0.5584666665600001,0.5584666665600001,0.5584666665600001,-0.5584666665600001,0.5584666665600001,0.0315333334399998,0.0584666665600001,0.11,0.0,-0.3644666665600001,0.7027958331800002,0.44832916662,1984-03-29,24.687671232876717,10,0.1212465129732364,0.1381574990848033,0.1381574990848033,0.1531044771468064,0.1701921792194719,0.1251016402751923,1,0.1701921792194719
2008-12-02,Adam Pardy,home,Calgary Flames,Dallas Stars,D,16.68333333,0,0,0,0.0,1,0,0,0,0,0,0,0.44,0.08,20082009,0.5888666665600001,0.5888666665600001,0.5888666665600001,0.5888666665600001,-0.5888666665600001,0.5888666665600001,-0.14886666656,0.5088666665600001,0.05,0.0,-0.6348666665600001,1.7124958331800002,1.1276291666200002,1984-03-29,24.695890410958903,11,0.1389889687806565,0.1915770255113457,0.1915770255113457,0.2246233894290947,0.1763791499252569,0.1318729675434704,1,0.1763791499252569
