,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2008-10-22,Andreas Nodl,home,Philadelphia Flyers,San Jose Sharks,R,15.21666667,0,1,0,0.06,0,0,0,0,0,1,3,0.28,0.59,20082009,0.54193333344,0.54193333344,0.54193333344,0.54193333344,0.45806666655999995,-2.4580666665599997,-0.26193333344,-0.048066666559999915,0.73,0.0,0.06129166659999996,-1.1363087498859996,-0.34501708328599967,1987-02-28,21.663013698630138,1,0.0,-0.03243131835653709,-0.03243131835653709,-0.03468650081994264,0.13467322822300917,0.1561595485570146,1.135700933668008,0.15294851103295623
1,2008-10-24,Andreas Nodl,away,Philadelphia Flyers,New Jersey Devils,R,13.41666667,0,0,0,0.07,0,0,0,0,0,1,0,0.55,0.15,20082009,0.48433333344,0.48433333344,0.48433333344,0.48433333344,0.51566666656,0.48433333344,0.06566666656000003,0.33433333344000005,0.035,0.0,0.26604166659999995,0.862631250114,1.1636729167139999,1987-02-28,21.66849315068493,2,-0.03256661265548155,0.07135313935303422,0.07135313935303422,0.07524349851342971,0.12871397644148924,0.1494546368900848,1.1349897507476978,0.14608904403907091
2,2008-10-25,Andreas Nodl,home,Philadelphia Flyers,New Jersey Devils,R,16.41666667,0,0,0,0.07,1,0,0,0,0,0,1,1.3,0.34,20082009,0.5803333334400002,0.5803333334400002,0.5803333334400002,0.5803333334400002,-0.5803333334400002,-0.41966666655999985,0.7196666665599999,0.24033333344000013,0.085,0.0,0.049791666599999895,0.20473125011400006,0.339522916714,1987-02-28,21.671232876712327,3,0.07096954129515667,0.09299405030807274,0.09299405030807274,0.1000651834494325,0.12277501186174593,0.14277360162594502,1.134635210797878,0.13930485146446409
3,2008-10-28,Andreas Nodl,away,Philadelphia Flyers,Atlanta Thrashers,R,13.28333333,0,0,0,0.07,1,0,0,0,0,0,0,0.15,0.08,20082009,0.48006666655999997,0.48006666655999997,0.48006666655999997,0.48006666655999997,-0.48006666655999997,0.48006666655999997,-0.33006666655999994,0.40006666655999995,0.085,0.0,-0.6062916666,0.9770712498859999,0.4557795832859999,1987-02-28,21.67945205479452,4,0.09239928757188297,0.12039877652878371,0.12039877652878371,0.14409555628922974,0.11685822438733717,0.13611859734816112,1.1335757809216829,0.13246765296699697
4,2008-10-30,Andreas Nodl,home,Philadelphia Flyers,New York Islanders,R,15.96666667,0,0,0,0.2,0,0,0,0,0,0,0,0.74,0.27,20082009,0.5659333334400001,0.5659333334400001,0.5659333334400001,0.5659333334400001,-0.5659333334400001,0.5659333334400001,0.17406666655999992,0.29593333344000006,0.1,0.0,-0.2912083334000001,0.745841250114,0.554632916714,1987-02-28,21.684931506849313,5,0.11939582491223313,0.15127706500117002,0.15127706500117002,0.1853832876072904,0.11096364196451564,0.1294896119076042,1.132872972667255,0.1257077109303258
5,2008-11-08,Andreas Nodl,home,Philadelphia Flyers,Tampa Bay Lightning,R,15.16666667,0,0,0,0.08,0,0,0,0,0,0,0,0.27,0.19,20082009,0.54033333344,0.54033333344,0.54033333344,0.54033333344,-0.54033333344,0.54033333344,-0.27033333344,0.35033333344,0.04,0.0,-0.5689583334,0.854481250114,0.325522916714,1987-02-28,21.70958904109589,6,0.14960179828809,0.16299886655018017,0.16299886655018017,0.18980555026656504,0.10509001637763397,0.12288515133376307,1.1297444666453949,0.1187248645023059
6,2008-11-11,Andreas Nodl,away,Philadelphia Flyers,New York Islanders,R,14.2,0,1,0,0.07,0,0,1,0,0,1,0,0.27,0.43,20082009,0.5094,0.5094,0.5094,0.5094,0.49060000000000004,0.5094,-0.23939999999999995,0.07939999999999997,0.735,0.15,0.07537500000000008,0.41342124999999996,1.37379625,1987-02-28,21.71780821917808,7,0.16120335076587383,0.2403936558755307,0.2403936558755307,0.2933095097653884,0.09923532677516717,0.11630282760360328,1.128713933266846,0.1120082960034197
7,2008-11-13,Andreas Nodl,away,Philadelphia Flyers,Pittsburgh Penguins,R,15.48333333,0,0,0,0.15,1,0,1,0,0,0,2,0.21,0.54,20082009,0.5504666665600001,0.5504666665600001,0.5504666665600001,0.5504666665600001,-0.5504666665600001,-1.4495333334399998,-0.34046666656000013,0.01046666656000006,0.125,0.15,-0.6127916666000002,-0.6046887501139998,-0.942480416714,1987-02-28,21.723287671232878,8,0.2366273793540273,0.16826805398525715,0.16826805398525715,0.19126711195455862,0.09332162775791242,0.10965213578451971,1.1280302981887032,0.1052696235872131
8,2008-11-15,Andreas Nodl,away,Philadelphia Flyers,Montreal Canadiens,R,16.83333333,0,0,0,0.14,0,0,0,0,0,0,1,0.87,0.65,20082009,0.59366666656,0.59366666656,0.59366666656,0.59366666656,-0.59366666656,-0.40633333344,0.27633333344,-0.05633333344000002,0.07,0.0,-0.22729166660000008,-0.30801875011400015,-0.4653104167140002,1987-02-28,21.72876712328767,9,0.16733233613482143,0.1312858845918931,0.1312858845918931,0.14940016974954884,0.08708145601561347,0.10262242210452004,1.127349360968994,0.0981712237914514
9,2008-11-16,Andreas Nodl,home,Philadelphia Flyers,Atlanta Thrashers,R,14.28333333,0,0,0,0.1,1,0,0,0,0,0,1,0.53,0.69,20082009,0.51206666656,0.51206666656,0.51206666656,0.51206666656,-0.51206666656,-0.48793333344,0.017933333440000032,-0.17793333343999995,0.1,0.0,-0.3887916666,-0.4632287501139999,-0.7520204167139999,1987-02-28,21.731506849315068,10,0.13208944478767404,0.08177193580312103,0.08177193580312103,0.09666237792703207,0.08041856617969803,0.09510142918486161,1.1270099008913517,0.09063252030000608
10,2008-11-21,Andreas Nodl,away,Philadelphia Flyers,Buffalo Sabres,R,12.68333333,0,1,0,0.0,0,0,0,0,0,0,0,0.28,0.67,20082009,0.46086666656,0.46086666656,0.46086666656,0.46086666656,-0.46086666656,0.46086666656,-0.18086666656,-0.20913333344,0.7,0.0,-0.5130416666000001,-0.04644875011399996,0.14050958328599994,1987-02-28,21.745205479452054,11,0.08535245290485967,0.08494305976239597,0.08494305976239597,0.09995586614580762,0.07340048063252674,0.08716691842553373,1.125322635542181,0.08259922231545781
11,2008-11-22,Andreas Nodl,home,Philadelphia Flyers,Phoenix Coyotes,R,11.45,0,0,0,0.16,1,1,0,0,0,0,0,0.65,0.38,20082009,0.4214,0.4214,0.4214,0.4214,-0.4214,0.4214,0.22860000000000003,0.04139999999999999,0.13,-0.15,-0.257125,0.40437124999999996,0.12724625,1987-02-28,21.747945205479454,12,0.08814705216047455,0.08714850211592724,0.08714850211592724,0.10195013203585153,0.0661710746285812,0.07898541026208847,1.1249871807355418,0.07444161069264871
