,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2007-12-15,Antti Pihlstrom,away,Nashville Predators,Colorado Avalanche,L,9.1333333333333,0,0,0,0.09,0,0,0,0,0,0,1,0.46,0.08,20072008,0.3472666666666656,0.3472666666666656,0.3472666666666656,0.3472666666666656,-0.3472666666666656,-0.6527333333333344,0.1127333333333344,0.2672666666666656,0.045,0.0,-0.329541666666666,0.39764124999999884,0.11309958333333281,1984-10-22,23.161643835616438,1,0.0,0.010631266597412146,0.010631266597412146,0.011817916489077674,0.004804703959866613,0.007221086353723176,1.0195458684767191,0.004898616071535737
1,2008-11-25,Antti Pihlstrom,home,Nashville Predators,St Louis Blues,L,12.35,0,0,0,0.02,0,0,0,0,0,0,0,0.39,0.31,20082009,0.4502,0.4502,0.4502,0.4502,-0.4502,0.4502,-0.060199999999999976,0.1402,0.01,0.0,-0.437625,0.55415125,0.12652625,1984-10-22,24.10958904109589,2,0.010675617238523182,0.02068732831095338,0.02068732831095338,0.025424681949597096,0.021492096233055438,0.025410838252276358,1.0003637145065818,0.02149991322023225
2,2008-11-28,Antti Pihlstrom,away,Nashville Predators,Atlanta Thrashers,L,13.91666667,0,0,0,0.26,0,0,0,0,0,0,1,0.46,0.6,20082009,0.50033333344,0.50033333344,0.50033333344,0.50033333344,-0.50033333344,-0.49966666656000003,-0.04033333343999995,-0.09966666656,0.13,0.0,-0.42520833339999997,-0.322768749886,-0.617977083286,1984-10-22,24.117808219178084,3,0.028571355540668284,-0.03085196070787522,-0.03085196070787522,-0.03597465714495405,0.03725662240807281,0.043655716157463866,1.0003267043975113,0.037268794310449944
3,2008-11-29,Antti Pihlstrom,home,Nashville Predators,Minnesota Wild,L,10.78333333,0,0,0,0.17,2,0,0,0,0,0,0,0.28,0.17,20082009,0.40006666656,0.40006666656,0.40006666656,0.40006666656,-0.40006666656,0.40006666656,-0.12006666655999998,0.23006666656,0.185,0.0,-0.4750416666,0.738571249886,0.44852958328599996,1984-10-22,24.12054794520548,4,-0.05836907080088696,0.005360398314757493,0.005360398314757493,0.006077439557275292,0.054603908513413596,0.06430021722185256,1.0003148146436647,0.054621098623414945
4,2008-12-01,Antti Pihlstrom,away,Nashville Predators,Buffalo Sabres,L,16.85,0,0,0,0.07,1,0,0,0,0,0,0,0.27,0.46,20082009,0.5942000000000001,0.5942000000000001,0.5942000000000001,0.5942000000000001,-0.5942000000000001,0.5942000000000001,-0.32420000000000004,0.13420000000000004,0.085,0.0,-0.602625,0.45305125,-0.06457374999999999,1984-10-22,24.126027397260273,5,0.0018147735955712748,0.0003873973323551194,0.0003873973323551194,0.00044458446145096553,0.0727559149315017,0.08589473950877469,1.000291704566279,0.07277713816411102
5,2008-12-04,Antti Pihlstrom,home,Nashville Predators,Colorado Avalanche,L,16.61666667,0,0,1,0.13,0,0,0,0,0,1,0,0.42,0.16,20082009,0.5867333334400001,0.5867333334400001,0.5867333334400001,0.5867333334400001,0.4132666665599999,0.5867333334400001,-0.16673333344000013,0.4267333334400001,0.615,0.0,0.12079166659999985,0.9550712501140001,1.690862916714,1984-10-22,24.134246575342466,6,-0.0052550440260861545,0.11410843210515846,0.11410843210515846,0.1298562941876182,0.08864699096960478,0.10487754198495952,1.0002587105544796,0.08866992488179147
6,2008-12-06,Antti Pihlstrom,home,Nashville Predators,Minnesota Wild,L,16.91666667,0,0,0,0.35,0,0,0,0,0,0,0,0.44,0.45,20082009,0.5963333334400001,0.5963333334400001,0.5963333334400001,0.5963333334400001,-0.5963333334400001,0.5963333334400001,-0.15633333344000006,0.14633333344000005,0.175,0.0,-0.4977083334000001,0.472331250114,0.1496229167139999,1984-10-22,24.13972602739726,7,0.1588303173813494,0.11637853616374855,0.11637853616374855,0.13177004471233594,0.10228511569215691,0.12144812095748002,1.0002378267018783,0.10230944182387322
7,2008-12-08,Antti Pihlstrom,away,Nashville Predators,St Louis Blues,L,16.45,1,0,0,0.3,0,0,0,0,0,0,1,0.73,0.64,20082009,0.5814,0.5814,0.5814,0.5814,-0.5814,-0.41859999999999997,0.14859999999999995,-0.058599999999999985,0.9,0.0,-0.30712500000000004,-0.30412874999999995,0.2887462500000001,1984-10-22,24.145205479452056,8,0.15801531714178532,0.12688863643137369,0.12688863643137369,0.14702050524168125,0.1129131915570576,0.13466801039919862,1.0002178310493544,0.11293778755606043
8,2008-12-09,Antti Pihlstrom,home,Nashville Predators,Vancouver Canucks,L,15.1,0,0,0,0.07,0,1,2,0,0,0,0,0.13,0.23,20082009,0.5382,0.5382,0.5382,0.5382,-0.5382,0.5382,-0.4082,0.30820000000000003,0.035,0.15,-0.655125,0.78420125,0.31407625,1984-10-22,24.147945205479452,9,0.1686834161643505,0.1378148347690386,0.1378148347690386,0.15293383317598624,0.11974050453877923,0.14379478977421106,1.0002081658916406,0.11976543042767204
9,2008-12-11,Antti Pihlstrom,away,Nashville Predators,Columbus Blue Jackets,L,15.83333333,0,0,0,0.06,1,0,0,0,0,0,1,0.5,0.37,20082009,0.5616666665600001,0.5616666665600001,0.5616666665600001,0.5616666665600001,-0.5616666665600001,-0.4383333334399999,-0.06166666656000008,0.1916666665600001,0.08,0.0,-0.43854166660000005,0.13378124988600004,-0.224760416714,1984-10-22,24.153424657534245,10,0.17967220655798494,0.11749059117713165,0.11749059117713165,0.12968589523320959,0.12127453793029203,0.1472853602087423,1.0001895001032317,0.12129751946774919
10,2008-12-13,Antti Pihlstrom,home,Nashville Predators,Dallas Stars,L,17.98333333,0,0,0,0.26,0,0,0,0,0,0,0,0.51,0.46,20082009,0.63046666656,0.63046666656,0.63046666656,0.63046666656,-0.63046666656,0.63046666656,-0.12046666656000005,0.17046666656000004,0.13,0.0,-0.47529166660000005,0.491811249886,0.14651958328599995,1984-10-22,24.15890410958904,11,0.15115208259536017,0.11905780635061758,0.11905780635061758,0.1375447061864589,0.11847423535660194,0.1449033876267836,1.000171719274887,0.11849457966639015
11,2008-12-18,Antti Pihlstrom,away,Nashville Predators,Phoenix Coyotes,L,14.63333333,0,0,0,0.17,0,0,0,0,0,0,0,0.24,0.38,20082009,0.52326666656,0.52326666656,0.52326666656,0.52326666656,-0.52326666656,0.52326666656,-0.28326666656,0.14326666655999998,0.085,0.0,-0.5770416666,0.513241249886,0.021199583285999968,1984-10-22,24.172602739726027,12,0.15084583363038018,0.11395604762802904,0.11395604762802904,0.12991100306899495,0.1123911291159949,0.1361922967979214,1.0001311304756442,0.11240586701821406
12,2008-12-20,Antti Pihlstrom,home,Nashville Predators,New York Islanders,L,15.71666667,0,0,0,0.04,0,1,0,0,0,0,0,0.29,0.4,20082009,0.5579333334400001,0.5579333334400001,0.5579333334400001,0.5579333334400001,-0.5579333334400001,0.5579333334400001,-0.2679333334400001,0.15793333344000005,0.02,-0.15,-0.5674583334000001,0.516291250114,-0.18116708328600006,1984-10-22,24.17808219178082,13,0.14273428193128926,0.09906243514667926,0.09906243514667926,0.11740302182628055,0.10590349617030445,0.12405099286210937,1.0001164369127216,0.10591582724644494
13,2008-12-23,Antti Pihlstrom,away,Nashville Predators,Florida Panthers,L,12.23333333,0,0,0,0.18,0,0,0,0,0,0,0,0.4,0.22,20082009,0.44646666656,0.44646666656,0.44646666656,0.44646666656,-0.44646666656,0.44646666656,-0.04646666655999998,0.22646666656,0.09,0.0,-0.4290416666,0.7031612498859999,0.3641195832859999,1984-10-22,24.186301369863013,14,0.1235934645466884,0.11203939231792932,0.11203939231792932,0.12524654684076084,0.10497528954187915,0.1197234472780469,1.000096044699979,0.1049853718620684
14,2008-12-26,Antti Pihlstrom,home,Nashville Predators,Detroit Red Wings,L,8.35,0,0,0,0.13,0,0,0,0,0,0,1,0.54,0.18,20082009,0.3222,0.3222,0.3222,0.3222,-0.3222,-0.6778,0.21780000000000005,0.1422,0.065,0.0,-0.263875,0.20085124999999998,0.001976249999999957,1984-10-22,24.194520547945206,15,0.13708690524609832,0.10680100439765666,0.10680100439765666,0.11581763941964518,0.10799437694782758,0.1220227407051222,1.000077626465064,0.10800276016955683
15,2008-12-28,Antti Pihlstrom,away,Nashville Predators,Edmonton Oilers,L,11.76666667,0,0,0,0.08,1,0,0,0,0,0,0,0.47,0.39,20082009,0.43153333344,0.43153333344,0.43153333344,0.43153333344,-0.43153333344,0.43153333344,0.038466666559999974,0.041533333439999987,0.09,0.0,-0.37595833340000007,0.398201250114,0.11224291671399989,1984-10-22,24.2,16,0.1298708586296686,0.10705326362756619,0.10705326362756619,0.11819775802318118,0.11334714607122508,0.12804790841273322,1.0000664422071774,0.11335467710578731
16,2008-12-29,Antti Pihlstrom,away,Nashville Predators,Colorado Avalanche,L,11.93333333,0,0,0,0.0,0,0,1,0,1,0,0,0.09,0.11,20082009,0.43686666656,0.43686666656,0.43686666656,0.43686666656,-0.43686666656,0.43686666656,-0.34686666656,0.32686666656,0.0,0.13999999999999999,-0.6167916666000001,0.879901249886,0.403109583286,1984-10-22,24.202739726027396,17,0.1289738675830624,0.12044279616125458,0.12044279616125458,0.13445673223529384,0.11998732705973718,0.13680858086229494,1.0000611779800794,0.11999466764204182
17,2009-01-01,Antti Pihlstrom,home,Nashville Predators,Vancouver Canucks,L,9.033333333,0,0,0,0.29,0,0,0,0,0,0,0,0.31,0.27,20082009,0.344066666656,0.344066666656,0.344066666656,0.344066666656,-0.344066666656,0.344066666656,-0.034066666656,0.07406666665599998,0.145,0.0,-0.42129166666,0.5087212499885999,0.23242958332859986,1984-10-22,24.21095890410959,18,0.14227185109319476,0.12539220703221493,0.12539220703221493,0.136161091266666,0.12686272069805718,0.14701077786564157,1.0000466950440559,0.12686864455838923
18,2009-01-03,Antti Pihlstrom,home,Nashville Predators,Calgary Flames,L,14.4,0,0,1,0.33,1,0,1,0,0,1,1,0.92,0.5,20082009,0.5158,0.5158,0.5158,0.5158,0.48419999999999996,-0.48419999999999996,0.4042,0.015800000000000036,0.7650000000000001,0.15,0.47762499999999997,-0.13623874999999996,1.2563862500000003,1984-10-22,24.216438356164385,19,0.14646579250355332,0.17431285823781326,0.17431285823781326,0.18589736781769214,0.13258777617049095,0.1565647479981747,1.0000381296625378,0.13259283169765296
19,2009-01-06,Antti Pihlstrom,home,Nashville Predators,Colorado Avalanche,L,13.33333333,0,0,0,0.19,1,0,0,0,0,0,0,0.59,0.2,20082009,0.48166666656,0.48166666656,0.48166666656,0.48166666656,-0.48166666656,0.48166666656,0.10833333343999996,0.28166666656,0.14500000000000002,0.0,-0.33229166660000004,0.774781249886,0.5874895832859999,1984-10-22,24.224657534246575,20,0.19598213284930982,0.1918281124031623,0.1918281124031623,0.212054334249281,0.13708554177866933,0.16476739294495515,1.0000269133783686,0.13708923121372407
20,2009-01-08,Antti Pihlstrom,home,Nashville Predators,Pittsburgh Penguins,L,11.63333333,0,0,0,0.18,0,1,0,0,0,0,0,0.45,0.05,20082009,0.42726666655999995,0.42726666655999995,0.42726666655999995,0.42726666655999995,-0.42726666655999995,0.42726666655999995,0.02273333344000006,0.37726666655999996,0.09,-0.15,-0.38579166659999997,0.971641249886,0.525849583286,1984-10-22,24.23013698630137,21,0.2127942200319209,0.20572332053871453,0.20572332053871453,0.22361296705533742,0.13929051091802955,0.1677267239744902,1.0000205219297102,0.1392933694281039
21,2009-01-10,Antti Pihlstrom,home,Nashville Predators,Chicago Blackhawks,L,10.46666667,0,0,0,0.05,0,0,0,0,0,0,1,0.36,1.0,20082009,0.38993333344000003,0.38993333344000003,0.38993333344000003,0.38993333344000003,-0.38993333344000003,-0.61006666656,-0.029933333440000043,-0.61006666656,0.025,0.0,-0.4187083334,-1.1207587498859999,-1.5144670832859999,1984-10-22,24.235616438356164,22,0.22573117284716732,0.13541607801166528,0.13541607801166528,0.1421485218480068,0.14187337933474636,0.16682640054358955,1.0000149979194803,0.14187550714026603
22,2009-01-11,Antti Pihlstrom,away,Nashville Predators,Chicago Blackhawks,L,10.18333333,0,0,0,0.22,1,1,0,0,0,0,0,0.24,0.25,20082009,0.38086666656,0.38086666656,0.38086666656,0.38086666656,-0.38086666656,0.38086666656,-0.14086666656000002,0.13086666656,0.16,-0.15,-0.48804166660000003,0.582051249886,0.10400958328599996,1984-10-22,24.23835616438356,23,0.1564180915667975,0.13415348554940862,0.13415348554940862,0.14063071296816412,0.14780255711506501,0.16736626481904665,1.0000125608248036,0.14780441363709046
23,2009-01-13,Antti Pihlstrom,away,Nashville Predators,Toronto Maple Leafs,L,11.23333333,0,0,0,0.15,1,0,0,0,0,0,0,0.22,0.14,20082009,0.41446666656000003,0.41446666656000003,0.41446666656000003,0.41446666656000003,-0.41446666656000003,0.41446666656000003,-0.19446666656000003,0.27446666656,0.125,0.0,-0.5215416666,0.8049612498859999,0.4084195832859999,1984-10-22,24.243835616438357,24,0.15440690299056273,0.14501000558248126,0.14501000558248126,0.15933295339788373,0.16025223491658663,0.17562394283154184,1.0000083357011895,0.16025357073133184
24,2009-01-15,Antti Pihlstrom,away,Nashville Predators,Montreal Canadiens,L,11.2,0,0,0,0.18,1,1,0,0,0,1,0,0.9,0.43,20082009,0.4134,0.4134,0.4134,0.4134,0.5866,0.4134,0.48660000000000003,-0.016600000000000004,0.14,-0.15,0.529125,0.31082124999999994,0.8299462499999999,1984-10-22,24.24931506849315,25,0.16382901902473584,0.17173193734506076,0.17173193734506076,0.1831631052044676,0.17692850633922902,0.19065248744174024,1.0000049749954807,0.17692938655774845
25,2009-01-19,Antti Pihlstrom,home,Nashville Predators,New Jersey Devils,L,8.5,0,0,0,0.1,0,0,0,0,0,0,0,0.11,0.03,20082009,0.327,0.327,0.327,0.327,-0.327,0.327,-0.21700000000000003,0.29700000000000004,0.05,0.0,-0.535625,0.89848125,0.41285625,1984-10-22,24.26027397260274,26,0.18774148308846372,0.18101207377668407,0.18101207377668407,0.1892786910678966,0.1968489343940169,0.20805568120022244,1.0000008420459374,0.1968491001498624
26,2009-02-01,Antti Pihlstrom,away,Nashville Predators,Edmonton Oilers,L,7.116666667,0,0,0,0.03,0,0,0,0,0,0,0,0.47,0.21,20082009,0.282733333344,0.282733333344,0.282733333344,0.282733333344,-0.282733333344,0.282733333344,0.18726666665599995,0.07273333334400003,0.015,0.0,-0.2829583333400001,0.5451712500114,0.2772129166713999,1984-10-22,24.295890410958904,27,0.19560036425278274,0.18466767202040932,0.18466767202040932,0.19588637668822398,0.22034388480515324,0.22843775530366228,1.0,0.22034388480515324
27,2009-02-03,Antti Pihlstrom,home,Nashville Predators,Phoenix Coyotes,L,7.183333333,0,0,0,0.07,0,0,0,0,0,1,0,0.52,0.12,20082009,0.284866666656,0.284866666656,0.284866666656,0.284866666656,0.715133333344,0.284866666656,0.235133333344,0.16486666665600003,0.035,0.0,0.37195833333999995,0.7004512499886,1.1074095833286,1984-10-22,24.301369863013697,28,0.19842016491469427,0.2193152266076825,0.2193152266076825,0.23866861733652536,0.2434216246332547,0.24972625842199406,1.0,0.2434216246332547
28,2009-02-05,Antti Pihlstrom,home,Nashville Predators,Anaheim Ducks,L,9.2,0,1,0,0.08,0,0,0,0,0,1,0,0.25,0.45,20082009,0.3494,0.3494,0.3494,0.3494,0.6506000000000001,0.3494,-0.09939999999999999,-0.10060000000000002,0.74,0.0,0.162875,0.20842125,1.11129625,1984-10-22,24.306849315068494,29,0.22889003696406116,0.25243481345413393,0.25243481345413393,0.26232426192066555,0.266127005821645,0.2692420645465185,1.0,0.266127005821645
29,2009-02-06,Antti Pihlstrom,away,Nashville Predators,Minnesota Wild,L,10.61666667,0,1,0,0.0,0,0,0,0,0,1,0,0.23,0.04,20082009,0.39473333344,0.39473333344,0.39473333344,0.39473333344,0.6052666665599999,0.39473333344,-0.16473333344,0.35473333344,0.7,0.0,0.12204166660000004,0.953871250114,1.775912916714,1984-10-22,24.30958904109589,30,0.25761537251143796,0.3084113315031265,0.3084113315031265,0.32931621027262703,0.2861411749469853,0.2822842997472053,1.0,0.2861411749469853
30,2009-02-08,Antti Pihlstrom,away,Nashville Predators,Dallas Stars,L,12.25,0,0,0,0.43,0,0,0,0,0,0,0,0.8,0.19,20082009,0.447,0.447,0.447,0.447,-0.447,0.447,0.35300000000000004,0.257,0.215,0.0,-0.17937499999999998,0.75473125,0.79035625,1984-10-22,24.315068493150687,31,0.30557144812420367,0.3259457550768609,0.3259457550768609,0.3458175809283195,0.29937848660123245,0.2908551085786557,1.0,0.29937848660123245
31,2009-02-10,Antti Pihlstrom,home,Nashville Predators,Detroit Red Wings,L,11.5,0,0,0,0.04,0,0,0,0,0,1,0,0.36,0.52,20082009,0.423,0.423,0.423,0.423,0.577,0.423,-0.063,-0.09700000000000003,0.02,0.0,0.18562499999999993,0.16808125000000002,0.3737062499999999,1984-10-22,24.32054794520548,32,0.320469773237725,0.3276674386713555,0.3276674386713555,0.3349376424415785,0.3018969083558539,0.2953218677375389,1.0,0.3018969083558539
32,2009-02-12,Antti Pihlstrom,home,Nashville Predators,St Louis Blues,L,10.36666667,0,0,0,0.09,0,0,0,0,0,1,1,0.3,0.49,20082009,0.38673333344000005,0.38673333344000005,0.38673333344000005,0.38673333344000005,0.61326666656,-0.61326666656,-0.08673333344000006,-0.10326666655999994,0.045,0.0,0.1707916665999999,-0.257178749886,-0.041387083286000104,1984-10-22,24.326027397260273,33,0.3220629365768847,0.31447835381145617,0.31447835381145617,0.3343652253463436,0.2958486294199285,0.2976905583005186,1.0,0.2958486294199285
