Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2021-02-02,Arthur Kaliyev,home,Los Angeles Kings,Anaheim Ducks,R,14.7,1,0,0,0.26,1,0,0,0,0,1,1,0.45,1.39,20202021,0.5254,0.5254,0.5254,0.5254,0.4746,-0.4746,-0.0753999999999999,-0.8645999999999999,0.93,0.0,0.1778750000000001,-1.6389787499999997,-0.5311037499999995,2001-06-26,19.61917808219178,1,0.0,-0.0499233099780239,-0.0499233099780239,-0.0550726600733293,0.0191994897550814,0.0256198426616453,1.7927429286864367,0.0344197494928098
2021-10-14,Arthur Kaliyev,home,Los Angeles Kings,Vegas Golden Knights,R,11.716666666667,0,0,0,0.13,0,0,0,0,0,1,2,0.31,0.34,20212022,0.429933333333344,0.429933333333344,0.429933333333344,0.429933333333344,0.570066666666656,-1.5700666666666558,-0.119933333333344,0.089933333333344,0.065,0.0,0.1500416666666598,-0.3935087499999886,-0.1784670833333287,2001-06-26,20.315068493150687,2,-0.0501315759248537,-0.0610768912617116,-0.0610768912617116,-0.0089384104669186,0.0358796452647243,0.0456775227837486,1.437055623230545,0.0515610459871893
2021-10-16,Arthur Kaliyev,home,Los Angeles Kings,Minnesota Wild,R,10.933333333333,0,0,0,0.02,0,0,0,0,0,0,0,0.01,0.12,20212022,0.404866666666656,0.404866666666656,0.404866666666656,0.404866666666656,-0.404866666666656,0.404866666666656,-0.394866666666656,0.284866666666656,0.01,0.0,-0.64679166666666,0.8287012499999886,0.1919095833333286,2001-06-26,20.32054794520548,3,-0.0671877390302118,-0.0406612507543511,-0.0406612507543511,-0.0378513642601085,0.0520770048023962,0.0650004883081401,1.4350690382578188,0.0747340971971226
2021-10-22,Arthur Kaliyev,away,Los Angeles Kings,Dallas Stars,R,12.133333333333,0,1,0,0.09,0,0,0,0,0,0,0,0.12,0.01,20212022,0.443266666666656,0.443266666666656,0.443266666666656,0.443266666666656,-0.443266666666656,0.443266666666656,-0.323266666666656,0.433266666666656,0.745,0.0,-0.60204166666666,1.0567412499999886,1.1996995833333286,2001-06-26,20.336986301369866,4,-0.0366899966958464,0.0530352888900058,0.0530352888900058,0.0635262075959846,0.0677328160870525,0.0834886475451941,1.4291649374632394,0.0968013658672615
2021-10-23,Arthur Kaliyev,away,Los Angeles Kings,St Louis Blues,R,13.733333333333,0,0,0,0.48,0,0,0,0,0,0,1,1.06,0.32,20212022,0.494466666666656,0.494466666666656,0.494466666666656,0.494466666666656,-0.494466666666656,-0.505533333333344,0.5655333333333441,0.174466666666656,0.24,0.0,-0.0465416666666599,0.1469612499999886,0.3404195833333286,2001-06-26,20.339726027397266,5,0.0948563223154029,0.0734711190678658,0.0734711190678658,0.0812351303798522,0.0828559991239968,0.1011484587608667,1.4281889618795327,0.1183340233743925
2021-10-25,Arthur Kaliyev,away,Los Angeles Kings,St Louis Blues,R,14.6,0,0,0,0.25,0,0,0,0,0,0,0,0.39,0.34,20212022,0.5222,0.5222,0.5222,0.5222,-0.5222,0.5222,-0.1321999999999999,0.1821999999999999,0.125,0.0,-0.4826249999999999,0.58010125,0.22247625,2001-06-26,20.34520547945205,6,0.1185114580925823,0.0834949363203379,0.0834949363203379,0.0959573487991991,0.0975865669568053,0.118194766283429,1.4262438396271566,0.1391822399525066
2021-10-28,Arthur Kaliyev,home,Los Angeles Kings,Winnipeg Jets,R,12.366666666667,0,1,0,0.01,0,0,1,0,0,1,1,0.6,0.34,20212022,0.450733333333344,0.450733333333344,0.450733333333344,0.450733333333344,0.549266666666656,-0.549266666666656,0.149266666666656,0.1107333333333439,0.705,0.15,0.3182916666666598,0.0662212500000113,1.2395129166666714,2001-06-26,20.353424657534248,7,0.1276782809793334,0.1573881981229883,0.1573881981229883,0.1885094862828619,0.1122442371963645,0.1351321001773165,1.4233431239367458,0.1597620632149706
2021-10-30,Arthur Kaliyev,home,Los Angeles Kings,Montreal Canadiens,R,13.216666666667,1,0,0,0.13,0,1,0,0,0,0,1,0.23,0.51,20212022,0.477933333333344,0.477933333333344,0.477933333333344,0.477933333333344,-0.477933333333344,-0.522066666666656,-0.247933333333344,-0.0320666666666559,0.815,-0.15,-0.5549583333333401,-0.1937087499999886,-0.0836670833333288,2001-06-26,20.35890410958904,8,0.2182431299235441,0.1426898818214023,0.1426898818214023,0.1733072247379427,0.126855935839486,0.1520052971813216,1.4214205445907575,0.1803156334055324
2021-10-31,Arthur Kaliyev,home,Los Angeles Kings,Buffalo Sabres,R,13.483333333333,0,0,0,0.14,0,0,1,0,0,0,0,0.43,0.05,20212022,0.486466666666656,0.486466666666656,0.486466666666656,0.486466666666656,-0.486466666666656,0.486466666666656,-0.056466666666656,0.436466666666656,0.07,0.15,-0.43529166666666,1.0349112499999886,0.8196195833333286,2001-06-26,20.36164383561644,9,0.1954228292612452,0.1822024758353433,0.1822024758353433,0.2049047088282579,0.1412814508193661,0.1685939773748732,1.4204626036788932,0.2006850174824083
2021-11-03,Arthur Kaliyev,home,Los Angeles Kings,St Louis Blues,R,13.233333333333,1,0,0,0.14,1,0,0,0,0,1,0,0.17,0.61,20212022,0.478466666666656,0.478466666666656,0.478466666666656,0.478466666666656,0.5215333333333441,0.478466666666656,-0.308466666666656,-0.131533333333344,0.8700000000000001,0.0,0.03220833333334,0.0743612499999885,0.9765695833333288,2001-06-26,20.36986301369863,10,0.2393658941767107,0.2267309165608209,0.2267309165608209,0.2562578829695212,0.1553744253562698,0.1846681280117679,1.4176020944630785,0.2202591108110453
