Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2014-12-13,Bobby Farnham,away,Pittsburgh Penguins,Columbus Blue Jackets,R,5.5166666666667,0,0,0,0.0,0,1,2,0,0,0,0,0.02,0.09,20142015,0.2315333333333344,0.2315333333333344,0.2315333333333344,0.2315333333333344,-0.2315333333333344,0.2315333333333344,-0.2115333333333344,0.1415333333333344,0.0,0.15,-0.5322083333333341,0.6944512500000011,0.312242916666667,1989-01-21,25.90958904109589,1,0.0,0.0293505740021461,0.0293505740021461,0.0340540985877829,0.04253766402964,0.0439332419731333,1,0.04253766402964
2014-12-15,Bobby Farnham,home,Pittsburgh Penguins,Tampa Bay Lightning,R,9.2833333333333,0,0,0,0.0,0,1,2,0,0,0,0,0.07,0.19,20142015,0.3520666666666656,0.3520666666666656,0.3520666666666656,0.3520666666666656,-0.3520666666666656,0.3520666666666656,-0.2820666666666656,0.1620666666666655,0.0,0.15,-0.576291666666666,0.6532712499999989,0.2269795833333329,1989-01-21,25.915068493150685,2,0.0294730163058965,0.0464985941827681,0.0464985941827681,0.0488489707967644,0.0523116232345083,0.0549274852080803,1,0.0523116232345083
2014-12-18,Bobby Farnham,home,Pittsburgh Penguins,Colorado Avalanche,R,4.2333333333333,0,0,0,0.3,0,1,1,0,0,0,0,0.61,0.0,20142015,0.1904666666666656,0.1904666666666656,0.1904666666666656,0.1904666666666656,-0.1904666666666656,0.1904666666666656,0.4195333333333344,0.1904666666666656,0.15,0.0,-0.1377916666666659,0.8035612499999988,0.8157695833333328,1989-01-21,25.92328767123288,3,0.0465674775972677,0.1085776440307059,0.1085776440307059,0.1259756714431845,0.0609995784964439,0.0647902721337881,1,0.0609995784964439
2014-12-20,Bobby Farnham,home,Pittsburgh Penguins,Florida Panthers,R,6.4833333333333,0,0,0,0.0,1,0,2,0,0,0,0,0.15,0.29,20142015,0.2624666666666656,0.2624666666666656,0.2624666666666656,0.2624666666666656,-0.2624666666666656,0.2624666666666656,-0.1124666666666656,-0.0275333333333343,0.05,0.3,-0.470291666666666,0.3875112499999989,0.2672195833333328,1989-01-21,25.92876712328767,4,0.108163421698623,0.1205614154838406,0.1205614154838406,0.1305417860450212,0.068210970011497,0.072622895875365,1,0.068210970011497
2014-12-22,Bobby Farnham,away,Pittsburgh Penguins,Florida Panthers,R,7.8666666666667,0,0,0,0.0,0,0,0,0,0,0,0,0.02,0.26,20142015,0.3067333333333344,0.3067333333333344,0.3067333333333344,0.3067333333333344,-0.3067333333333344,0.3067333333333344,-0.2867333333333344,0.0467333333333344,0.0,0.0,-0.579208333333334,0.4858212500000011,-0.0933870833333329,1989-01-21,25.934246575342467,5,0.1199976999231586,0.1053475876123314,0.1053475876123314,0.113827170326827,0.0739558989918675,0.0777706687469673,1,0.0739558989918675
2014-12-23,Bobby Farnham,away,Pittsburgh Penguins,Tampa Bay Lightning,R,7.5833333333333,0,0,0,0.03,0,1,1,0,0,0,1,0.08,0.17,20142015,0.2976666666666656,0.2976666666666656,0.2976666666666656,0.2976666666666656,-0.2976666666666656,-0.7023333333333344,-0.2176666666666656,0.1276666666666656,0.015,0.0,-0.5360416666666661,0.1916312499999988,-0.3294104166666672,1989-01-21,25.936986301369863,6,0.1051680737527874,0.0761007102955563,0.0761007102955563,0.0797189352003098,0.0793477632181983,0.0825215600824982,1,0.0793477632181983
2014-12-27,Bobby Farnham,home,Pittsburgh Penguins,Washington Capitals,R,10.883333333333,0,0,0,0.21,0,1,0,0,0,0,0,0.33,0.7,20142015,0.403266666666656,0.403266666666656,0.403266666666656,0.403266666666656,-0.403266666666656,0.403266666666656,-0.0732666666666559,-0.2967333333333439,0.105,-0.15,-0.44579166666666,-0.1590087500000113,-0.6498004166666713,1989-01-21,25.947945205479453,7,0.0768782438768235,0.0297007382108756,0.0297007382108756,0.0319071345782165,0.0851476050671103,0.0885058693520772,1,0.0851476050671103
2014-12-29,Bobby Farnham,away,Pittsburgh Penguins,New Jersey Devils,R,8.4333333333333,0,0,0,0.13,1,0,2,0,0,0,0,0.17,0.09,20142015,0.3248666666666656,0.3248666666666656,0.3248666666666656,0.3248666666666656,-0.3248666666666656,0.3248666666666656,-0.1548666666666655,0.2348666666666655,0.115,0.3,-0.4967916666666659,0.7942012499999989,0.7124095833333328,1989-01-21,25.95342465753425,8,0.0321453054904169,0.0713288265351665,0.0713288265351665,0.0786837758964772,0.0912913655804584,0.095737482036452,1,0.0912913655804584
2014-12-31,Bobby Farnham,home,Pittsburgh Penguins,Carolina Hurricanes,R,5.1,0,0,0,0.08,0,0,1,0,0,0,0,0.21,0.06,20142015,0.2181999999999999,0.2181999999999999,0.2181999999999999,0.2181999999999999,-0.2181999999999999,0.2181999999999999,-0.0081999999999999,0.1581999999999999,0.04,0.15,-0.405125,0.73120125,0.51607625,1989-01-21,25.95890410958904,9,0.0717348384733582,0.097288869864426,0.097288869864426,0.1076453572383469,0.0979022603986482,0.1041537601304635,1,0.0979022603986482
2015-01-02,Bobby Farnham,home,Pittsburgh Penguins,Tampa Bay Lightning,R,8.3666666666667,0,0,0,0.0,0,0,0,0,0,1,0,0.07,0.35,20142015,0.3227333333333343,0.3227333333333343,0.3227333333333343,0.3227333333333343,0.6772666666666656,0.3227333333333343,-0.2527333333333343,-0.0272666666666656,0.0,0.0,0.067041666666666,0.3499212500000012,0.4169629166666672,1989-01-21,25.964383561643835,10,0.0962604180719328,0.1152082760308542,0.1152082760308542,0.1186045223353829,0.1054897251712368,0.1140787913997335,1,0.1054897251712368
