Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2011-10-07,Brandon Saad,away,Chicago Blackhawks,Dallas Stars,L,13.083333333333,0,0,0,0.1,1,0,0,0,0,0,0,0.37,0.42,20112012,0.473666666666656,0.473666666666656,0.473666666666656,0.473666666666656,-0.473666666666656,0.473666666666656,-0.103666666666656,0.053666666666656,0.1,0.0,-0.46479166666666,0.3922312499999886,0.0274395833333285,1992-10-27,18.95616438356164,1,0.0,0.0025792979703449,0.0025792979703449,0.0030550969400577,0.923834965429542,0.8881008475598052,2.5306127622216263,2.337868553702574
2011-10-08,Brandon Saad,home,Chicago Blackhawks,Dallas Stars,L,14.95,0,0,0,0.03,0,0,0,0,0,0,0,0.36,0.55,20112012,0.5334,0.5334,0.5334,0.5334,-0.5334,0.5334,-0.1734,-0.0166,0.015,0.0,-0.508375,0.2350712499999999,-0.2583037500000001,1992-10-27,18.95890410958904,2,0.0025900580728739,-0.0200571954600337,-0.0200571954600337,-0.0233483996647132,0.924607374977172,0.8902824364728927,2.5258905304620285,2.3354570128501924
2013-01-20,Brandon Saad,away,Chicago Blackhawks,Phoenix Coyotes,L,13.516666666667,0,0,0,0.11,1,0,0,0,0,1,0,0.43,0.19,20122013,0.487533333333344,0.487533333333344,0.487533333333344,0.487533333333344,0.512466666666656,0.487533333333344,-0.0575333333333439,0.297533333333344,0.105,0.0,0.18904166666666,0.7980512500000113,1.0920929166666713,1992-10-27,20.246575342465757,3,-0.0199513193908483,0.0696917008623651,0.0696917008623651,-0.0766029734329133,0.925364441246576,0.8924423960381397,1.462698073486162,1.3535287854839655
2013-01-22,Brandon Saad,home,Chicago Blackhawks,St Louis Blues,L,13.733333333333,0,0,0,0.13,0,0,0,0,0,0,1,0.43,0.33,20122013,0.494466666666656,0.494466666666656,0.494466666666656,0.494466666666656,-0.494466666666656,-0.505533333333344,-0.064466666666656,0.164466666666656,0.065,0.0,-0.44029166666666,0.1299612499999886,-0.2453304166666714,1992-10-27,20.252054794520543,4,0.1744734353664851,0.0458950108083625,0.0458950108083625,0.0460240624702739,0.926105126662644,0.8945786204997414,1.4605900004608598,1.352659887378996
2013-01-24,Brandon Saad,away,Chicago Blackhawks,Dallas Stars,L,12.9,0,0,0,0.57,0,0,0,1,0,0,0,0.92,0.72,20122013,0.4678,0.4678,0.4678,0.4678,-0.4678,0.4678,0.4522,-0.2522,0.285,0.01,-0.117375,-0.1240387499999999,0.05358625,1992-10-27,20.257534246575343,5,0.1117962444219391,0.0464419330341649,0.0464419330341649,0.0490230085311829,0.9268285205786916,0.8966892268365292,1.4584920040384652,1.3517719863788218
2013-01-26,Brandon Saad,away,Chicago Blackhawks,Columbus Blue Jackets,L,11.833333333333,0,0,0,0.29,0,0,0,1,1,0,0,0.33,0.0,20122013,0.433666666666656,0.433666666666656,0.433666666666656,0.433666666666656,-0.433666666666656,0.433666666666656,-0.1036666666666559,0.433666666666656,0.145,0.0,-0.46479166666666,1.0634812499999886,0.7436895833333286,1992-10-27,20.263013698630136,6,0.1042092656041347,0.0933469153162689,0.0933469153162689,0.1127623428000371,0.9275338352583072,0.8987725492142059,1.4564040201502917,1.3508640064956168
2013-01-27,Brandon Saad,home,Chicago Blackhawks,Detroit Red Wings,L,11.983333333333,0,0,0,0.1,0,0,0,0,0,0,1,0.37,0.61,20122013,0.438466666666656,0.438466666666656,0.438466666666656,0.438466666666656,-0.438466666666656,-0.561533333333344,-0.068466666666656,-0.1715333333333439,0.05,0.0,-0.44279166666666,-0.4058887500000113,-0.7986804166666714,1992-10-27,20.265753424657536,7,0.1781964354584165,0.0363280710612794,0.0363280710612794,0.0399229126579759,0.928220401025932,0.9008271318129804,1.455363763036244,1.3508983357641118
2013-01-30,Brandon Saad,away,Chicago Blackhawks,Minnesota Wild,L,13.766666666667,0,0,0,0.1,1,0,1,0,0,1,0,0.26,0.17,20122013,0.495533333333344,0.495533333333344,0.495533333333344,0.495533333333344,0.504466666666656,0.495533333333344,-0.2355333333333439,0.325533333333344,0.1,0.15,0.0777916666666599,0.8406012500000113,1.168392916666671,1992-10-27,20.273972602739725,8,0.0767200720944987,0.1053555865510387,0.1053555865510387,0.1140430815368213,0.928887660773424,0.9028517203636331,1.4522578364570995,1.3489843845465088
2013-02-01,Brandon Saad,away,Chicago Blackhawks,Vancouver Canucks,L,14.916666666667,0,0,0,0.25,0,0,2,1,1,0,0,0.51,0.18,20122013,0.532333333333344,0.532333333333344,0.532333333333344,0.532333333333344,-0.532333333333344,0.532333333333344,-0.0223333333333439,0.352333333333344,0.125,0.3,-0.41395833333334,0.8629312500000114,0.8739729166666714,1992-10-27,20.27945205479452,9,0.1799839400748413,0.1502200155295672,0.1502200155295672,0.1577549935368966,0.9295351639898998,0.9048452526921242,1.4501995112521462,1.3480114405098362
2013-02-02,Brandon Saad,away,Chicago Blackhawks,Calgary Flames,L,16.4,0,0,0,0.0,1,1,1,0,0,0,1,0.14,0.51,20122013,0.5798,0.5798,0.5798,0.5798,-0.5798,-0.4202,-0.4397999999999999,0.0697999999999999,0.05,0.0,-0.674875,-0.0848387499999999,-0.7097137499999999,1992-10-27,20.28219178082192,10,0.240166450663266,0.1020162198980655,0.1020162198980655,0.1076216537818465,0.9301625604624308,0.9068068485398416,1.44917401314341,1.3479674106210908
