Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2022-03-15,Brayden Pachal,away,Vegas Golden Knights,Winnipeg Jets,D,10.516666666667,0,0,0,0.05,0,0,0,0,0,0,1,0.69,0.22,20212022,0.391533333333344,0.391533333333344,0.391533333333344,0.391533333333344,-0.391533333333344,-0.608466666666656,0.2984666666666559,0.171533333333344,0.025,0.0,-0.037533333333344,0.531829166666682,0.519295833333338,1999-08-23,22.575342465753423,1,0.0,0.0488133756498547,0.0488133756498547,0.0485792133706425,0.0488174370777459,0.0485784947805088,1.0493321178232042,0.0512257046354921
2022-03-21,Brayden Pachal,away,Vegas Golden Knights,Minnesota Wild,D,9.0,0,0,0,0.01,1,0,0,0,0,0,1,0.21,0.32,20212022,0.343,0.343,0.343,0.343,-0.343,-0.657,-0.133,0.023,0.055,0.0,-0.757,0.2320625,-0.4699374999999999,1999-08-23,22.59178082191781,2,0.049017011264203,0.0038020156553718,0.0038020156553718,0.0037048250557786,0.0066230964389494,0.0037060017258977,1.048267089147683,0.0069427740252019
2022-12-13,Brayden Pachal,away,Vegas Golden Knights,Winnipeg Jets,D,14.116666666667,0,0,0,0.03,1,0,0,0,0,0,0,0.56,0.5,20222023,0.506733333333344,0.506733333333344,0.506733333333344,0.506733333333344,-0.506733333333344,0.506733333333344,0.053266666666656,0.006733333333344,0.065,0.0,-0.360733333333344,0.6284291666666821,0.3326958333333381,1999-08-23,23.32328767123288,3,0.0037865814732324,0.0303432683352033,0.0303432683352033,0.0353377117495846,0.0316364591795474,0.0353388888929571,1.013990666552133,0.0320790743308186
2022-12-15,Brayden Pachal,away,Vegas Golden Knights,Chicago Blackhawks,D,17.416666666667,0,0,1,0.03,1,0,0,0,0,0,0,0.62,0.24,20222023,0.612333333333344,0.612333333333344,0.612333333333344,0.612333333333344,-0.612333333333344,0.612333333333344,0.0076666666666559,0.372333333333344,0.6150000000000001,0.0,-0.370333333333344,1.3782291666666822,1.622895833333338,1999-08-23,23.328767123287676,4,0.0454592549831377,0.1506442811060744,0.1506442811060744,0.183167672922654,0.1506255161597626,0.1831709148564708,1.0138204006724063,0.1527072211445785
2022-12-23,Brayden Pachal,home,Vegas Golden Knights,St Louis Blues,D,14.733333333333,0,0,0,0.06,0,1,0,0,0,1,1,1.01,1.1,20222023,0.5264666666666561,0.5264666666666561,0.5264666666666561,0.5264666666666561,0.4735333333333439,-0.4735333333333439,0.4835333333333439,-0.573533333333344,0.03,-0.15,0.7395333333333438,-1.2982041666666817,-0.6786708333333379,1999-08-23,23.350684931506848,5,0.2234469823416197,0.0916718766625923,0.0916718766625923,0.102898762910033,0.0916476288060991,0.1085468491332618,1.0131508800682258,0.0928528757810654
2022-12-27,Brayden Pachal,away,Vegas Golden Knights,Los Angeles Kings,D,15.716666666667,0,0,1,0.16,1,0,0,0,0,1,1,0.81,0.69,20222023,0.557933333333344,0.557933333333344,0.557933333333344,0.557933333333344,0.4420666666666559,-0.4420666666666559,0.252066666666656,-0.1320666666666559,0.68,0.0,0.3880666666666561,-0.3099708333333175,0.7580958333333385,1999-08-23,23.36164383561644,6,0.130715915243943,0.13650329899381,0.13650329899381,0.146899108824926,0.1362661495495642,0.1490723554958187,1.0128230115343968,0.1380134919569861
2022-12-28,Brayden Pachal,away,Vegas Golden Knights,Anaheim Ducks,D,15.8,0,0,0,0.07,3,1,0,0,0,0,0,0.75,0.59,20222023,0.5606000000000001,0.5606000000000001,0.5606000000000001,0.5606000000000001,-0.5606000000000001,0.5606000000000001,0.1893999999999999,-0.0293999999999998,0.185,-0.15,-0.1106000000000001,0.4988625000000003,0.4232625000000002,1999-08-23,23.36438356164384,7,0.1896008432112644,0.1548330940960636,0.1548330940960636,0.1879740538534501,0.1548373183987297,0.1851669801684483,1.0127417590333418,0.1568102181991351
2022-12-31,Brayden Pachal,home,Vegas Golden Knights,Nashville Predators,D,20.783333333333,0,0,0,0.05,1,0,0,0,0,0,0,0.57,1.35,20222023,0.7200666666666561,0.7200666666666561,0.7200666666666561,0.7200666666666561,-0.7200666666666561,0.7200666666666561,-0.1500666666666561,-0.629933333333344,0.075,0.0,-0.5580666666666562,-1.019904166666682,-1.502970833333338,1999-08-23,23.372602739726027,8,0.209685182087197,0.0537487023990304,0.0537487023990304,0.0581513030046089,0.1441466081176547,0.1711606143665235,1.0124997118746948,0.14594839918684
2023-01-02,Brayden Pachal,away,Vegas Golden Knights,Colorado Avalanche,D,15.666666666667,0,0,0,0.0,0,1,0,0,0,0,0,0.43,0.18,20222023,0.5563333333333441,0.5563333333333441,0.5563333333333441,0.5563333333333441,-0.5563333333333441,0.5563333333333441,-0.1263333333333441,0.3763333333333441,0.0,-0.15,-0.6183333333333441,1.4357291666666825,0.6673958333333382,1999-08-23,23.378082191780823,9,0.0734096837675943,0.0895674733855475,0.0895674733855475,0.0962600841414448,0.0794166482923067,0.0962654330933551,1.0123397694222394,0.0803966314205209
2023-01-05,Brayden Pachal,home,Vegas Golden Knights,Pittsburgh Penguins,D,18.733333333333,0,0,0,0.03,1,0,0,0,0,1,0,0.5,1.04,20222023,0.6544666666666561,0.6544666666666561,0.6544666666666561,0.6544666666666561,0.3455333333333439,0.6544666666666561,-0.1544666666666561,-0.3855333333333439,0.065,0.0,-0.204466666666656,-0.4012041666666819,-0.5406708333333379,1999-08-23,23.386301369863013,10,0.1173444809206593,0.0542393123643179,0.0542393123643179,0.0569493252602178,0.0563720891658748,0.0592281946306959,1.0121019833180789,0.0570543032485654
