Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2010-12-29,Brett MacLean,home,Phoenix Coyotes,Los Angeles Kings,L,13.0,1,0,0,0.26,0,0,1,0,0,1,0,0.2,0.2,20102011,0.471,0.471,0.471,0.471,0.5289999999999999,0.471,-0.271,0.271,0.88,0.15,0.0556249999999999,0.76338125,1.84900625,1988-12-24,22.02739726027397,1,0.0,0.1738050468859497,0.1738050468859497,0.1839843718747159,0.1679596662485756,0.177626709954471,1.094050226752252,0.1837563109444867
2011-01-18,Brett MacLean,home,Phoenix Coyotes,Nashville Predators,L,12.516666666667,0,0,0,0.1,0,0,0,0,0,0,1,0.24,0.52,20102011,0.455533333333344,0.455533333333344,0.455533333333344,0.455533333333344,-0.455533333333344,-0.544466666666656,-0.215533333333344,-0.064466666666656,0.05,0.0,-0.53470833333334,-0.2346487499999886,-0.7193570833333287,1988-12-24,22.08219178082192,2,0.1745301124448928,0.0963064939892895,0.0963064939892895,0.104256987325713,0.1595055681345102,0.1627875195708834,1.0886925091832484,0.1736525172010595
2011-03-05,Brett MacLean,home,Phoenix Coyotes,Detroit Red Wings,L,11.716666666667,0,0,1,0.15,0,0,0,0,0,2,1,0.45,0.01,20102011,0.429933333333344,0.429933333333344,0.429933333333344,0.429933333333344,1.5700666666666558,-0.570066666666656,0.0200666666666559,0.419933333333344,0.625,0.0,0.8625416666666598,0.6049912500000114,2.0925329166666717,1988-12-24,22.208219178082192,3,0.0947003932770619,0.2573990626015511,0.2573990626015511,0.2613141742066351,0.1790467451513888,0.1783514288561969,1.0771701442058077,0.1928638082943019
2011-03-08,Brett MacLean,home,Phoenix Coyotes,Vancouver Canucks,L,13.116666666667,0,0,0,0.29,0,0,0,0,0,0,0,0.37,0.67,20102011,0.474733333333344,0.474733333333344,0.474733333333344,0.474733333333344,-0.474733333333344,0.474733333333344,-0.104733333333344,-0.195266666666656,0.145,0.0,-0.46545833333334,-0.0316287499999886,-0.3520870833333287,1988-12-24,22.216438356164385,4,0.2721864678611023,0.2113586352792248,0.2113586352792248,0.2083827577005939,0.2256103078129504,0.2205414670948192,1.0764560014804077,0.2428595698410926
2011-03-10,Brett MacLean,home,Phoenix Coyotes,Calgary Flames,L,11.55,1,0,0,0.25,0,0,0,0,0,1,0,0.64,0.64,20102011,0.4246,0.4246,0.4246,0.4246,0.5753999999999999,0.4246,0.2153999999999999,-0.2153999999999999,0.875,0.0,0.359625,-0.0342087499999999,1.20041625,1988-12-24,22.221917808219175,5,0.2209829785214376,0.2816902916757758,0.2816902916757758,0.2783188958138575,0.2761320261675685,0.2746939828225831,1.0759823757472986,0.2971131935356956
2011-03-13,Brett MacLean,away,Phoenix Coyotes,Anaheim Ducks,L,4.1333333333333,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,20102011,0.1872666666666655,0.1872666666666655,0.1872666666666655,0.1872666666666655,-0.1872666666666655,0.1872666666666655,-0.1872666666666655,0.1872666666666655,0.0,0.0,-0.517041666666666,0.8001412499999988,0.2830995833333328,1988-12-24,22.23013698630137,6,0.295489740148433,0.2817850970153129,0.2817850970153129,0.2931195091924786,0.286915802842839,0.295584594457513,1.0752756255715927,0.3085135693882095
2011-03-17,Brett MacLean,away,Phoenix Coyotes,Edmonton Oilers,L,4.2833333333333,0,0,0,0.05,0,1,0,0,0,0,0,0.21,0.05,20102011,0.1920666666666656,0.1920666666666656,0.1920666666666656,0.1920666666666656,-0.1920666666666656,0.1920666666666656,0.0179333333333343,0.1420666666666656,0.025,-0.15,-0.388791666666666,0.7202712499999988,0.2064795833333328,1988-12-24,22.24109589041096,7,0.2946091639072343,0.2769715299840989,0.2769715299840989,0.290583204503746,0.2562290257640102,0.2643444046701798,1.0743401443367042,0.2752771285225598
2011-03-18,Brett MacLean,away,Phoenix Coyotes,Vancouver Canucks,L,10.916666666667,0,0,0,0.13,0,0,0,0,0,0,0,0.32,0.65,20102011,0.404333333333344,0.404333333333344,0.404333333333344,0.404333333333344,-0.404333333333344,0.404333333333344,-0.0843333333333439,-0.245666666666656,0.065,0.0,-0.45270833333334,-0.0728687499999887,-0.4605770833333287,1988-12-24,22.24383561643836,8,0.2887195276114639,0.2319995935019679,0.2319995935019679,0.2262892887700455,0.2266810978347954,0.2235410756976459,1.0741074924969267,0.2434798655917826
2011-03-20,Brett MacLean,home,Phoenix Coyotes,Chicago Blackhawks,L,4.1166666666667,0,0,0,0.0,0,0,0,0,0,0,0,0.05,0.24,20102011,0.1867333333333344,0.1867333333333344,0.1867333333333344,0.1867333333333344,-0.1867333333333344,0.1867333333333344,-0.1367333333333343,-0.0532666666666656,0.0,0.0,-0.485458333333334,0.3915712500000011,-0.0938870833333328,1988-12-24,22.24931506849315,9,0.241697373254416,0.2129774883593133,0.2129774883593133,0.2079456912344292,0.2271556857049901,0.2147710972418096,1.073643645594108,0.243884258517735
2011-03-24,Brett MacLean,home,Phoenix Coyotes,Columbus Blue Jackets,L,4.85,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.06,20102011,0.2102,0.2102,0.2102,0.2102,-0.2102,0.2102,-0.2102,0.1502,0.0,0.0,-0.531375,0.72265125,0.1912762499999999,1988-12-24,22.26027397260274,10,0.221810014927501,0.211761020183792,0.211761020183792,0.211597100237001,0.208901062851822,0.1933571316714897,1.072721757499648,0.224092715285951
