Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2017-10-07,Calle Rosen,home,Toronto Maple Leafs,New York Rangers,D,14.53333333,0,0,0,0.07,0,0,0,0,0,0,1,0.19,0.76,20172018,0.52006666656,0.52006666656,0.52006666656,0.52006666656,-0.52006666656,-0.47993333344,-0.33006666656,-0.23993333344,0.035,0.0,-0.96606666656,-0.5254041668199998,-1.4564708333799996,1994-02-02,23.693150684931503,1,0.0,-0.1369070447888584,-0.1369070447888584,-0.1732828998618453,0.0182935699192682,0.0160975629911326,1.004981926511052,0.0183847071402308
2017-10-09,Calle Rosen,home,Toronto Maple Leafs,Chicago Blackhawks,D,13.51666667,0,0,1,0.08,0,1,1,0,0,1,0,1.25,0.18,20172018,0.48753333344,0.48753333344,0.48753333344,0.48753333344,0.51246666656,0.48753333344,0.76246666656,0.30753333344,0.5900000000000001,0.0,1.16246666656,1.33682916682,3.08929583338,1994-02-02,23.698630136986303,2,-0.1374781823060458,0.1430265148076992,0.1430265148076992,0.1272884575306015,0.0169892498009415,0.0147443653639926,1.004884734056163,0.0170722377680328
2017-10-11,Calle Rosen,home,Toronto Maple Leafs,New Jersey Devils,D,11.85,0,0,0,0.12,0,1,0,0,0,0,2,0.79,0.94,20172018,0.4342,0.4342,0.4342,0.4342,-0.4342,-1.5658,0.3558,-0.5058,0.06,-0.15,0.0798000000000001,-1.6378374999999996,-1.6480374999999996,1994-02-02,23.704109589041096,3,0.1418034858295004,-0.0015097459173658,-0.0015097459173658,-0.0015348163533027,0.016350482914381,0.0141508607007111,1.0047885548139786,0.0164287780980516
2017-10-17,Calle Rosen,away,Toronto Maple Leafs,Washington Capitals,D,11.25,0,0,0,0.0,0,0,0,0,0,0,0,0.19,0.14,20172018,0.415,0.415,0.415,0.415,-0.415,0.415,-0.2249999999999999,0.2749999999999999,0.0,0.0,-0.861,1.3245625,0.4635624999999999,1994-02-02,23.72054794520548,4,-0.0012714433964286,0.0336216923944039,0.0336216923944039,0.0413528365632224,0.0162879096956999,0.0142348258780101,1.0045060781067472,0.0163613042889844
2019-04-01,Calle Rosen,away,Toronto Maple Leafs,New York Islanders,D,9.6166666666667,1,0,0,0.05,0,0,0,0,0,1,0,1.12,0.47,20182019,0.3627333333333343,0.3627333333333343,0.3627333333333343,0.3627333333333343,0.6372666666666656,0.3627333333333343,0.7572666666666658,-0.1072666666666656,0.775,0.0,1.0792666666666657,0.4904291666666682,2.344695833333334,1994-02-02,25.175342465753424,5,0.033502311946244,0.1979616357589359,0.1979616357589359,0.1866179982447969,0.0156935215981909,0.0137969509026862,1.0,0.0156935215981909
2019-04-02,Calle Rosen,home,Toronto Maple Leafs,Carolina Hurricanes,D,18.383333333333,0,0,0,0.01,1,0,0,0,0,0,1,0.37,1.15,20182019,0.643266666666656,0.643266666666656,0.643266666666656,0.643266666666656,-0.643266666666656,-0.356733333333344,-0.273266666666656,-0.5067333333333439,0.055,0.0,-0.801266666666656,-1.2453041666666815,-1.9915708333333373,1994-02-02,25.17808219178082,6,0.4284493730496398,0.0506682291410725,0.0506682291410725,0.0466963775020134,0.0134699430054109,0.0116311739658254,1.0,0.0134699430054109
2019-04-04,Calle Rosen,home,Toronto Maple Leafs,Tampa Bay Lightning,D,18.65,0,0,0,0.02,0,0,0,0,0,1,1,0.43,0.68,20182019,0.6518,0.6518,0.6518,0.6518,0.3481999999999999,-0.3481999999999999,-0.2218,-0.0282,0.01,0.0,-0.3138000000000001,-0.1520374999999998,-0.4558374999999999,1994-02-02,25.183561643835617,7,0.0746839908038982,0.0182921233327955,0.0182921233327955,0.0170973831988284,0.0109816717336058,0.00917473420945,1.0,0.0109816717336058
2019-04-06,Calle Rosen,away,Toronto Maple Leafs,Montreal Canadiens,D,20.166666666667,0,0,0,0.03,1,0,0,0,0,2,3,1.21,1.11,20182019,0.700333333333344,0.700333333333344,0.700333333333344,0.700333333333344,1.299666666666656,-2.299666666666656,0.5096666666666559,-0.4096666666666561,0.065,0.0,1.2856666666666556,-2.2212708333333184,-0.8706041666666628,1994-02-02,25.18904109589041,8,0.0067962430916159,-0.0359082192225946,-0.0359082192225946,-0.0336194804625512,0.0096245389660763,0.0079136481115246,1.0,0.0096245389660763
2019-11-27,Calle Rosen,home,Colorado Avalanche,Edmonton Oilers,D,15.716666666667,0,0,1,0.09,0,0,0,0,0,1,1,0.41,0.72,20192020,0.557933333333344,0.557933333333344,0.557933333333344,0.557933333333344,0.4420666666666559,-0.4420666666666559,-0.147933333333344,-0.1620666666666559,0.5950000000000001,0.0,-0.2519333333333441,-0.3789708333333177,-0.0359041666666617,1994-02-02,25.832876712328765,9,-0.0930795663528893,-0.0359079826736636,-0.0359079826736636,-0.0418641286483187,0.0100900126950372,0.0084212256855489,1.0,0.0100900126950372
2019-11-29,Calle Rosen,away,Colorado Avalanche,Chicago Blackhawks,D,16.05,0,0,0,0.02,2,0,0,0,0,0,1,0.8,0.82,20192020,0.5686000000000001,0.5686000000000001,0.5686000000000001,0.5686000000000001,-0.5686000000000001,-0.4313999999999999,0.2313999999999999,-0.2513999999999998,0.11,0.0,-0.0385999999999998,-0.5936374999999996,-0.5222374999999995,1994-02-02,25.83835616438356,10,-0.0844295389606565,-0.0631693016292332,-0.0631693016292332,-0.0714943969543767,0.0127331512082731,0.0107600514159436,1.0,0.0127331512082731
