Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2019-10-03,Carter Verhaeghe,home,Tampa Bay Lightning,Florida Panthers,C,10.916666666667,0,0,0,0.02,0,0,0,0,2,1,1,0.19,0.21,20192020,0.404333333333344,0.404333333333344,0.404333333333344,0.404333333333344,0.595666666666656,-0.595666666666656,-0.2143333333333439,0.194333333333344,0.01,-0.02,0.09104166666666,0.2376312500000113,0.3186729166666713,1995-08-14,24.153424657534245,1,0.0,0.0299549886445939,0.0299549886445939,0.03562178952241,0.111541585370318,0.1418637887572224,1.0001895001032317,0.1115627225122603
2019-10-05,Carter Verhaeghe,away,Tampa Bay Lightning,Florida Panthers,C,9.3,0,0,1,0.59,0,0,0,0,0,1,0,1.64,0.14,20192020,0.3526,0.3526,0.3526,0.3526,0.6474,0.3526,1.2874,0.2126,0.845,0.0,1.0296249999999998,0.73884125,2.61346625,1995-08-14,24.15890410958904,2,0.0300799523954968,0.2541230062676811,0.2541230062676811,0.3321183547396378,0.1138487957094959,0.143516625346587,1.000171719274887,0.1138683457421419
2019-10-06,Carter Verhaeghe,away,Tampa Bay Lightning,Carolina Hurricanes,C,12.933333333333,0,0,0,0.0,0,0,0,0,0,1,0,0.44,0.53,20192020,0.468866666666656,0.468866666666656,0.468866666666656,0.468866666666656,0.531133333333344,0.468866666666656,-0.0288666666666559,-0.061133333333344,0.0,0.0,0.20695833333334,0.2001012499999885,0.4070595833333285,1995-08-14,24.16164383561644,3,0.2536755407838276,0.2664647655763414,0.2664647655763414,0.3006863229524285,0.1162143443275169,0.1452392779793144,1.000163160318532,0.1162333058969553
2019-10-10,Carter Verhaeghe,away,Tampa Bay Lightning,Toronto Maple Leafs,C,11.35,0,0,0,0.01,0,0,1,3,7,0,1,0.19,0.25,20192020,0.4182,0.4182,0.4182,0.4182,-0.4182,-0.5818,-0.2282,0.1682,0.005,0.1099999999999999,-0.542625,0.18445125,-0.24317375,1995-08-14,24.172602739726027,4,0.2659151229883257,0.2279668026717707,0.2279668026717707,0.2655747636845572,0.1186479376375376,0.1470433761267796,1.0001311304756442,0.1186634959980342
2019-10-12,Carter Verhaeghe,away,Tampa Bay Lightning,Ottawa Senators,C,9.4166666666667,0,0,0,0.12,0,0,0,0,0,1,0,0.42,0.22,20192020,0.3563333333333344,0.3563333333333344,0.3563333333333344,0.3563333333333344,0.6436666666666656,0.3563333333333344,0.0636666666666656,0.1363333333333344,0.06,0.0,0.2647916666666658,0.606831250000001,0.931622916666667,1995-08-14,24.17808219178082,5,0.2280266120126911,0.2780036248894459,0.2780036248894459,0.3461043126973318,0.1211553209133076,0.1489358076699892,1.0001164369127216,0.1211694278648346
2019-10-15,Carter Verhaeghe,away,Tampa Bay Lightning,Montreal Canadiens,C,9.0,0,0,0,0.33,0,0,0,0,1,0,0,0.47,0.54,20192020,0.343,0.343,0.343,0.343,-0.343,0.343,0.1269999999999999,-0.197,0.165,-0.01,-0.320625,0.0485812499999999,-0.1170437500000001,1995-08-14,24.186301369863013,6,0.2769373749339421,0.251428146131173,0.251428146131173,0.2966241340637107,0.1237389496761478,0.1509195221133568,1.000096044699979,0.1237508341464451
2019-10-17,Carter Verhaeghe,away,Tampa Bay Lightning,Boston Bruins,C,8.7,0,0,0,0.09,0,1,0,2,2,0,0,0.24,0.27,20192020,0.3334,0.3334,0.3334,0.3334,-0.3334,0.3334,-0.0933999999999999,0.0633999999999999,0.045,-0.15,-0.458375,0.4973212499999999,-0.06605375,1995-08-14,24.19178082191781,7,0.2511923187407367,0.2311345406100942,0.2311345406100942,0.2639706482059847,0.1263986882094956,0.1529943665063694,1.0000835468073783,0.1264092484163523
2019-10-19,Carter Verhaeghe,home,Tampa Bay Lightning,Colorado Avalanche,C,8.85,0,0,0,0.13,0,0,0,8,1,0,2,0.32,0.29,20192020,0.3382,0.3382,0.3382,0.3382,-0.3382,-1.6618,-0.0181999999999999,0.0482,0.065,0.07,-0.411375,-0.4065487499999999,-0.6829237499999999,1995-08-14,24.197260273972603,8,0.2316633224789479,0.1753999481452166,0.1753999481452166,0.2008613013804709,0.129132460238778,0.1551578642704113,1.0000719249836487,0.1291417480888692
2019-10-29,Carter Verhaeghe,away,Tampa Bay Lightning,New York Rangers,C,7.75,0,0,0,0.28,0,0,0,0,2,0,0,0.45,0.26,20192020,0.303,0.303,0.303,0.303,-0.303,0.303,0.147,0.0429999999999999,0.14,-0.02,-0.308125,0.4818312499999999,0.2937062499999999,1995-08-14,24.22465753424657,9,0.178436994830336,0.1823055232204985,0.1823055232204985,0.226109159670271,0.1319368141731965,0.1574058918612422,1.0000269133783686,0.1319403650385971
2019-10-30,Carter Verhaeghe,away,Tampa Bay Lightning,New Jersey Devils,C,10.5,0,0,0,0.09,0,0,0,0,0,0,1,0.34,0.89,20192020,0.391,0.391,0.391,0.391,-0.391,-0.609,-0.0509999999999999,-0.499,0.045,0.0,-0.431875,-0.93261875,-1.31949375,1995-08-14,24.22739726027397,10,0.1848917108949707,0.0981218009994299,0.0981218009994299,0.1194003987574653,0.1347591880725566,0.1596820181774186,1.000023609148288,0.134762369622211
