Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2008-10-10,Chris Porter,home,St Louis Blues,Nashville Predators,L,15.5,0,0,1,0.15,1,0,1,0,1,1,1,0.49,0.34,20082009,0.551,0.551,0.551,0.551,0.4489999999999999,-0.4489999999999999,-0.061,0.211,0.675,0.1399999999999999,0.1868749999999999,0.17338125,1.17525625,1984-05-29,24.383561643835616,1,0.0,0.1104731082624818,0.1104731082624818,0.1304617589575488,0.1027690924896803,0.1090630887790147,1,0.1027690924896803
2008-10-11,Chris Porter,away,St Louis Blues,New York Islanders,L,9.5,0,0,0,0.11,2,0,0,0,0,0,1,0.11,0.83,20082009,0.359,0.359,0.359,0.359,-0.359,-0.641,-0.249,-0.471,0.155,0.0,-0.555625,-0.8648187500000001,-1.2654437500000002,1984-05-29,24.386301369863013,2,0.1109339708635723,-0.0089134642462323,-0.0089134642462323,-0.0112928805418439,0.1012906757349111,0.1049671477764898,1,0.1012906757349111
2008-10-13,Chris Porter,away,St Louis Blues,Toronto Maple Leafs,L,10.33333333,0,0,0,0.0,0,0,0,0,0,0,0,0.02,0.33,20082009,0.38566666656,0.38566666656,0.38566666656,0.38566666656,-0.38566666656,0.38566666656,-0.36566666656,0.05566666656,0.0,0.0,-0.6285416666000001,0.451181249886,-0.1773604167140001,1984-05-29,24.39178082191781,3,-0.0079858684680588,-0.0225068882885539,-0.0225068882885539,-0.0274757331813378,0.0998099253006565,0.1010473244183215,1,0.0998099253006565
2008-10-18,Chris Porter,home,St Louis Blues,Chicago Blackhawks,L,11.3,1,0,0,0.37,0,0,0,0,0,1,1,0.59,0.31,20082009,0.4166,0.4166,0.4166,0.4166,0.5833999999999999,-0.5833999999999999,0.1733999999999999,0.1066,0.935,0.0,0.3333749999999998,0.0807412499999999,1.3491162499999998,1984-05-29,24.405479452054795,4,-0.0215034974274033,0.0811051721876205,0.0811051721876205,0.0909564334831856,0.0983261371132436,0.0973506330999179,1,0.0983261371132436
2008-10-22,Chris Porter,home,St Louis Blues,Detroit Red Wings,L,6.933333333,0,0,0,0.0,0,0,1,0,0,0,0,0.1,0.12,20082009,0.276866666656,0.276866666656,0.276866666656,0.276866666656,-0.276866666656,0.276866666656,-0.176866666656,0.156866666656,0.0,0.15,-0.51054166666,0.6919012499886,0.3313595833286,1984-05-29,24.416438356164385,5,0.0806984312743278,0.0989007050202124,0.0989007050202124,0.1131897833948852,0.0968388644641218,0.0939060279742136,1,0.0968388644641218
2008-11-25,Chris Porter,away,St Louis Blues,Nashville Predators,L,9.616666667,0,0,0,0.05,0,0,0,1,1,0,0,0.22,0.46,20082009,0.362733333344,0.362733333344,0.362733333344,0.362733333344,-0.362733333344,0.362733333344,-0.142733333344,-0.0972666666559999,0.025,0.0,-0.48920833334,0.2056712500113999,-0.2585370833286,1984-05-29,24.50958904109589,6,0.0982162720975541,0.0748552842543454,0.0748552842543454,0.0896519292408954,0.0953478750977751,0.0907275348807545,1,0.0953478750977751
2010-11-11,Chris Porter,home,St Louis Blues,Nashville Predators,L,9.0,0,0,0,0.01,0,0,0,0,0,0,0,0.07,0.3,20102011,0.343,0.343,0.343,0.343,-0.343,0.343,-0.273,0.043,0.005,0.0,-0.570625,0.45658125,-0.10904375,1984-05-29,26.471232876712328,7,0.0734587062370748,0.0631003637302375,0.0631003637302375,0.0652976812500627,0.093853105565022,0.0878175256315371,1,0.093853105565022
2010-11-13,Chris Porter,away,St Louis Blues,Phoenix Coyotes,L,5.6166666666667,0,0,0,0.22,0,0,0,0,0,0,0,0.37,0.05,20102011,0.2347333333333344,0.2347333333333344,0.2347333333333344,0.2347333333333344,-0.2347333333333344,0.2347333333333344,0.1352666666666656,0.1847333333333344,0.11,0.0,-0.315458333333334,0.7658712500000011,0.5604129166666671,1984-05-29,26.476712328767125,8,0.0344155714597129,0.0934239358156453,0.0934239358156453,0.1086905491364584,0.0923546187113003,0.0851697355867454,1,0.0923546187113003
2010-11-15,Chris Porter,away,St Louis Blues,Colorado Avalanche,L,7.0333333333333,0,0,0,0.0,0,1,0,0,0,0,1,0.19,0.29,20102011,0.2800666666666656,0.2800666666666656,0.2800666666666656,0.2800666666666656,-0.2800666666666656,-0.7199333333333344,-0.0900666666666656,-0.0099333333333343,0.0,-0.15,-0.456291666666666,-0.0311787500000011,-0.6374704166666672,1984-05-29,26.48219178082192,9,0.1274042911052185,0.0507614085957384,0.0507614085957384,0.0560143705801913,0.0908456063551075,0.0827649689934554,1,0.0908456063551075
2010-11-19,Chris Porter,home,St Louis Blues,Ottawa Senators,L,6.15,0,0,0,0.15,0,0,1,1,0,1,1,0.32,0.33,20102011,0.2518,0.2518,0.2518,0.2518,0.7482,-0.7482,0.0681999999999999,-0.0781999999999999,0.075,0.16,0.2676249999999999,-0.12938875,0.3732362499999998,1984-05-29,26.493150684931507,10,0.0121258735807615,0.0688378139823547,0.0688378139823547,0.0796880839289382,0.0891194258782284,0.080383765305299,1,0.0891194258782284
