Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
2017-03-09,Christopher DiDomenico,away,Ottawa Senators,Arizona Coyotes,C,6.9166666666667,0,0,0,0.0,1,2,0,0,0,1,0,0.55,0.45,20162017,0.2763333333333344,0.2763333333333344,0.2763333333333344,0.2763333333333344,0.7236666666666656,0.2763333333333344,0.2736666666666656,-0.1736666666666655,0.05,-0.3,0.396041666666666,0.1303312500000011,0.2763729166666672,,,1,0.0,0.0259788238894578,0.0259788238894578,0.0277117036745336,0.0258860304008837,0.0,1,0.0258860304008837
2017-03-11,Christopher DiDomenico,away,Ottawa Senators,Colorado Avalanche,C,9.25,0,0,0,0.0,0,1,1,0,0,0,0,0.02,0.14,20162017,0.351,0.351,0.351,0.351,-0.351,0.351,-0.3309999999999999,0.2109999999999999,0.0,0.0,-0.606875,0.7371312499999999,0.1302562499999998,,,2,0.0260872002041942,0.035026844791745,0.035026844791745,,0.0626870667718063,0.0,1,0.0626870667718063
2017-04-09,Christopher DiDomenico,away,Ottawa Senators,New York Islanders,C,16.883333333333,0,0,0,0.57,1,0,1,2,1,0,0,1.18,0.42,20162017,0.5952666666666561,0.5952666666666561,0.5952666666666561,0.5952666666666561,-0.5952666666666561,0.5952666666666561,0.5847333333333439,0.175266666666656,0.3349999999999999,0.16,-0.0345416666666602,0.5221912499999887,0.9826495833333284,,,3,0.0351031727680126,0.1114986213862583,0.1114986213862583,,0.0997894804342597,0.0,1,0.0997894804342597
2017-10-21,Christopher DiDomenico,home,Ottawa Senators,Toronto Maple Leafs,L,5.433333333,0,0,0,0.0,0,0,0,0,2,1,1,0.76,0.29,20172018,0.228866666656,0.228866666656,0.228866666656,0.228866666656,0.771133333344,-0.771133333344,0.531133333344,-0.0611333333439999,0.0,-0.02,0.55695833334,-0.0858987500114,0.4510595833285999,,,4,0.1145172087225846,0.1371489694607426,0.1371489694607426,,0.1324717352071844,0.0,1,0.1324717352071844
2017-10-24,Christopher DiDomenico,home,Ottawa Senators,Los Angeles Kings,L,8.5,0,0,0,0.0,1,0,0,0,0,0,0,0.05,0.12,20172018,0.327,0.327,0.327,0.327,-0.327,0.327,-0.277,0.207,0.05,0.0,-0.5731250000000001,0.74548125,0.2223562499999999,,,5,0.15100354004025,0.143208039314892,0.143208039314892,,0.1686446956974633,0.0,1,0.1686446956974633
2017-10-26,Christopher DiDomenico,home,Ottawa Senators,Philadelphia Flyers,L,11.11666667,0,0,1,0.01,2,0,1,2,0,0,0,0.36,0.15,20172018,0.41073333344,0.41073333344,0.41073333344,0.41073333344,-0.41073333344,0.41073333344,-0.05073333344,0.26073333344,0.655,0.1699999999999999,-0.4317083334,0.783971250114,1.177262916714,,,6,0.1580187584731759,0.2127705909883438,0.2127705909883438,,0.2370192677270644,0.0,1,0.2370192677270644
2017-10-27,Christopher DiDomenico,away,Ottawa Senators,New Jersey Devils,L,17.26666667,1,1,0,0.45,0,1,0,0,1,1,0,0.66,0.4,20172018,0.60753333344,0.60753333344,0.60753333344,0.60753333344,0.3924666665599999,0.60753333344,0.0524666665599999,0.20753333344,1.675,-0.16,0.2577916665999999,0.569301250114,2.342092916714,,,7,0.2495754651225001,0.3488779653995409,0.3488779653995409,,0.3093803183630462,0.0,1,0.3093803183630462
2017-10-30,Christopher DiDomenico,home,Ottawa Senators,Montreal Canadiens,L,14.93333333,1,0,1,0.14,0,0,0,2,0,0,1,0.01,0.52,20172018,0.53286666656,0.53286666656,0.53286666656,0.53286666656,-0.53286666656,-0.4671333334399999,-0.52286666656,0.01286666656,1.37,0.02,-0.7267916666,-0.151998750114,0.5112095832860001,,,8,0.422351514656779,0.3587761159442149,0.3587761159442149,,0.350490682161392,0.0,1,0.350490682161392
2017-11-02,Christopher DiDomenico,home,Ottawa Senators,Detroit Red Wings,L,9.716666667,0,0,0,0.0,0,0,0,0,0,0,0,0.08,0.11,20172018,0.365933333344,0.365933333344,0.365933333344,0.365933333344,-0.365933333344,0.365933333344,-0.285933333344,0.255933333344,0.0,0.0,-0.57870833334,0.8040912500114,0.2253829166713999,,,9,0.429164734482763,0.3509899140456791,0.3509899140456791,,0.3575841306568421,0.0,1,0.3575841306568421
2017-11-04,Christopher DiDomenico,home,Ottawa Senators,Vegas Golden Knights,L,6.933333333,0,0,0,0.0,0,1,0,0,0,0,0,0.09,0.09,20172018,0.276866666656,0.276866666656,0.276866666656,0.276866666656,-0.276866666656,0.276866666656,-0.186866666656,0.186866666656,0.0,-0.15,-0.5167916666600001,0.7429012499886,0.0761095833285998,,,10,0.414575070649394,0.335581430490151,0.335581430490151,,0.3736750670128932,0.0,1,0.3736750670128932
