,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2019-10-02,Cody Glass,home,Vegas Golden Knights,San Jose Sharks,C,14.85,1,0,0,0.29,0,0,0,5,5,1,0,0.29,0.75,20192020,0.5302,0.5302,0.5302,0.5302,0.4698,0.5302,-0.24020000000000002,-0.2198,0.895,0.0,0.07487499999999997,-0.10834875,0.86152625,1999-04-01,20.517808219178082,1,0.0,0.08098274966605791,0.08098274966605791,0.0963981723890906,0.05924122140320776,0.09265721492203212,1.3693376139855493,0.08112123276585817
1,2019-10-04,Cody Glass,away,Vegas Golden Knights,San Jose Sharks,C,13.716666666667,0,0,0,0.04,0,0,0,2,9,0,0,0.66,0.53,20192020,0.49393333333334405,0.49393333333334405,0.49393333333334405,0.49393333333334405,-0.49393333333334405,0.49393333333334405,0.16606666666665598,-0.03606666666665598,0.02,-0.07,-0.29620833333334,0.22689125000001137,-0.11931708333332863,1999-04-01,20.523287671232875,2,0.0813205868215572,0.06360298548026092,0.06360298548026092,0.08798025968474903,0.06900444918670656,0.09478104397161108,1.367660750822638,0.09437467678479367
2,2019-10-08,Cody Glass,home,Vegas Golden Knights,Boston Bruins,C,16.933333333333,0,0,1,0.27,0,0,0,6,7,0,1,0.81,0.8,20192020,0.596866666666656,0.596866666666656,0.596866666666656,0.596866666666656,-0.596866666666656,-0.403133333333344,0.21313333333334405,-0.20313333333334405,0.685,-0.01,-0.26679166666666,-0.5595987500000114,-0.1513904166666713,1999-04-01,20.534246575342465,3,0.06395512430720368,0.04625333065498985,0.04625333065498985,0.053884822534577624,0.07809890938019036,0.09728164186721389,1.3643293927533064,0.10655263760937062
3,2019-10-10,Cody Glass,away,Vegas Golden Knights,Arizona Coyotes,C,17.016666666667,0,0,1,0.0,0,1,0,4,8,1,2,0.21,0.63,20192020,0.599533333333344,0.599533333333344,0.599533333333344,0.599533333333344,0.400466666666656,-1.4004666666666559,-0.38953333333334406,-0.030466666666655984,0.55,-0.19,-0.01845833333334007,-0.7052487499999885,-0.3637070833333286,1999-04-01,20.53972602739726,4,0.04668044556664053,0.015285026008280713,0.015285026008280713,0.017730908850805183,0.08645971546449036,0.10026011297351839,1.3626748129511796,0.11781647659838661
4,2019-10-12,Cody Glass,home,Vegas Golden Knights,Calgary Flames,C,11.883333333333,1,0,0,0.15,1,0,1,0,0,1,0,0.2,0.06,20192020,0.43526666666665603,0.43526666666665603,0.43526666666665603,0.43526666666665603,0.564733333333344,0.43526666666665603,-0.23526666666665602,0.37526666666665603,0.875,0.15,0.07795833333333996,0.9631912499999886,2.0661495833333285,1999-04-01,20.545205479452054,5,0.016096669709511895,0.1611215265465949,0.1611215265465949,0.19402818322847484,0.09409847922643545,0.10374597124203054,1.3610275765910245,0.1280706251424563
5,2019-10-13,Cody Glass,away,Vegas Golden Knights,Los Angeles Kings,C,14.033333333333,0,0,0,0.06,0,0,0,1,0,0,0,0.28,1.15,20192020,0.504066666666656,0.504066666666656,0.504066666666656,0.504066666666656,-0.504066666666656,0.504066666666656,-0.22406666666665598,-0.6459333333333439,0.03,0.01,-0.54004166666666,-0.8162787500000112,-1.316320416666671,1999-04-01,20.54794520547945,6,0.15878498777160086,0.06173160656691236,0.06173160656691236,0.0730735665900994,0.10105961124158891,0.10773311700340375,1.360206699180796,0.1374619602274161
6,2019-10-15,Cody Glass,home,Vegas Golden Knights,Nashville Predators,C,16.083333333333,0,1,0,0.4,0,0,1,1,2,0,0,1.17,0.25,20192020,0.5696666666666561,0.5696666666666561,0.5696666666666561,0.5696666666666561,-0.5696666666666561,0.5696666666666561,0.6003333333333438,0.3196666666666561,0.8999999999999999,0.13999999999999999,-0.02479166666666016,0.7838312499999887,1.7990395833333284,1999-04-01,20.553424657534247,7,0.06262398548868998,0.17278122287181924,0.17278122287181924,0.2036854852472346,0.10719779088973133,0.1123564970940715,1.3585704000351002,0.14563574565194132
7,2019-10-17,Cody Glass,home,Vegas Golden Knights,Ottawa Senators,C,15.983333333333,0,0,0,0.41,0,0,0,1,3,0,1,0.8,0.42,20192020,0.566466666666656,0.566466666666656,0.566466666666656,0.566466666666656,-0.566466666666656,-0.433533333333344,0.23353333333334403,0.14646666666665603,0.205,-0.02,-0.25404166666666,0.05391124999998864,-0.015130416666671365,1999-04-01,20.55890410958904,8,0.1692735171011864,0.1613233336357899,0.1613233336357899,0.1968013829885798,0.11238511170642863,0.11769128792172055,1.3569413408697268,0.1525000041727153
8,2019-10-19,Cody Glass,away,Vegas Golden Knights,Pittsburgh Penguins,C,13.533333333333,0,1,0,0.19,1,0,0,0,1,0,0,0.39,0.3,20192020,0.488066666666656,0.488066666666656,0.488066666666656,0.488066666666656,-0.488066666666656,0.488066666666656,-0.09806666666665598,0.188066666666656,0.845,-0.01,-0.46129166666666,0.6116212499999886,0.9853295833333285,1999-04-01,20.564383561643837,9,0.15856448780859853,0.2094208308153776,0.2094208308153776,0.24213601542076202,0.1167326352576816,0.12359523563491816,1.3553194808595426,0.15821001461680737
9,2019-10-21,Cody Glass,away,Vegas Golden Knights,Philadelphia Flyers,C,14.633333333333,0,0,0,0.07,0,0,0,0,1,0,1,0.41,0.35,20192020,0.523266666666656,0.523266666666656,0.523266666666656,0.523266666666656,-0.523266666666656,-0.476733333333344,-0.11326666666665602,0.17326666666665602,0.035,-0.01,-0.47079166666666006,0.12674124999998865,-0.3190504166666714,1999-04-01,20.56986301369863,10,0.20410655265795508,0.1797972469628913,0.1797972469628913,0.19864272393148658,0.12047417375042023,0.1298340746373248,1.353704779494618,0.1630864648116089
